"","Table 5#6#6B# Real Change in Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 28, 2005  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2005 12:10:22 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","    Change in private inventories","A014RX1",71.2,72.6,68.9,56.5,-31.7,11.7,-0.8,45.3
"9","2","Farm","B018RX1",2.9,1.4,-3,-1.3,0,-1.6,0.3,3.6
"10","3","Mining, utilities, and construction","N541RX1",2.5,7.2,-0.6,-1.7,10.6,-4.2,0.3,-0.1
"11","4","Manufacturing","N150RX1",20.7,18.6,17,7.9,-21.3,-7.5,-15.2,6.3
"12","5","  Durable goods industries","N624RX1",13.6,17.9,8.5,7.3,-18.2,-9.5,-11.4,3.5
"13","6","  Nondurable goods industries","N625RX1",7.1,0.3,8.5,0.6,-3.1,2,-3.9,2.8
"14","7","Wholesale trade","N658RX1",25.1,22.5,19.7,17.6,-10.7,0.1,0,23.3
"15","8","  Durable goods industries","N661RX1",16.3,16.7,13.3,12,-16.3,-1,-0.3,19.9
"16","9","  Nondurable goods industries","N664RX1",8.7,5.6,6.3,5.6,5.3,1.1,0.3,3.8
"17","10","Retail trade","N153RX1",14.6,17.3,27.7,21.6,-10.8,26.3,13.1,9.1
"18","11","  Motor vehicle and parts dealers","N631RX1",5.1,2.3,13.1,12.3,-8.8,18.9,6.2,1.1
"19","12","  Food and beverage stores","N542RX1",0.4,1.2,1.8,-0.2,0.7,0.7,-0.4,0.8
"20","13","  General merchandise stores","N543RX1",0.2,0.9,2.7,1.1,-0.1,1.6,0.7,2.5
"21","14","  Other retail stores","N558RX1",8.9,12.8,10.1,8.4,-2.6,5.3,6.7,4.5
"22","15","Other industries","N154RX1",5.4,5.9,7.3,12.4,0.2,-1.6,1,3.1
"23","16","Residual","N969RX1",0.1,0.4,0.9,0,0.6,0,-0.3,-0.2
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Change in private inventories","A014RX1",71.2,72.6,68.9,56.5,-31.7,11.7,-0.8,45.3
"26","18","    Durable goods industries","N355RX1",38.5,42.4,40.4,36.1,-42.4,13.4,0.4,29.3
"27","19","    Nondurable goods industries","N357RX1",32.4,29.8,28.1,20.4,10.3,-1.5,-1.1,16.8
"28","20","  Nonfarm industries","B015RX1",68.5,71.2,71.5,57.8,-31.8,13.5,-1.1,41.7
"29","21","  Wholesale trade","N658RX1",25.1,22.5,19.7,17.6,-10.7,0.1,0,23.3
"30","22","    Merchant wholesale trade","N151RX1",22.3,20.3,17.5,15.1,-8.4,-0.8,1.8,20.3
"31","23","      Durable goods industries","N626RX1",14.5,14.8,12,10,-14.3,-1.6,1.1,18.1
"32","24","      Nondurable goods industries","N627RX1",7.7,5.4,5.5,5.1,5.7,0.8,0.7,2.7
"33","25","    Nonmerchant wholesale trade","N152RX1",2.8,2.1,2.1,2.5,-2.3,0.9,-1.8,3
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chained (2000) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","as the period-to-period change in chained-dollar end-of-period inventories. Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","changes in end-of-period inventories are stated at annual rates. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
