"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2009 10:49:04 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","S1 EN04472AMA       Retail and food services","T050010",2149471,2293912,2481025,2606635,2766110,2891766,3037491,3292838,3513873,3617491,3709190,3860539,4108005,4358859,4598383,4776629,4771716
"9","2","S1 EN44ZZZZMA Retail trade","T050020",1934367,2065637,2242593,2359662,2509352,2619300,2749594,2990569,3190304,3280482,3357771,3490564,3713773,3940508,4151830,4307823,4285290
"10","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",440786,496519,566732,605920,654559,680351,720356,802360,841960,872305,881985,901085,926294,948785,963407,985546,871484
"11","4","S4 EN4411ZZMA     Automobile dealers","T050040",369802,419765,482616,517313,560847,581838,614782,688469,720461,750239,754873,765466,780287,794829,803183,819965,704961
"12","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",18781,21850,24758,27189,29129,31821,35630,39774,44415,45159,46722,52654,59414,63317,65616,68490,67146
"13","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",52203,54903,59359,61418,64582,66692,69943,74116,77083,76908,80390,82965,86594,90640,94609,97091,99377
"14","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",103391,112740,127005,137895,145772,152299,163138,176319,188238,186793,194884,201115,219264,233495,248351,252852,243529
"15","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",58029,61078,66175,69108,73210,78059,82789,89724,96572,96195,98712,102048,110281,117166,123874,124813,115397
"16","9","S4 EN4421ZZMA       Furniture Stores","T050090",33593,35415,37761,39338,41668,44496,46831,49848,53663,53352,54071,54925,59344,62773,65232,66076,61685
"17","10","S4 EN4422ZZMA       Home furnishings stores","T050100",24436,25664,28414,29770,31542,33563,35959,39876,42909,42843,44641,47123,50937,54393,58642,58738,53711
"18","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",45362,51661,60830,68786,72562,74240,80349,86594,91667,90599,96172,99067,108983,116329,124477,128039,128133
"19","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",168056,180113,200180,208891,223215,240520,255246,275813,290139,303170,316193,336150,381851,416790,438667,427630,409535
"20","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",142831,155481,174020,181476,193071,207679,221046,241370,254149,266271,280444,298660,341902,375105,395781,380804,355281
"21","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",25225,24631,26160,27415,30144,32841,34201,34443,35990,36898,35749,37490,39949,41685,42886,46826,54254
"22","15","S1 EN445ZZZMA   Food and beverage stores","T050150",381372,385287,395393,401651,412640,420909,432544,453779,472218,493090,495156,506443,526690,548666,569101,597769,628188
"23","16","S1 EN4451ZZMA     Grocery stores","T050160",346487,350369,359815,365892,375250,382226,391837,411590,426595,445058,446763,456225,473100,492917,509391,534361,562515
"24","17","S3 EN4452ZZMA     Specialty food stores","T050170",11895,12106,12169,12443,12860,13209,13679,13890,14938,16091,16216,17365,18892,19568,20432,21084,20483
"25","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",22990,22812,23409,23316,24530,25474,27029,28299,30685,31941,32177,32853,34698,36182,39278,42325,45191
"26","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",127406,132196,136782,139223,144761,148502,157899,168936,177083,176015,180171,187283,199378,210723,223907,234203,232438
"27","20","S2 EN4481ZZMA     Clothing stores","T050200",91026,93884,96084,96749,99967,104103,110867,118643,125102,125546,128402,134158,143772,152794,162394,171779,169984
"28","21","S2 EN4482ZZMA     Shoe stores","T050210",19188,19572,20454,20881,21772,21942,22738,23216,23342,23224,23427,23821,24395,26041,27524,27339,27552
"29","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",17192,18740,20244,21594,23023,22457,24294,27077,28639,27245,28342,29304,31211,31888,33989,35085,34902
"30","23","S1 EN452ZZZMA   General merchandise stores","T050230",265118,284175,304731,321195,336965,353643,375445,406762,431086,454925,476023,499980,529425,561341,591139,617123,640082
"31","24","S1 EN4521ZZMA     Department stores","T050240",189819,200949,213032,220593,227299,235440,239277,247044,248328,243757,235409,229477,229713,229829,228391,225323,216163
"32","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",75299,83226,91698,100601,109666,118203,136168,159718,182758,211169,240614,270504,299712,331512,362747,391800,423919
"33","26","S1 EN44EZZZMA   Other retail stores","T050260",448238,474607,511771,544887,591440,623076,644966,706600,789579,794183,813359,858507,930871,1020707,1117258,1192700,1260034
"34","27","S1 EN446ZZZMA     Health and personal care stores","T050270",93084,95953,99731,105056,112979,121996,133453,147131,160641,171809,184534,195511,202187,212568,228625,241633,251435
"35","28","S1 EN447ZZZMA     Gasoline stations","T050280",160921,167042,176122,186302,199967,205252,196941,217064,252864,251891,250143,271197,312785,365943,406765,435826,477701
"36","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",52273,55472,60953,64554,67867,69389,73511,78382,81756,83523,84281,84743,87245,88009,91297,94081,95786
