"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2009 10:45:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","A       Manufacturing and trade industries","KPMT0",737108,774700,819403,844794,834827,844978,855746,888784,926999,956413,967661,940481
"9","2","A Manufacturing industries","KP300",324110,335553,346248,350205,331164,327674,323198,330041,344731,348902,340464,321091
"10","3","A   Durable goods manufacturing industries","KP30D0",174914,184228,193948,197552,182396,180083,178715,183030,191744,196297,192871,181467
"11","4","A     Wood product manufacturing","KP3210",7270,7659,7864,7808,7393,7497,7417,7538,8138,8303,7684,7337
"12","5","A     Nonmetallic mineral product manufacturing","KP3270",7600,8012,8137,8103,7829,7238,7396,7589,7938,8131,7529,6656
"13","6","A     Primary metal manufacturing","KP3310",13315,13694,13533,13025,11907,11688,11328,12253,12431,12119,11822,11173
"14","7","A     Fabricated metal product manufacturing","KP3320",20746,21469,21654,22322,20932,20768,20007,19936,21001,22047,21720,20349
"15","8","A     Machinery manufacturing","KP3330",23252,23776,23228,24314,22130,21151,20102,21298,22895,23987,23385,23270
"16","9","A     Computer and electronic product manufacturing","KP3340",31175,33657,37499,42451,37118,35206,35728,37539,39419,41829,42776,43131
"17","10","A     Electrical equipment, appliance, and component manufacturing","KP3350",9392,9752,9971,10454,9527,8693,8407,8364,8550,8456,8560,8001
"18","11","A     Transportation equipment manufacturing","KP3360",48463,51599,56901,53236,50022,52138,52305,52310,54261,54426,53377,46977
"19","12","D       Motor vehicle and parts manufacturing","KP3MV0",35228,36735,41686,39191,35765,38118,39554,39730,40528,40513,38585,30828
"20","13","D       Other transportation equipment manufacturing","KP3OT0",13237,14890,15218,14045,14244,14037,12844,12714,13800,13961,14648,15450
"21","14","A     Furniture and related product manufacturing","KP3370",5581,5982,6159,6246,5945,5710,5739,5902,6133,6134,5705,5080
"22","15","A     Miscellaneous durable goods manufacturing","KP3390",8494,8898,9109,9594,9550,9882,10245,10140,10863,11220,11182,11032
"23","16","A   Nondurable goods manufacturing industries","KP30N0",149841,151694,152350,152653,148740,147559,144488,147058,153101,153077,148301,140203
"24","17","A     Food manufacturing","KP3110",34106,35590,35918,36184,36378,36584,35312,34960,36169,36457,35681,34234
