"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of chained (2000) dollars; seasonally adjusted at annual rates]                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2009 10:40:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","B     Nonfarm industries","KCNF0",68496,71193,71516,57827,-31839,15155,14015,48180,39067,46259,-3671,-34337
"9","2","B Construction, mining, and utilities","KCCMU0",2486,7237,-553,-1673,10588,-3550,5273,497,2307,4636,-641,-8001
"10","3","B Manufacturing industries","KC300",20743,18637,16952,7882,-21324,-5865,-9423,2552,15179,11833,-3535,-9648
"11",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","B     Durable goods industries","KC30D0",13619,17922,8549,7257,-18204,-6822,-6439,1640,13885,6670,-49,5649
"13","5","D       Wood product manufacturing","KC3210",346,471,534,289,-374,329,-130,698,787,161,-879,-865
"14","6","D       Nonmetallic mineral product manufacturing","KC3270",186,51,334,150,-470,65,-261,130,-67,480,-298,-502
"15","7","D       Primary metal manufacturing","KC3310",412,1607,461,-410,-1816,-361,-2370,1119,1314,611,-2236,811
"16","8","D       Fabricated metal product manufacturing","KC3320",1293,1262,952,636,-1105,-284,-770,-296,1545,661,-668,-1272
"17","9","D       Machinery manufacturing","KC3330",1495,1168,454,2647,-4190,-1661,-1865,-408,2149,1622,762,-597
"18","10","D       Computer and electronic product manufacturing","KC3340",6827,730,4768,11175,-7200,-3061,1432,2532,3095,-816,705,2024
"19","11","D       Electrical equipment, appliance, and component manufacturing","KC3350",481,501,-10,808,-943,-304,-485,-353,1,288,18,-319
"20","12","D       Transportation equipment manufacturing","KC3360",1346,11792,-227,-9125,-1819,-1862,-2218,-1350,3664,2786,4233,7804
"21","13","D         Motor vehicle and parts manufacturing","KC3MV0",533,1158,1654,-180,-2472,1020,349,102,452,339,-1611,-3309
"22","14","D         Other transportation equipment manufacturing","KC3OT0",808,10685,-1888,-8945,635,-2865,-2546,-1441,3225,2463,5921,11485
"23","15","D       Furniture and related product manufacturing","KC3370",144,157,345,234,-406,316,-215,155,274,-143,-481,-648
"24","16","D       Miscellaneous durable goods manufacturing","KC3390",243,476,778,853,46,-42,842,-382,1114,492,184,-146
"25","17","B     Nondurable goods industries","KC30N0",7077,349,8489,625,-3134,947,-3017,918,1761,5108,-3202,-13519
"26","18","D       Food manufacturing","KC3110",790,112,1630,480,-311,356,-960,-881,170,850,-1224,-1108
"27","19","D       Beverage and tobacco product manufacturing","KC3120",721,-80,-166,-110,566,36,-404,109,264,32,-169,50
"28","20","D       Textile mills","KC3130",20,129,188,-423,-617,-278,-5,-178,-82,-157,-278,-224
"29","21","D       Textile product mills","KC3140",268,-220,343,417,168,-1084,128,-41,155,32,-195,-183
"30","22","D       Apparel manufacturing","KC3150",432,-60,640,-282,-1621,-44,13,-177,-142,4,223,-93
"31","23","D       Leather and allied product manufacturing","KC3160",45,24,10,-102,-167,-74,-58,-19,44,111,-53,-19
"32","24","D       Paper manufacturing","KC3220",566,-366,1047,-544,-188,1400,-790,60,-132,117,242,-1496
"33","25","D       Printing and related support activities","KC3230",215,-498,701,-359,-266,446,-323,-44,-68,134,656,-853
"34","26","D       Petroleum and coal product manufacturing","KC3240",1249,-794,-297,-307,1203,-606,95,670,623,363,-173,-4668
"35","27","D       Chemical manufacturing","KC3250",2403,1155,3151,1854,-1156,307,-540,1034,613,2447,-2529,-2261
"36","28","D       Plastics and rubber product manufacturing","KC3260",541,724,935,1,-592,423,-192,236,69,1015,621,-1527
"37",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","D     Materials and supplies","KC30M0",9584,4654,8754,5654,-8485,-3031,-5458,2683,4169,4511,-3002,-4819
"39","30","D       Durable goods industries","KC30DM0",7406,4809,5611,7630,-7645,-3616,-3838,2811,4241,3257,-2940,1122
"40","31","D       Nondurable goods industries","KC30NM0",2058,-271,3125,-1976,-861,568,-1644,-62,78,1308,-200,-5412
"41","32","D     Work-in-process","KC30W0",3229,7559,1140,-4069,-8275,-355,-1083,-2312,6164,1883,3083,5694
"42","33","D       Durable goods industries","KC30DW0",1231,8043,-197,-4215,-7409,-892,-1067,-2641,5694,427,4466,9113
"43","34","D       Nondurable goods industries","KC30NW0",2069,-619,1393,146,-862,539,-27,271,576,1330,-1039,-2484
"44","35","D     Finished goods","KC30F0",7897,6444,7069,6297,-4573,-2482,-2868,2115,4924,5384,-3439,-10081
"45","36","D       Durable goods industries","KC30DF0",4881,5095,3113,3842,-3160,-2325,-1528,1430,3971,2941,-1433,-4406
"46","37","D       Nondurable goods industries","KC30NF0",2960,1242,3972,2455,-1414,-159,-1346,714,1117,2477,-1967,-5623
"47","38","B Wholesale trade industries","KCWT0",25058,22539,19710,17606,-10727,1317,845,17981,15899,14899,3150,-330
"48",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","B     Durable goods industries","KCWTD0",16288,16667,13349,11958,-16263,-417,1291,17343,12489,10308,-1502,4706
"50","40","B     Nondurable goods industries","KCWTN0",8680,5620,6297,5648,5347,1694,-390,1191,3725,4770,3980,-3616
"51",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","B     Merchant wholesale industries","KC42W0",22281,20342,17545,15067,-8396,1846,1310,17068,13438,12864,5208,7419
"53","42","B       Durable goods industries","KC42WD0",14508,14823,11968,10008,-14289,21,1553,16603,10565,9243,-1044,9731
