"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2009 10:39:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","B     Nonfarm industries","XNF0",23532,64048,44320,64332,75736,32004,31000,30464,51792,36808,74768,122780,73484,112824,68772,60688,-14756,-14984,-64496,-118376,-27376,19568,39784,45272,66500,-4436,17824,51380,80696,117968,106720,124712,138936,49924,66324,145212,74804,127060,118248,43780,42816,65768,48452,60572,111020,124904,51180,-244704,-273228
"10","2","D Mining, utilities, and construction","XCMU0",-904,1364,3960,792,1140,6780,2536,7520,832,6320,1888,-2500,4048,4852,2132,3260,5276,3880,-1964,8560,1100,2576,-4276,3376,20076,-1068,5224,8788,6948,8216,8984,14556,5532,16252,16400,35048,-20972,-2612,7324,4220,15332,12712,-12920,-364,13312,30364,-8896,-64920,-40704
"11","3","D Manufacturing industries","X300",5512,15080,14812,18056,19972,9004,-1368,-5948,-1168,1976,18072,36988,14364,26280,12900,15700,-5552,-26136,-40620,-41912,-25640,-10612,6264,3896,13640,-9752,-12872,8600,19652,36624,29476,37020,66380,15064,24544,48600,39056,52652,44068,14348,6112,18976,14232,33776,60648,39624,11280,-62624,-73796
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","D     Durable goods industries","X30D0",5552,11264,9940,8756,21220,13424,3708,-816,-720,-4760,9220,18944,3340,14456,6876,14908,-6164,-18592,-32900,-31848,-23128,-10496,-4256,5540,-1056,-14468,-13156,12348,7776,21484,21668,24200,39988,9144,14568,25580,17896,31684,35352,17172,8928,3588,4376,23820,25112,24548,26516,16912,-45000
"14","5","D       Wood product manufacturing","X3210",156,500,1532,284,-428,256,600,552,792,392,-184,1464,412,-348,-640,740,-1056,688,-504,-1792,1136,-48,-52,-196,348,-972,-428,1436,2936,900,1740,-648,4700,-964,-856,928,-208,2116,460,-1252,-332,-1020,-628,-852,-2592,-524,1028,-1244,-1112
"15","6","D       Nonmetallic mineral product manufacturing","X3270",340,672,-304,112,244,-64,-8,-36,-220,8,1064,756,56,484,484,1060,484,-296,-584,-1036,-664,276,420,768,1328,668,-292,-1820,40,148,744,1288,1080,712,180,612,864,1372,1876,856,-132,-212,232,944,492,-288,516,-280,-880
"16","7","D       Primary metal manufacturing","X3310",1332,-732,-12,964,-960,672,620,-2032,-2324,-100,-84,2524,1796,532,-896,-1876,-1448,-3764,-2840,-2732,-2576,208,884,1536,488,-3212,-2100,220,3704,4564,6896,8820,7940,868,-992,2420,3476,5340,8328,2868,-196,1076,-528,-1832,4180,7132,6752,-10708,-11440
"17","8","D       Fabricated metal product manufacturing","X3320",888,1692,208,2404,184,3152,-532,-1000,-1340,-148,1416,2404,780,4136,376,-144,-36,-1296,-2108,-4316,-1376,-1016,1484,288,6148,-3424,-3032,-840,860,3372,6084,5288,6340,2456,136,3868,4600,4256,5272,3340,2156,-408,-428,2432,500,4316,5740,-2456,-7828
"18","9","D       Machinery manufacturing","X3330",-640,4080,-132,2352,3668,-180,3196,-1740,548,-1476,-536,2744,392,4176,2920,4964,-552,-4848,-6576,-6488,-3136,-4248,-1384,980,-3604,-2152,-1900,2828,760,3180,2516,3220,4864,3716,4456,1252,4052,4180,5888,4000,2492,2328,3144,2340,5052,1568,3196,2384,-5916
"19","10","D       Computer and electronic product manufacturing","X3340",1064,3512,5872,1492,2144,-3248,-4988,-5828,4120,548,2668,3756,1868,13196,7848,17872,1204,-4924,-16900,-13088,-5424,-7540,-2164,-4124,-4712,-4952,-888,8012,-892,4708,1168,2288,472,724,4212,5676,1176,1576,760,-1768,-208,-2832,-1412,3212,3712,1428,2648,3764,-4256
"20","11","D       Electrical equipment, appliance, and component manufacturing","X3350",552,1860,276,-696,360,-1120,172,500,-876,520,420,-80,152,1140,1576,1104,200,-1508,-1720,-1044,-884,-12,-444,-828,-352,-608,-1040,436,-292,1032,1452,-40,1076,112,408,652,1816,1520,1408,1704,-428,-300,-40,2560,924,572,608,-2136,-3536
