"","Table 5#6#1# Percent Change from Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2014 3:40:59 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Private fixed investment in intellectual property products","Y001RL1",5.4,-0.1,0.4,7,5,2.9,0.9,10.9,6.6,7.1,11.7,5,10.9,6.2,7.9,13.7,9,7,3.9,7.1,11.7,8.4,6.4,6,4.2,4,7.3,11.3,13,10.8,12.4,8.9,0.5,-0.5,3.8,5.1,6.5,4.5,4.8,3,-1.4,1.9,3.6,3.9,3.4
"9","2","Software","B985RL1",34.7,27.6,6.3,17.4,13.7,17,17.3,8.6,4.2,18.5,24.5,18,16.3,15.5,17.9,26.4,18.8,11.9,14,19.2,28.9,17.9,13.3,17.5,11.8,9.8,10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,6.8,10,6.4,4.1,6,4.9,0.2,-1,6.9,5.6,3.1
"10","3","  Prepackaged \1\","Y003RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,18.2,46.1,65,46.3,12.5,45.5,16.4,17.6,18.2,26,44.2,33.4,19,10,4.7,12.5,14,14.1,7.7,0.9,4.2,5.5,1,-10.1,12.9,10.1,6.6
"11","4","  Custom","Y004RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,9.9,18.1,14.4,9.3,9,11.3,9,16.4,13.8,25.8,23.3,20,15,14.3,-2.4,-10.4,-1.3,4.4,10.4,8.8,10.2,6.2,-2.2,8.3,6.7,5.6,0.5
"12","5","  Own account","Y005RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,15.2,9.1,23.1,8.8,16.8,6.2,10.7,0.3,1.2,3.1,23.1,9.5,38.1,16.8,0.5,-0.8,7.5,11.1,2.3,3.2,3.9,3.4,1.9,-2.7,3.3,2.6,3.2
"13","6","Research and development \2,3\","Y006RL1",6.5,0.4,-0.1,4.7,6.7,0.4,-1.6,6.3,5.3,7.8,7.4,6.7,6.4,5.2,5.6,10.2,8.6,4.1,1.9,4.1,6.5,5.3,4.5,0.3,-0.6,0,5.1,8.8,5.6,5,6.1,5,1.3,-2.6,-0.7,1,5.9,6.3,6,3.4,-2.8,2.4,1,1.9,3.9
