"","Table 6#13D# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2014 3:46:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Noncorporate capital consumption allowances","A1700C0",161782,181199,200651,229912,252247,267461,284438,266084,290714,312415,385890,380213,390743,446490,418813,436042
"9","2","Agriculture, forestry, fishing, and hunting","N1701C0",15529,15996,16013,15992,16035,16506,16860,17205,17828,18398,19670,19792,21115,20681,21551,22578
"10","3","  Farms \1\","N1702C0",14054,14368,14345,14314,14315,14461,14832,15369,15885,16364,17026,17766,18570,18476,19408,20191
"11","4","  Forestry, fishing, and related activities","N1703C0",1475,1628,1668,1678,1720,2045,2028,1836,1943,2034,2644,2026,2545,2205,2143,NA
"12","5","Mining","N1704C0",6862,7579,8890,10369,11686,12342,14229,14798,19506,23575,32712,35155,38090,46457,46657,51473
"13","6","Utilities","N1705C0",3112,3318,3370,4170,4968,5734,6170,5939,6452,6646,13368,13354,13791,23962,22686,24021
"14","7","Construction","N1706C0",5678,6168,7023,7428,8260,9542,10253,9633,10233,10592,10785,8534,7882,8242,7837,8244
"15","8","Manufacturing","N1707C0",12560,14915,17292,19707,21707,23164,24615,23045,24890,27689,43227,39176,37539,45054,43095,45125
"16","9","  Durable goods","N1708C0",4767,5912,6265,6598,7864,8671,8721,7804,8754,9557,21434,13468,13332,16818,14879,15610
"17","10","  Nondurable goods","N1709C0",7793,9003,11027,13109,13843,14493,15894,15241,16136,18132,21793,25708,24207,28236,28216,29515
"18","11","Wholesale trade","N1710C0",2021,2314,2651,3100,3273,3739,4165,4067,4398,5213,6756,7111,7106,8962,8332,8803
"19","12","Retail trade","N1711C0",4974,5637,5826,6450,7558,7630,7582,6715,6701,7169,8455,7993,8032,8919,7852,8105
"20","13","Transportation and warehousing","N1712C0",6794,7567,8790,9151,9840,10504,11415,10965,12020,12342,15698,17661,21507,27914,26009,27139
"21","14","Information","N1713C0",17628,21336,23694,33241,38437,36753,38206,31798,33851,33364,40854,42301,44964,51571,39706,41413
"22","15","Finance, insurance, real estate, rental, and leasing","N1714C0",61616,69558,76419,86934,92426,99754,108285,103372,112702,121727,140774,137268,137232,150290,142480,144474
"23","16","  Finance and insurance","N1715C0",3677,3144,3596,4757,5567,6827,6787,5622,6306,11506,13506,9836,10859,11822,11409,11505
"24","17","  Real estate and rental and leasing \2\","N1716C0",57939,66414,72823,82177,86860,92926,101498,97750,106397,110220,127269,127432,126373,138469,131071,132970
"25","18","Professional and business services","N1717C0",9761,10821,11678,13666,15107,16586,16862,15594,17035,18877,20399,19579,20811,21468,21676,22184
"26","19","  Professional, scientific, and technical services","N1718C0",7064,7803,8271,9438,10114,11046,11129,9957,10916,11882,13417,12843,13167,13932,14208,NA
"27","20","  Management of companies and enterprises; administrative and waste management services","N1719C0",2697,3018,3408,4229,4993,5540,5732,5636,6118,6994,6982,6736,7644,7536,7468,NA
"28","21","Educational services, health care, and social assistance","N1720C0",4705,5133,5625,6357,7731,8954,9207,8004,8404,9432,11442,11135,11763,12154,10450,10735
"29","22","  Educational services","N1721C0",319,397,408,462,585,629,693,672,803,763,841,836,775,847,844,NA
"30","23","  Health care and social assistance","N1722C0",4385,4736,5217,5895,7146,8326,8514,7332,7601,8669,10601,10298,10987,11307,9606,NA
