"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2014 3:48:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Undistributed corporate profits","B057RC0",32436,27199,36079,46708,66251,75523,70167,91912,109283,134759,153606,131498,118530,88112,99775,109902,92697,50339,88038
"9","2","Domestic industries","A3402C0",29677,24035,32914,42068,58153,67819,62092,84323,101249,123074,135036,112775,104296,71910,76864,85626,66436,28748,56733
"10","3","  Agriculture, forestry, and fishing","A3403C0",56,-50,15,236,509,97,346,306,46,741,587,24,-381,-342,-573,-446,-818,471,1041
"11","4","    Farms","B3404C0",4,-84,-47,120,411,-13,261,135,-91,497,341,-99,-488,-395,-562,-607,-909,74,289
"12","5","    Agricultural services, forestry, and fishing","B3405C0",53,34,62,115,98,110,85,172,137,244,246,123,107,54,-11,161,91,397,751
