"","Table 2#2B# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 30, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2014 11:03:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Wages and salaries","A576RC1",4982.8,4963.8,4936.6,4934.6,4952.5,5000.7,5010.9,5021.5,5030.9,5102,5166.9,5251.6,5281.3,5383.6,5492.1,5530.6,5579.9,5639.7,5737.3,5811,5976.1,6015.2,6060.9,6177.4,6347.9,6370.9,6393.9,6467.9,6539,6531.6,6543.9,6512.9,6230.6,6256.3,6238.9,6279.8,6239.6,6365.5,6426.4,6478.6,6583.6,6615.5,6689.6,6643.9,6861,6877.2,6902.7,7087.4,7034.1,7110.9,7145.3,7208.5,7339.8,7442.3,7519.2
"10","2","Private industries","A132RC1",4178.2,4148.3,4108,4095.2,4090.9,4130.3,4133.1,4138.8,4126.1,4189.6,4251.3,4331.2,4339.5,4433,4536.5,4568.1,4597.4,4652,4742.8,4809.5,4957.3,4987.1,5020.1,5125.3,5271.8,5288.5,5301.5,5363.6,5411.4,5393.7,5392.9,5353,5063.7,5080.3,5061.3,5099.7,5052.1,5168.7,5236.1,5288.8,5392,5416.8,5491.2,5453.6,5661.9,5682.2,5706.7,5884.4,5826.8,5901.4,5939.7,5998.5,6125.3,6222.6,6296.1
"11","3","  Goods-producing industries","N231RC1",1069.8,1054.3,1033,1020.5,1013.2,1017,1009.3,1005.5,996.7,1001.6,1007.1,1036.5,1021.3,1047.3,1074.1,1069.4,1082.9,1090.9,1111.5,1118.3,1170.2,1167.4,1164.2,1182.7,1205.4,1211.1,1205.4,1213.3,1217.4,1210.8,1198.1,1181,1091.2,1056.8,1039.9,1043.9,1023.4,1050.7,1064.3,1074.9,1092.3,1095.4,1112.3,1103.3,1149.8,1154.3,1151.8,1172.6,1180.8,1193,1196.8,1210.6,1238,1257.5,1268.6
"12","4","    Manufacturing","N552RC1",740.2,722.5,701.5,689.3,680.6,686.7,678.7,674.3,668.3,668.5,669.6,690.5,674.7,689.6,707.3,702.8,705.6,706.7,713.5,715.6,739.6,735.8,733.7,741.6,753.5,753.8,749.6,749.8,750.2,746.5,739.7,725.9,674.1,659.2,649.4,662.3,649.2,672.8,682.1,692.2,705.4,704.5,710.9,706,731.9,734.1,731.8,739.9,743,746,747.2,754.1,769.5,781.7,786.2
"13","5","  Services-producing industries","N233RC1",3108.5,3094,3075,3074.8,3077.7,3113.2,3123.7,3133.3,3129.5,3188,3244.1,3294.8,3318.2,3385.7,3462.4,3498.6,3514.5,3561.1,3631.3,3691.2,3787.1,3819.7,3855.9,3942.5,4066.3,4077.3,4096.1,4150.3,4194.1,4183,4194.8,4172,3972.5,4023.5,4021.4,4055.8,4028.8,4118,4171.7,4214,4299.7,4321.4,4378.9,4350.4,4512.1,4527.9,4554.9,4711.8,4646,4708.4,4742.9,4787.9,4887.3,4965.1,5027.5
"14","6","    Trade, transportation, and utilities","N234RC1",853,849.2,844,840.5,842.1,847.5,849.4,848.1,851.5,855.5,864.9,880.7,880.2,899,918.2,922.9,927.8,936.4,949.4,959.2,982.8,988.4,995.3,1009.6,1031.8,1045.3,1040.4,1051.2,1053.3,1047.9,1044.2,1035.7,990.7,983.4,979,985.4,976.4,996.9,1007.7,1014.6,1034.3,1041.1,1052.3,1050.3,1089.8,1085,1091,1110.1,1110.6,1117.2,1122.7,1134.9,1154.9,1175.4,1182
"15","7","    Other services-producing industries \1\","N235RC1",2255.5,2244.8,2231,2234.3,2235.6,2265.7,2274.3,2285.2,2277.9,2332.5,2379.3,2414.1,2438.1,2486.7,2544.2,2575.8,2586.7,2624.8,2682,2732,2804.3,2831.3,2860.6,2932.9,3034.5,3032,3055.7,3099.1,3140.8,3135,3150.6,3136.2,2981.8,3040.1,3042.4,3070.4,3052.3,3121,3164.1,3199.3,3265.4,3280.2,3326.6,3300,3422.3,3442.9,3464,3601.7,3535.4,3591.2,3620.2,3653,3732.4,3789.7,3845.5
"16","8","Government","B202RC1",804.5,815.5,828.6,839.4,861.6,870.4,877.8,882.7,904.8,912.4,915.6,920.4,941.8,950.6,955.7,962.6,982.5,987.6,994.5,1001.4,1018.9,1028.1,1040.8,1052.1,1076.2,1082.5,1092.4,1104.4,1127.6,1137.9,1151,1160,1166.9,1176,1177.7,1180,1187.4,1196.8,1190.3,1189.8,1191.7,1198.8,1198.4,1190.2,1199.1,1195,1196,1203,1207.3,1209.6,1205.6,1210,1214.5,1219.7,1223.1
