"","Table 2#5#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:21:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERG3",9.915,9.495,8.478,7.477,7.211,7.538,7.724,7.795,8.079,7.895,7.819,7.885,8.375,9.418,10.284,10.875,11.31,12.098,13.324,14.078,13.969,14.136,15.098,15.408,15.613,15.746,15.809,16.126,16.616,17.007,17.262,17.546,17.73,17.939,18.148,18.414,18.681,19.155,19.637,20.402,21.326
"9","2","Household consumption expenditures \1\","DPHCRG3",9.802,9.386,8.377,7.379,7.117,7.438,7.624,7.692,7.971,7.79,7.713,7.779,8.265,9.299,10.157,10.743,11.173,11.946,13.147,13.888,13.777,13.937,14.884,15.194,15.395,15.522,15.58,15.888,16.367,16.752,16.864,17.164,17.344,17.548,17.752,18.015,18.272,18.732,19.202,19.95,20.848
"10","3","  Food and beverages purchased for off-premises consumption","DFXARG3",10.132,9.479,7.652,6.256,6.286,7.067,7.628,7.642,7.876,7.277,7.203,7.246,8.017,9.59,11.047,11.343,11.689,12.901,14.855,15.588,14.956,15.027,16.611,17.013,16.682,16.668,16.364,16.482,16.982,17.69,17.507,17.654,17.743,17.877,18.065,18.43,18.802,19.595,19.62,20.215,21.121
