"","Table 5#7#5A# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2014 3:41:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","    Change in private inventories","A014RC1",9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9
"9","2","Farm \1\","B018RC1",0,-0.8,1.7,0.3,1.5,-2.8,3.4,-0.8,4.5,1.4,3.6,-6.1,8.8,5.8,-15.4,5.7,5.8,-1.5,-6.4,-11.9,0,2.4,-1.3,6.3,-6.2,12,-11,8.7,3.3
"10","3","Nonfarm","A015RC1",9.2,2.8,6.6,8.8,14.4,16.8,-9.6,18,17.8,24.4,14.4,-0.2,21,-20.7,9.6,59.7,16.1,8,33.6,30.4,27.7,12.2,0.9,10.1,27,51.8,42.2,22.1,67.7
"11","4","    Change in book value \2\","B016RC1",15.5,9.9,11.3,16.1,36.1,62.1,3.1,34,35.7,51.9,60.8,48.4,50.9,-12.8,14.2,63.8,13.1,-5.3,51.6,58.5,50,28,-6.6,13,30.7,66.4,65.4,21.5,49
"12","5","    Inventory valuation adjustment \3\","B017RC1",-6.3,-7,-4.7,-7.3,-21.8,-45.3,-12.7,-16,-17.9,-27.5,-46.4,-48.6,-29.8,-7.9,-4.6,-4.1,3,13.3,-18.1,-28.2,-22.3,-15.8,7.5,-3,-3.7,-14.7,-23.2,0.7,18.7
"13","6","  Manufacturing","A150RC1",4,0,-1.2,2.7,7.9,10.9,-4.2,8,5.2,9.3,9.3,0,4,-14.1,-0.3,27.4,-6,-4,7.9,16.4,14.1,8.8,-6.8,-4.7,3.5,11.9,14.2,10.1,21.7
"14","7","    Durable goods","A624RC1",3.2,-0.5,-2.1,2.3,7.8,6.9,-4.7,4.8,2.7,8.5,9.9,-0.1,1.6,-11.9,-2,22,-5.8,-5.2,5.2,12.4,10.7,5,-9.6,-8,3.7,9.1,11,9.5,14.3
"15","8","    Nondurable goods","A625RC1",0.8,0.5,0.9,0.3,0.1,4,0.6,3.2,2.5,0.8,-0.6,0.1,2.4,-2.2,1.8,5.3,-0.2,1.1,2.7,3.9,3.4,3.8,2.8,3.4,-0.2,2.8,3.2,0.6,7.4
"16","9","  Wholesale trade","A658RC1",2.2,2.7,2.1,2,1.5,5.4,-2.9,4.7,6.1,7.4,5.2,3.6,4.1,-1.6,0.4,14.4,6.2,7.1,6.7,8.5,4.1,8.2,4.5,8.3,6.3,16.4,14.1,3.1,26.5
"17","10","    Durable goods","A661RC1",1.5,1.3,1.7,1.9,1.8,3.4,-1.2,2.8,3.5,6.1,3.3,3.1,3.5,-2.2,-0.9,10.6,2,3.9,4.3,5.8,2.5,3.8,0.8,3.5,4.3,12.6,13.2,4.2,18.1
"18","11","    Nondurable goods","A664RC1",0.7,1.3,0.4,0.1,-0.4,2,-1.7,1.9,2.6,1.4,1.9,0.5,0.6,0.6,1.3,3.8,4.1,3.2,2.3,2.7,1.6,4.3,3.7,4.8,2,3.8,0.9,-1,8.4
"19","12","      Merchant wholesalers","A151RC1",1.8,2.5,2.3,1.9,1.1,4.5,-3.1,3.9,6.2,7.7,4.5,4.7,2.8,-1.1,0.7,12.7,7,7,7.2,7.3,3.4,7.2,4.6,8.4,6.3,14.5,11.2,2.4,23.8
"20","13","        Durable goods","A626RC1",1.2,1.3,1.8,1.7,1.5,3,-1.4,2,3.9,5.7,2.8,3.5,2.5,-1.9,-0.6,9.6,2.5,4,4.5,4.9,2,3.5,1,4.2,4,11.1,11,3.5,16.1
"21","14","        Nondurable goods","A627RC1",0.6,1.2,0.4,0.2,-0.4,1.6,-1.7,1.9,2.3,2.1,1.7,1.2,0.2,0.7,1.3,3.1,4.5,3,2.7,2.4,1.4,3.7,3.6,4.2,2.2,3.5,0.3,-1.1,7.8
"22","15","      Nonmerchant wholesalers","A152RC1",0.4,0.1,-0.1,0.1,0.4,0.9,0.1,0.8,0,-0.3,0.8,-1.1,1.3,-0.4,-0.3,1.7,-0.9,0.1,-0.5,1.2,0.7,0.9,-0.1,-0.2,0.1,1.8,2.9,0.7,2.7
"23","16","        Durable goods","A628RC1",0.3,0,-0.2,0.2,0.4,0.5,0.1,0.8,-0.4,0.4,0.5,-0.4,1,-0.3,-0.3,1,-0.5,-0.1,-0.2,0.9,0.5,0.3,-0.2,-0.7,0.3,1.5,2.3,0.7,2
"24","17","        Nondurable goods","A629RC1",0.1,0.2,0,-0.1,0.1,0.4,0,-0.1,0.3,-0.7,0.3,-0.7,0.3,-0.1,0,0.7,-0.4,0.2,-0.4,0.3,0.3,0.6,0.2,0.6,-0.2,0.3,0.6,0.1,0.6
"25","18","  Retail trade","A153RC1",2.4,0,5.2,3.5,4.1,-0.8,-3.2,5,4.3,5.6,0,-3,6.3,-2.8,10.2,17,12.2,2.6,17.3,6.6,12.7,-1.6,0.5,4.3,14.5,19.8,12,7.4,13.7
