"","Table 6#12C# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2014 3:46:15 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","     Nonfarm proprietors' income","B046RC0",228075,270406,280222,303745,313018,349741,381324,411705,449546,490460,525992,579474,627671,674045
"9","2","Agricultural services, forestry, and fishing","B1800C0",5666,6350,5941,6611,6861,6952,7263,7857,7989,8240,9122,9579,10156,10528
"10","3","Mining","B1801C0",-1572,2107,4467,4821,1338,2389,3390,3612,3626,6790,9886,8108,6161,9736
"11","4","Construction","B1802C0",42723,45502,46400,46457,45453,49527,54484,61734,65970,71017,72833,79895,93897,103451
"12","5","Manufacturing","A1803C0",11259,12162,13125,11459,11225,12637,14275,17229,19396,18436,19217,20237,21028,22924
"13","6","  Durable goods","B1804C0",6100,6313,6742,4880,5148,6308,7319,8689,9036,8971,9713,10044,9568,10392
"14","7","  Nondurable goods","B1805C0",5159,5850,6383,6579,6078,6328,6956,8539,10360,9465,9504,10193,11460,12532
"15","8","Transportation and public utilities","A1806C0",10046,12346,13329,14024,13199,16110,20673,23354,25627,26395,20078,22913,23448,29272
"16","9","  Transportation","B1807C0",9394,9818,10687,11391,11452,12411,14453,15488,16855,18054,20813,22840,25206,27937
"17","10","  Communications","B1808C0",291,1341,1628,1087,695,1567,3408,5104,5129,3948,-4762,-2104,-3955,-1577
"18","11","  Electric, gas, and sanitary services","B1809C0",362,1187,1014,1546,1052,2132,2813,2762,3643,4393,4027,2177,2197,2912
"19","12","Wholesale trade","B1810C0",10446,11575,11577,13264,13291,13701,13848,15810,16627,18172,18460,21228,22390,23866
"20","13","Retail trade","B1811C0",28859,33835,34740,34524,34398,34877,39125,42630,45596,48874,53249,57519,62171,62376
"21","14","Finance, insurance, and real estate","B1812C0",-13013,-7717,-11264,-5325,363,15118,27288,28819,44530,56673,71436,83541,103813,107564
"22","15","Services","A1813C0",133660,154246,161906,177912,186889,198431,200978,210661,220185,235863,251711,276454,284607,304329
"23","16","  Hotels and other lodging places","B1814C0",-4156,-4384,-4529,-4023,-3368,-1642,-520,-11,1084,1892,2640,3456,2596,2392
"24","17","  Personal services","B1815C0",11976,13404,12568,12999,13216,13634,15576,16406,16995,17510,18846,21494,21862,21900
"25","18","  Business services","B1816C0",30046,34571,37090,42649,41129,44208,42913,47383,49911,56389,61964,67298,71554,78633
"26","19","  Auto repair, services, and parking","B1817C0",8643,9928,9290,8988,9030,8628,9455,10569,10427,11493,10792,11409,9708,9836
"27","20","  Miscellaneous repair services","B1818C0",3469,3658,3951,4266,4490,4558,5491,6362,7220,7719,8416,10270,10872,13299
"28","21","  Motion pictures","B1819C0",3503,4076,3985,3859,3586,3463,3692,3504,3573,3494,3155,3156,3886,3777
"29","22","  Amusement and recreation services","B1820C0",3555,4008,4626,4689,7792,9117,7426,6423,8430,8540,9465,11818,12988,13066
"30","23","  Health services","B1821C0",32011,36129,39039,44925,48853,50657,50002,51724,51479,51749,53226,55527,56125,59203
"31","24","  Legal services","B1822C0",23520,27933,28930,31273,33003,36098,35415,35013,35455,38636,39965,43133,43858,46200
"32","25","  Other \1\","B1823C0",21093,24923,26955,28288,29159,29710,31528,33286,35610,38441,43243,48894,51159,56024
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations; engineering and management services, except for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","commercial research and testing services and for management and public relations; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","miscellaneous services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
