"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 30, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2014 3:43:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      National income without capital consumption adjustment","A422RC1",9077.2,9115.4,9051.3,9044.2,9124.6,9204.6,9274.7,9409.4,9487.3,9597.6,9749,9927.4,10130.4,10311.7,10512.3,10611.7,11061.9,11211.1,11427.8,11654.4,11968.2,12068.6,12184.5,12272.8,12349.1,12448,12449.2,12524.2,12409.5,12448.3,12481.1,12122.8,11985.1,11965.1,12089.9,12319.5,12440.6,12608.4,12792.6,12809,12844.8,13011.7,13205.3,13344.7,13902.9,13955,14034,14250.8,14357.7,14498.2,14639.9,14761.8,14982,15276.2,NA
"10","2","Domestic industries","A423RC1",9036.7,9065.7,9024.4,8954,9073.4,9172.1,9227.9,9345.6,9437.2,9533.7,9685.1,9836.9,10021.5,10227.8,10417.6,10542.6,10959.1,11119.3,11325.5,11581.1,11892.8,11998.2,12127.4,12205.3,12280.4,12357.4,12301.1,12329.3,12229.3,12263.8,12278.9,12001.8,11856.7,11840.4,11910.4,12147.9,12237,12403.1,12592.9,12593.7,12616.7,12780.7,12949.8,13072.9,13664.3,13724.7,13818.9,14025.3,14148.9,14283.3,14409.1,14518.9,14771,15062.8,NA
"11","3","  Private industries","A736RC1",7951.8,7964.6,7898.1,7818.4,7911.5,7997.4,8036.4,8138,8200.3,8283,8424.8,8565.4,8717,8907.6,9086.1,9200.7,9591.1,9744.4,9939.9,10186.5,10472.5,10566.9,10680.8,10745.7,10794.1,10860,10788.3,10802.3,10675.1,10696,10693.9,10405.2,10251.3,10219.9,10281.5,10510.7,10574.2,10717.5,10907.3,10908.4,10930,11086.3,11256.4,11387.8,11968.4,12032.8,12125.8,12325.4,12445.3,12577.4,12706.3,12810.3,13055.8,13342,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",74.1,72.8,74.6,74.2,65.4,62.4,71.1,76.2,76.9,84.2,86.1,90.9,109.1,108.4,98.9,100.7,94.2,94.7,94.6,92.5,93.1,94.8,98.2,102.8,108,104.7,106.3,114.7,123.7,118.2,111.6,109,99.9,101.2,105.5,116.1,113.3,120.7,127.3,131.3,151.4,147.3,156.3,157,161.1,164.1,165.4,167.2,188.9,180.2,184.8,168.7,161,178.6,NA
"13","5","    Mining","N5005C1",111.2,110.4,102.8,85.9,80.8,84.1,87.9,95.6,106.7,107.2,110.3,110.9,122.1,126.8,127.6,140.2,154.7,163.7,175.8,205.6,213.6,206.4,210.3,206.2,188.5,206.6,207.2,217.3,242.6,274.2,286,235.4,175.4,137,126.9,154.9,193.5,177.3,180.4,187.5,189,239.1,247,216.3,239.8,237.3,232.5,243.1,237.1,244,239.2,244.8,273.1,260.5,NA
"14","6","    Utilities","N5006C1",140.4,136.9,143.6,137.1,127.8,133.9,136.4,139.1,137,135.1,137.9,139.7,145.3,148.9,149.9,154.8,158.5,161.3,155.6,172.8,185.9,194,202.5,201.5,198.4,196.5,205.2,186.9,164.2,135.7,237.4,185.1,175.6,178,162.3,190.3,204.2,173.7,193.5,181.5,152.4,186.4,160.9,162.7,176.7,166.8,165.7,160.8,163.4,187.2,186,171.8,209.1,215.7,NA
"15","7","    Construction","N5007C1",507.4,511.7,511.2,504.3,509.8,510.9,512.9,519.5,523.7,520.9,527.4,544.8,548.4,570.1,595.8,607.5,617,639.4,657.6,681.5,719.4,711.3,698.4,684.9,692.7,683.6,671.7,668.4,648,634.4,615.4,596.8,561.1,540,542.6,539.1,528.5,527.3,521.3,516.5,520.2,531.6,543.6,546.7,579.6,584.1,589.2,604.7,618.6,627.5,634.4,641.5,660.3,666.8,NA
"16","8","    Manufacturing","N5008C1",1172.8,1155.4,1099.8,1025.1,1057.6,1071.4,1072,1078.3,1088.1,1082.1,1102.1,1149.9,1152.9,1178.6,1213.7,1229.6,1307.6,1309.7,1331.9,1357.7,1404.7,1424.9,1465.2,1433.4,1455.4,1483.4,1414.7,1463.5,1398.8,1371.6,1416,1354.8,1215.6,1196.4,1203.1,1250,1268.1,1347.9,1398.1,1386.8,1362.4,1392.8,1436.7,1453.3,1559.7,1577.4,1546.7,1566.3,1556.6,1557,1568.1,1630.5,1642.5,1721.4,NA
