"","Table 1#4#3# Real Gross Domestic Product, Real Gross Domestic Pu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:41:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","B191RA3",7.328,6.704,6.275,5.467,5.398,5.98,6.512,7.355,7.73,7.474,8.07,8.781,10.336,12.288,14.382,15.531,15.381,13.6,13.451,14.009,13.933,15.147,16.368,17.034,17.834,17.733,18.996,19.401,19.809,19.664,21.021,21.56,22.111,23.463,24.485,25.897,27.58,29.399,30.205,31.688,32.683
"9","2","Less: Exports of goods and services","B020RA3",2.55,2.108,1.752,1.373,1.381,1.535,1.619,1.701,2.142,2.118,2.236,2.544,2.608,1.722,1.452,1.559,2.185,4.719,5.381,4.238,4.199,3.677,4.506,4.311,4.022,4.217,4.667,5.437,5.911,5.112,5.639,6.617,6.652,6.988,7.488,8.37,8.604,9.198,9.409,10.151,10.646
"10","3","Plus: Imports of goods and services","B021RA3",2.655,2.31,2.015,1.671,1.741,1.779,2.331,2.304,2.593,2.015,2.116,2.168,2.665,2.42,3.051,3.193,3.396,2.814,2.672,3.118,3.008,3.555,3.695,4.02,4.398,4.181,4.685,5.065,5.277,5.528,6.11,6.191,6.15,6.848,7.032,7.406,8.194,9.412,10.098,11.602,12.263
"11","4","Equals: Gross domestic purchases","B712RA3",7.269,6.669,6.256,5.461,5.398,5.963,6.547,7.375,7.717,7.393,7.984,8.652,10.263,12.343,14.586,15.738,15.485,13.129,12.837,13.68,13.593,14.976,16.065,16.817,17.724,17.555,18.814,19.148,19.507,19.533,20.882,21.272,21.809,23.199,24.163,25.481,27.229,29.116,29.982,31.546,32.548
"12","5","Less: Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","B713RA3",7.274,6.803,6.422,5.712,5.547,6.054,6.484,7.316,7.586,7.417,7.959,8.467,9.961,12.22,14.633,15.792,15.585,12.804,12.901,13.416,13.718,14.715,15.693,16.662,17.615,17.603,18.597,18.983,19.442,19.502,20.686,21.102,21.648,22.914,23.892,25.237,26.817,28.546,29.546,31.134,32.132
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","B190RA3",7.329,6.834,6.438,5.714,5.543,6.067,6.447,7.291,7.595,7.494,8.042,8.593,10.028,12.159,14.421,15.576,15.472,13.268,13.509,13.738,14.052,14.877,15.986,16.871,17.716,17.773,18.769,19.226,19.735,19.624,20.815,21.379,21.939,23.166,24.202,25.64,27.153,28.812,29.754,31.26,32.25
