"","Table 8#12# Housing Sector Output, Gross Product, and National I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:24:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","Housing output \1\","A2007C",11.3,10.9,10.2,8.9,7.9,7.6,7.7,7.9,8.4,8.9,9.1,9.4,10.1,10.8,11.3,11.8,12.2,13.6,15.2,17.1,18.9,20.9,23.4,26,28.9,31.2,33.2,35.5,38,40.6,43.6,46.7,49.6,53.1,56.2,59.5,63.3,67.2,71.5,76.9,83.7,90.5,99.2,108.2,118.5,129.4,141.7,155.3,172.7,193.9,217.4,245.3,277.1,301.6,326.2,356.7,392.1,426.8,459.6,493.3,526.6,564.6,593.9,617,641.1,677.7,712.3,742.3,778,825.8,876.4,920.3,976
"9","2","  Nonfarm housing","A2008C",10.4,10,9.4,8.3,7.3,6.9,7,7.2,7.7,8.1,8.3,8.6,9.3,10,10.4,10.9,11.2,12.3,13.7,15.6,17.5,19.4,21.8,24.3,27.1,29.5,31.5,33.7,36.2,38.8,41.6,44.6,47.4,50.8,53.8,57,60.8,64.6,68.7,74.1,80.7,87.3,95.7,104.5,114.7,125.5,137.8,151.2,168.4,189.2,212.5,240.2,271.9,296.6,321.1,351.6,387.2,421.9,454.7,488.5,521.6,559.4,588.6,611.7,635.5,671.9,706.3,736.1,771.6,819,869.2,912.7,968.1
"10","3","    Owner-occupied","AOWNRC",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,200.9,217.9,235.6,257.2,279.3,303.1,328.2,356.1,383.1,410.7,434.1,452.3,475.2,502.6,529.3,555.4,585.5,625,666.4,704.9,751
"11","4","    Tenant-occupied","ATENRC",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.4,107.8,118.9,126.5,132.4,138.5,148.7,154.5,159.3,160.3,169.3,177,180.6,186.1,194,202.8,207.8,217.1
"12","5","  Farm housing","BFARRC",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,3.9,4,4.1,4.3,4.6,4.9,5.1,5.2,5,5.1,5.1,5,4.9,4.9,4.8,5,5.1,5.2,5.3,5.6,5.9,6,6.2,6.4,6.7,7.2,7.6,8
"13","6","Less: Intermediate goods and services consumed","B1027C",1.6,1.5,1.3,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.8,1.8,1.7,1.7,1.8,2.7,3.3,3.7,4,4.4,4.9,5.2,5.6,5.7,5.9,6.2,6.2,6.3,6.5,6.5,6.7,6.9,7.1,7.6,8,8.4,8.7,10.1,11.7,13.2,15,16.8,18.8,20.8,24.5,27.3,30.1,34.6,37.7,36.3,37.8,38,45.2,49.9,55.7,63.7,68.7,71,72.4,79,81.7,77.3,87.6,88.4,89.9,94.4,106,114.5,116.9,116.3,138.4
"14","7","Equals: Gross housing product","A2009C",9.7,9.4,8.8,7.9,6.8,6.4,6.4,6.5,6.9,7.4,7.5,7.7,8.2,9.1,9.6,10.1,10.4,10.9,11.9,13.4,14.9,16.5,18.6,20.8,23.2,25.5,27.3,29.3,31.7,34.3,37.1,40.2,43,46.2,49.1,51.9,55.3,58.8,62.7,66.8,72,77.3,84.2,91.4,99.6,108.7,117.2,128,142.6,159.2,179.7,209,239.3,263.6,280.9,306.7,336.4,363.1,390.9,422.4,454.2,485.6,512.2,539.7,553.5,589.4,622.5,647.9,672,711.3,759.5,804,837.6
"15","8","          Nonfarm housing","B499RC",9,8.7,8.2,7.3,6.3,5.9,5.9,6,6.4,6.8,7,7.2,7.7,8.5,9,9.4,9.7,10.1,11,12.4,13.8,15.4,17.4,19.6,22,24.2,26,28.1,30.4,32.9,35.6,38.6,41.4,44.6,47.4,50.2,53.5,57,60.8,64.8,69.9,74.9,81.7,88.7,96.9,105.9,114.3,125,139.4,155.8,176.1,205.1,235.2,259.4,276.7,302.6,332.3,359,387,418.4,450.2,481.3,507.9,535.4,548.9,584.7,617.5,642.8,666.7,705.6,753.6,797.8,831.1
"16","9","            Owner-occupied","B1300C",5.2,4.9,4.5,3.9,3.4,3.2,3.1,3.2,3.4,3.5,3.6,3.7,4,4.5,4.9,5.4,5.7,5.9,6.5,7.4,8.4,9.6,11.1,12.8,14.7,16.5,18.1,19.8,21.6,23.4,25.6,27.8,29.8,32.1,34.1,36.1,38.5,41.1,43.9,46.6,50.4,53.9,59.2,64.2,70.3,77.3,83.8,91.7,100.8,114.4,131.3,153.7,175.8,192.6,205.2,224.2,242.1,259.4,281.1,307.6,334.3,358.2,377.1,394.2,409.5,435.3,459.8,482.3,504,535.6,576.3,615.5,642.3
"17","10","            Tenant-occupied","B1301C",3.8,3.8,3.7,3.3,2.9,2.7,2.7,2.8,3,3.3,3.4,3.5,3.7,4,4.1,4.1,4,4.2,4.5,5,5.4,5.8,6.3,6.7,7.3,7.7,7.9,8.3,8.8,9.4,10.1,10.8,11.6,12.5,13.3,14.1,15,15.9,17,18.2,19.5,21,22.5,24.5,26.7,28.6,30.5,33.3,38.6,41.4,44.8,51.4,59.4,66.8,71.5,78.4,90.2,99.6,105.9,110.8,115.9,123.1,130.9,141.3,139.4,149.4,157.7,160.5,162.6,170,177.4,182.2,188.8
"18","11","          Farm housing","B1302C",0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.1,1.1,1.2,1.3,1.3,1.2,1.3,1.3,1.3,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.9,2,2.2,2.4,2.5,2.6,2.7,2.8,2.9,3,3.2,3.4,3.6,3.9,4.1,4.2,4.2,4.2,4.2,4.1,3.8,3.9,4,4.3,4.3,4.3,4.6,4.6,5,5.1,5.3,5.6,5.9,6.3,6.5
