"","Table 5#6# Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:03:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Private fixed investment in structures","A349RC",9.4,6.7,4.3,2.1,1.7,2.1,2.7,3.5,4.7,4.2,5.2,6,7.2,4.4,3.2,3.7,5,15,19.9,24.8,23.5,30.1,30,30.4,32.6,34.6,39.7,41.3,40.7,39.5,45.7,45.3,45.6,49.2,52.7,57.4,61.9,62.9,63.2,71.4,79.3,80.5,97.2,115.3,128.6,125.3,122.2,146.3,182.5,220.3,252.8,253.8,283.6,277,301.1,351.1,375.2,388.4,393.8,409.8,419,413.4,369.2,391.8,424.8,466.6,482.9,530.6,576.1,638.5,678.5,731,759.9
"9","2","  Nonresidential","B009RC",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,91.4,114.9,133.9,164.6,175,152.7,176,193.3,175.8,172.1,181.6,193.4,202.5,183.4,172.2,179.4,187.5,204.6,225,255.8,282.4,283.7,314.2,324.5
"10","3","    New","A771RC",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.2,2.2,1.8,2.4,3.2,6.6,7.7,9.3,9,9.9,11.9,12.2,13.5,13.8,14.9,18.2,18.9,17.6,18.2,19.7,19.9,21,21.5,24,28.4,31.3,31.3,33.4,37.5,40.2,42.7,47.2,54.9,61.1,61.2,65.8,74.3,91.1,114.6,133.7,164.5,174.8,152.7,175.8,193,175.5,171.8,181.2,193,202.4,183.5,172.5,179.5,187.4,204.3,224.6,254.3,281.7,283.1,313.5,320.8
"11","4","      Nonresidential buildings, excluding farm","E306RC",2.9,2.1,1.1,0.5,0.4,0.5,0.5,0.8,1.1,0.8,0.8,1.1,1.5,0.7,0.2,0.4,1,3.5,3.3,3.9,3.5,4,5.4,5.2,5.9,6.5,7.5,9.6,9.9,9.1,9.4,10.8,11.5,12.4,12.6,14.5,18.1,19.8,18.9,19.5,22.7,23.5,25.2,28.3,33,35.1,31.8,32,35.4,44.5,59.9,68.5,81.5,90.7,87.2,106.7,125.7,121.1,123.4,131.4,140.1,146.3,121.5,110.8,115.9,125.8,141.3,158,178.9,197.2,201.8,217.9,210.1
"12","5","        Industrial","C307RC",0.9,0.5,0.2,0.1,0.2,0.2,0.2,0.3,0.5,0.2,0.3,0.4,0.8,0.3,0.2,0.2,0.6,1.7,1.7,1.4,1,1.1,2.1,2.3,2.2,2,2.3,3.2,3.6,2.4,2.1,2.9,2.8,2.8,2.9,3.6,5.1,6.6,6,6,6.8,7,6.3,5.9,7.9,10,10.6,10.1,11.1,14,19.2,18.2,22.7,23.5,17.9,19.5,22.9,20.2,20.5,22.9,29,33.8,31.5,29,26.5,28.9,32.5,32.7,33.1,35.6,28.7,28,25.6
"13","6","        Commercial","C308RC",1.1,0.9,0.5,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.4,0.2,0,0.1,0.2,1.2,1,1.4,1.2,1.4,1.5,1.2,1.8,2.2,3.1,3.9,3.6,3.6,4,4.2,4.7,5.2,5.1,5.5,6.8,6.8,6.9,7.8,9.5,9.9,11.8,14.1,16.3,17,13.9,14,16.2,21.1,28.9,35.6,41.6,46.6,45.5,60.4,74.9,71.7,70.9,74.7,76.5,74.5,56.7,51.7,55.5,61.9,70.8,78.7,89.7,100.7,110.1,122.8,118.5
"14","7","          Office buildings \1\","B346RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,6.5,6.8,5.7,5.6,6.3,8.1,11.8,16.7,22.1,29.3,26.9,33.6,41.1,37.5,34.7,36.6,36.9,35.1,28.1,23.6,24.3,25.8,29.8,32.4,39.9,49.1,55.4,64.7,60.5
"15","8","          Other \2\","B347RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,9.7,10.2,8.2,8.4,10,13,17.1,18.8,19.6,17.3,18.6,26.8,33.8,34.2,36.2,38.1,39.6,39.4,28.6,28.1,31.2,36.1,41,46.3,49.8,51.6,54.7,58.1,58
"16","9","        Religious","C309RC",0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1,1,1,1.2,1.1,1.1,1.1,1,0.9,0.8,0.9,0.8,0.9,0.9,1,1.1,1.4,1.7,1.9,2,1.9,2.3,2.7,3.1,3.5,3.7,3.9,4.3,4.1,3.8,3.4,3.8,3.8,4.2,4.4,5.6,6.4,7.2,7.8,8.1
"17","10","        Educational","C310RC",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1,1,1.1,1.1,0.9,1,1.1,1,0.7,0.7,0.7,0.7,0.9,1.1,1.6,1.7,1.9,2.1,2.3,2.7,3.2,4.7,3.8,4.3,4.8,4.9,5.1,5.1,5.6,6.2,7.7,9.8,10.9,10.3,12.4,13.7
"18","11","        Hospital and institutional","C311RC",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.8,1,1,1.3,1.4,1.4,1.3,1.6,2.2,2.6,3.1,3.5,3.6,3.7,3.8,4.1,4.1,4.3,4.6,5.4,6.6,9.2,10.4,10.2,9.3,9.1,9.9,11.6,11.8,13,12.2,12.8,13.9,13.7,12.5,13.1,15.1,15.4,15.1,16.1,16.8
"19","12","        Other \3\","C312RC",0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0,0.1,0.1,0.3,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.7,0.6,0.8,0.8,1.1,1.3,1.6,1.6,1.6,1.9,2.4,2.8,2.8,2.7,1.8,2.1,2.1,2.2,2.9,3.4,2.7,2.1,2.1,2.2,2.9,4.4,5.7,6.9,7.5,9.1,11.7,12.9,13.3,13.7,14.5,14.3,16.1,12.4,8.7,11,12,15.1,21.4,25.5,28.2,30.4,30.8,27.4
