"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 26, 2003     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:15:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8",NA,"Chain-type quantity indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Exports of goods and services","B020RA",14.53,15.59,16.44,18.22,18.35,19.84,24.19,26.49,26.32,27.87,28.57,31.56,34.59,38.3,38.74,35.99,35.11,38.05,39.08,41.96,46.67,54.17,60.56,65.85,70.15,74.47,76.95,83.83,92.45,100,112.27,114.67,118.55,130.09,123.1,121.13
"10","2","Exports of goods \1\","B253RA",14.43,15.57,16.39,18.26,18.18,20.14,24.77,26.73,26.11,27.35,27.71,30.81,34.45,38.55,38.14,34.7,33.7,36.36,37.58,39.51,43.89,52.16,58.74,63.58,68.09,72.73,74.93,82.18,91.97,100,114.51,116.9,121.29,134.98,126.97,122.4
"11","3","  Foods, feeds, and beverages","B638RA",29.28,28.81,28.21,34.04,33.15,39.12,50.65,45.39,48.02,54.49,54.44,67.26,71.35,80.43,82.12,77.15,73.75,71.76,61.05,62.99,67.42,74.08,79.66,79.86,81.4,92.14,91.75,91.58,101.54,100,100.13,99.14,102.97,109.03,112.18,109.72
"12","4","  Industrial supplies and materials","B639RA",27.71,31.52,32.97,36.91,33.37,35.54,43.73,45,39.36,42.51,42.87,47.38,54.25,61.58,57.43,55.69,52.99,55.7,55.8,58.29,59.75,67.36,76.09,79.19,84.78,86.23,83.89,88.66,95.52,100,108.61,107.45,108.71,119.61,114.96,115.43
"13","5","    Durable goods","B686RA",30.83,36.34,40.17,45.7,34.42,36.55,49.61,47.43,39.64,42.06,40.59,49.05,57.57,68.39,55.32,48.32,47.86,48.49,48.24,49.8,54.25,66.1,78.54,80.27,84.44,82.3,79.08,83.77,94.41,100,109.05,110.9,115.05,132.52,121.06,118.63
"14","6","    Nondurable goods","B687RA",26.35,29.35,29.63,32.82,33.06,35.27,41.1,44.07,39.46,42.99,44.25,46.84,52.94,58.59,58.81,59.65,55.83,59.58,59.86,62.84,62.69,68.07,74.81,78.64,85,88.46,86.66,91.46,96.14,100,108.35,105.49,105.11,112.44,111.41,113.41
"15","7","  Capital goods, except automotive","B640RA",6.33,6.53,6.91,7.73,8.07,8.84,11.22,14.01,14.23,14.04,13.81,15.76,18.93,22.09,22.18,19.62,18.92,20.96,23.03,25.13,29.01,36.88,43.35,49.27,54.04,58.99,62.73,72.46,86.31,100,122.84,128.03,135.07,155.85,140.47,128.25
"16","8","    Civilian aircraft, engines, and parts","B688RA",12.04,20.75,17.98,20.6,24.75,21.25,28.14,36.97,32.78,29.26,22.96,55.84,73.46,87.27,78.73,52.16,54.87,48.69,63.29,71.12,76.89,96.57,115.7,132.95,139.48,139.4,117.51,109.94,88.24,100,129.89,166.03,160.56,140.15,145.39,137.15
"17","9","    Computers, peripherals, and parts \2\","B850RA",0.03,0.03,0.04,0.07,0.09,0.11,0.15,0.25,0.28,0.37,0.54,0.84,1.3,2.21,2.74,3.06,4.46,7.12,8.83,10.99,15.47,21.11,23.57,28.1,32.89,39.14,45.79,56.97,76.13,100,131.35,137.09,156.15,195.19,172.4,147.29
"18","10","    Other","B689RA",11.8,11.4,12.18,13.06,13.19,14.75,18.44,22.32,22.87,22.27,21.59,21.58,24.61,27.13,27.11,24.51,21.44,22.71,23.25,24.2,26.74,33.35,39.58,44.24,48.42,53.31,59.42,71.02,88.65,100,119.61,118.86,126.06,151.91,133.48,122.57
