"","Table 6#19B# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:10:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate profits after tax","A055RC0B",23455,19404,25308,22229,20831,21396,21719,27843,28470,27657,23999,30029,28849,28679,32911,35708,40941,49085,52819,50648,52811,51394,46235,54698,65469,84876,94974,93896,114415,135973,161429,182073,166626,159771,132381,154136,171975,158697,136919,187535
"9","2","Domestic industries","A3202C0B",22194,18279,24039,20485,18943,19598,19757,25489,25649,24565,21476,27311,25712,25363,29139,31627,36472,44379,48291,45873,47175,44799,39135,46843,55935,69978,77505,79265,97867,116860,138560,147462,131155,130092,99663,118661,134993,120284,97169,139503
"10","3","  Agriculture, forestry, and fishing","A3203C0B",91,67,86,64,14,-9,30,2,3,5,18,-5,22,23,74,20,47,133,150,57,123,115,-13,87,322,593,211,537,457,342,884,830,224,-2,-62,-312,-145,-404,1102,1348
"11","4","    Farms","B3204C0B",90,71,87,61,11,-12,28,-2,-1,0,-7,-51,-26,-32,6,-30,5,80,87,17,65,42,-62,3,187,484,93,418,252,149,638,553,67,-175,-162,-310,-321,-535,540,500
"12","5","    Agricultural services, forestry, and fishing","B3205C0B",1,-4,-1,3,3,3,2,4,4,5,25,46,48,55,68,50,42,53,63,40,58,73,49,84,135,109,118,119,205,193,246,277,157,173,100,-2,176,131,562,848
"13","6","  Mining","A3206C0B",1146,814,1117,1047,861,797,863,1032,1088,963,791,542,651,721,579,788,823,679,675,545,562,477,660,646,426,1061,2458,2626,2353,1434,599,1652,4524,745,-3164,-4189,-3474,-5975,-5837,-2706
"14","7","    Metal mining","B3207C0B",205,102,198,184,109,143,142,190,203,123,113,-28,64,108,55,103,151,103,177,-92,32,15,101,-14,-39,219,275,-11,136,-62,-166,200,121,-53,-550,-367,-381,-868,-687,-667
"15","8","    Coal mining","B3208C0B",312,116,167,138,94,59,29,86,160,139,105,61,69,95,72,111,150,150,130,138,119,106,311,193,139,253,1350,1215,890,560,201,265,367,536,389,112,222,-117,181,280
"16","9","    Oil and gas extraction","B3209C0B",535,507,646,611,545,487,565,600,573,578,501,413,378,404,346,387,282,245,170,285,228,151,104,277,132,239,405,1044,944,510,-63,468,3274,-329,-3261,-4143,-3809,-5328,-5622,-2965
"17","10","    Nonmetallic minerals, except fuels","B3210C0B",94,89,106,114,113,108,127,156,152,123,72,96,140,114,106,187,240,181,198,214,183,205,144,190,194,350,428,378,383,426,627,719,762,591,258,209,494,338,291,646
"18","11","  Construction","B3211C0B",431,404,363,311,354,290,313,265,432,471,448,406,223,329,518,570,823,1045,1092,1263,1323,1280,1233,1441,1345,1380,1441,1643,2084,3234,4159,4135,3826,2305,1516,1017,1792,3203,5348,8444
"19","12","  Manufacturing","A3212C0B",11991,9476,13299,10956,9591,10355,10517,14334,13956,13305,10451,14110,12699,11829,14161,15853,18412,23336,25111,23156,23437,21101,16062,20005,24599,32262,36118,34848,43891,49157,58661,65004,55023,62875,42000,42894,51110,48967,18367,46959
"20","13","    Durable goods","A3213C0B",5594,4649,6957,5652,4977,5239,5140,7584,6960,6801,4647,6820,5611,5108,7085,8355,9796,13141,13778,12208,12282,10522,5966,9053,12861,16099,14964,13760,18870,23180,28511,26499,12837,11728,-428,8027,20265,17392,11806,23881
"21","14","      Lumber and wood products","B3214C0B",369,203,417,331,249,217,237,359,280,171,242,375,242,251,349,445,546,672,538,556,899,927,469,731,1048,1669,1129,844,1712,2194,3004,3026,1253,-223,-157,1460,1716,1030,1700,3621
"22","15","      Furniture and fixtures","B3215C0B",108,82,134,97,94,79,75,131,137,112,80,98,79,91,127,147,180,245,235,244,259,240,171,195,282,272,229,225,332,432,518,510,442,472,499,703,676,895,932,1034
"23","16","      Stone, clay, and glass products","B3216C0B",336,320,451,380,316,378,457,654,637,576,561,701,550,495,519,615,680,693,616,502,585,601,451,666,840,974,825,811,1205,1503,1706,1889,1118,447,-1337,372,1229,1547,2179,1313
"24","17","      Primary metal industries","B3217C0B",1164,877,1342,1246,908,1175,873,1576,1608,1522,951,1221,1061,732,834,1110,1527,1927,2179,1724,1259,1021,582,616,1057,1865,4290,1929,1812,854,2672,3569,2072,2052,-4842,-4573,-1106,-1342,136,2662
"25","18","      Fabricated metal products","B3218C0B",637,421,671,605,480,491,467,599,612,599,467,542,409,488,641,718,832,1202,1472,1420,1288,1196,711,855,1309,1856,2230,1975,2464,2966,3356,3862,2938,3102,1118,1357,2515,2705,2634,3617
"26","19","      Machinery, except electrical","B3219C0B",1009,762,1011,1007,933,850,821,941,1171,1049,668,1047,858,869,1209,1320,1747,2258,2526,2425,2169,2003,1643,1706,2421,3041,3273,3670,3908,5313,6643,6450,5544,6003,1478,921,2122,2575,-2609,1830
"27","20","      Electric and electronic equipment","B3220C0B",502,398,713,522,557,542,561,571,595,700,613,806,568,535,667,727,772,1381,1678,1568,1363,1021,459,796,1409,1705,934,1498,1765,3310,4095,3676,3847,3519,-204,1363,2177,473,12,2758
"28","21","      Motor vehicles and equipment","B3221C0B",991,1212,1606,948,931,949,906,1972,1105,1229,375,1397,1393,1156,1901,2319,2369,3231,2794,2122,2705,2375,843,2681,3170,3135,567,1020,3917,4877,4627,2608,-3569,130,-190,3605,6013,5823,2594,1352
"29","22","      Other transportation equipment","B3222C0B",142,122,216,172,203,254,386,364,378,427,303,119,14,42,280,354,477,628,675,620,729,114,-133,56,292,376,424,453,167,-40,-133,-1075,-2582,-6080,2049,2170,3124,2568,3906,4575
