"","Table 6#19C# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:10:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Corporate profits after tax","A055RC0C",187535,244775,235258,260928,282555,308446,345000,386713,457478,502700,555197,482260,514315,522924,470858
"9","2","Domestic industries","A3202C0C",139503,188092,171018,188206,208240,239730,268259,309475,365466,401847,444507,380001,394080,379588,320098
"10","3","  Agriculture, forestry, and fishing","A3203C0C",1348,1235,1024,1012,621,1349,1200,681,1174,2214,2384,2395,3896,4071,4490
"11","4","    Farms","B3204C0C",500,572,723,605,302,773,695,-92,121,870,1107,-106,812,NA,NA
"12","5","    Agricultural services, forestry, and fishing","B3205C0C",848,663,301,407,319,576,505,773,1053,1344,1277,2501,3084,NA,NA
"13","6","  Mining","A3206C0C",-2706,-556,-248,919,-56,918,655,2440,3203,6585,8688,727,-550,9268,12812
"14","7","    Metal mining","B3207C0C",-667,260,-172,-218,-176,-157,-560,340,126,-984,-467,-785,-916,NA,NA
"15","8","    Coal mining","B3208C0C",280,617,619,451,250,257,-77,335,39,388,112,-349,-290,NA,NA
"16","9","    Oil and gas extraction","B3209C0C",-2965,-2132,-1249,249,-445,442,1213,1074,2350,6548,8171,843,2351,NA,NA
"17","10","    Nonmetallic minerals, except fuels","B3210C0C",646,699,554,437,315,376,79,691,688,633,872,1018,-1695,NA,NA
"18","11","  Construction","B3211C0C",8444,9816,9305,8704,6360,6318,8261,11341,14565,18761,22385,28502,33557,36054,35662
"19","12","  Manufacturing","A3212C0C",46959,74184,62669,65512,48120,52015,60384,83893,106901,105181,116241,87936,87206,90621,38598
"20","13","    Durable goods","A3213C0C",23881,34012,30960,23514,14542,20639,28662,42936,46493,46875,54407,41975,34495,30215,-2464
"21","14","      Lumber and wood products","B3214C0C",3621,3007,3053,1687,1005,2507,3421,3599,4283,2347,2520,2788,4236,NA,NA
"22","15","      Furniture and fixtures","B3215C0C",1034,819,567,545,672,983,1472,1431,1517,2051,2491,2535,2674,NA,NA
"23","16","      Stone, clay, and glass products","B3216C0C",1313,782,660,828,107,960,913,2566,3429,2965,4742,4339,4792,NA,NA
"24","17","      Primary metal industries","B3217C0C",2662,5784,4354,2012,-194,-920,-770,1970,5467,3230,4125,3380,722,NA,NA
"25","18","      Fabricated metal products","B3218C0C",3617,5117,4551,4230,3462,4356,5372,8626,9391,10513,12711,12215,12107,NA,NA
"26","19","      Industrial machinery and equipment","B3219C0C",1830,7266,8242,7663,1596,2344,1463,2737,6456,6233,6219,6109,-925,NA,NA
"27","20","      Electronic and other electric equipment","B3220C0C",2758,4079,4618,3502,5364,4965,8067,13132,11666,8823,10516,863,-2759,NA,NA
"28","21","      Motor vehicles and equipment","B3221C0C",1352,2747,525,-3464,-5450,-2189,2916,4173,-2274,557,98,560,1791,NA,NA
"29","22","      Other transportation equipment","B3222C0C",4575,1966,1934,2730,4094,3671,3116,1957,2191,3960,4598,4369,6721,NA,NA
