"","Table 5#6#5BM3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"21","11","      Nondurable goods industries","I42WN0",-2444,-2115,1131,4555,5643,4477,2299,1704,1385,-420,-1415,-1707,1408,3696,5127,4602,2161,784,1355,1656,1334,548,-1095,-1917,-349,-237,-825,-2505,-1718,558,66,-1447,-1282,-3328,-5020,-2549,-7154,-8065,-7546,-4548,-2064,-556,621,-934,-3727,-4356,-4029,-483,-1957,-1777,-3361,-3286,-1637,1380,2888,-782,-192,5749,8202,6003,3255,532,-1897,-1517,-1071,-3136,-6144,-11340,-11205,-8252,897,1287,-10200,-11009,-4783,-1046,-249,-2273,-1718,-3547,-2754,-3124,-6206,-2560,-5715,-2576,-1760,-3169,-2319,1716,3886,998,-5274,-10014,-7633,-2628,2605,-3618,-5282,-4330,-2568,-4158,-5992,-8970,-9845,-7295,-1625,-3006,-2001,1373,-26,-3138,-3199,-3735,-4399,-4113,-3053,212,-11531,-26110,-18162,-16839,-14971,-9773,-5335,-1570,-2464,-5172,-10053,-22689,-30966,-31683,-39621,-34834,-30429,-22585,-18866,-20586,-18687,-4626,9430,30663,39565,34826,28933,13494,8399,497,-10179,-15417,-2367,270,-3594,-6906,-9812,-14422,-11912,-1268,623,836,6354,5335,-996,-11921,-23817,-32381,-49851,-43430,-44834,-42085,-37610,-25499,-12339,-6833,-1581,432,-6587,-4646,-5958,-8791,-2568,-4536,-3204,5424,19548,11700
"22","12","    Nonmerchant wholesale industries","I42N0",1992,1968,1476,1716,2124,936,1812,1536,288,924,336,888,1032,1716,2904,864,384,384,-180,1956,1488,1140,1620,1824,780,732,912,108,-360,744,-792,-1308,-660,-816,-900,-1680,-2808,-4164,-4260,-204,1212,-852,-1596,-2124,-1452,-84,-1344,-564,-636,-1140,-360,-936,48,744,348,1476,1260,1128,2292,1608,5424,2796,564,672,636,-36,-1416,-1500,-3660,-3360,-5460,-9612,-2412,-96,-2352,-336,-48,-2172,2148,1452,-936,-2160,-5556,-4524,-4188,-4824,-5580,-5724,-7704,-5748,-2136,-4788,-3516,-3180,-2784,-528,-7008,-5892,-6060,-5256,-5460,-2208,-3036,-2784,-12,216,-2856,-2952,-5688,-6372,-5412,-6240,-6888,-6252,-8364,-7596,-5016,-6072,-5244,-5676,-3756,-5184,-3600,-3372,-2568,-3072,-4236,-2952,-4872,-8124,-9264,-8928,-1560,-2472,-7056,-9468,-10752,-13584,-11772,-4956,2796,17232,23328,23496,4044,432,-1536,-3108,-2736,-3636,-2340,-2832,-5376,-6960,-7608,-8172,-384,-588,-1932,-1836,-420,300,1428,132,-1284,-2652,-3888,-5316,-11508,-14256,-14700,-13032,-9168,-6420,-5256,-5340,-4896,-2400,-1248,-2604,-1140,-3240,-3624,-408,3528,4632
"23","13","      Durable goods industries","I42ND0",864,2052,1116,1140,1776,924,1860,1620,348,1080,468,888,264,828,2064,312,0,-36,-636,1620,1200,816,1212,1212,480,504,852,528,60,1020,-300,-588,96,-24,24,-612,-1044,-2256,-2520,600,1848,324,-348,-1188,-456,1260,24,384,156,-540,-72,-768,24,924,48,348,156,48,852,240,2736,1452,696,1500,684,-492,72,1332,-432,672,-744,-4104,-960,2340,132,1308,1236,-516,2148,1704,192,-768,-3732,-2424,-2724,-2748,-3744,-2844,-4344,-3264,-468,-2712,-192,144,-936,1056,-3696,-2244,-1872,-1596,-2808,756,-300,-108,2568,3528,-804,-924,-1440,-2652,-2664,-2952,-3216,-2316,-3816,-3384,-1284,-2736,-1128,-1092,-1548,-2292,-684,-1356,-912,-540,-1548,-144,-528,-744,-684,-888,2364,528,-2124,-3684,-4164,-5640,-3528,-2256,792,5412,6984,9648,3204,1920,1788,1092,1704,900,2052,996,-456,-996,-696,-192,552,-192,-1368,-1392,-1680,-1188,804,792,96,-780,-1308,-1332,-3000,-3708,-3612,-3240,-2340,-1872,-996,-1152,-1008,372,972,324,-276,-1416,-1440,-132,792,1140
"24","14","      Nondurable goods industries","I42NN0",1128,-84,360,576,348,12,-48,-84,-60,-156,-132,0,768,888,840,552,384,420,456,336,288,324,408,612,300,228,60,-420,-420,-276,-492,-720,-756,-792,-924,-1068,-1764,-1908,-1740,-804,-636,-1176,-1248,-936,-996,-1344,-1368,-948,-792,-600,-288,-168,24,-180,300,1128,1104,1080,1440,1368,2688,1344,-132,-828,-48,456,-1488,-2832,-3228,-4032,-4716,-5508,-1452,-2436,-2484,-1644,-1284,-1656,0,-252,-1128,-1392,-1824,-2100,-1464,-2076,-1836,-2880,-3360,-2484,-1668,-2076,-3324,-3324,-1848,-1584,-3312,-3648,-4188,-3660,-2652,-2964,-2736,-2676,-2580,-3312,-2052,-2028,-4248,-3720,-2748,-3288,-3672,-3936,-4548,-4212,-3732,-3336,-4116,-4584,-2208,-2892,-2916,-2016,-1656,-2532,-2688,-2808,-4344,-7380,-8580,-8040,-3924,-3000,-4932,-5784,-6588,-7944,-8244,-2700,2004,11820,16344,13848,840,-1488,-3324,-4200,-4440,-4536,-4392,-3828,-4920,-5964,-6912,-7980,-936,-396,-564,-444,1260,1488,624,-660,-1380,-1872,-2580,-3984,-8508,-10548,-11088,-9792,-6828,-4548,-4260,-4188,-3888,-2772,-2220,-2928,-864,-1824,-2184,-276,2736,3492
"25","15","Retail trade industries","I440",7360,7514,5455,3124,2926,4539,5224,4285,3107,2124,819,46,31,2583,3369,1810,173,-195,1240,4181,6126,4893,2952,1500,804,4710,4863,2674,2001,-7,-3574,-6889,-9602,-10409,-10600,-10000,3854,1435,519,1800,-2735,-7963,-3606,785,-1043,-5043,-6966,-6244,-1248,-1110,2281,-1854,-2357,3495,5420,1684,1080,6944,7053,3626,7744,3698,-108,76,2139,1523,-265,-429,-1070,-833,1551,5940,-89,-2364,-243,3648,4640,1590,-749,-2047,-1848,-550,-469,-321,4138,4305,1888,-4107,-8304,-7646,-6078,-5847,-9271,-14304,-14596,-11220,-9311,-10355,-9825,-6613,-3616,-3820,-6001,-7643,-7811,-3137,776,1070,-7373,-7524,-9064,-10137,-8293,-5945,-3987,-1041,2437,1185,-1980,-2516,-5671,-9070,-10768,-9715,-6816,-4568,-3760,-4961,-8126,-11006,-12388,-11156,-21400,-20141,-17754,-15481,-16608,-17465,-14433,-11691,-6722,5555,17956,20047,7592,5232,7565,5438,-346,-3731,-3272,-4436,-5974,-9212,-13620,-16770,-10113,-7128,-5552,-5278,-4487,-5281,-7341,-9291,-11002,-11280,-11037,-11063,-12982,-14381,-15189,-15813,-14799,-14428,-14570,-14331,-13972,-9381,-4238,-2848,-7260,-7620,-6828,-4992,-3792,-5628
"26","16","  Motor vehicle and parts dealers","I4410",-397,-260,-155,-138,357,1259,2182,2576,2056,1151,893,1265,2738,1988,1397,1159,952,537,-1,-458,-510,-912,-1437,-1338,-832,1834,2648,1528,-525,-1692,-1665,-1619,-2624,-3698,-3557,-2134,-632,132,553,45,-1667,-2686,-1396,-318,-668,-1898,-2021,-2238,-944,-2622,625,-1750,-2069,1695,2408,819,905,3897,2419,114,2200,1268,1459,2127,2275,1621,787,1078,1242,627,-269,1089,2753,591,-2791,-3037,411,2957,2840,2495,2915,3978,3997,3699,3397,2545,856,-1009,-2341,-2747,-2666,-1949,-2278,-3514,-4278,-3740,-3542,-2713,-1805,-1004,-889,-1224,-1795,-1792,-2560,-1611,1376,4673,1576,-38,-2301,-3630,-3555,-3278,-2748,-1356,694,100,-289,-450,1257,1311,1493,1259,466,-521,-1660,-3172,-3566,-2451,-1760,-2303,-2252,-2458,-2352,-1874,-1412,-1195,-1162,-1789,-1712,-552,1901,3219,3308,2462,2430,2652,1811,146,-1233,-1941,-1375,-1711,-1789,-1904,-2123,-2328,-2157,-1584,-1205,-1278,-2045,-2851,-3127,-1544,627,1866,532,-1020,-2031,-3133,-4569,-5966,-6206,-5094,-2964,-232,2000,2831,1740,1176,216,-1236,-2868,-3995
"27","17","  Food and beverage stores","I4450",275,277,464,342,350,-68,-338,-108,40,48,152,79,-847,-717,-537,-549,-331,3,163,86,216,364,702,1248,-937,-161,836,1084,566,-42,-27,-398,-1658,-1904,-954,-425,625,445,73,-415,-604,-271,371,566,150,-584,-667,-272,-1755,-1650,-1444,-990,-573,-535,-501,-208,-245,-431,-194,48,873,1103,1093,1110,1144,711,-83,-335,-183,-157,-351,-149,-1908,-1931,-1632,-1398,-1412,-1140,-648,-448,-555,-546,59,831,-623,-202,-517,-1296,-1599,-772,280,277,-536,-1222,-1072,-146,600,-244,-877,-951,-495,141,483,205,-456,-1044,-1445,-1785,-435,-60,180,-41,-513,-467,-344,-495,-465,-20,625,836,-1150,-1497,-1401,-913,183,798,607,102,-670,-1402,-1643,-1524,-1693,-1370,-1137,-1166,-1324,-1844,-2330,-2146,-1584,-842,-94,627,1263,679,-9,-446,-580,-526,-484,-382,-383,-610,-797,-427,-2416,-1487,-924,-786,-69,296,21,-631,-1059,-1175,-1045,-645,-4515,-3383,-2275,-941,-335,-460,-840,-749,-229,149,445,533,-72,288,72,-276,-300,-338
"28","18","  General merchandise stores","I4520",2666,3127,1481,-47,-96,866,983,-137,-573,-1187,-2467,-3945,-2734,-1836,-857,-370,-239,-237,-252,74,793,1341,1260,885,779,981,1391,1859,1613,847,134,-432,-1054,-1389,-1570,-1684,69,589,1164,1525,948,-12,-94,189,387,324,-142,-195,-1519,-1095,-610,-215,132,437,828,1180,1300,1009,518,14,2767,1755,213,-679,-918,-909,-582,-720,-1134,-929,51,1638,804,742,946,1089,1007,631,241,-114,-635,-1357,-1669,-1338,396,434,236,-218,-560,-540,-209,140,248,142,-50,-321,-2073,-1405,-1016,-781,-542,-501,-375,53,562,952,1192,1725,1523,1162,1181,1022,665,260,-361,-943,-1387,-1882,-2453,-3096,-2350,-1992,-1747,-1461,-1091,-778,-455,-133,101,377,687,1101,-5799,-4782,-3873,-2964,-2095,-769,829,1769,2053,2189,2178,2120,-372,78,242,-16,-466,-683,-410,-44,-153,-718,-1820,-2967,-2203,-2120,-1963,-1889,-1946,-2184,-2313,-2301,-2564,-3282,-4047,-4580,-731,-1047,-1677,-2380,-2305,-1993,-2000,-2429,-2828,-2476,-1788,-1276,-840,-924,-840,-612,-480,-454
"29","19","  Other retail stores","I44Y0",4816,4370,3664,2968,2314,2482,2398,1954,1585,2112,2241,2648,875,3148,3365,1569,-209,-499,1329,4479,5627,4100,2427,705,1794,2055,-13,-1797,346,880,-2016,-4439,-4266,-3419,-4519,-5757,3793,269,-1272,645,-1412,-4994,-2486,348,-912,-2885,-4137,-3539,2971,4256,3710,1100,153,1898,2685,-107,-881,2469,4310,3450,1904,-427,-2872,-2482,-361,100,-386,-451,-995,-374,2120,3361,-1738,-1765,3234,6995,4633,-858,-3182,-3980,-3574,-2625,-2856,-3512,968,1528,1312,-1584,-3805,-3587,-3483,-4315,-6704,-9710,-9196,-7014,-4296,-5992,-6127,-3877,-1690,-2236,-4314,-6110,-5357,-1435,-347,-3543,-10037,-8587,-8124,-7488,-4890,-2459,-534,1753,3596,2988,137,194,-3427,-6892,-9113,-8600,-6374,-4067,-2252,-1759,-3991,-7531,-9673,-8430,-11655,-11532,-10391,-9476,-11777,-13657,-11769,-9524,-5480,4759,13971,14082,3394,2013,4901,3248,-1111,-2667,-1145,-2069,-4063,-6173,-9215,-11472,-3372,-1193,-507,-1019,-1268,-2116,-3004,-3507,-4252,-5280,-6572,-7703,-8267,-8930,-9206,-9359,-7590,-6009,-5524,-6059,-7951,-6821,-4897,-4937,-8088,-8160,-6276,-2868,-144,-841
"30","20","Other industries","IOTH0",461,597,855,1013,1202,1368,302,297,233,-101,-325,-627,1416,1525,1302,894,750,717,493,331,401,597,196,27,1015,781,642,-920,-859,-745,-1347,-1359,-1117,-922,-730,-558,-4737,-4031,-3517,-1935,-1201,-566,102,629,1193,674,950,994,-1429,-1277,-1124,-1041,-989,-999,1149,1101,1052,2838,2754,2644,1414,1137,1045,169,46,-36,364,551,565,-147,205,327,-1183,-1133,-1073,537,514,657,-622,-609,-609,402,425,471,-179,-124,-79,-268,-244,-259,-404,-517,-769,-2230,-2282,-2348,-1954,-2446,-2502,-1477,-1659,-1950,-4574,-4403,-4178,-501,-203,106,-2395,-1978,-1821,-4213,-3886,-3409,-2387,-1972,-1474,-1399,-894,-410,-3825,-3787,-3839,-2269,-2263,-2215,-2023,-2018,-1948,-6402,-6175,-6075,-6842,-6726,-6663,-5860,-5750,-5684,-3911,-3830,-3882,6244,6101,6037,2421,2421,2421,-1348,-1348,-1348,-222,-222,-222,-2847,-2847,-2847,-1415,-1415,-1415,518,518,518,-1870,-1870,-1870,-5786,-5786,-5786,-6875,-6875,-6875,-2608,-2608,-2608,-2413,-2413,-2413,-3161,-3161,-3161,-3576,-3576,-3576,572,572,572
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
