"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2012 4:12:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Private fixed investment in structures","A349RX0",787766,843983,878945,936943,970982,1006745,1003406,960032,997628,1066571,1116920,1093379,1020661,919293,718933,643230,648070
"9","2","Nonresidential","B009RX0",342027,361407,387913,407721,408207,440048,433329,356596,343011,346728,351754,384046,438208,466409,368141,310626,319156
"10","3","  Commercial and health care","W001RX0",126713,136491,150831,160220,166060,177186,168601,142792,133791,137114,135923,144163,158588,152713,105850,79390,77599
"11","4","    Office \1\","W031RX0",44221,47179,55152,64594,68648,76603,70582,48912,41180,41697,42838,47786,53006,52498,34345,23010,20850
"12","5","    Health care","W032RX0",23739,24513,27826,27373,27222,27573,26466,29824,31309,32027,32072,33189,35230,37264,35702,31270,30030
"13","6","      Hospitals and special care","C311RX0",18809,19264,21461,21096,19958,20398,20178,23270,23470,22751,23032,25762,27329,28305,28086,25688,24425
"14","7","        Hospitals","W033RX0",14794,13749,15981,14620,14057,14439,15357,18560,19705,19689,20541,22717,24286,24791,24997,22780,21388
"15","8","        Special care","W034RX0",4011,5512,5477,6471,5897,5955,4819,4709,3765,3061,2491,3045,3043,3514,3089,2908,3037
"16","9","      Medical buildings","W035RX0",4936,5253,6367,6278,7264,7175,6289,6556,7840,9277,9040,7428,7901,8959,7616,5582,5605
"17","10","    Multimerchandise shopping","W036RX0",17073,18871,16773,17650,19747,18807,20099,18699,18001,20662,22750,27184,30541,26854,15130,10553,11066
"18","11","    Food and beverage establishments","W037RX0",10198,10562,11787,12107,10698,11050,10728,9470,9754,9031,7795,6924,7072,6742,3996,3883,4374
"19","12","    Warehouses","W038RX0",13056,15973,17083,16666,17505,18426,18984,14085,14222,13069,12827,13481,14857,14029,8002,4783,5271
"20","13","    Other commercial \2\","W039RX0",18513,19465,22328,22049,22482,24982,21979,21864,19298,20621,17641,15575,17855,15303,9246,6810,6892
"21","14","  Manufacturing","C307RX0",51727,54388,51947,53695,44788,46192,44910,26221,24294,25488,29887,32952,38955,48606,50860,36807,36945
"22","15","  Power and communication","W003RX0",45366,39034,37626,44170,52104,60084,61977,60477,55690,46211,45152,48690,67767,73965,74461,62490,56797
"23","16","    Power","W028RX0",31447,24493,22537,29319,29337,37510,39158,39476,39794,29902,26306,29366,45079,52704,58310,48979,44530
"24","17","      Electric","C571RX0",19343,14974,14776,16617,19610,28440,29833,28690,28802,21751,19192,21334,29210,31169,33783,28708,24919
"25","18","      Other power","W029RX0",12843,10116,8079,13717,10075,8797,9010,10787,11019,8155,7114,8034,16139,22161,25280,20874,20228
"26","19","    Communication","C314RX0",14255,14540,14954,15029,22475,22506,22779,21038,16124,16358,18846,19362,23033,21754,16591,13880,12604
"27","20","  Mining exploration, shafts, and wells","E318RX0",52641,56098,65987,57714,48840,60958,71874,52571,60003,69857,77064,88270,93611,101504,66146,77307,94756
"28","21","    Petroleum and natural gas","C319RX0",50622,53667,64356,56853,48024,59842,71428,49667,58083,66840,73530,83545,89595,97635,63088,73564,90345
"29","22","    Mining","C320RX0",1931,2173,2016,1488,1302,1671,1524,2689,2101,3038,3534,4788,3862,3570,3000,3716,4324
"30","23","  Other structures","W004RX0",59185,69603,78951,83168,83284,85760,81731,68924,66549,67449,63728,69589,80288,90434,73909,54191,50570
"31","24","    Religious","C309RX0",6305,6463,7978,8835,9517,9983,10045,9849,9815,8813,7715,7129,6616,6199,5549,4923,3909
"32","25","    Educational and vocational","W044RX0",9234,11049,13762,14637,13442,15720,16578,16508,16253,14582,13794,13543,14431,14829,13436,11043,10955
"33","26","    Lodging","W045RX0",13153,19731,22613,25145,25965,25410,21663,15347,14130,16044,15692,20111,29945,37740,28257,13045,9495
"34","27","    Amusement and recreation","W046RX0",12734,13559,14492,14113,15049,13232,11309,10607,10711,10940,9010,10308,10759,10863,9059,7314,7816
"35","28","    Transportation","W047RX0",5877,6964,7652,8807,7736,7933,7830,7374,6963,7021,7121,8371,8492,9071,8186,8873,8684
"36","29","      Air","W048RX0",1144,1396,1424,1589,1766,2459,2604,1707,1266,1122,907,817,876,785,512,365,553
"37","30","      Land \3\","W049RX0",4749,5592,6239,7224,6018,5585,5350,5718,5715,5906,6214,7561,7620,8301,7696,8528,8160
"38","31","    Farm","C316RX0",4527,5372,5429,5878,6661,7550,6198,6649,5869,5957,5854,5358,5534,7086,5962,5628,6377
"39","32","    Other \4\","W050RX0",7300,6038,5222,5225,4564,5346,3932,2795,3142,3594,3126,3707,3833,3551,2421,2670,2469
"40","33","    Brokers' commissions on sale of structures","C321RX0",1893,2079,2253,2416,2464,2594,2441,2096,2017,2089,2242,2599,3229,3706,3241,2521,2540
"41","34","    Net purchases of used structures","E322RX0",-1871,-1605,-309,-1824,-1912,-1841,1875,-2300,-2342,-1566,-827,-1533,-2583,-2584,-2231,-2181,-2138
"42","35","Residential","A012RX0",450068,486818,496277,534482,567471,572561,575605,605911,655877,720140,765166,708085,574248,434941,336129,322957,317950
"43","36","  Permanent site","A943RX0",268679,293896,295489,323544,347586,350399,352455,366648,402518,449108,480808,438819,326625,216838,130097,124858,120153
"44","37","    Single-family structures","A944RX0",240190,262402,261560,290125,311507,314980,315436,327656,362590,406099,433510,391116,283988,178407,105450,114543,109296
"45","38","    Multifamily structures","C292RX0",28325,31317,33739,33362,36007,35402,36935,38885,39910,43008,47298,47608,42152,37067,23587,11847,12148
"46","39","  Other structures","A863RX0",180886,192642,200182,210640,219793,222055,223051,238979,253233,271019,284358,269320,248189,218775,206610,198653,198303
"47","40","    Manufactured homes","A945RX0",16013,17693,18296,19137,18140,13719,10959,11473,9369,9098,10110,8002,6562,5350,3115,3034,2916
"48","41","    Dormitories","C295RX0",768,883,1181,1393,1777,1807,1973,1886,2059,1803,1537,1944,2706,3644,2503,1686,2215
"49","42","    Improvements","A946RX0",119123,124264,126550,128048,133379,137804,140841,150033,156966,160039,164434,163653,158181,145806,141994,138089,136197
"50","43","    Brokers' commissions on sale of structures","A758RX0",47106,52526,57777,66533,71305,70833,71914,79965,89323,102670,109855,98321,84084,68036,62000,59087,59866
"51","44","    Net purchases of used structures","A759RX0",-1919,-2637,-3599,-4487,-4727,-1743,-2285,-4146,-4422,-2605,-1578,-2697,-3725,-4928,-4087,-4469,-3827
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RX0",744450,795392,824285,875621,905102,938343,930649,885077,913393,966021,1007228,996446,938920,853476,660223,588946,592466
"54","46","    Nonresidential structures","A771RX0",342180,361040,385922,407209,407729,439370,428774,356868,343408,346230,350339,382973,437551,465337,367238,310313,318772
"55","47","    Residential structures","A756RX0",405700,437688,442599,472767,501220,503903,506371,530278,571056,620072,656889,612405,494006,372156,279378,269366,263209
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","constructed by power utilities for their own use. Includes all financial buildings.  Medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","industries.  Consists of auto dealerships, garages, service stations, drug stores,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","restaurants, mobile structures, and other structures used for commercial purposes.  Bus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
