"","Table 3#24U# Federal Grants-in-Aid to State and Local Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1993 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2012 4:12:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","      Federal grants-in-aid to state and local governments","B089RC0",156748,159848,165464,173960,171464,172032,175608,181192,185148,185096,185592,181028,185832,195076,193352,190120,194364,194924,197048,207292,208060,208744,213480,220120,227220,226012,237108,241260,237936,242592,254572,254108,267092,277796,273928,285524,289104,303636,308536,315368,310828,341692,345600,353900,339644,349264,347828,359992,356404,359940,362364,366208,354644,360976,365080,355468,377320,381640,382108,381940,386788,396268,394060,404804,438728,500824,487588,503124,514156,519408,543096,547668,517940,527640,480076,465552,455268,466864
"10","2","General public service","G170560",868,876,880,1016,1032,1048,984,1416,988,888,992,1220,1996,2024,2264,2212,3692,2216,2000,1820,2388,2280,2460,2412,4036,4676,3728,2068,2004,1936,1832,2680,2600,2148,2088,2808,1956,2712,2124,3284,2860,16716,7564,22712,2888,2712,3440,2888,2844,3700,3440,2272,2052,2396,2368,2632,3036,2300,2868,2740,2332,2592,2452,2064,1696,2000,2280,2564,2236,2380,2320,2720,2384,2268,2356,2844,2896,3460
"11","3","National defense","G170570",2756,3072,3072,3012,2752,2724,2944,2832,2720,2668,2648,2824,2588,2740,2720,3036,2660,2812,2816,3344,2816,3048,3104,3496,2880,3048,3132,3732,3132,3216,3236,3064,2860,2944,2932,2984,2992,3072,3164,3532,3132,3632,3576,4340,3056,3668,3884,4080,4476,3856,3768,3708,3792,3724,3684,3884,3324,3828,4088,4112,3892,4020,4496,4032,3584,3812,4264,3968,3808,4092,4316,4124,3952,4076,4376,3868,3952,3924
"12","4","Public order and safety","G170580",1156,1124,924,1060,1064,1276,1064,1104,1352,1228,1432,968,1228,1084,1312,1636,3272,2140,2040,2616,3700,3764,3964,2532,3716,4072,3684,4088,4576,4048,3936,5472,5532,4540,4556,5064,3704,4924,3872,2728,2616,2492,2456,3984,3452,3708,4632,4324,5024,5036,5660,5860,5516,6684,5860,5196,5244,5304,5388,5752,5296,6352,5700,6264,3604,7036,7924,7852,6500,7152,7680,7720,5532,7364,7372,8180,6360,7152
