"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars; quarters and months are seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2012 4:09:22 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Personal consumption expenditures","DPCERX0",6076241,6288295,6520426,6862347,7237648,7604649,7810331,8018254,8244499,8515775,8803525,9054454,9262896,9211714,9032601,9196162,9428842
"9","2","Goods","DGDSRX0",1895984,1980882,2075335,2215543,2392012,2518195,2597293,2702854,2827208,2953276,3076726,3178921,3273454,3192897,3098183,3209148,3330964
"10","3","  Durable goods","DDURRX0",510453,548555,593341,665643,752033,818004,862409,927892,989131,1060938,1123352,1174215,1232443,1171809,1109109,1178250,1262592
"11","4","    Motor vehicles and parts","DMOTRX0",255593,267989,286114,316030,345121,356103,374302,394008,404755,410435,408191,394384,401435,346828,322635,329453,347441
"12","5","      New motor vehicles (55)","DNMVRX0",144650,147195,155059,172343,192341,202823,222621,239623,251164,253675,248894,234558,237290,191278,169463,178204,198003
"13","6","        New autos","DNEARX0",79620,78057,78518,83493,92480,97140,96186,94602,91652,92785,97448,99083,95589,85578,71279,67665,76223
"14","7","          New domestic autos","DNDCRX0",54695,54298,51164,54788,60083,63638,64081,63283,60703,59800,63204,62293,59880,52900,45805,43185,50233
"15","8","          New foreign autos","DNFCRX0",24925,23760,27354,28705,32398,33502,32106,31319,30948,32985,34244,36790,35709,32679,25474,24479,25990
"16","9","        New light trucks","DNWTRX0",65027,69201,76653,88987,100009,105835,126493,145034,159487,160866,151447,135379,141750,105326,98127,110848,122078
"17","10","      Net purchases of used motor vehicles (56)","DNPVRX0",74115,81686,90188,101888,108805,108522,108159,111054,109516,111351,112707,113416,117602,112035,114276,109979,107342
"18","11","        Used autos","DNPURX0",51767,53724,56252,60139,60506,59440,57491,56985,55216,54941,55674,54246,53382,51463,48551,47069,46512
"19","12","          Net transactions in used autos","DNETRX0",26959,28540,31051,34787,35074,33553,30681,33225,31532,31135,31428,30199,29759,28740,29348,28193,27214
"20","13","          Used auto margin","DMARRX0",27441,27575,27206,26912,26921,27550,29062,25342,25378,25568,25981,25725,25260,24295,20590,20315,20695
"21","14","          Employee reimbursement","DREERX0",-1973,-1947,-1881,-1814,-1768,-1717,-1788,-1694,-1713,-1761,-1735,-1676,-1636,-1571,-1451,-1495,-1493
"22","15","        Used light trucks","DUTRRX0",22544,28128,34095,41904,48416,49182,50726,54092,54309,56410,57033,59168,64217,60573,65668,62859,60777
"23","16","          Net transactions in used trucks","DUTNRX0",12591,16535,20905,27156,32218,32457,33274,36897,35809,37235,38015,40049,44460,42852,48612,45314,43221
"24","17","          Used truck margin","DUTMRX0",10818,12268,13700,14939,16179,16782,17572,17037,18500,19173,19018,19117,19777,17737,17049,17468,17440
"25","18","      Motor vehicle parts and accessories (58)","DMVPRX0",37646,40141,41951,42677,44615,45236,43593,43278,44003,45362,46590,46361,46521,43205,39265,41333,42827
"26","19","        Tires","DTATRX0",16012,16505,16667,16660,16852,16821,16603,16632,17499,18621,19840,20175,20855,19982,18496,19479,19935
"27","20","        Accessories and parts","DPAARX0",21554,23588,25265,26011,27775,28433,26999,26651,26501,26739,26750,26187,25673,23241,20793,21880,22916
"28","21","    Furnishings and durable household equipment","DFDHRX0",133059,138824,145328,157311,175550,192480,202267,217009,229124,247209,261281,272543,274350,262773,240696,257498,272526
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",75953,79955,85038,91749,101603,111772,116514,124345,130888,142335,153002,161200,165067,157085,142670,153783,162877
"30","23","        Furniture","DFNRRX0",46595,49372,53362,57869,63648,70382,73468,78509,80414,85908,91341,93417,94225,87981,78392,84355,88163
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11594,12494,13269,13963,15596,17463,18306,19753,22039,24309,26673,31295,34898,36327,35763,39746,44530
"32","25","        Carpets and other floor coverings","DFLRRX0",13430,13042,12833,13812,15586,16722,16833,17449,18854,21191,22519,23238,22760,20641,17598,17916,18185
"33","26","        Window coverings","DWCTRX0",4986,5414,5781,6399,7109,7481,8092,8759,9589,10942,12469,13424,13789,13336,12688,14064,15166
"34","27","      Household appliances (part of 33)","DAPPRX0",23827,24069,23944,26177,29555,32181,33988,36143,38061,41947,43301,43538,42168,40746,37180,39524,41245
"35","28","        Major household appliances","DMHARX0",21013,21139,21063,23230,26353,28802,30430,32353,33800,37127,38006,37864,36214,34668,31442,33216,34474
"36","29","        Small electric household appliances","DSEARX0",2782,2883,2840,2937,3213,3407,3589,3823,4275,4828,5295,5680,5988,6143,5817,6412,6897
"37","30","      Glassware, tableware, and household utensils (34)","DUTERX0",20625,21773,22720,24520,28209,31560,34144,38158,40380,41513,42650,44754,44554,42903,40464,43143,46826
