"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross value added of corporate business \1\","A451RC1","561,667.0","572,511.0","583,219.0","589,243.0","588,158.0","596,408.0","604,314.0","602,126.0","626,639.0","639,781.0","651,617.0","666,397.0","689,123.0","705,085.0","722,010.0","750,660.0","776,997.0","791,606.0","808,861.0","832,741.0","840,557.0","862,443.0","883,112.0","893,350.0","898,200.0","921,449.0","964,065.0","994,056.0","1,033,723.0","1,049,442.0","1,072,958.0","1,095,434.0","1,129,172.0","1,188,726.0","1,236,426.0","1,266,127.0","1,291,968.0","1,369,371.0","1,397,255.0","1,445,752.0","1,480,304.0","1,511,569.0","1,544,207.0","1,580,019.0","1,619,253.0","1,618,116.0","1,663,004.0","1,751,633.0","1,819,753.0","1,865,054.0","1,932,949.0","1,938,038.0","1,937,551.0","1,967,907.0","1,982,505.0","1,981,428.0","2,024,017.0","2,086,504.0","2,146,065.0","2,210,027.0","2,296,869.0","2,357,426.0","2,394,239.0","2,436,617.0","2,471,818.0","2,505,080.0","2,552,949.0","2,576,068.0","2,612,373.0","2,621,730.0","2,642,964.0","2,685,484.0","2,731,422.0","2,801,385.0","2,869,589.0","2,928,053.0","2,967,113.0","3,036,132.0","3,091,632.0","3,167,163.0","3,185,364.0","3,211,017.0","3,248,055.0","3,273,511.0","3,318,518.0","3,388,546.0","3,401,612.0","3,399,230.0","3,423,578.0","3,452,971.0","3,483,790.0","3,509,288.0","3,579,652.0","3,625,458.0","3,644,609.0","3,719,093.0","3,722,283.0","3,797,423.0","3,837,847.0","3,935,262.0","4,003,035.0","4,071,687.0","4,144,812.0","4,222,651.0","4,264,075.0","4,316,369.0","4,403,986.0","4,445,650.0","4,513,078.0","4,595,476.0","4,660,455.0","4,730,950.0","4,839,389.0","4,917,809.0","5,034,303.0","5,124,187.0","5,164,148.0","5,253,542.0","5,359,376.0","5,419,933.0","5,526,527.0","5,575,668.0","5,639,355.0","5,756,491.0","5,946,568.0","5,983,025.0","6,070,368.0","6,065,707.0","6,078,133.0","6,068,260.0","6,007,085.0","5,985,324.0","6,039,965.0","6,109,329.0","6,132,040.0","6,209,373.0","6,261,795.0","6,313,839.0","6,392,798.0","6,474,307.0","6,571,815.0","6,708,444.0","6,860,188.0","6,956,359.0","7,105,363.0","7,216,340.0","7,343,998.0","7,525,746.0","7,681,619.0","7,755,657.0","7,891,375.0","7,964,522.0","7,934,917.0","8,005,784.0","7,946,012.0","7,975,614.0","7,999,180.0","7,992,582.0","8,006,699.0","7,693,103.0","7,630,103.0","7,619,432.0","7,641,575.0","7,810,589.0","7,941,261.0","8,068,709.0","8,163,326.0","8,271,645.0"
"21","2","Consumption of fixed capital","A438RC1","43,226.0","44,411.0","45,713.0","47,130.0","48,662.0","49,813.0","50,579.0","50,962.0","52,700.0","54,249.0","55,606.0","56,773.0","57,751.0","58,922.0","60,285.0","61,842.0","63,592.0","65,624.0","67,941.0","70,539.0","73,421.0","76,733.0","80,476.0","84,650.0","89,254.0","93,160.0","96,370.0","98,880.0","100,695.0","102,955.0","105,662.0","108,816.0","112,416.0","116,085.0","119,822.0","123,629.0","127,504.0","131,744.0","136,348.0","141,316.0","146,649.0","152,171.0","157,881.0","163,779.0","169,867.0","176,290.0","183,048.0","190,139.0","197,568.0","204,768.0","211,740.0","218,484.0","225,000.0","230,161.0","233,969.0","236,422.0","237,520.0","239,126.0","241,239.0","243,859.0","246,987.0","250,605.0","254,713.0","259,311.0","264,403.0","269,369.0","274,211.0","278,929.0","283,523.0","287,877.0","291,989.0","295,859.0","299,489.0","303,735.0","308,595.0","314,069.0","320,159.0","326,057.0","331,765.0","337,283.0","342,609.0","348,032.0","353,552.0","359,167.0","364,880.0","370,429.0","375,814.0","381,037.0","386,096.0","390,507.0","394,269.0","397,384.0","399,850.0","401,699.0","402,933.0","403,550.0","410,551.0","417,151.0","423,353.0","429,153.0","434,555.0","440,834.0","447,992.0","456,027.0","464,942.0","473,252.0","480,960.0","488,062.0","494,561.0","501,730.0","509,569.0","518,076.0","527,255.0","536,367.0","545,412.0","554,390.0","563,304.0","572,872.0","583,097.0","593,975.0","605,509.0","618,244.0","632,179.0","647,316.0","663,651.0","678,751.0","692,614.0","705,240.0","716,631.0","726,636.0","735,254.0","742,487.0","748,334.0","753,697.0","758,573.0","762,964.0","766,871.0","771,896.0","778,041.0","785,304.0","793,688.0","803,230.0","813,931.0","825,791.0","838,809.0","853,640.0","870,284.0","888,739.0","904,081.0","918,929.0","933,279.0","947,135.0","959,163.0","968,908.0","977,357.0","988,026.0","996,694.0","1,011,389.0","1,027,931.0","1,038,147.0","1,036,566.0","1,021,199.0","1,010,601.0","1,010,816.0","1,008,001.0","1,013,733.0","1,018,997.0","1,029,144.0"
