"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Change in private inventories","A014RX1","4,852.0","-3,472.0","-13,430.0","-2,201.0","11,442.0","21,430.0","25,026.0","19,413.0","-2,040.0","-17,426.0","-3,861.0","-17,464.0","7,383.0","10,775.0","14,054.0","44,897.0","27,928.0","40,633.0","26,851.0","11,572.0","14,476.0","-3,555.0","15,977.0","16,136.0","12,969.0","12,812.0","7,733.0","-6,692.0","-5,937.0","-9,480.0","-7,558.0","-2,728.0","11,231.0","16,593.0","15,140.0","20,845.0","17,583.0","12,224.0","9,476.0","8,385.0","4,569.0","6,536.0","9,496.0","-8,887.0","-11,141.0","-9,698.0","4,901.0","12,964.0","10,441.0","26,521.0","3,175.0","15,570.0","38,847.0","11,082.0","15,645.0","-18,246.0","-8,320.0","7,186.0","23,828.0","19,766.0","31,223.0","19,651.0","23,035.0","13,646.0","26,681.0","17,743.0","21,147.0","15,436.0","16,387.0","15,744.0","18,883.0","18,025.0","41,442.0","29,753.0","33,500.0","26,904.0","47,146.0","45,446.0","40,359.0","55,614.0","51,441.0","23,162.0","30,811.0","30,123.0","27,265.0","48,865.0","26,064.0","20,965.0","37,013.0","31,210.0","34,862.0","18,029.0"
"21","2","Farm \1\","B018RX1","-359.0","-4,525.0","-6,781.0","-6,320.0","1,597.0","7,701.0","8,331.0","6,624.0","-1,197.0","-3,041.0","-2,348.0","-911.0","-987.0","-2,463.0","562.0","1,526.0","2,601.0","2,494.0","1,624.0","1,695.0","2,655.0","3,649.0","4,525.0","1,471.0","2,502.0","-192.0","1,750.0","3,758.0","2,126.0","504.0","782.0","-1,484.0","-1,743.0","-2,149.0","-1,977.0","-1,560.0","-2,921.0","-3,439.0","-3,221.0","-3,284.0","-922.0","-163.0","1,784.0","1,057.0","7,590.0","6,933.0","6,188.0","2,519.0","-3,549.0","-5,326.0","-5,391.0","-4,560.0","360.0","1,902.0","3,145.0","1,530.0","2,456.0","2,244.0","2,639.0","2,805.0","2,466.0","792.0","1,404.0","2,219.0","7,546.0","672.0","-1,692.0","-811.0","-3,908.0","-4,253.0","-4,151.0","-3,056.0","910.0","2,863.0","3,098.0","3,165.0","1,099.0","-2,730.0","-1,723.0","-2,259.0","3,361.0","7,586.0","1,430.0","-2,237.0","7,322.0","13,385.0","1,206.0","-5,533.0","3,929.0","4,424.0","-2,462.0","-5,806.0"
"22","3","Nonfarm","B015RX1","6,560.0","4,171.0","-3,714.0","10,484.0","11,675.0","11,870.0","15,020.0","11,103.0","-366.0","-15,057.0","-606.0","-18,422.0","9,736.0","16,213.0","15,197.0","50,227.0","28,961.0","44,285.0","29,267.0","10,995.0","12,781.0","-10,527.0","11,198.0","16,158.0","10,590.0","14,089.0","5,783.0","-12,330.0","-9,221.0","-10,799.0","-9,069.0","-862.0","13,980.0","20,030.0","17,868.0","22,733.0","20,783.0","16,205.0","13,245.0","12,127.0","5,669.0","6,784.0","7,533.0","-10,196.0","-20,432.0","-18,555.0","-2,453.0","10,596.0","14,939.0","33,776.0","9,640.0","21,111.0","38,966.0","8,962.0","12,106.0","-20,249.0","-11,281.0","4,662.0","20,995.0","16,782.0","28,953.0","19,179.0","21,984.0","11,327.0","18,220.0","17,396.0","23,641.0","16,683.0","21,107.0","20,725.0","23,767.0","21,711.0","40,805.0","26,934.0","30,478.0","23,706.0","46,828.0","50,159.0","43,749.0","59,917.0","48,589.0","14,664.0","29,713.0","33,131.0","19,089.0","33,871.0","25,071.0","27,777.0","32,992.0","26,556.0","38,641.0","25,459.0"
"23","4","  Manufacturing","A150RX1","4,672.0","-781.0","2,395.0","821.0","-209.0","8,166.0","7,276.0","2,374.0","3,272.0","-9,189.0","-9,235.0","-7,820.0","2,080.0","3,311.0","2,355.0","20,827.0","14,411.0","33,625.0","34,714.0","14,106.0","18,649.0","-4,043.0","2,665.0","6,251.0","7,608.0","8,790.0","4,447.0","-5,379.0","-11,371.0","-12,561.0","-9,864.0","1,591.0","2,720.0","7,799.0","9,738.0","11,484.0","15,111.0","14,397.0","8,415.0","6,988.0","4,481.0","1,400.0","1,427.0","-11,456.0","-11,961.0","-14,481.0","-2,735.0","5,773.0","5,243.0","13,942.0","3,672.0","10,824.0","13,689.0","3,276.0","8,063.0","-16,086.0","-3,461.0","1,613.0","12,754.0","8,923.0","18,725.0","10,106.0","14,834.0","1,344.0","8,942.0","8,637.0","9,537.0","544.0","9,196.0","2,164.0","10,411.0","20,006.0","12,658.0","10,322.0","19,928.0","12,878.0","24,583.0","26,163.0","33,420.0","29,362.0","32,817.0","13,522.0","15,361.0","14,369.0","6,044.0","13,855.0","18,329.0","9,484.0","15,431.0","8,169.0","13,736.0","12,962.0"
"24","5","    Durable goods","C624RX1","-1,672.0","1,795.0","3,545.0","-2,299.0","-4,235.0","-100.0","894.0","363.0","1,569.0","-6,901.0","-7,947.0","-5,914.0","-237.0","4,743.0","3,578.0","11,236.0","9,893.0","20,354.0","23,732.0","10,190.0","12,222.0","-404.0","1,817.0","5,340.0","6,545.0","7,060.0","4,635.0","-4,146.0","-8,770.0","-11,762.0","-6,997.0","597.0","871.0","4,439.0","5,180.0","6,500.0","10,716.0","8,796.0","2,351.0","5,570.0","2,878.0","2,306.0","2,544.0","-7,420.0","-10,446.0","-10,272.0","-1,450.0","1,988.0","3,725.0","9,112.0","133.0","5,399.0","11,058.0","-903.0","3,695.0","-11,855.0","-7,721.0","-2,321.0","8,841.0","6,059.0","12,875.0","4,354.0","8,092.0","-990.0","6,086.0","6,567.0","5,386.0","-2,404.0","5,470.0","3,378.0","7,912.0","12,297.0","10,245.0","9,307.0","14,849.0","5,903.0","15,870.0","15,503.0","27,144.0","19,826.0","19,537.0","9,017.0","10,541.0","9,456.0","3,775.0","6,117.0","9,320.0","4,076.0","11,142.0","5,198.0","6,290.0","12,032.0"
"25","6","    Nondurable goods","C625RX1","6,052.0","-2,426.0","-987.0","2,962.0","3,833.0","8,213.0","6,551.0","2,208.0","1,725.0","-2,208.0","-1,099.0","-1,832.0","2,511.0","-1,741.0","-1,428.0","9,837.0","4,486.0","13,474.0","10,888.0","3,732.0","6,371.0","-3,934.0","818.0","648.0","695.0","1,359.0","-626.0","-1,025.0","-2,134.0","165.0","-2,580.0","1,110.0","2,044.0","3,414.0","4,725.0","5,054.0","3,684.0","5,436.0","6,992.0","828.0","1,481.0","-1,476.0","-1,773.0","-3,743.0","-117.0","-3,456.0","-1,317.0","4,353.0","1,218.0","4,361.0","4,389.0","5,781.0","1,223.0","5,409.0","4,778.0","-3,081.0","6,777.0","5,353.0","3,252.0","2,458.0","4,940.0","6,386.0","6,941.0","3,091.0","2,454.0","1,388.0","4,194.0","4,114.0","3,654.0","-2,146.0","1,642.0","7,353.0","1,090.0","-478.0","3,590.0","7,637.0","7,950.0","10,453.0","2,817.0","8,239.0","12,977.0","3,946.0","4,048.0","4,357.0","2,129.0","8,606.0","9,578.0","6,056.0","3,212.0","2,733.0","8,174.0","-1,184.0"
"26","7","  Wholesale trade","A658RX1","5,327.0","2,356.0","-4,165.0","-4,460.0","407.0","2,307.0","4,957.0","3,180.0","1,250.0","-1,851.0","1,068.0","380.0","4,688.0","5,739.0","393.0","9,199.0","1,369.0","5,465.0","-245.0","-2,060.0","-2,214.0","-1,473.0","4,004.0","5,062.0","1,644.0","1,698.0","596.0","-1,946.0","1,958.0","2,043.0","-595.0","-80.0","1,718.0","5,636.0","4,001.0","3,911.0","1,350.0","-858.0","5,013.0","1,918.0","-683.0","797.0","-271.0","-2,237.0","-2,751.0","23.0","803.0","1,788.0","3,258.0","8,482.0","4,630.0","9,776.0","6,122.0","3,288.0","-142.0","-1,934.0","2,302.0","110.0","3,101.0","2,112.0","3,214.0","5,280.0","338.0","3,836.0","2,776.0","6,780.0","8,488.0","5,452.0","3,537.0","7,168.0","3,672.0","4,369.0","9,716.0","6,776.0","5,138.0","703.0","11,928.0","8,485.0","8,796.0","17,952.0","10,692.0","344.0","13,394.0","8,276.0","1,205.0","9,935.0","4,711.0","-757.0","10,214.0","10,515.0","8,402.0","3,614.0"
"27","8","    Durable goods","A661RX1","949.0","202.0","1,287.0","-1,628.0","1,786.0","2,393.0","2,519.0","1,907.0","346.0","-2,357.0","783.0","-18.0","796.0","3,369.0","-198.0","7,242.0","1,125.0","5,830.0","1,174.0","-814.0","-2,420.0","-2,663.0","-535.0","1,831.0","1,894.0","-702.0","1,093.0","-1,808.0","-175.0","36.0","-234.0","117.0","1,768.0","3,702.0","1,435.0","2,240.0","-40.0","-238.0","27.0","-81.0","-279.0","1,179.0","904.0","-1,318.0","-1,907.0","-553.0","589.0","1,403.0","2,918.0","5,721.0","-924.0","5,624.0","7,416.0","1,394.0","236.0","-1,764.0","-1,372.0","-1,553.0","3,292.0","3,197.0","2,616.0","2,919.0","2,334.0","2,624.0","1,671.0","4,628.0","2,884.0","1,163.0","1,027.0","4,591.0","3,265.0","3,075.0","6,671.0","3,474.0","4,023.0","1,134.0","9,856.0","4,903.0","5,557.0","9,746.0","4,464.0","1,550.0","3,726.0","5,973.0","994.0","4,250.0","2,168.0","1,793.0","5,824.0","7,617.0","4,850.0","2,302.0"
"28","9","    Nondurable goods","A664RX1","3,754.0","1,820.0","-4,370.0","-2,545.0","-919.0","223.0","2,318.0","1,265.0","829.0","270.0","322.0","370.0","3,578.0","2,341.0","479.0","2,308.0","289.0","204.0","-1,166.0","-1,194.0","0.0","877.0","4,038.0","3,048.0","-123.0","2,175.0","-417.0","-213.0","1,991.0","1,877.0","-337.0","-171.0","-5.0","1,929.0","2,479.0","1,630.0","1,384.0","-602.0","4,934.0","2,000.0","-403.0","-403.0","-1,185.0","-901.0","-810.0","588.0","204.0","360.0","271.0","2,631.0","5,649.0","4,032.0","-1,566.0","1,886.0","-380.0","-114.0","3,746.0","1,726.0","-288.0","-1,179.0","538.0","2,308.0","-2,067.0","1,157.0","1,072.0","2,056.0","5,576.0","4,296.0","2,517.0","2,477.0","307.0","1,218.0","2,871.0","3,244.0","1,003.0","-477.0","1,769.0","3,474.0","3,098.0","8,023.0","6,237.0","-1,312.0","9,865.0","2,080.0","173.0","5,750.0","2,567.0","-2,872.0","4,255.0","2,483.0","3,430.0","1,217.0"
"29","10","      Merchant wholesalers","A151RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,542.0","6,292.0","5,071.0","8,085.0","4,476.0","1,344.0","-496.0","-821.0","2,116.0","-1,015.0","1,968.0","248.0","1,584.0","3,511.0","-1,421.0","2,184.0","1,453.0","5,289.0","7,443.0","4,626.0","3,251.0","7,097.0","3,295.0","3,549.0","9,670.0","6,187.0","4,801.0","-140.0","10,940.0","6,209.0","6,952.0","15,734.0","6,822.0","-1,830.0","12,378.0","6,448.0","1,276.0","7,595.0","3,526.0","-1,595.0","8,181.0","8,786.0","6,949.0","2,809.0"
"30","11","        Durable goods","C626RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,495.0","4,211.0","-126.0","4,671.0","6,234.0","-26.0","100.0","-1,069.0","-1,055.0","-1,757.0","2,436.0","2,028.0","1,150.0","1,880.0","1,411.0","1,870.0","599.0","3,230.0","2,455.0","1,085.0","991.0","4,727.0","3,264.0","2,659.0","6,561.0","2,683.0","3,811.0","707.0","9,491.0","3,920.0","3,845.0","8,637.0","2,282.0","248.0","3,086.0","5,280.0","818.0","3,736.0","1,724.0","1,470.0","4,578.0","6,856.0","4,145.0","1,669.0"
"31","12","        Nondurable goods","C627RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17.0","2,006.0","5,191.0","3,325.0","-1,871.0","1,374.0","-583.0","267.0","3,142.0","747.0","-489.0","-1,769.0","421.0","1,593.0","-2,779.0","303.0","838.0","2,012.0","4,874.0","3,459.0","2,221.0","2,313.0","3.0","862.0","3,012.0","3,444.0","945.0","-843.0","1,354.0","2,224.0","3,034.0","6,941.0","4,502.0","-2,073.0","9,275.0","1,059.0","453.0","3,830.0","1,798.0","-3,208.0","3,542.0","1,711.0","2,731.0","1,110.0"
"32","13","      Nonmerchant wholesalers","A152RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","732.0","2,176.0","-187.0","1,809.0","1,624.0","1,759.0","289.0","-1,008.0","247.0","947.0","1,073.0","1,657.0","1,501.0","1,696.0","1,512.0","1,545.0","1,230.0","1,508.0","1,179.0","890.0","357.0","292.0","442.0","845.0","333.0","713.0","445.0","753.0","1,198.0","2,237.0","1,864.0","2,445.0","3,700.0","1,930.0","1,248.0","1,833.0","-44.0","2,311.0","1,159.0","768.0","2,021.0","1,730.0","1,445.0","794.0"
"33","14","        Durable goods","C628RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","426.0","1,311.0","-602.0","914.0","1,155.0","1,052.0","105.0","-562.0","-283.0","71.0","744.0","958.0","1,140.0","855.0","747.0","643.0","824.0","1,182.0","427.0","106.0","71.0","106.0","141.0","424.0","355.0","706.0","316.0","351.0","664.0","902.0","1,447.0","1,196.0","1,730.0","987.0","611.0","740.0","166.0","535.0","404.0","301.0","1,124.0","826.0","690.0","549.0"
"34","15","        Nondurable goods","C629RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","283.0","774.0","703.0","916.0","283.0","629.0","211.0","-424.0","779.0","1,138.0","214.0","642.0","142.0","857.0","786.0","1,000.0","287.0","72.0","864.0","1,009.0","360.0","215.0","357.0","427.0","-143.0","-212.0","71.0","424.0","500.0","1,497.0","71.0","1,278.0","2,063.0","929.0","645.0","1,226.0","-363.0","2,282.0","899.0","533.0","763.0","915.0","764.0","77.0"
