"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income without capital consumption adjustment","J422RC1","237,113.0","245,957.0","251,018.0","252,700.0","245,347.0","240,970.0","241,293.0","237,617.0","247,077.0","258,738.0","276,378.0","287,777.0","299,647.0","305,245.0","310,354.0","316,142.0","318,118.0","319,706.0","325,292.0","336,291.0","342,239.0","344,901.0","343,237.0","334,789.0","336,605.0","336,678.0","339,921.0","348,499.0","360,049.0","369,773.0","375,965.0","382,865.0","386,592.0","392,666.0","397,398.0","405,848.0","412,356.0","414,498.0","418,261.0","412,154.0","407,130.0","409,100.0","419,592.0","432,630.0","444,104.0","458,211.0","455,113.0","460,206.0","473,299.0","473,407.0","474,345.0","472,531.0","474,298.0","483,697.0","493,057.0","506,935.0","514,986.0","521,457.0","527,293.0","534,642.0","541,166.0","550,004.0","558,392.0","568,232.0","580,356.0","590,222.0","601,387.0","609,475.0","627,526.0","638,341.0","649,051.0","668,077.0","687,706.0","697,278.0","708,626.0","720,850.0","727,141.0","734,005.0","749,155.0","764,905.0","785,681.0","806,438.0","825,154.0","841,487.0","857,843.0","873,958.0","892,712.0","902,026.0"
"21","2","Domestic industries","J423RC1","235,712.0","244,477.0","249,554.0","251,222.0","243,953.0","239,636.0","240,026.0","236,492.0","245,852.0","257,421.0","274,774.0","286,157.0","298,111.0","303,365.0","308,357.0","313,986.0","316,119.0","317,691.0","323,315.0","334,337.0","340,331.0","342,862.0","341,437.0","332,935.0","334,600.0","334,685.0","337,862.0","346,176.0","357,626.0","367,369.0","373,506.0","380,352.0","383,744.0","389,829.0","394,463.0","403,288.0","409,285.0","411,144.0","415,016.0","409,605.0","404,510.0","406,400.0","416,989.0","430,043.0","441,518.0","455,613.0","452,276.0","457,175.0","470,371.0","470,401.0","471,176.0","469,177.0","470,723.0","480,299.0","489,554.0","503,340.0","511,386.0","517,465.0","523,242.0","529,897.0","536,657.0","545,672.0","553,949.0","563,607.0","575,292.0","585,343.0","596,338.0","604,780.0","622,091.0","632,699.0","643,785.0","663,294.0","682,709.0","692,224.0","703,653.0","715,578.0","721,915.0","728,921.0","743,465.0","759,312.0","779,866.0","800,436.0","818,894.0","835,197.0","851,499.0","867,781.0","886,751.0","896,003.0"
"22","3","  Private industries","J736RC1","216,561.0","225,070.0","228,671.0","229,584.0","221,967.0","217,326.0","217,397.0","213,252.0","223,019.0","234,729.0","251,165.0","261,102.0","270,544.0","274,156.0","276,615.0","281,733.0","282,438.0","283,063.0","287,986.0","298,797.0","304,836.0","306,669.0","305,664.0","296,681.0","297,882.0","298,440.0","300,858.0","308,639.0","319,823.0","328,669.0","334,066.0","340,480.0","343,392.0","348,839.0","352,672.0","361,235.0","366,424.0","367,445.0","370,026.0","364,488.0","358,079.0","359,271.0","368,800.0","381,355.0","391,530.0","405,129.0","401,375.0","405,647.0","417,593.0","416,625.0","416,161.0","413,457.0","414,310.0","423,059.0","431,227.0","443,374.0","450,146.0","455,587.0","460,859.0","466,226.0","471,357.0","479,345.0","486,592.0","494,243.0","504,617.0","513,472.0","523,128.0","529,921.0","546,681.0","556,022.0","565,204.0","581,860.0","598,942.0","606,413.0","614,768.0","624,277.0","628,814.0","633,545.0","645,727.0","657,994.0","675,250.0","693,441.0","708,157.0","723,124.0","737,692.0","751,461.0","764,816.0","771,798.0"
"23","4","    Agriculture, forestry, and fishing","J424RC1","19,582.0","23,216.0","22,831.0","21,345.0","17,927.0","17,331.0","16,591.0","16,226.0","17,002.0","17,179.0","18,412.0","19,415.0","20,409.0","21,050.0","20,686.0","21,174.0","19,461.0","20,214.0","21,479.0","18,495.0","18,719.0","17,923.0","17,270.0","16,944.0","18,157.0","17,222.0","17,329.0","16,133.0","16,396.0","16,824.0","16,234.0","15,397.0","15,696.0","15,861.0","16,261.0","16,291.0","15,411.0","15,779.0","16,230.0","16,074.0","18,597.0","18,615.0","17,887.0","16,934.0","16,970.0","15,822.0","15,656.0","16,473.0","15,964.0","16,920.0","17,569.0","18,106.0","18,009.0","16,641.0","16,993.0","17,800.0","18,114.0","17,584.0","17,172.0","17,637.0","18,151.0","17,438.0","17,316.0","17,441.0","16,244.0","16,234.0","16,177.0","17,439.0","18,347.0","19,030.0","19,234.0","19,715.0","21,882.0","19,382.0","19,201.0","19,149.0","19,160.0","18,456.0","19,456.0","19,182.0","19,281.0","19,001.0","19,882.0","20,316.0","19,756.0","21,134.0","21,904.0","23,089.0"
"24","5","    Mining","J734RC1","5,621.0","5,629.0","6,187.0","6,092.0","5,728.0","5,328.0","4,699.0","4,458.0","4,800.0","5,841.0","6,346.0","6,452.0","6,315.0","6,380.0","6,454.0","6,480.0","6,619.0","5,911.0","6,083.0","6,377.0","6,275.0","6,259.0","6,409.0","6,162.0","6,085.0","6,070.0","6,041.0","6,272.0","6,470.0","6,747.0","6,827.0","7,237.0","7,514.0","7,710.0","7,507.0","7,692.0","7,645.0","7,739.0","7,718.0","7,344.0","7,065.0","6,677.0","6,792.0","6,907.0","6,791.0","6,824.0","6,320.0","6,416.0","6,629.0","6,903.0","6,871.0","6,908.0","6,785.0","6,799.0","6,998.0","7,064.0","6,945.0","6,810.0","6,703.0","6,795.0","6,932.0","7,266.0","7,350.0","7,348.0","7,425.0","7,579.0","7,408.0","7,568.0","7,633.0","7,575.0","7,644.0","7,707.0","7,864.0","7,784.0","8,082.0","8,032.0","8,051.0","8,074.0","8,226.0","8,214.0","8,555.0","9,121.0","9,198.0","8,926.0","9,019.0","9,108.0","9,336.0","9,496.0"
"25","6","    Construction","J735RC1","10,185.0","10,972.0","11,582.0","11,565.0","11,306.0","10,889.0","10,832.0","10,904.0","11,323.0","12,074.0","13,006.0","13,714.0","14,286.0","14,847.0","15,044.0","15,284.0","15,774.0","15,807.0","16,218.0","16,497.0","16,711.0","16,437.0","16,442.0","16,785.0","16,682.0","16,753.0","16,541.0","16,783.0","17,265.0","17,912.0","18,181.0","18,131.0","18,901.0","19,831.0","20,367.0","20,595.0","20,667.0","20,909.0","20,800.0","20,813.0","20,134.0","20,014.0","20,304.0","20,947.0","21,570.0","22,205.0","22,311.0","22,367.0","22,407.0","22,613.0","22,792.0","22,690.0","23,082.0","23,343.0","23,707.0","24,372.0","24,567.0","25,224.0","25,686.0","26,015.0","26,207.0","26,842.0","27,523.0","27,868.0","28,615.0","29,419.0","29,996.0","30,797.0","31,511.0","32,105.0","32,623.0","34,027.0","34,709.0","35,611.0","35,897.0","35,930.0","36,394.0","36,557.0","37,564.0","38,171.0","38,957.0","40,254.0","40,986.0","42,516.0","44,011.0","45,698.0","46,511.0","46,043.0"
"26","7","    Manufacturing","J426RC1","72,738.0","73,798.0","75,346.0","76,647.0","73,492.0","70,127.0","71,764.0","68,367.0","72,819.0","79,252.0","87,392.0","93,367.0","95,572.0","97,884.0","98,098.0","98,826.0","99,415.0","97,737.0","98,749.0","107,397.0","111,690.0","112,100.0","110,649.0","102,544.0","102,625.0","102,345.0","101,379.0","106,067.0","111,969.0","116,387.0","118,632.0","122,380.0","121,594.0","122,141.0","121,407.0","126,817.0","129,330.0","127,875.0","127,124.0","122,362.0","114,905.0","113,568.0","118,868.0","125,370.0","131,552.0","138,672.0","132,931.0","132,213.0","140,878.0","136,150.0","133,883.0","129,546.0","127,481.0","133,487.0","137,083.0","142,342.0","144,592.0","146,260.0","147,670.0","150,130.0","150,811.0","154,777.0","157,037.0","159,500.0","162,964.0","165,387.0","168,914.0","169,943.0","179,642.0","181,782.0","184,840.0","190,833.0","198,667.0","201,902.0","203,599.0","206,651.0","204,886.0","203,964.0","206,207.0","211,854.0","217,292.0","224,153.0","226,692.0","232,924.0","235,385.0","235,905.0","238,795.0","237,191.0"
"27","8","      Durable goods","J428RC1","36,251.0","36,172.0","37,470.0","38,767.0","37,608.0","35,289.0","36,440.0","33,414.0","37,113.0","41,942.0","47,873.0","51,827.0","52,748.0","54,112.0","53,598.0","54,906.0","55,856.0","54,223.0","54,363.0","61,586.0","64,912.0","64,993.0","63,926.0","57,494.0","57,245.0","57,034.0","56,110.0","59,210.0","63,703.0","66,513.0","68,023.0","69,742.0","68,723.0","69,132.0","68,388.0","73,125.0","75,616.0","74,283.0","73,490.0","69,442.0","63,096.0","61,788.0","64,895.0","70,092.0","74,887.0","81,063.0","74,862.0","74,485.0","82,027.0","77,671.0","75,185.0","72,064.0","69,912.0","74,275.0","77,009.0","81,197.0","83,165.0","84,065.0","85,492.0","86,948.0","87,531.0","90,554.0","91,374.0","93,329.0","95,562.0","96,903.0","99,482.0","99,251.0","106,916.0","108,258.0","110,321.0","114,069.0","119,461.0","120,749.0","122,194.0","123,991.0","122,165.0","122,075.0","122,830.0","125,863.0","129,574.0","133,792.0","134,305.0","139,751.0","141,847.0","140,667.0","141,993.0","140,652.0"
"28","9","      Nondurable goods","J427RC1","36,487.0","37,626.0","37,876.0","37,880.0","35,886.0","34,839.0","35,324.0","34,951.0","35,706.0","37,310.0","39,521.0","41,540.0","42,825.0","43,772.0","44,499.0","43,920.0","43,562.0","43,517.0","44,386.0","45,811.0","46,780.0","47,109.0","46,722.0","45,052.0","45,381.0","45,311.0","45,269.0","46,859.0","48,266.0","49,874.0","50,609.0","52,639.0","52,872.0","53,009.0","53,019.0","53,692.0","53,713.0","53,591.0","53,634.0","52,921.0","51,809.0","51,781.0","53,973.0","55,277.0","56,667.0","57,608.0","58,070.0","57,728.0","58,851.0","58,480.0","58,698.0","57,482.0","57,567.0","59,212.0","60,074.0","61,144.0","61,427.0","62,195.0","62,178.0","63,184.0","63,280.0","64,222.0","65,662.0","66,172.0","67,401.0","68,484.0","69,431.0","70,691.0","72,726.0","73,525.0","74,520.0","76,764.0","79,206.0","81,154.0","81,406.0","82,659.0","82,720.0","81,889.0","83,376.0","85,990.0","87,720.0","90,362.0","92,388.0","93,172.0","93,538.0","95,239.0","96,802.0","96,538.0"
"29","10","    Transportation and public utilities","J737RC1","20,827.0","21,321.0","21,369.0","21,685.0","21,361.0","21,635.0","21,555.0","21,124.0","22,083.0","23,173.0","24,942.0","25,586.0","26,261.0","26,800.0","27,013.0","27,933.0","28,674.0","27,968.0","28,539.0","29,752.0","30,095.0","30,720.0","30,684.0","30,127.0","29,517.0","29,610.0","29,756.0","30,148.0","30,975.0","31,926.0","32,475.0","33,129.0","33,930.0","34,460.0","34,538.0","35,194.0","35,995.0","36,246.0","36,566.0","36,158.0","35,462.0","35,694.0","36,424.0","37,471.0","38,432.0","39,405.0","38,919.0","39,742.0","40,808.0","41,196.0","41,186.0","41,402.0","41,158.0","41,943.0","42,692.0","43,904.0","44,216.0","44,462.0","45,060.0","45,061.0","45,829.0","46,802.0","47,423.0","48,083.0","49,221.0","49,775.0","50,310.0","50,931.0","51,857.0","52,888.0","53,662.0","55,042.0","55,927.0","57,175.0","57,894.0","58,786.0","58,826.0","59,338.0","60,205.0","61,205.0","62,587.0","63,732.0","65,520.0","66,855.0","68,071.0","70,013.0","70,617.0","71,392.0"
"30","11","      Transportation","J429RC1","13,640.0","13,869.0","13,860.0","13,891.0","13,368.0","13,312.0","13,055.0","12,655.0","13,406.0","14,119.0","15,487.0","16,027.0","16,125.0","16,523.0","16,366.0","16,906.0","17,377.0","16,708.0","16,898.0","17,640.0","17,676.0","18,033.0","17,767.0","17,152.0","16,480.0","16,325.0","16,291.0","16,553.0","17,155.0","17,704.0","18,144.0","18,327.0","18,823.0","19,107.0","18,777.0","19,324.0","19,625.0","19,657.0","19,838.0","19,188.0","18,245.0","18,110.0","18,534.0","19,186.0","19,486.0","19,939.0","18,945.0","19,369.0","20,045.0","19,947.0","19,630.0","19,601.0","19,255.0","19,664.0","20,179.0","20,755.0","20,819.0","20,807.0","20,914.0","21,020.0","21,016.0","21,830.0","21,905.0","22,320.0","22,776.0","22,886.0","23,226.0","23,343.0","23,877.0","24,749.0","25,263.0","25,822.0","26,323.0","26,903.0","26,903.0","27,506.0","27,099.0","27,032.0","27,517.0","27,824.0","28,648.0","29,265.0","29,727.0","30,233.0","30,440.0","31,629.0","31,675.0","32,155.0"
"31","12","      Communication","J430RC1","3,670.0","3,798.0","3,801.0","3,882.0","3,917.0","4,086.0","4,127.0","4,188.0","4,258.0","4,447.0","4,763.0","4,741.0","5,040.0","5,078.0","5,271.0","5,439.0","5,607.0","5,564.0","5,815.0","6,045.0","6,263.0","6,441.0","6,480.0","6,500.0","6,355.0","6,422.0","6,463.0","6,558.0","6,748.0","6,951.0","7,111.0","7,299.0","7,462.0","7,582.0","7,832.0","7,937.0","8,190.0","8,301.0","8,345.0","8,467.0","8,518.0","8,732.0","8,882.0","9,069.0","9,483.0","9,741.0","9,910.0","10,073.0","10,193.0","10,416.0","10,627.0","10,711.0","10,815.0","10,919.0","11,050.0","11,333.0","11,605.0","11,701.0","11,972.0","12,004.0","12,286.0","12,490.0","12,784.0","12,917.0","13,201.0","13,493.0","13,499.0","13,828.0","14,181.0","14,172.0","14,512.0","14,964.0","15,094.0","15,455.0","15,895.0","16,114.0","16,468.0","16,786.0","17,136.0","17,331.0","17,667.0","17,698.0","18,567.0","19,214.0","19,877.0","20,422.0","20,580.0","20,987.0"
"32","13","      Electric, gas, and sanitary services","J431RC1","3,515.0","3,653.0","3,708.0","3,912.0","4,076.0","4,235.0","4,372.0","4,282.0","4,417.0","4,607.0","4,693.0","4,819.0","5,097.0","5,199.0","5,378.0","5,588.0","5,691.0","5,697.0","5,827.0","6,069.0","6,156.0","6,246.0","6,436.0","6,475.0","6,683.0","6,863.0","7,002.0","7,038.0","7,073.0","7,271.0","7,221.0","7,505.0","7,647.0","7,770.0","7,929.0","7,933.0","8,179.0","8,287.0","8,385.0","8,503.0","8,700.0","8,852.0","9,008.0","9,215.0","9,461.0","9,726.0","10,063.0","10,300.0","10,571.0","10,834.0","10,932.0","11,091.0","11,088.0","11,360.0","11,463.0","11,815.0","11,793.0","11,955.0","12,173.0","12,036.0","12,528.0","12,482.0","12,734.0","12,847.0","13,244.0","13,395.0","13,586.0","13,761.0","13,800.0","13,968.0","13,887.0","14,257.0","14,510.0","14,817.0","15,096.0","15,164.0","15,259.0","15,520.0","15,553.0","16,051.0","16,274.0","16,770.0","17,225.0","17,409.0","17,755.0","17,961.0","18,362.0","18,249.0"
"33","14","    Wholesale trade","J433RC1","16,646.0","17,120.0","17,256.0","17,305.0","17,019.0","16,627.0","16,528.0","16,183.0","16,896.0","17,464.0","19,071.0","19,428.0","20,516.0","20,645.0","20,781.0","21,178.0","21,090.0","21,152.0","21,397.0","21,591.0","21,775.0","22,142.0","21,993.0","21,618.0","21,719.0","21,765.0","22,056.0","23,062.0","23,747.0","24,446.0","25,210.0","25,674.0","25,877.0","26,694.0","27,616.0","27,893.0","28,309.0","28,370.0","28,608.0","28,325.0","27,786.0","28,121.0","29,639.0","31,190.0","32,143.0","33,612.0","34,405.0","34,483.0","35,344.0","35,118.0","35,544.0","35,593.0","35,534.0","35,914.0","36,846.0","37,794.0","38,291.0","38,618.0","39,276.0","39,340.0","39,662.0","40,292.0","41,039.0","41,641.0","42,585.0","43,296.0","44,018.0","44,257.0","45,667.0","46,731.0","46,664.0","48,211.0","49,867.0","50,556.0","51,027.0","51,961.0","52,693.0","53,150.0","54,142.0","55,122.0","56,318.0","58,447.0","60,370.0","61,257.0","62,221.0","63,530.0","64,729.0","66,318.0"
