"","Table 2#6# Personal Income and Its Disposition, Monthly         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"38","19","     Other current transfer receipts, from business (net)","B931RC1","3,216.0","3,264.0","3,300.0","3,324.0","3,360.0","3,384.0","3,360.0","3,384.0","3,360.0","3,360.0","3,336.0","3,324.0","3,192.0","3,120.0","3,060.0","3,024.0","2,976.0","2,904.0","2,892.0","2,844.0","2,808.0","2,784.0","2,760.0","2,748.0","2,688.0","2,688.0","2,652.0","2,664.0","2,676.0","2,628.0","2,676.0","2,712.0","2,700.0","2,724.0","2,760.0","2,784.0","2,868.0","2,916.0","2,964.0","3,000.0","3,012.0","3,096.0","3,144.0","3,192.0","3,228.0","3,264.0","3,312.0","3,348.0","3,528.0","3,636.0","3,720.0","3,804.0","3,876.0","3,912.0","3,996.0","4,056.0","4,140.0","4,188.0","4,212.0","4,212.0","4,344.0","4,320.0","4,332.0","4,428.0","4,488.0","4,620.0","4,728.0","4,872.0","5,040.0","5,184.0","5,388.0","5,112.0","5,772.0","6,180.0","6,492.0","6,852.0","6,912.0","6,936.0","7,032.0","7,116.0","7,140.0","7,224.0","7,248.0","7,224.0","7,080.0","7,068.0","6,996.0","7,032.0","6,996.0","6,912.0","6,792.0","6,672.0","6,504.0","6,288.0","6,072.0","5,916.0","5,724.0","5,448.0","5,232.0","5,100.0","4,980.0","4,932.0","4,860.0","4,848.0","4,872.0","4,896.0","5,016.0","5,172.0","5,448.0","5,652.0","5,832.0","5,988.0","6,168.0","6,372.0","6,552.0","6,756.0","6,936.0","7,104.0","7,284.0","7,464.0","7,692.0","7,860.0","8,004.0","8,100.0","8,184.0","8,292.0","8,352.0","8,388.0","8,448.0","8,496.0","8,460.0","8,424.0","8,244.0","8,148.0","8,136.0","8,232.0","8,316.0","8,436.0","8,556.0","8,712.0","8,868.0","9,036.0","9,300.0","9,576.0","10,068.0","10,380.0","10,620.0","10,788.0","10,980.0","11,148.0","11,316.0","11,484.0","11,652.0","11,784.0","11,892.0","11,988.0","11,952.0","12,012.0","12,132.0","12,204.0","12,300.0","12,384.0","12,420.0","12,480.0","12,540.0","12,636.0","12,648.0","12,924.0","12,768.0","12,768.0","12,804.0","12,996.0","13,152.0","13,368.0","13,656.0","13,956.0","14,328.0","14,688.0","15,216.0","15,852.0","16,932.0","17,640.0","18,252.0","18,744.0","19,248.0","19,752.0","20,196.0","20,580.0","20,928.0","21,288.0","21,504.0","21,660.0","21,468.0","22,176.0","22,200.0","22,080.0","22,140.0","22,224.0","22,248.0","22,332.0","22,416.0","22,488.0","22,596.0","22,752.0"
"39","20","   Less: Contributions for government social insurance, domestic","A061RC1","42,672.0","42,852.0","43,200.0","43,404.0","43,692.0","43,980.0","44,376.0","44,628.0","44,868.0","45,120.0","45,324.0","45,408.0","45,864.0","45,924.0","46,164.0","46,212.0","46,272.0","46,296.0","46,752.0","46,740.0","46,644.0","46,380.0","46,392.0","46,668.0","50,340.0","50,436.0","50,628.0","50,808.0","51,120.0","51,204.0","51,144.0","51,300.0","51,480.0","51,504.0","51,732.0","52,416.0","57,540.0","58,416.0","58,464.0","58,644.0","58,800.0","58,968.0","59,628.0","59,304.0","59,544.0","60,024.0","60,420.0","60,696.0","73,152.0","73,704.0","74,028.0","74,376.0","74,724.0","75,072.0","75,744.0","75,996.0","76,464.0","77,040.0","77,748.0","77,904.0","82,776.0","83,124.0","83,400.0","83,892.0","84,816.0","85,380.0","86,100.0","86,256.0","86,724.0","87,156.0","86,304.0","86,244.0","87,936.0","87,444.0","87,516.0","87,468.0","88,092.0","88,500.0","88,920.0","89,916.0","90,456.0","91,176.0","91,836.0","92,460.0","98,460.0","99,000.0","99,384.0","99,948.0","100,584.0","100,764.0","101,568.0","102,264.0","102,744.0","102,840.0","103,920.0","104,532.0","108,228.0","109,368.0","110,256.0","111,096.0","112,176.0","112,992.0","113,772.0","114,096.0","115,128.0","116,172.0","116,796.0","117,048.0","124,980.0","125,988.0","127,500.0","129,264.0","129,876.0","131,196.0","132,000.0","132,696.0","133,560.0","135,144.0","135,936.0","136,980.0","147,624.0","148,608.0","150,060.0","149,736.0","150,828.0","152,112.0","153,408.0","153,996.0","155,184.0","155,904.0","157,140.0","158,388.0","162,384.0","163,224.0","163,692.0","162,984.0","163,032.0","163,728.0","164,856.0","166,692.0","168,168.0","170,412.0","171,984.0","173,100.0","190,836.0","191,448.0","192,588.0","193,356.0","193,884.0","195,096.0","196,548.0","198,072.0","198,336.0","199,128.0","199,740.0","199,380.0","206,472.0","207,540.0","207,492.0","207,324.0","208,728.0","209,064.0","209,772.0","210,156.0","209,604.0","209,772.0","209,916.0","210,888.0","220,584.0","219,672.0","220,848.0","222,036.0","223,764.0","225,024.0","226,512.0","226,728.0","228,372.0","231,744.0","232,296.0","233,856.0","249,660.0","250,956.0","252,336.0","255,048.0","255,096.0","257,328.0","258,972.0","259,380.0","261,480.0","261,384.0","263,052.0","264,948.0","274,008.0","274,800.0","277,440.0","277,068.0","278,520.0","280,932.0","280,848.0","282,720.0","284,904.0","286,356.0","287,592.0","291,252.0"
"40","21","Less: Personal current taxes","W055RC1","99,213.0","102,920.0","105,673.0","109,009.0","104,801.0","103,170.0","103,159.0","104,149.0","105,109.0","105,299.0","105,327.0","106,243.0","104,248.0","104,390.0","105,081.0","106,071.0","104,526.0","105,939.0","100,421.0","100,435.0","101,115.0","101,111.0","101,796.0","101,707.0","97,506.0","98,494.0","98,993.0","100,151.0","100,814.0","101,177.0","101,682.0","102,254.0","102,985.0","103,051.0","106,122.0","107,231.0","116,746.0","119,896.0","122,713.0","124,593.0","122,666.0","122,851.0","122,969.0","124,449.0","125,413.0","126,563.0","127,341.0","127,480.0","128,509.0","126,022.0","124,666.0","126,421.0","130,090.0","131,032.0","132,416.0","133,848.0","136,003.0","137,889.0","140,062.0","141,926.0","140,723.0","143,158.0","144,495.0","145,578.0","149,237.0","151,891.0","153,752.0","154,771.0","156,210.0","157,779.0","157,330.0","157,652.0","158,102.0","157,677.0","158,185.0","138,954.0","78,676.0","145,574.0","150,629.0","153,425.0","154,439.0","156,720.0","158,590.0","160,313.0","161,646.0","162,288.0","162,486.0","166,777.0","169,231.0","170,914.0","173,421.0","175,926.0","177,948.0","180,759.0","182,871.0","183,429.0","179,645.0","198,589.0","187,080.0","192,928.0","197,704.0","195,361.0","196,140.0","197,635.0","200,798.0","205,556.0","208,220.0","210,572.0","212,484.0","212,157.0","210,591.0","217,008.0","221,704.0","229,784.0","233,106.0","235,867.0","239,165.0","243,593.0","246,793.0","250,512.0","250,797.0","252,968.0","256,369.0","257,280.0","261,109.0","266,864.0","271,482.0","274,213.0","278,045.0","281,319.0","284,859.0","288,687.0","280,827.0","283,905.0","287,772.0","288,756.0","291,331.0","294,464.0","296,516.0","301,874.0","306,224.0","313,140.0","318,582.0","322,869.0","326,623.0","329,929.0","334,305.0","337,521.0","342,577.0","346,073.0","351,695.0","357,332.0","359,789.0","348,610.0","352,441.0","355,093.0","348,036.0","354,109.0","353,501.0","348,988.0","360,952.0","367,366.0","347,571.0","350,211.0","350,766.0","353,482.0","355,568.0","358,770.0","348,534.0","350,124.0","352,299.0","350,660.0","361,496.0","364,841.0","342,520.0","344,779.0","347,335.0","353,023.0","354,626.0","357,663.0","357,441.0","361,335.0","363,234.0","365,747.0","369,106.0","374,967.0","380,062.0","382,888.0","387,868.0","390,025.0","395,292.0","400,979.0","400,143.0","432,628.0","462,662.0","406,246.0","339,270.0","418,634.0","417,871.0","421,027.0","424,261.0","426,107.0","427,626.0","431,593.0"
"41","22","Equals: Disposable personal income","A067RC1","646,135.0","647,630.0","651,555.0","654,128.0","664,205.0","671,864.0","679,717.0","685,964.0","689,987.0","694,480.0","698,165.0","702,040.0","705,781.0","710,091.0","713,663.0","731,800.0","729,956.0","729,071.0","742,553.0","747,446.0","752,068.0","751,628.0","752,878.0","759,196.0","773,056.0","776,184.0","781,240.0","786,646.0","792,636.0","813,043.0","803,412.0","810,121.0","812,951.0","816,652.0","820,805.0","829,927.0","829,892.0","837,815.0","841,355.0","842,913.0","850,744.0","853,670.0","864,398.0","875,393.0","882,588.0","904,880.0","918,333.0","925,945.0","925,189.0","939,261.0","949,569.0","958,352.0","965,027.0","973,456.0","979,319.0","988,019.0","997,177.0","1,012,415.0","1,022,719.0","1,027,142.0","1,031,100.0","1,034,912.0","1,039,021.0","1,045,981.0","1,055,402.0","1,064,177.0","1,079,954.0","1,085,976.0","1,095,163.0","1,105,940.0","1,107,505.0","1,115,232.0","1,120,840.0","1,126,336.0","1,130,574.0","1,155,999.0","1,229,150.0","1,193,735.0","1,185,967.0","1,200,119.0","1,210,411.0","1,223,261.0","1,231,155.0","1,239,507.0","1,253,655.0","1,264,187.0","1,271,929.0","1,277,189.0","1,284,508.0","1,291,469.0","1,306,359.0","1,316,404.0","1,324,289.0","1,329,672.0","1,348,506.0","1,360,002.0","1,363,973.0","1,361,589.0","1,388,777.0","1,400,534.0","1,408,867.0","1,423,005.0","1,439,880.0","1,453,302.0","1,467,556.0","1,488,262.0","1,506,710.0","1,517,362.0","1,519,929.0","1,535,912.0","1,559,827.0","1,577,888.0","1,588,285.0","1,598,542.0","1,616,542.0","1,629,781.0","1,641,715.0","1,658,694.0","1,672,510.0","1,688,327.0","1,707,158.0","1,721,875.0","1,740,866.0","1,745,707.0","1,758,569.0","1,769,511.0","1,795,954.0","1,811,779.0","1,827,639.0","1,848,503.0","1,870,369.0","1,892,389.0","1,922,782.0","1,932,566.0","1,940,003.0","1,942,363.0","1,949,469.0","1,962,249.0","1,993,843.0","2,013,497.0","2,045,138.0","2,086,384.0","2,109,965.0","2,133,668.0","2,141,823.0","2,154,818.0","2,175,426.0","2,177,279.0","2,191,348.0","2,212,234.0","2,261,149.0","2,281,973.0","2,294,078.0","2,309,980.0","2,321,773.0","2,323,435.0","2,338,699.0","2,351,764.0","2,360,880.0","2,384,417.0","2,390,803.0","2,393,116.0","2,431,522.0","2,437,828.0","2,443,522.0","2,456,212.0","2,474,034.0","2,489,684.0","2,505,823.0","2,510,955.0","2,526,092.0","2,542,497.0","2,558,714.0","2,566,579.0","2,613,645.0","2,623,788.0","2,648,126.0","2,674,927.0","2,701,133.0","2,725,876.0","2,756,695.0","2,792,323.0","2,819,527.0","2,851,051.0","2,859,295.0","2,885,080.0","2,904,410.0","2,935,288.0","2,957,524.0","2,955,722.0","2,976,507.0","3,004,064.0","3,018,603.0","3,003,809.0","2,986,988.0","3,054,581.0","3,131,694.0","3,070,465.0","3,076,360.0","3,082,185.0","3,099,406.0","3,123,691.0","3,139,267.0","3,164,795.0"
"42","23","Less: Personal outlays","A068RC1","600,094.0","605,511.0","605,897.0","611,278.0","617,846.0","618,600.0","620,531.0","627,922.0","631,375.0","636,888.0","638,980.0","641,380.0","647,496.0","652,852.0","651,284.0","655,137.0","661,656.0","665,611.0","667,888.0","672,434.0","678,706.0","678,022.0","676,382.0","685,554.0","696,216.0","699,612.0","702,350.0","709,292.0","711,828.0","720,634.0","719,987.0","726,201.0","734,480.0","737,577.0","742,880.0","750,579.0","753,833.0","758,691.0","771,919.0","775,579.0","781,188.0","784,987.0","793,445.0","800,006.0","804,944.0","818,907.0","824,560.0","830,397.0","840,740.0","850,269.0","857,419.0","860,612.0","866,678.0","869,572.0","879,578.0","878,880.0","895,026.0","895,368.0","904,220.0","904,078.0","910,836.0","916,098.0","927,963.0","937,533.0","949,354.0","955,158.0","965,378.0","982,495.0","982,978.0","987,269.0","984,538.0","990,562.0","1,005,047.0","1,019,237.0","1,020,752.0","1,025,181.0","1,049,344.0","1,057,426.0","1,070,959.0","1,078,298.0","1,086,276.0","1,092,357.0","1,107,279.0","1,123,545.0","1,138,437.0","1,138,953.0","1,146,170.0","1,156,750.0","1,154,142.0","1,172,084.0","1,181,386.0","1,189,990.0","1,201,096.0","1,209,317.0","1,221,766.0","1,244,548.0","1,248,401.0","1,265,076.0","1,272,478.0","1,281,884.0","1,292,134.0","1,299,104.0","1,316,319.0","1,321,960.0","1,331,269.0","1,348,517.0","1,364,674.0","1,374,408.0","1,368,869.0","1,395,237.0","1,418,290.0","1,437,814.0","1,453,960.0","1,468,382.0","1,469,968.0","1,490,623.0","1,497,022.0","1,511,660.0","1,525,708.0","1,541,915.0","1,547,769.0","1,563,460.0","1,577,181.0","1,584,870.0","1,605,683.0","1,623,011.0","1,634,157.0","1,664,152.0","1,683,088.0","1,691,237.0","1,707,925.0","1,718,356.0","1,752,323.0","1,757,456.0","1,764,736.0","1,750,792.0","1,755,452.0","1,774,011.0","1,801,641.0","1,818,339.0","1,835,273.0","1,873,075.0","1,883,576.0","1,909,556.0","1,932,250.0","1,947,631.0","1,967,189.0","1,969,362.0","1,979,358.0","2,000,641.0","2,009,450.0","2,034,488.0","2,033,806.0","2,032,670.0","2,039,630.0","2,057,918.0","2,067,012.0","2,091,837.0","2,095,793.0","2,100,014.0","2,119,689.0","2,124,809.0","2,150,611.0","2,160,063.0","2,185,986.0","2,208,666.0","2,233,649.0","2,247,388.0","2,260,918.0","2,264,783.0","2,291,181.0","2,315,582.0","2,335,700.0","2,366,501.0","2,396,368.0","2,413,171.0","2,428,176.0","2,451,947.0","2,461,317.0","2,489,386.0","2,515,578.0","2,500,529.0","2,529,591.0","2,557,178.0","2,575,376.0","2,597,834.0","2,598,345.0","2,617,178.0","2,639,900.0","2,638,491.0","2,679,847.0","2,692,461.0","2,728,444.0","2,750,608.0","2,759,257.0","2,772,856.0","2,810,311.0","2,802,550.0","2,826,849.0","2,863,022.0","2,906,917.0","2,870,951.0","2,888,206.0","2,929,046.0"
"43","24","  Personal consumption expenditures","DPCERC1","584,873.0","590,118.0","590,333.0","595,335.0","601,742.0","602,344.0","604,185.0","611,435.0","614,751.0","620,050.0","622,019.0","624,310.0","630,245.0","635,511.0","633,858.0","637,570.0","644,000.0","647,857.0","650,070.0","654,511.0","660,680.0","659,933.0","658,182.0","667,233.0","677,770.0","681,030.0","683,625.0","690,384.0","692,770.0","701,427.0","700,541.0","706,595.0","714,704.0","717,571.0","722,701.0","730,233.0","733,393.0","738,089.0","751,153.0","754,546.0","760,003.0","763,668.0","772,020.0","778,469.0","783,303.0","797,126.0","802,657.0","808,345.0","818,737.0","828,097.0","835,078.0","838,056.0","843,964.0","846,709.0","856,571.0","855,736.0","871,752.0","870,690.0","879,456.0","879,266.0","887,281.0","892,482.0","904,232.0","913,605.0","925,224.0","930,795.0","940,683.0","957,546.0","957,786.0","961,975.0","958,945.0","964,599.0","978,411.0","992,269.0","993,559.0","998,180.0","1,022,211.0","1,030,148.0","1,043,218.0","1,050,411.0","1,058,256.0","1,064,222.0","1,079,110.0","1,095,431.0","1,110,587.0","1,111,169.0","1,118,373.0","1,128,911.0","1,126,198.0","1,144,020.0","1,153,148.0","1,161,599.0","1,172,535.0","1,180,572.0","1,192,754.0","1,215,186.0","1,218,472.0","1,234,745.0","1,241,774.0","1,250,848.0","1,260,758.0","1,267,392.0","1,284,359.0","1,289,653.0","1,298,599.0","1,315,527.0","1,331,257.0","1,340,515.0","1,334,310.0","1,360,173.0","1,382,740.0","1,401,616.0","1,417,286.0","1,431,219.0","1,432,277.0","1,452,473.0","1,458,453.0","1,472,550.0","1,486,239.0","1,502,104.0","1,507,894.0","1,523,244.0","1,536,607.0","1,543,947.0","1,564,367.0","1,581,286.0","1,591,820.0","1,621,370.0","1,639,841.0","1,647,720.0","1,663,444.0","1,672,433.0","1,703,150.0","1,707,019.0","1,713,696.0","1,700,651.0","1,705,398.0","1,724,077.0","1,752,198.0","1,768,742.0","1,785,216.0","1,821,556.0","1,831,396.0","1,856,822.0","1,876,232.0","1,891,048.0","1,909,925.0","1,911,085.0","1,920,213.0","1,940,558.0","1,947,866.0","1,971,973.0","1,970,437.0","1,968,341.0","1,974,467.0","1,991,865.0","1,999,278.0","2,023,133.0","2,026,102.0","2,028,782.0","2,047,510.0","2,051,740.0","2,076,585.0","2,085,210.0","2,110,306.0","2,132,096.0","2,156,194.0","2,168,991.0","2,181,766.0","2,184,704.0","2,210,250.0","2,233,525.0","2,252,827.0","2,282,774.0","2,311,150.0","2,327,114.0","2,341,331.0","2,364,139.0","2,372,890.0","2,400,458.0","2,426,428.0","2,410,832.0","2,439,182.0","2,465,463.0","2,482,728.0","2,504,195.0","2,503,532.0","2,521,423.0","2,543,310.0","2,541,244.0","2,581,631.0","2,593,038.0","2,627,311.0","2,647,996.0","2,655,013.0","2,666,231.0","2,702,348.0","2,693,681.0","2,717,790.0","2,753,324.0","2,796,436.0","2,759,393.0","2,775,836.0","2,815,969.0"
"44","25","  Personal interest payments \1\","B069RC1","13,160.0","13,326.0","13,491.0","13,664.0","13,818.0","13,963.0","14,090.0","14,223.0","14,352.0","14,493.0","14,606.0","14,705.0","14,780.0","14,859.0","14,933.0","14,981.0","15,057.0","15,142.0","15,249.0","15,340.0","15,429.0","15,500.0","15,596.0","15,702.0","15,823.0","15,943.0","16,070.0","16,210.0","16,340.0","16,469.0","16,581.0","16,719.0","16,867.0","17,053.0","17,200.0","17,338.0","17,441.0","17,575.0","17,717.0","17,896.0","18,031.0","18,151.0","18,244.0","18,345.0","18,441.0","18,486.0","18,607.0","18,758.0","18,985.0","19,159.0","19,327.0","19,494.0","19,646.0","19,789.0","19,918.0","20,044.0","20,163.0","20,324.0","20,393.0","20,418.0","20,268.0","20,304.0","20,394.0","20,571.0","20,747.0","20,954.0","21,254.0","21,478.0","21,688.0","21,770.0","22,036.0","22,373.0","23,019.0","23,317.0","23,505.0","23,422.0","23,513.0","23,617.0","23,767.0","23,871.0","23,962.0","24,143.0","24,133.0","24,034.0","23,621.0","23,512.0","23,482.0","23,616.0","23,681.0","23,761.0","23,855.0","23,969.0","24,100.0","24,162.0","24,393.0","24,707.0","25,252.0","25,620.0","25,959.0","26,236.0","26,543.0","26,846.0","27,119.0","27,435.0","27,767.0","28,072.0","28,469.0","28,915.0","29,500.0","29,975.0","30,431.0","30,828.0","31,273.0","31,728.0","32,258.0","32,682.0","33,066.0","33,384.0","33,705.0","34,006.0","34,230.0","34,528.0","34,846.0","35,188.0","35,541.0","35,910.0","36,289.0","36,692.0","37,115.0","36,940.0","37,864.0","39,269.0","42,687.0","43,909.0","44,464.0","43,513.0","43,365.0","43,181.0","42,509.0","42,591.0","42,976.0","44,221.0","44,794.0","45,251.0","45,272.0","45,739.0","46,331.0","47,116.0","47,907.0","48,771.0","49,907.0","50,770.0","51,559.0","52,087.0","52,866.0","53,710.0","54,685.0","55,610.0","56,549.0","57,606.0","58,499.0","59,332.0","60,023.0","60,792.0","61,561.0","62,252.0","63,076.0","63,954.0","65,063.0","65,923.0","66,708.0","67,272.0","68,018.0","68,799.0","69,733.0","70,497.0","71,207.0","71,953.0","72,490.0","72,906.0","72,822.0","73,282.0","73,907.0","74,840.0","75,688.0","76,594.0","77,779.0","78,635.0","79,384.0","79,555.0","80,441.0","81,571.0","82,945.0","84,341.0","85,881.0","88,347.0","89,579.0","90,379.0","90,029.0","90,555.0","91,222.0","92,485.0","93,169.0","93,736.0"
"45","26","  Personal current transfer payments","W211RC1","2,061.0","2,067.0","2,073.0","2,279.0","2,286.0","2,293.0","2,256.0","2,264.0","2,272.0","2,345.0","2,355.0","2,365.0","2,471.0","2,482.0","2,493.0","2,586.0","2,599.0","2,612.0","2,569.0","2,583.0","2,597.0","2,589.0","2,604.0","2,619.0","2,623.0","2,639.0","2,655.0","2,698.0","2,718.0","2,738.0","2,865.0","2,887.0","2,909.0","2,953.0","2,979.0","3,008.0","2,999.0","3,027.0","3,049.0","3,137.0","3,154.0","3,168.0","3,181.0","3,192.0","3,200.0","3,295.0","3,296.0","3,294.0","3,018.0","3,013.0","3,014.0","3,062.0","3,068.0","3,074.0","3,089.0","3,100.0","3,111.0","4,354.0","4,371.0","4,394.0","3,287.0","3,312.0","3,337.0","3,357.0","3,383.0","3,409.0","3,441.0","3,471.0","3,504.0","3,524.0","3,557.0","3,590.0","3,617.0","3,651.0","3,688.0","3,579.0","3,620.0","3,661.0","3,974.0","4,016.0","4,058.0","3,992.0","4,036.0","4,080.0","4,229.0","4,272.0","4,315.0","4,223.0","4,263.0","4,303.0","4,383.0","4,422.0","4,461.0","4,583.0","4,619.0","4,655.0","4,677.0","4,711.0","4,745.0","4,800.0","4,833.0","4,866.0","4,841.0","4,872.0","4,903.0","4,918.0","4,948.0","4,978.0","5,059.0","5,089.0","5,119.0","5,370.0","5,401.0","5,435.0","5,433.0","5,468.0","5,503.0","5,726.0","5,764.0","5,805.0","5,645.0","5,688.0","5,728.0","5,735.0","5,775.0","5,815.0","6,048.0","6,090.0","6,132.0","6,577.0","6,617.0","6,654.0","6,486.0","6,528.0","6,576.0","6,628.0","6,689.0","6,753.0","6,934.0","7,006.0","7,081.0","7,298.0","7,386.0","7,483.0","10,746.0","10,844.0","10,933.0","11,161.0","11,238.0","11,312.0","11,677.0","11,745.0","11,810.0","12,242.0","12,297.0","12,343.0","13,049.0","13,094.0","13,142.0","13,626.0","13,680.0","13,737.0","14,003.0","14,061.0","14,119.0","14,318.0","14,379.0","14,443.0","14,089.0","14,156.0","14,223.0","14,785.0","14,855.0","14,928.0","15,485.0","15,560.0","15,638.0","15,855.0","15,937.0","16,022.0","16,328.0","16,415.0","16,502.0","16,875.0","16,960.0","17,045.0","17,034.0","17,120.0","17,206.0","17,692.0","17,775.0","17,852.0","18,188.0","18,271.0","18,363.0","18,278.0","18,384.0","18,490.0","19,030.0","19,143.0","19,259.0","19,073.0","19,201.0","19,341.0"
"46","27","Equals: Personal saving","A071RC1","46,041.0","42,119.0","45,658.0","42,850.0","46,359.0","53,264.0","59,186.0","58,042.0","58,612.0","57,592.0","59,185.0","60,660.0","58,285.0","57,239.0","62,379.0","76,663.0","68,299.0","63,460.0","74,665.0","75,012.0","73,362.0","73,606.0","76,496.0","73,642.0","76,840.0","76,572.0","78,890.0","77,355.0","80,808.0","92,409.0","83,425.0","83,921.0","78,472.0","79,076.0","77,925.0","79,348.0","76,059.0","79,124.0","69,436.0","67,335.0","69,557.0","68,682.0","70,953.0","75,387.0","77,644.0","85,972.0","93,773.0","95,549.0","84,449.0","88,992.0","92,150.0","97,741.0","98,350.0","103,885.0","99,741.0","109,139.0","102,151.0","117,046.0","118,499.0","123,065.0","120,264.0","118,814.0","111,058.0","108,448.0","106,048.0","109,019.0","114,576.0","103,481.0","112,185.0","118,670.0","122,967.0","124,671.0","115,792.0","107,099.0","109,822.0","130,818.0","179,806.0","136,309.0","115,008.0","121,821.0","124,135.0","130,904.0","123,876.0","115,962.0","115,218.0","125,234.0","125,759.0","120,439.0","130,366.0","119,385.0","124,973.0","126,414.0","123,193.0","120,355.0","126,740.0","115,454.0","115,572.0","96,513.0","116,299.0","118,650.0","116,733.0","123,900.0","123,561.0","131,342.0","136,287.0","139,745.0","142,036.0","142,955.0","151,060.0","140,675.0","141,537.0","140,074.0","134,325.0","130,160.0","146,574.0","139,158.0","144,693.0","147,034.0","146,801.0","146,412.0","159,390.0","158,415.0","163,685.0","160,836.0","152,886.0","146,500.0","161,798.0","147,627.0","144,551.0","157,266.0","162,444.0","174,032.0","170,458.0","175,110.0","175,268.0","191,571.0","194,017.0","188,238.0","192,202.0","195,158.0","209,865.0","213,308.0","226,390.0","224,112.0","209,573.0","207,187.0","208,237.0","207,916.0","211,990.0","211,593.0","251,698.0","247,485.0","260,272.0","277,310.0","282,143.0","265,517.0","271,687.0","259,928.0","265,087.0","284,403.0","271,114.0","268,307.0","280,911.0","277,765.0","257,536.0","247,545.0","240,386.0","242,295.0","244,906.0","246,173.0","234,911.0","226,915.0","223,014.0","200,078.0","217,276.0","210,618.0","219,951.0","222,980.0","239,816.0","236,489.0","241,117.0","291,793.0","289,936.0","293,873.0","283,920.0","287,246.0","306,065.0","318,109.0","317,624.0","317,231.0","296,660.0","311,603.0","290,159.0","253,201.0","227,731.0","281,725.0","321,383.0","267,915.0","249,511.0","219,163.0","192,489.0","252,740.0","251,061.0","235,749.0"
"47","28","  Personal saving as a percentage of disposable personal income","A072RC1","7.1","6.5","7.0","6.6","7.0","7.9","8.7","8.5","8.5","8.3","8.5","8.6","8.3","8.1","8.7","10.5","9.4","8.7","10.1","10.0","9.8","9.8","10.2","9.7","9.9","9.9","10.1","9.8","10.2","11.4","10.4","10.4","9.7","9.7","9.5","9.6","9.2","9.4","8.3","8.0","8.2","8.0","8.2","8.6","8.8","9.5","10.2","10.3","9.1","9.5","9.7","10.2","10.2","10.7","10.2","11.0","10.2","11.6","11.6","12.0","11.7","11.5","10.7","10.4","10.0","10.2","10.6","9.5","10.2","10.7","11.1","11.2","10.3","9.5","9.7","11.3","14.6","11.4","9.7","10.2","10.3","10.7","10.1","9.4","9.2","9.9","9.9","9.4","10.1","9.2","9.6","9.6","9.3","9.1","9.4","8.5","8.5","7.1","8.4","8.5","8.3","8.7","8.6","9.0","9.3","9.4","9.4","9.4","9.9","9.2","9.1","8.9","8.5","8.1","9.1","8.5","8.8","8.9","8.8","8.7","9.3","9.2","9.4","9.2","8.7","8.3","9.0","8.1","7.9","8.5","8.7","9.2","8.9","9.1","9.0","9.9","10.0","9.6","9.6","9.7","10.3","10.2","10.7","10.5","9.8","9.6","9.6","9.5","9.7","9.6","11.1","10.8","11.3","12.0","12.2","11.4","11.6","11.1","11.2","11.9","11.3","11.2","11.6","11.4","10.5","10.1","9.7","9.7","9.8","9.8","9.3","8.9","8.7","7.8","8.3","8.0","8.3","8.3","8.9","8.7","8.7","10.4","10.3","10.3","9.9","10.0","10.5","10.8","10.7","10.7","10.0","10.4","9.6","8.4","7.6","9.2","10.3","8.7","8.1","7.1","6.2","8.1","8.0","7.4"
