"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Domestic business","W276RC1","7,603.0","7,401.0","6,878.0","6,044.0","5,689.0","5,803.0","5,825.0","5,916.0","6,599.0","6,747.0","6,703.0","6,969.0","7,712.0","8,726.0","8,733.0","9,007.0","9,285.0","10,325.0","13,497.0","15,889.0","17,321.0","18,564.0","21,171.0","22,415.0","23,614.0","24,628.0","25,831.0","28,620.0","31,172.0","33,054.0","34,297.0","34,628.0","35,427.0","36,611.0","38,059.0","40,003.0","42,933.0","46,859.0","51,191.0","56,096.0","61,937.0"
"22","4","    Corporate business","A438RC1","4,988.0","4,816.0","4,496.0","3,992.0","3,784.0","3,864.0","3,924.0","3,960.0","4,424.0","4,484.0","4,456.0","4,632.0","5,104.0","5,780.0","5,816.0","5,956.0","6,140.0","6,884.0","8,884.0","10,384.0","11,228.0","11,960.0","13,628.0","14,460.0","15,388.0","16,176.0","17,088.0","19,220.0","21,260.0","22,692.0","23,668.0","23,980.0","24,616.0","25,520.0","26,684.0","28,180.0","30,396.0","33,388.0","36,780.0","40,620.0","45,120.0"
"23","5","      Financial","B580RC1","212.0","204.0","192.0","164.0","152.0","164.0","164.0","172.0","188.0","192.0","192.0","196.0","228.0","268.0","248.0","256.0","236.0","220.0","344.0","388.0","420.0","440.0","500.0","536.0","572.0","612.0","636.0","720.0","796.0","892.0","940.0","916.0","952.0","1,000.0","1,064.0","1,152.0","1,304.0","1,456.0","1,628.0","1,880.0","2,204.0"
"24","6","      Nonfinancial","B456RC1","4,776.0","4,612.0","4,304.0","3,828.0","3,632.0","3,700.0","3,760.0","3,788.0","4,236.0","4,292.0","4,264.0","4,436.0","4,876.0","5,512.0","5,568.0","5,700.0","5,904.0","6,664.0","8,540.0","9,996.0","10,808.0","11,520.0","13,128.0","13,924.0","14,816.0","15,564.0","16,452.0","18,500.0","20,464.0","21,800.0","22,728.0","23,064.0","23,664.0","24,520.0","25,620.0","27,028.0","29,092.0","31,932.0","35,152.0","38,740.0","42,916.0"
"25","7","    Noncorporate business","W277RC1","2,615.0","2,585.0","2,382.0","2,052.0","1,905.0","1,939.0","1,901.0","1,956.0","2,175.0","2,263.0","2,247.0","2,337.0","2,608.0","2,946.0","2,917.0","3,051.0","3,145.0","3,441.0","4,613.0","5,505.0","6,093.0","6,604.0","7,543.0","7,955.0","8,226.0","8,452.0","8,743.0","9,400.0","9,912.0","10,362.0","10,629.0","10,648.0","10,811.0","11,091.0","11,375.0","11,823.0","12,537.0","13,471.0","14,411.0","15,476.0","16,817.0"
"26","8","      Sole proprietorships and partnerships","A1615C1","2,235.0","2,206.0","2,036.0","1,773.0","1,630.0","1,635.0","1,595.0","1,625.0","1,797.0","1,864.0","1,836.0","1,899.0","2,115.0","2,404.0","2,348.0","2,440.0","2,501.0","2,735.0","3,726.0","4,512.0","5,055.0","5,511.0","6,336.0","6,694.0","6,930.0","7,124.0","7,365.0","7,944.0","8,412.0","8,827.0","9,056.0","8,948.0","8,980.0","9,111.0","9,343.0","9,702.0","10,276.0","11,014.0","11,799.0","12,658.0","13,747.0"
"27","9","        Farm","B1616C1","707.0","701.0","651.0","580.0","544.0","534.0","518.0","535.0","586.0","617.0","606.0","615.0","682.0","802.0","799.0","847.0","877.0","934.0","1,235.0","1,542.0","1,799.0","2,008.0","2,296.0","2,464.0","2,551.0","2,604.0","2,634.0","2,752.0","2,838.0","2,968.0","3,042.0","2,978.0","2,977.0","3,021.0","3,106.0","3,222.0","3,422.0","3,678.0","3,962.0","4,222.0","4,490.0"
"28","10","        Nonfarm","B1617C1","1,528.0","1,505.0","1,385.0","1,193.0","1,086.0","1,101.0","1,077.0","1,090.0","1,211.0","1,247.0","1,230.0","1,284.0","1,433.0","1,602.0","1,549.0","1,593.0","1,624.0","1,801.0","2,491.0","2,970.0","3,256.0","3,503.0","4,040.0","4,230.0","4,379.0","4,520.0","4,731.0","5,192.0","5,574.0","5,859.0","6,014.0","5,970.0","6,003.0","6,090.0","6,237.0","6,480.0","6,854.0","7,336.0","7,837.0","8,436.0","9,257.0"
"29","11","      Other private business","A1618C1","380.0","379.0","346.0","279.0","275.0","304.0","306.0","331.0","378.0","399.0","411.0","438.0","493.0","542.0","569.0","611.0","644.0","706.0","887.0","993.0","1,038.0","1,093.0","1,207.0","1,261.0","1,296.0","1,328.0","1,378.0","1,456.0","1,500.0","1,535.0","1,573.0","1,700.0","1,831.0","1,980.0","2,032.0","2,121.0","2,261.0","2,457.0","2,612.0","2,818.0","3,070.0"
"30","12","        Rental income of persons","B1620C1","380.0","379.0","346.0","279.0","275.0","304.0","301.0","316.0","353.0","366.0","373.0","393.0","437.0","472.0","504.0","542.0","574.0","630.0","772.0","854.0","880.0","922.0","1,012.0","1,055.0","1,079.0","1,101.0","1,143.0","1,198.0","1,225.0","1,243.0","1,278.0","1,415.0","1,541.0","1,683.0","1,726.0","1,808.0","1,940.0","2,125.0","2,263.0","2,446.0","2,676.0"
"31","13","          Nonfarm tenant-occupied housing","B2608C1","345.0","344.0","314.0","254.0","250.0","276.0","273.0","287.0","320.0","332.0","339.0","357.0","397.0","429.0","458.0","491.0","521.0","568.0","693.0","766.0","788.0","823.0","900.0","937.0","957.0","974.0","1,009.0","1,052.0","1,073.0","1,090.0","1,123.0","1,257.0","1,382.0","1,523.0","1,566.0","1,645.0","1,769.0","1,942.0","2,065.0","2,231.0","2,441.0"
"32","14","          Farm tenant-occupied housing","W278RC1","13.0","13.0","12.0","9.0","9.0","10.0","10.0","10.0","12.0","12.0","12.0","13.0","14.0","15.0","16.0","18.0","19.0","21.0","26.0","29.0","30.0","31.0","34.0","36.0","36.0","37.0","37.0","39.0","39.0","39.0","39.0","39.0","38.0","38.0","38.0","38.0","39.0","40.0","42.0","44.0","46.0"
"33","15","          Farms owned by nonoperator landlords","B2609C1","16.0","16.0","14.0","11.0","11.0","12.0","12.0","13.0","14.0","15.0","15.0","15.0","17.0","18.0","20.0","22.0","23.0","26.0","32.0","35.0","36.0","38.0","41.0","43.0","44.0","44.0","45.0","47.0","47.0","47.0","46.0","46.0","46.0","46.0","45.0","45.0","46.0","48.0","49.0","52.0","54.0"
"34","16","          Nonfarm nonresidential properties","B2610C1","6.0","6.0","6.0","5.0","5.0","6.0","6.0","6.0","7.0","7.0","7.0","8.0","9.0","10.0","10.0","11.0","11.0","15.0","21.0","24.0","26.0","30.0","37.0","39.0","42.0","46.0","52.0","60.0","66.0","67.0","70.0","73.0","75.0","76.0","77.0","80.0","86.0","95.0","107.0","119.0","135.0"
"35","17","        Proprietors' income","B1619C1","0.0","0.0","0.0","0.0","0.0","0.0","5.0","15.0","25.0","33.0","38.0","45.0","56.0","70.0","65.0","69.0","70.0","76.0","115.0","139.0","158.0","171.0","195.0","206.0","217.0","227.0","235.0","258.0","275.0","292.0","295.0","285.0","290.0","297.0","306.0","313.0","321.0","332.0","349.0","372.0","394.0"
"36","18","  Households and institutions","W279RC1","1,106.0","1,100.0","1,008.0","825.0","809.0","894.0","888.0","939.0","1,055.0","1,096.0","1,118.0","1,178.0","1,308.0","1,420.0","1,528.0","1,649.0","1,757.0","1,989.0","2,561.0","2,965.0","3,178.0","3,463.0","3,991.0","4,325.0","4,591.0","4,842.0","5,226.0","5,721.0","6,077.0","6,334.0","6,663.0","6,955.0","7,204.0","7,468.0","7,819.0","8,294.0","8,927.0","9,622.0","10,368.0","11,326.0","12,553.0"
"37","19","    Owner-occupied housing","B2607C1","877.0","873.0","798.0","646.0","635.0","705.0","699.0","737.0","824.0","858.0","876.0","924.0","1,029.0","1,115.0","1,208.0","1,315.0","1,411.0","1,577.0","2,017.0","2,341.0","2,528.0","2,768.0","3,166.0","3,439.0","3,654.0","3,864.0","4,179.0","4,546.0","4,789.0","4,994.0","5,246.0","5,452.0","5,618.0","5,772.0","6,004.0","6,341.0","6,800.0","7,285.0","7,824.0","8,543.0","9,460.0"
"38","20","    Nonprofit institutions serving households","B1621C1","229.0","227.0","210.0","179.0","174.0","189.0","189.0","202.0","231.0","238.0","242.0","254.0","279.0","305.0","320.0","334.0","346.0","412.0","544.0","624.0","650.0","695.0","825.0","886.0","937.0","978.0","1,047.0","1,175.0","1,288.0","1,340.0","1,417.0","1,503.0","1,586.0","1,696.0","1,815.0","1,953.0","2,127.0","2,337.0","2,544.0","2,783.0","3,093.0"
"39","21","Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0"
"40","22","  General government","A265RC1","828.0","815.0","775.0","691.0","771.0","900.0","932.0","1,043.0","1,108.0","1,159.0","1,205.0","1,286.0","1,755.0","3,238.0","5,946.0","8,577.0","9,758.0","10,438.0","10,192.0","9,147.0","8,194.0","7,403.0","8,040.0","8,900.0","9,744.0","10,407.0","10,965.0","11,904.0","12,658.0","12,880.0","13,427.0","13,910.0","14,395.0","15,245.0","16,144.0","16,674.0","17,358.0","18,337.0","19,598.0","21,035.0","22,501.0"
"41","23","    Federal","B995RC1","215.0","201.0","192.0","179.0","184.0","223.0","265.0","311.0","347.0","378.0","401.0","453.0","814.0","2,114.0","4,738.0","7,446.0","8,653.0","9,230.0","8,742.0","7,491.0","6,519.0","5,747.0","6,021.0","6,748.0","7,536.0","8,165.0","8,571.0","9,131.0","9,646.0","9,756.0","10,098.0","10,443.0","10,728.0","11,310.0","11,924.0","12,145.0","12,425.0","12,881.0","13,612.0","14,406.0","15,078.0"
"42","24","    State and local","B986RC1","613.0","614.0","583.0","512.0","587.0","677.0","667.0","732.0","761.0","781.0","804.0","833.0","941.0","1,124.0","1,208.0","1,131.0","1,105.0","1,208.0","1,450.0","1,656.0","1,675.0","1,656.0","2,019.0","2,152.0","2,208.0","2,242.0","2,394.0","2,773.0","3,012.0","3,124.0","3,329.0","3,467.0","3,667.0","3,935.0","4,220.0","4,529.0","4,933.0","5,456.0","5,986.0","6,629.0","7,423.0"
"43","25","  Government enterprises","A266RC1","130.0","135.0","134.0","126.0","136.0","177.0","167.0","188.0","214.0","231.0","234.0","247.0","275.0","297.0","292.0","311.0","309.0","344.0","399.0","464.0","487.0","512.0","590.0","645.0","688.0","719.0","764.0","859.0","937.0","987.0","1,026.0","1,091.0","1,156.0","1,234.0","1,310.0","1,395.0","1,501.0","1,636.0","1,778.0","1,961.0","2,200.0"
"44","26","    Federal","B833RC1","1.0","1.0","1.0","2.0","3.0","4.0","4.0","4.0","5.0","6.0","6.0","7.0","10.0","12.0","14.0","18.0","18.0","22.0","25.0","30.0","32.0","39.0","46.0","60.0","65.0","72.0","77.0","87.0","95.0","98.0","116.0","133.0","144.0","157.0","165.0","177.0","192.0","214.0","242.0","273.0","308.0"
"45","27","    State and local","B846RC1","129.0","134.0","133.0","124.0","133.0","173.0","163.0","184.0","209.0","225.0","228.0","240.0","265.0","285.0","278.0","293.0","291.0","322.0","374.0","434.0","455.0","473.0","544.0","585.0","623.0","647.0","687.0","772.0","842.0","889.0","910.0","958.0","1,012.0","1,077.0","1,145.0","1,218.0","1,309.0","1,422.0","1,536.0","1,688.0","1,892.0"
"46",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","28","  Nonfarm business","B1667C1","7,011.0","6,820.0","6,347.0","5,578.0","5,270.0","5,435.0","5,463.0","5,558.0","6,215.0","6,348.0","6,318.0","6,588.0","7,290.0","8,203.0","8,209.0","8,453.0","8,698.0","9,715.0","12,634.0","14,778.0","15,971.0","17,025.0","19,416.0","20,542.0","21,692.0","22,678.0","23,890.0","26,646.0","29,181.0","30,972.0","32,169.0","32,621.0","33,478.0","34,687.0","36,115.0","38,015.0","40,835.0","44,619.0","48,786.0","53,591.0","59,378.0"
