"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product","A191RX1","1,772,204.0","1,769,486.0","1,768,032.0","1,794,842.0","1,823,365.0","1,856,930.0","1,866,913.0","1,869,779.0","1,843,814.0","1,837,080.0","1,857,689.0","1,840,250.0","1,914,632.0","1,972,901.0","2,050,100.0","2,086,170.0","2,112,534.0","2,147,579.0","2,190,372.0","2,194,083.0","2,216,159.0","2,218,603.0","2,233,467.0","2,307,245.0","2,350,414.0","2,368,201.0","2,353,802.0","2,316,544.0","2,305,491.0","2,308,383.0","2,334,410.0","2,381,157.0","2,449,748.0","2,490,274.0","2,523,548.0","2,537,637.0","2,526,058.0","2,545,925.0","2,542,725.0","2,584,276.0","2,600,158.0","2,593,885.0","2,618,873.0","2,591,321.0","2,521,170.0","2,536,645.0","2,596,083.0","2,656,615.0","2,710,349.0","2,778,801.0","2,775,488.0","2,785,204.0","2,847,699.0","2,834,390.0","2,839,022.0","2,802,616.0","2,819,264.0","2,872,005.0","2,918,419.0","2,977,830.0","3,031,241.0","3,064,709.0","3,093,047.0","3,100,563.0","3,141,087.0","3,180,447.0","3,240,332.0","3,264,967.0","3,338,246.0","3,376,587.0","3,422,469.0","3,431,957.0","3,516,251.0","3,563,960.0","3,636,285.0","3,724,014.0","3,815,423.0","3,828,124.0","3,853,301.0","3,884,520.0","3,918,740.0","3,919,556.0","3,950,826.0","3,980,970.0","4,063,013.0","4,131,998.0","4,160,267.0","4,178,293.0","4,244,100.0","4,256,460.0","4,283,378.0","4,263,261.0"
"21","2","Less: Exports of goods and services","A020RX1","85,312.0","84,236.0","79,961.0","70,902.0","67,668.0","61,342.0","62,784.0","60,571.0","67,819.0","67,237.0","61,621.0","53,343.0","52,464.0","53,096.0","54,473.0","58,887.0","61,831.0","67,917.0","69,585.0","68,931.0","72,599.0","64,620.0","59,517.0","59,925.0","58,911.0","59,278.0","61,654.0","59,622.0","56,948.0","65,130.0","63,038.0","65,940.0","68,391.0","66,796.0","71,179.0","71,499.0","74,892.0","79,939.0","82,601.0","86,305.0","91,933.0","89,207.0","86,708.0","84,114.0","75,765.0","76,124.0","76,366.0","76,128.0","81,161.0","83,862.0","86,525.0","84,211.0","94,758.0","100,780.0","98,236.0","100,272.0","99,584.0","98,199.0","97,666.0","100,686.0","100,440.0","110,078.0","103,923.0","101,677.0","104,060.0","116,238.0","110,028.0","115,550.0","122,631.0","124,658.0","123,697.0","127,385.0","113,642.0","134,979.0","127,249.0","136,470.0","134,073.0","139,949.0","134,689.0","139,133.0","141,819.0","140,529.0","137,110.0","141,015.0","145,113.0","148,002.0","156,702.0","154,705.0","136,139.0","166,658.0","162,659.0","168,299.0"
"22","3","Plus: Imports of goods and services","A021RX1","51,021.0","52,004.0","46,121.0","48,608.0","54,813.0","56,986.0","59,960.0","58,987.0","57,218.0","56,385.0","54,086.0","54,899.0","56,433.0","59,549.0","73,486.0","73,623.0","73,626.0","71,186.0","65,159.0","63,456.0","70,818.0","70,451.0","74,760.0","81,463.0","79,456.0","83,577.0","83,258.0","79,163.0","74,591.0","81,300.0","76,396.0","77,121.0","81,678.0","86,309.0","87,762.0","90,941.0","94,760.0","94,267.0","95,085.0","90,722.0","97,938.0","98,702.0","96,800.0","97,132.0","98,578.0","102,791.0","101,230.0","106,527.0","109,272.0","114,558.0","115,635.0","112,697.0","116,968.0","117,847.0","114,379.0","108,984.0","108,454.0","109,776.0","117,046.0","119,829.0","123,477.0","126,172.0","127,772.0","129,334.0","126,340.0","129,314.0","132,598.0","132,163.0","132,039.0","135,011.0","138,634.0","142,383.0","137,257.0","153,455.0","154,086.0","161,607.0","165,776.0","169,898.0","179,420.0","181,426.0","184,289.0","182,810.0","185,202.0","194,968.0","206,460.0","209,614.0","222,214.0","220,342.0","199,557.0","238,927.0","235,831.0","233,240.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,727,895.0","1,727,950.0","1,726,673.0","1,773,227.0","1,815,565.0","1,863,622.0","1,874,809.0","1,880,312.0","1,839,696.0","1,832,846.0","1,860,282.0","1,856,622.0","1,935,519.0","1,997,586.0","2,091,065.0","2,121,204.0","2,143,632.0","2,166,333.0","2,198,726.0","2,201,282.0","2,227,787.0","2,242,906.0","2,272,012.0","2,355,011.0","2,397,991.0","2,420,606.0","2,401,653.0","2,361,882.0","2,349,206.0","2,347,549.0","2,371,238.0","2,415,157.0","2,486,786.0","2,536,229.0","2,565,027.0","2,582,717.0","2,570,202.0","2,581,948.0","2,575,502.0","2,606,792.0","2,622,757.0","2,621,565.0","2,648,736.0","2,625,064.0","2,568,033.0","2,587,964.0","2,646,575.0","2,714,547.0","2,764,800.0","2,836,420.0","2,830,235.0","2,840,428.0","2,892,981.0","2,871,262.0","2,876,043.0","2,829,928.0","2,847,384.0","2,904,797.0","2,960,918.0","3,020,060.0","3,078,947.0","3,101,509.0","3,141,361.0","3,154,031.0","3,188,736.0","3,214,028.0","3,287,866.0","3,304,419.0","3,368,687.0","3,408,033.0","3,460,140.0","3,468,419.0","3,569,536.0","3,603,637.0","3,689,732.0","3,773,720.0","3,875,069.0","3,883,719.0","3,927,383.0","3,954,763.0","3,988,708.0","3,989,940.0","4,029,554.0","4,064,596.0","4,154,203.0","4,223,749.0","4,252,551.0","4,272,066.0","4,345,850.0","4,353,119.0","4,383,454.0","4,352,135.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","140,248.0","146,937.0","144,238.0","128,229.0","121,505.0","108,161.0","107,323.0","101,886.0","112,352.0","109,954.0","99,967.0","85,589.0","83,044.0","83,833.0","85,000.0","91,891.0","98,667.0","111,588.0","117,312.0","116,707.0","119,832.0","105,979.0","96,780.0","97,030.0","95,723.0","95,966.0","99,168.0","95,166.0","90,035.0","102,413.0","98,954.0","103,360.0","107,165.0","104,553.0","111,185.0","111,713.0","116,774.0","124,764.0","128,947.0","135,510.0","144,759.0","140,639.0","136,100.0","131,218.0","116,118.0","115,718.0","115,710.0","115,397.0","121,845.0","125,755.0","130,424.0","127,741.0","143,680.0","151,914.0","148,097.0","150,028.0","149,531.0","149,228.0","147,761.0","153,119.0","152,209.0","164,728.0","155,021.0","151,316.0","154,591.0","172,216.0","162,277.0","169,533.0","179,651.0","181,902.0","181,126.0","187,776.0","170,717.0","201,212.0","188,996.0","200,568.0","199,181.0","207,636.0","200,423.0","208,869.0","215,737.0","212,206.0","204,945.0","209,707.0","215,064.0","221,534.0","229,299.0","224,831.0","198,895.0","240,614.0","234,731.0","245,343.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","57,330.0","61,821.0","56,877.0","60,690.0","69,123.0","71,222.0","72,844.0","70,529.0","67,095.0","65,803.0","63,288.0","64,360.0","67,413.0","72,231.0","90,117.0","92,937.0","97,506.0","98,925.0","92,995.0","89,809.0","95,961.0","93,509.0","96,805.0","103,442.0","99,943.0","103,866.0","102,642.0","97,267.0","92,257.0","100,830.0","95,377.0","96,233.0","100,316.0","105,509.0","106,749.0","110,252.0","114,121.0","113,358.0","113,767.0","108,916.0","116,764.0","116,983.0","113,204.0","111,907.0","110,017.0","113,065.0","110,901.0","116,856.0","119,582.0","125,688.0","127,100.0","124,564.0","128,664.0","129,032.0","125,292.0","118,544.0","117,961.0","119,130.0","126,550.0","129,213.0","130,938.0","133,593.0","134,462.0","136,305.0","133,937.0","137,512.0","141,526.0","140,966.0","141,544.0","144,936.0","147,945.0","151,769.0","146,962.0","162,878.0","163,917.0","172,545.0","176,858.0","181,442.0","189,472.0","191,164.0","193,364.0","190,175.0","190,958.0","199,006.0","209,867.0","212,448.0","223,332.0","219,955.0","198,124.0","235,063.0","230,439.0","230,859.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","1,808,230.0","1,811,752.0","1,814,692.0","1,849,134.0","1,869,600.0","1,896,716.0","1,907,411.0","1,916,575.0","1,885,841.0","1,870,610.0","1,895,442.0","1,877,011.0","1,952,605.0","2,009,079.0","2,087,678.0","2,127,851.0","2,157,677.0","2,194,011.0","2,232,354.0","2,233,546.0","2,253,123.0","2,250,721.0","2,275,680.0","2,350,642.0","2,394,119.0","2,412,148.0","2,398,768.0","2,357,716.0","2,342,299.0","2,342,308.0","2,373,154.0","2,424,031.0","2,497,668.0","2,535,576.0","2,570,193.0","2,593,492.0","2,582,593.0","2,593,966.0","2,595,202.0","2,632,191.0","2,655,759.0","2,649,933.0","2,671,665.0","2,630,427.0","2,566,960.0","2,579,751.0","2,650,273.0","2,721,662.0","2,769,205.0","2,834,878.0","2,830,734.0","2,840,901.0","2,911,536.0","2,894,606.0","2,896,695.0","2,855,128.0","2,875,504.0","2,932,315.0","2,980,970.0","3,045,416.0","3,102,175.0","3,131,076.0","3,159,402.0","3,165,333.0","3,203,967.0","3,246,238.0","3,306,780.0","3,336,486.0","3,408,248.0","3,444,191.0","3,489,175.0","3,501,310.0","3,592,670.0","3,640,921.0","3,711,194.0","3,799,060.0","3,895,864.0","3,904,825.0","3,937,018.0","3,972,688.0","4,010,032.0","4,007,763.0","4,041,996.0","4,074,035.0","4,158,625.0","4,229,180.0","4,255,800.0","4,274,939.0","4,346,051.0","4,356,157.0","4,384,354.0","4,364,874.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,010.0","11,757.0","11,816.0","13,029.0","13,819.0","14,364.0","14,853.0","14,240.0","14,336.0","13,886.0","13,740.0","12,798.0","13,737.0","14,462.0","16,374.0","16,244.0","15,742.0","17,989.0","18,586.0","19,284.0","18,053.0","18,484.0","18,187.0","18,084.0","17,875.0","18,737.0","17,347.0","17,713.0","18,445.0","18,354.0","18,522.0","20,429.0","21,082.0","21,371.0","21,698.0","22,076.0","23,934.0","23,511.0","24,186.0","21,941.0","24,863.0","26,323.0","25,554.0","21,488.0","21,975.0","21,774.0","21,569.0","21,802.0","22,144.0","22,619.0","24,338.0","25,894.0","26,349.0","26,362.0","27,020.0","27,572.0","28,866.0","27,967.0","28,841.0","29,611.0","29,102.0","31,304.0","31,641.0","35,301.0","34,137.0","33,712.0","34,667.0","35,885.0","38,237.0","37,471.0","38,265.0","37,034.0","40,922.0","42,114.0","40,367.0","38,227.0","39,421.0","39,733.0","40,058.0","41,749.0","41,451.0","40,545.0","43,129.0","43,124.0","44,981.0","46,717.0","48,097.0","48,018.0","50,133.0","51,474.0","53,072.0","54,049.0"
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,553.0","3,504.0","3,422.0","4,043.0","3,828.0","3,868.0","4,521.0","3,992.0","4,653.0","4,547.0","4,724.0","4,778.0","5,024.0","5,169.0","5,262.0","5,317.0","5,660.0","5,716.0","5,615.0","5,469.0","5,216.0","5,580.0","5,605.0","5,811.0","5,802.0","5,778.0","5,961.0","6,247.0","5,961.0","5,906.0","5,821.0","5,845.0","6,049.0","6,572.0","6,704.0","6,691.0","6,742.0","6,554.0","6,849.0","6,902.0","6,942.0","6,891.0","7,034.0","7,045.0","7,103.0","6,601.0","6,933.0","7,295.0","7,707.0","8,123.0","8,609.0","9,122.0","10,177.0","9,836.0","9,693.0","9,274.0","9,390.0","9,471.0","9,842.0","10,139.0","9,710.0","9,873.0","9,949.0","10,067.0","10,168.0","10,676.0","11,146.0","11,524.0","11,700.0","11,987.0","11,995.0","12,687.0","12,854.0","13,111.0","13,485.0","13,896.0","14,158.0","14,439.0","15,403.0","15,838.0","15,849.0","15,786.0","15,656.0","16,445.0","17,485.0","18,650.0","19,152.0","19,383.0","21,484.0","23,979.0","26,897.0","27,902.0"
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,815,686.0","1,820,004.0","1,823,087.0","1,858,121.0","1,879,591.0","1,907,212.0","1,917,742.0","1,926,823.0","1,895,524.0","1,879,949.0","1,904,458.0","1,885,031.0","1,961,318.0","2,018,372.0","2,098,790.0","2,138,778.0","2,167,758.0","2,206,284.0","2,245,325.0","2,247,360.0","2,265,960.0","2,263,626.0","2,288,262.0","2,362,915.0","2,406,192.0","2,425,107.0","2,410,155.0","2,369,182.0","2,354,783.0","2,354,756.0","2,385,855.0","2,438,615.0","2,512,700.0","2,550,375.0","2,585,187.0","2,608,877.0","2,599,785.0","2,610,922.0","2,612,539.0","2,647,229.0","2,673,680.0","2,669,365.0","2,690,184.0","2,644,870.0","2,581,833.0","2,594,924.0","2,664,908.0","2,736,168.0","2,783,641.0","2,849,374.0","2,846,464.0","2,857,673.0","2,927,708.0","2,911,132.0","2,914,022.0","2,873,426.0","2,894,981.0","2,950,811.0","2,999,970.0","3,064,888.0","3,121,567.0","3,152,508.0","3,181,094.0","3,190,567.0","3,227,936.0","3,269,273.0","3,330,301.0","3,360,846.0","3,434,785.0","3,469,676.0","3,515,445.0","3,525,657.0","3,620,738.0","3,669,924.0","3,738,077.0","3,823,391.0","3,921,127.0","3,930,119.0","3,961,673.0","3,998,599.0","4,035,634.0","4,032,522.0","4,069,469.0","4,100,714.0","4,186,121.0","4,257,247.0","4,284,744.0","4,303,573.0","4,374,700.0","4,383,652.0","4,410,529.0","4,391,021.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Command-basis net domestic product \4\","C362RX1","1,662,526.0","1,668,023.0","1,672,241.0","1,708,624.0","1,729,816.0","1,758,071.0","1,769,117.0","1,778,705.0","1,746,375.0","1,730,179.0","1,755,550.0","1,735,953.0","1,813,792.0","1,871,323.0","1,951,597.0","1,991,692.0","2,020,690.0","2,056,228.0","2,093,808.0","2,092,444.0","2,110,039.0","2,104,524.0","2,127,583.0","2,202,385.0","2,244,225.0","2,259,654.0","2,242,804.0","2,197,087.0","2,177,968.0","2,175,346.0","2,204,735.0","2,255,207.0","2,329,320.0","2,366,303.0","2,399,837.0","2,421,725.0","2,407,816.0","2,417,160.0","2,415,868.0","2,452,320.0","2,474,788.0","2,466,146.0","2,486,122.0","2,439,916.0","2,370,304.0","2,380,906.0","2,452,147.0","2,525,064.0","2,573,202.0","2,640,425.0","2,634,839.0","2,643,902.0","2,716,255.0","2,696,913.0","2,697,206.0","2,651,618.0","2,670,635.0","2,727,275.0","2,775,666.0","2,840,141.0","2,896,394.0","2,923,738.0","2,950,037.0","2,953,001.0","2,989,771.0","3,030,400.0","3,089,934.0","3,117,204.0","3,188,482.0","3,222,173.0","3,265,026.0","3,273,360.0","3,363,859.0","3,409,209.0","3,477,163.0","3,563,331.0","3,658,283.0","3,662,059.0","3,689,963.0","3,721,610.0","3,754,945.0","3,747,332.0","3,777,558.0","3,805,640.0","3,888,447.0","3,956,565.0","3,978,949.0","3,993,551.0","4,062,093.0","4,067,299.0","4,091,169.0","4,065,520.0"
