"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:49:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private fixed investment","A007RC1","33,221.0","33,612.0","35,636.0","39,571.0","41,346.0","42,241.0","43,096.0","43,093.0","40,548.0","39,193.0","38,639.0","39,852.0","42,346.0","47,017.0","51,954.0","51,855.0","51,667.0","50,056.0","49,644.0","49,640.0","50,465.0","51,398.0","48,308.0","51,870.0","53,987.0","54,566.0","55,051.0","54,350.0","53,512.0","54,615.0","56,789.0","58,108.0","60,432.0","63,464.0","65,675.0","66,622.0","66,580.0","67,843.0","68,921.0","68,960.0","69,616.0","69,255.0","70,431.0","69,422.0","64,527.0","62,952.0","63,922.0","68,008.0","72,309.0","74,938.0","76,058.0","75,158.0","77,879.0","76,461.0","74,373.0","73,922.0","72,842.0","73,965.0","75,695.0","78,242.0","79,968.0","82,461.0","83,100.0","82,595.0","83,608.0","87,331.0","89,269.0","92,334.0","95,528.0","96,109.0","97,759.0","99,552.0","104,141.0","107,278.0","110,360.0","114,200.0","117,858.0","118,365.0","118,306.0","116,147.0","113,892.0","117,340.0","119,235.0","124,462.0","128,764.0","129,344.0","132,040.0","138,343.0","144,226.0","146,437.0","150,144.0","148,279.0"
"21","2","Nonresidential","A008RC1","22,816.0","23,173.0","23,324.0","24,499.0","26,167.0","25,985.0","26,984.0","28,088.0","26,562.0","25,467.0","24,091.0","23,520.0","24,205.0","26,616.0","29,612.0","30,591.0","30,850.0","31,823.0","32,478.0","32,160.0","32,447.0","32,896.0","29,821.0","32,509.0","34,306.0","34,805.0","35,874.0","35,417.0","34,490.0","34,301.0","34,983.0","34,934.0","35,418.0","37,863.0","40,448.0","42,452.0","42,857.0","43,902.0","45,412.0","45,921.0","46,973.0","47,104.0","48,430.0","47,537.0","43,607.0","41,957.0","41,396.0","43,061.0","44,480.0","46,101.0","47,773.0","47,677.0","49,524.0","50,339.0","49,039.0","48,593.0","47,497.0","48,430.0","48,774.0","50,443.0","51,618.0","53,227.0","53,901.0","53,474.0","53,426.0","55,102.0","56,809.0","58,661.0","60,119.0","61,938.0","64,053.0","65,742.0","70,259.0","73,092.0","76,066.0","79,694.0","83,040.0","85,162.0","86,379.0","86,951.0","85,553.0","85,691.0","85,823.0","88,434.0","91,880.0","91,167.0","93,156.0","97,411.0","101,000.0","103,041.0","106,937.0","107,627.0"
"22","3","  Structures","B009RC1","7,889.0","7,947.0","8,280.0","8,432.0","8,833.0","9,327.0","9,854.0","10,090.0","9,736.0","9,377.0","8,915.0","8,684.0","9,075.0","9,502.0","10,269.0","10,982.0","11,467.0","12,151.0","12,280.0","11,918.0","12,029.0","12,075.0","12,150.0","12,642.0","13,061.0","13,499.0","13,749.0","13,971.0","13,920.0","13,877.0","13,852.0","13,811.0","14,274.0","14,744.0","15,438.0","16,172.0","17,415.0","17,982.0","18,590.0","18,733.0","18,770.0","18,992.0","19,096.0","18,942.0","18,083.0","17,594.0","17,259.0","17,580.0","17,397.0","18,037.0","18,644.0","18,518.0","19,360.0","19,471.0","19,419.0","20,022.0","19,930.0","19,634.0","19,664.0","19,632.0","20,029.0","20,828.0","21,355.0","20,900.0","20,234.0","21,234.0","21,436.0","21,892.0","22,426.0","23,449.0","24,250.0","24,823.0","26,142.0","28,166.0","28,534.0","30,442.0","31,097.0","31,173.0","31,908.0","31,218.0","31,669.0","30,935.0","31,475.0","31,965.0","33,051.0","33,183.0","33,231.0","34,763.0","35,794.0","36,671.0","38,930.0","39,397.0"
"23","4","    Commercial and health care","W001RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,140.0","4,222.0","4,278.0","4,308.0","4,274.0","4,631.0","4,744.0","4,576.0","4,762.0","4,724.0","4,720.0","5,139.0","5,406.0","5,388.0","5,544.0","5,630.0","5,543.0","5,897.0","6,969.0","6,336.0","6,049.0","6,261.0","6,150.0","5,921.0","6,023.0","6,669.0","7,075.0","7,265.0","7,731.0","7,987.0","8,131.0","8,832.0","8,522.0","7,986.0","8,339.0","8,179.0","8,373.0","8,099.0","7,959.0","8,313.0","9,020.0","9,418.0","9,386.0","9,789.0","10,590.0","11,143.0","12,324.0","12,606.0"
"24","5","    Manufacturing","C307RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,982.0","2,461.0","2,103.0","1,982.0","1,884.0","1,985.0","2,212.0","2,343.0","2,682.0","2,762.0","2,918.0","3,042.0","2,985.0","2,808.0","2,676.0","2,651.0","2,684.0","3,041.0","2,669.0","2,974.0","2,591.0","2,800.0","3,011.0","3,222.0","3,142.0","3,348.0","3,731.0","4,039.0","4,491.0","5,056.0","5,031.0","5,790.0","6,170.0","6,682.0","6,877.0","6,535.0","6,434.0","5,696.0","6,026.0","5,668.0","6,000.0","5,851.0","5,762.0","6,471.0","6,741.0","6,636.0","6,931.0","6,920.0"
"25","6","    Power and communication","W003RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,400.0","4,386.0","4,343.0","4,455.0","4,340.0","4,281.0","4,303.0","4,304.0","4,399.0","4,455.0","4,286.0","4,344.0","4,125.0","4,104.0","4,107.0","4,004.0","4,115.0","4,034.0","4,027.0","4,088.0","4,118.0","4,419.0","4,358.0","4,525.0","4,628.0","4,718.0","4,786.0","4,884.0","5,092.0","5,272.0","5,438.0","5,738.0","6,031.0","6,257.0","6,485.0","6,391.0","6,617.0","6,995.0","7,199.0","7,561.0","7,888.0","8,073.0","8,493.0","8,670.0","8,483.0","8,512.0","8,640.0","9,045.0"
"26","7","    Mining exploration, shafts, and wells","E318RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,499.0","2,383.0","2,259.0","2,335.0","2,452.0","2,537.0","2,541.0","2,554.0","2,431.0","2,350.0","2,311.0","2,264.0","2,250.0","2,274.0","2,345.0","2,427.0","2,533.0","2,567.0","2,493.0","2,347.0","2,308.0","2,284.0","2,254.0","2,158.0","2,266.0","2,432.0","2,426.0","2,536.0","2,403.0","2,610.0","2,379.0","2,348.0","2,458.0","2,396.0","2,543.0","2,415.0","2,385.0","2,479.0","2,428.0","2,428.0","2,537.0","2,465.0","2,571.0","2,667.0","2,591.0","2,761.0","2,926.0","2,902.0"
