"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","    Motor vehicles and parts","A165RL1",-30.4,-22,-36.1,19.2,24.6,38.5,23.5,1.6,-35.3,36.2,25.9,13.7,-84,2.6,-7.5,23.8,240.2,44.8,13,27.8,29.2,-15.5,-10.1,24.2,-4.6,37,-14.8,4.6,-17.2,19.2,6.1,-9.9,18.7,12.5,5.8,16.1,1.8,-2.3,16.4,4.1,-9.9,19.2,14.3,9.2,-17.1,0.6,20.9,10.7,4.3,-6.6,-13.4,2.3,2.6,19.3,16.9,13,7.5,-3.7,5.6,-0.1,-1.6,-11.5,8.1,5.8,6.6,-1.4,4.8,6.8,11.3,9.9,3.8,5,5.7,3,2,-0.2,-2.6,2
"12","5","    Furniture and household equipment","A166RL1",-10.2,-8.6,-18.9,-8.3,9.1,13.5,24.6,4.5,-9.9,13,10.6,17.3,-17.5,-24.5,-14.1,10.5,85.3,16.3,4.3,-1.7,19.9,-5.1,1.7,5,2.1,12.6,4.6,-2.8,-1.5,7.6,-1.2,1.8,6.3,7.6,12.6,9.5,12.8,4.7,6.4,2.6,1.1,4,10.7,10.9,1.1,-2.3,6.6,8.6,5.9,5.6,-1.8,0.1,-2.1,13.6,11.9,8.8,12.5,7.1,6.8,5.3,0.6,1,5.5,10.4,11.1,10.6,11.6,11.8,13.1,14.7,11.5,6,9.8,9.2,11.9,10.3,12.1,8
"13","6","    Other","A167RL1",-10.1,-18.9,-24.3,-13.6,20.3,14.9,13.5,20.9,-2.9,6.4,7,17.6,4.6,17.1,2.4,13.3,30.5,-4.8,0.8,-5.4,5.9,2.4,5.8,4.6,4.9,10.4,7.4,2,1.7,5.6,-1.1,-0.4,6.8,6.3,11.5,10.7,19,4.5,8.9,4.5,5,1.6,12.9,12.2,3,3.9,7.8,7.2,6.6,3.9,-7.4,1.3,-1.6,5.8,14.4,4.9,10,6.4,5.4,2,1.1,-4.3,1.7,7.5,7.5,6.7,7.6,6.4,8.1,10.3,8,-0.4,5.6,6.3,6.5,5.1,6.3,4.8
"14","7","  Nondurable goods","A004RL1",-4.7,-0.5,-8.2,-1.5,8.6,6,11.7,3.6,1.4,5.2,4.5,6.7,1.7,3.3,4,7.2,5.5,-2.7,0.3,1.5,3.1,2.6,4,3.1,1.3,4.8,3.4,1.8,1,4.1,1.5,1.8,3.1,2.1,4.9,5.3,5.5,1.6,4.6,2.7,2.4,1.8,4.4,3.3,-2,1.5,4.9,2.4,3.7,2.7,-0.2,1.2,1,3.3,4,2.7,3.6,2.4,3.3,2.8,1.6,-0.2,2,2.7,3.5,2.2,2.6,2.7,4,4.6,3.8,2,2.5,3.2,3.5,3.4,3.7,2.5
"15","8","    Food","A168RL1",-1.7,0.5,-6.2,1.5,10.3,5.6,13.8,4.7,1.9,2.8,4.6,5.2,2.3,2.6,7.2,7.5,4.7,-3.6,-1.3,0.7,1.9,2.8,3.3,3.8,1.9,4.2,3.2,2,0,3.5,0.7,1.1,1.3,1.1,4,5.6,4.2,1.3,4.9,2.6,3.1,0.9,3.2,0.3,-1.6,2.5,5.2,1.9,1,2,0.8,0.1,1.6,2.9,2.2,2.4,2.3,1.4,3.9,1.8,2.7,-0.1,0.6,1.8,2.5,0.6,0.9,1.3,2.4,3.2,3.5,1.6,1.5,2.4,3.2,3.8,4,1.9
"16","9","    Clothing and shoes","A169RL1",-10.1,-1.4,-11.1,-10.2,5.5,8.2,8.8,-1,1.4,8,3.3,7.5,4.3,9.1,-3.2,3.4,2.3,-4.5,1,0.5,2.5,-0.4,5.4,1,0.2,4.9,2.6,-0.7,1,5.1,0.9,1.9,4.5,1.8,7.9,4.1,6.7,0.6,4.2,1.8,-1.2,4.8,6.7,7,-1.4,3.4,4.7,5.4,10,5.2,2.4,6.1,1.6,7.4,8.5,4.7,8,3.6,3,5.7,-0.7,0.3,5.5,4.1,5.4,4.1,5,3,7,7.4,5.3,2,4.8,5,4.9,6.2,5.9,4.7
"17","10","    Gasoline, fuel oil, and other energy goods","A173RL1",-0.6,-2.3,-6.3,2.3,5.1,5.1,8.1,4,-1.2,7.2,6.7,8.1,-13.9,-18.3,0.6,16.8,40.7,5.9,3.8,0.2,5.1,5.3,4.2,2.5,2.8,8,4.3,2.5,4.5,2.4,1.4,-0.4,3.2,3.5,5.1,4.7,5.5,2.5,4.2,4.3,3.8,3.4,5,5.8,-8.1,2.1,5.5,1.8,1.7,-2.4,-8.7,-1.3,0,2,2.7,1.9,4.7,2.2,2.8,1.6,-1.8,-1.1,3.9,2.5,1.7,1.9,1.9,2,3.7,3.4,-0.6,1,2.1,0.6,1.3,-0.3,-2,0.8
"18","11","    Other","A172RL1",-8.7,-1.1,-11.2,-1.4,9.4,4.8,10.7,5.3,1.2,9,4.3,10.5,6.5,8.5,4.5,8.4,0.2,-0.6,4.1,7.1,7.3,4.5,4.5,3.9,-0.6,5,4.5,3.6,2,6.1,4.5,5.2,7.2,4.4,4.6,6,8,2.8,4.3,2.9,3.2,0.7,5.2,6.7,-0.2,-3.3,3.8,1.5,7.2,5.8,1.7,2.1,-0.5,2.3,5.9,2.4,2.8,4,2.1,3.2,2.1,-0.5,1.9,3.5,4.9,4.1,4.5,5.5,5.4,5.7,4.8,3.1,3.2,4.6,4.2,3.1,4.5,3.2
"19","12","  Services","A005RL1",-2.5,-3.2,-6.3,-2.9,3.8,3.1,5,3.4,-1.1,3,3.6,5.1,4.5,5.5,3.4,3.3,9.1,4.2,3.8,2.6,5,5.1,4.4,4.3,4,5.2,5,3.9,3.8,5.3,4.5,4.2,5,4.6,6.1,5.3,5,4.9,5.2,4.8,4,3.9,5.7,4.7,2.3,3.7,4.1,4.3,4.7,3.1,1.8,1.7,2.1,5.5,4.1,5.6,2.9,4.3,4,3,2.9,1.7,3.5,2.8,2.9,2.6,2.9,3.3,4.2,4,4.5,2.4,1.9,1.9,3.2,2.6,2.5,2.6
"20","13","    Housing","A174RL1",-1.2,-1.1,-1.9,-1.9,5.6,1,1.7,1.7,1.5,2.3,3.1,5.7,4.9,4,4,2.3,8.6,8.6,5.4,6.2,6.8,7.3,6.4,5.3,4.8,5,5,5.1,4.7,5.4,5.2,4.8,5.7,4.6,4.8,5.5,4.6,4.5,5.1,5.4,3.7,4.4,5.8,5,5.2,2.9,3,2.5,4.9,4,3.1,2.6,0.4,2.1,4.3,3.9,2.6,3.1,3.1,2.6,2.5,2.2,1.5,1.1,3.3,2.1,1.5,2.4,2.9,3.1,2.9,2.7,0.8,0.9,3,3.2,3.2,1.5
"21","14","    Household operation","A186RL1",0.2,-3.5,-7.7,-4.3,6.9,4.5,6.7,5.6,-1.2,5.8,5.7,2.9,6.3,-0.9,3.3,4.4,3.2,7.2,4.9,3.8,8.8,6.4,3,4.7,3.8,9.8,7,3.9,3.5,4.2,4.9,3.6,4.9,4.2,4.8,5,5.1,5.1,4.3,5.2,3.6,1.7,5.3,4.9,1.1,4.7,4.1,5.3,5.3,3.1,2.6,-0.9,0.8,3.2,2.6,4.1,1.7,4.6,4.5,4.1,1,1.3,2.8,4.9,4.2,3.2,4.6,4,4.9,4.1,4.9,0.2,0.6,1.4,2.4,1.6,-0.4,1.8
"22","15","      Electricity and gas","A175RL1",8.2,3.8,0.2,-3.5,4.1,5,5.7,6,3.3,4.7,7.9,4.7,7,3.7,6.1,6.8,13.2,12.8,10.5,8.6,13.7,12.1,8.8,7.7,9.8,7.7,8.9,6.3,5.5,5.9,5.5,5.1,6.9,4.8,5.4,4.8,5.5,5.6,5.8,6,4.7,3.1,5.8,2.9,1.2,5.6,3.6,4.9,4.4,0.7,2.8,-1.7,1.3,2.9,0.6,2.7,-1.1,3.5,5,2.1,-1.7,3.1,-0.5,5.3,1.6,1.1,3.5,-0.7,2.2,1.1,3.7,-1.7,2.8,1.8,1.1,2.5,-3,1.9
"23","16","      Other household operation","A176RL1",-3,-7,-12.1,-4.8,8.8,4.2,7.2,5.4,-3.7,6.4,4.4,1.9,5.9,-3.1,2,3.3,-0.8,4.8,2.4,1.5,6.3,3.4,-0.2,3,0.3,11.2,5.8,2.4,2.1,3,4.4,2.5,3.4,3.8,4.4,5.2,4.8,4.7,3.3,4.7,2.8,0.7,4.9,6.4,1,3.9,4.5,5.6,6.1,5.3,2.4,-0.2,0.3,3.5,4.8,5.5,4.4,5.5,4.1,5.9,3.2,-0.1,5.5,4.7,6.2,4.7,5.3,7.3,6.6,5.9,5.6,1.4,-0.8,1.2,3.3,1.1,1.5,1.8
"24","17","    Transportation","A177RL1",-11.6,-11.1,-11.7,-0.2,5.9,2.7,11.6,5.6,-4.4,7.9,6.7,11.4,8.1,21.9,8.5,7.8,18,-1.2,0.2,-3.9,-1.1,9,1.2,2.8,-1.4,4.2,3.8,1.7,-1.6,4.1,3.3,1.3,3.7,4.3,5.1,4.3,5.6,5.5,6,5.4,2.8,3.6,6.2,2.8,0.8,0.9,3,7.2,3.3,3,-5,-2.9,-1.3,6.5,9.6,9.1,3.8,4,5,1.4,0,-4.8,4.2,4.3,7.9,6.1,6.8,6.3,3.3,4.2,2.8,-1.1,-2.7,0.1,1.4,1.2,2,1.9
"25","18","    Medical care","A494RL1",-2.2,-1.5,-6,-7.8,2.7,1.1,6.7,3.3,-1.6,5.7,3.2,5.2,5.2,1.4,7.2,1.7,15.3,6.8,9.6,4,6,5.2,4.9,5,6.5,3.8,6.4,5.8,6.8,7.4,4,4.3,8.7,6.5,11.2,4.6,5.2,4,7.9,7,5.4,6.5,6.9,7.1,3.6,5.1,4.6,4.8,4.8,4.1,3.6,5,1.5,4.1,2.9,4.1,4.1,5.2,5,2.7,5,3.4,4.7,1.6,1.1,2.2,1.8,2.2,3,1.9,3.8,4.7,5.7,3.9,3,3.4,2.6,2.9
"26","19","    Recreation","A490RL1",-0.7,-2.4,-18.3,-4.4,8,6,9.7,6.5,-5.2,2.9,8,5.4,8.3,6.9,-1.4,6.1,15.6,-5.1,-2.8,-1.6,-0.1,0.8,1.7,1.1,2.1,4.6,4.8,-2.7,-0.4,6.5,5.7,4.9,5.2,4.3,3.7,2.7,4.8,2.6,6.3,5.6,4,3.7,5.2,8.2,7.1,5.5,7.1,6.2,4.8,4.7,4.8,8.8,7,7.5,5,7.3,3.8,3.9,9.3,7.1,4.8,0.6,7.2,6.2,4.8,7,4.3,3.1,3.9,5.3,4.1,2.5,2.3,3.4,4.9,1.9,3.2,4.5
"27","20","    Other","A178RL1",-3.2,-4.5,-8,-2.7,-1.6,5.6,5,3.1,-2.4,0.2,1.2,3.2,0.4,7.2,0.7,1.9,5.6,1.4,2.1,0.4,3.6,0.7,4.1,3.3,4.5,4.1,3.7,3.3,4.1,4.8,3.4,4.3,2.2,3.6,6.6,6.6,5.2,6.2,3.7,1.8,4.1,2.6,4.8,2,-2.3,3.6,4.6,4.3,4.4,0.4,-0.6,-1.4,6.2,12.5,3.9,9,2.4,5.2,2.4,2.8,2.3,1.5,3.5,4.2,2.2,1.2,3.7,4.7,7.5,6.8,7.8,1.5,0.7,0.9,3.7,1.8,2.5,3.2
"28","21","Gross private domestic investment","A006RL1",-33.3,-37.2,-69.8,47.5,80.5,85.1,28.2,24.9,-33.9,28.6,39.3,22.1,-47.2,-41,23.6,32,156.6,-3.9,27.7,-23.7,41.2,0.3,-9.6,4.7,-4.6,24.3,-1.4,-4.3,-8.3,20.3,0,-0.7,12.7,6.7,8.2,14,8.8,-4.6,5.8,5.8,-6.6,11.4,11.8,11.7,-7.4,-17.7,20.2,15.1,12.1,3.2,-11,9.2,-14,9.3,29.5,-0.9,-0.7,3.1,2.4,4,-3.4,-8.1,8.1,8.9,13.6,3.1,8.9,12.4,9.8,7.8,5.7,-7.9,-2.6,3.6,9.7,5.8,2.1,-5.4
"29","22","  Fixed investment","A007RL1",-23.4,-30.6,-41.8,-11.6,29.3,29.6,33.1,17.2,-20.8,20,20.1,14.1,-43.6,-22.8,22.8,36.9,84.7,20.3,10.1,-8.6,19.4,-4.2,-1.9,7,1.6,13,0.4,-1.1,-7.2,14,0.9,-0.3,9,7.7,9.7,10.2,5.7,-1.8,7,6.2,-2.1,7.6,12,9.1,-6.2,-10.7,9.9,14.4,12.1,5.6,-6.5,2.2,-7,7.3,16.9,5.3,1.2,0.6,3.3,3,-2.1,-6.5,5.9,8.6,9.3,6.5,9,9.2,10.2,8.3,6.5,-3,-5.2,3.4,7.3,6.8,1.9,-3.1
"30","23","    Nonresidential","A008RL1",-17.6,-34.5,-40.1,-9.7,27.3,26.7,35.2,19.8,-26.7,11.6,23.8,17.7,-41.1,-16.4,32.8,40.5,47.5,16.4,5.2,-9.2,9.2,4.6,-1.9,9,-2.1,11.1,5.7,1.5,-11,8,5.7,-0.6,8.7,5.6,11.9,17.4,12.5,-1.4,4.5,7.6,-0.5,0,9.2,14.6,0.8,-9.9,4.9,11.3,15,10.1,-0.3,5.7,-3.8,-1.3,17.7,6.6,-2.9,-0.1,5.2,5.6,0.5,-5.4,3.2,8.7,9.2,10.5,9.3,12.1,11.1,9.2,8.7,-4.2,-9.2,1,5.8,7.2,7.5,4.9
"31","24","      Structures","A009RL1",-14.4,-35.6,-38.7,-22.3,12.6,10.8,31.1,26.8,-20,5.5,13.6,18.7,-38.2,-27.3,30.9,34.8,97.5,-9,5.2,-3.3,7.2,7.6,-0.4,8.9,3.4,7.2,10.5,0,-5.5,2.4,7.9,1.4,4.5,1.1,10.4,15.9,6.8,-2.5,1.5,5.4,0.3,-1.6,3.1,8.2,-2.1,-10.5,2.4,4.1,14.4,12.7,5.8,8,-1.7,-10.8,14,7.1,-11,-2.9,0.6,2,1.5,-11.1,-6,-0.7,1.8,6.4,5.6,7.3,5.1,-0.4,6.8,-2.3,-17.1,-4.1,1.3,1.3,8.2,12.7
"32","25","      Equipment and software","A010RL1",-20.7,-33.3,-41.4,2.4,38.2,36.3,37.2,16.3,-30.4,15.4,29.6,17.3,-42.7,-10.2,33.7,43.2,24.7,36,5.2,-12.3,10.4,2.9,-2.9,9.1,-5.6,13.7,2.7,2.6,-14.6,11.9,4.2,-1.9,11.6,8.4,12.8,18.3,16,-0.7,6.2,8.8,-1,1,12.9,18.3,2.6,-9.5,6.2,15.1,15.2,8.7,-3.6,4.3,-5.2,5.4,19.8,6.4,1.9,1.4,7.5,7.3,0,-2.6,7.3,12.5,11.9,12,10.6,13.8,13.3,12.7,9.4,-4.9,-6.2,2.8,7.4,9.3,7.2,1.7
"33","26","        Information processing equipment and software","A679RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,2.8,-10.4,10.4,10,15.2,10.1,-10,15,15.8,13.3,-10.6,9.5,22.8,9.5,11.1,18.6,14.5,18.7,31.8,7.3,6.4,21.6,12.8,6.7,14.7,17.8,14.7,-0.4,13.7,21.2,29.1,21,16.8,15.7,7.3,16.4,26.9,11.3,8.2,6.2,11.2,13.9,5.3,5.1,15.4,13.2,12.6,17.3,19.8,23.3,21.9,21.2,17.4,-1.8,-4.7,5.8,9.3,8.1,9.1,9.6
"34","27","          Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,14.3,37.5,27.3,35.7,52.6,6.9,32.3,0,48.8,47.5,97.8,62.4,57.8,55.5,23.1,51.9,63.6,25.5,14.9,25.7,14.3,21.6,-1.2,8.6,36.8,28.2,24.3,50.8,44.4,45,44.3,41.6,21.2,2.4,4.8,13,11.3,16,24.7,17.9
"35","28","          Software \1\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,37.7,104.2,23.7,28.3,54.2,17.5,12.2,34.7,27.5,6.4,17.3,13.7,17,17.3,8.6,4.2,18.5,24.5,18,16.2,15.5,17.9,26.4,18.8,11.9,14,19.2,28.9,17.9,13.3,17.5,11.8,9.8,10,17.3,29.5,18.9,21.5,12.1,-1.3,-2.4,4.5,9.2,6.9,4.1,10
"36","29","          Other","A937RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,2.7,-10.6,10.7,10.1,15.1,10.1,-10,14.9,15.8,13.2,-10.7,8.8,15,6.2,6.7,3.7,9.3,13.1,17.8,0.5,2.6,15.8,7.8,1.2,6,21.2,10.6,-4,9.5,20.3,19.2,12.3,7.6,5.7,0.7,5.1,13.9,3.2,4.1,-4,6.9,4.5,2.5,-0.6,6.1,7.7,9.3,7.6,9.6,8.6,12.5,10.3,20.3,-4.4,-11.3,3.8,8.4,5.8,7.9,5.4
"37","30","        Industrial equipment","A680RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,-7.5,-22.9,15.5,12.3,3.9,10.1,3.1,-0.8,10.4,1.2,-16.7,1.5,7.8,-5.3,5.1,8,13,17.9,15,0.4,-2,6.6,1.4,-8.2,7.8,18.2,7.7,-15.2,0.5,6,11.3,7.1,-4.3,-1.6,-8.6,-7.9,14.4,4.6,-0.5,-2.5,5,7,-5.8,-6.4,1.8,8.5,8.9,9.8,3.7,2.2,3.6,-0.2,7.7,-8.5,-7.7,2.9,-3.1,8.4,5.7,1.4
"38","31","        Transportation equipment","A681RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,4.1,-0.6,10.7,-3.9,-17.4,19,-12.4,27.3,-10.1,6.9,-27.1,32.5,3,-5.5,23.3,-3.2,13.1,25.3,10,-3.3,20.2,4,-17.9,8,16.2,20.3,-9.5,-13.9,11.2,21.5,10.5,4.4,-18.4,-2.8,-11.4,12.6,19.1,3.9,-3.8,-4.9,5.4,-10,-0.5,-2.7,1.8,18.6,17.1,8.2,4,8.3,7,15.3,-4.1,-11.2,-11.8,-9.7,14.8,14.5,6.7,-12.6
"39","32","        Other equipment","A862RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,22.1,-15.8,5.7,0.5,1,-2.3,-5.9,17.5,3.2,-5.5,1.4,7.4,-8.2,-1,6.7,16.3,10.8,11.1,12.4,-5.5,1.2,6.8,4.3,-0.3,13.3,16.9,-1.3,-7.4,0.8,12.5,10.2,2,-10.1,2.7,-13.5,-3.6,13.2,1,-1.8,2.8,4.8,11.6,-3.8,-14.5,-0.5,9.5,8.1,5.4,3.8,9.7,8.6,0.8,3.5,-3.3,-3.1,6,6.1,8.7,4.1,-5.2
"40","33","    Residential","A011RL1",-39.2,-16.4,-47.2,-18.3,36.9,39.9,26.6,8.7,0.5,41.7,12.8,6.3,-49.4,-40.6,-13.9,17.6,321.2,28.9,19.7,-7.6,36.8,-16.3,-1.8,3.5,8.3,16.2,-8.1,-6.1,1,25.4,-7.1,0.3,9.6,11.8,5.8,-2.9,-8.9,-3.1,13.6,3,-6,27.4,17.8,-0.6,-20.6,-13,23.6,21.5,6.3,-3.7,-21.2,-8,-18.2,41.4,14.8,1.6,12.3,2,-1,-3,-8.6,-9.6,13.8,8.2,9.6,-3.2,8,1.9,7.6,6,0.8,0.4,4.8,8.4,10,6.3,-7.1,-17.9
"41","34","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
