"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 11, 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2008 8:05:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Government \1\","W022RC1",115.8,122.9,132.1,142.8,151.1,159.2,170.4,192.8,220,246.8,266.7,294.8,325.3,355.5,385.6,435.8,508.2,549.9,597.7,653.4,726.5,842.8,962.9,1072.6,1167.5,1256.6,1366.1,1459.1,1535.8,1618.7,1735.6,1872.6,1976.7,2140.4,2218.4,2290.8,2397.6,2492.1,2568.6,2633.4,2741,2886.5,3061.6,3240.8,3428.1,3623.2,3882.6,4118.8,4396.7
"9","2","General public service","G160021",13.7,17.3,17.8,19,20.1,21.6,23,25.1,26.9,30.2,33.6,38.6,42.3,46.3,53.4,62.7,71,79.9,87.5,98.7,115.1,136.6,166.1,193.7,216.8,251.6,285.6,305.4,319,339.6,367.7,395.9,379.5,432.9,436.6,447.6,477.4,491.9,502.8,509.8,507,521.7,506.1,490.1,486.5,506.8,562.7,599.2,651.3
"10","3","  Executive and legislative","G160031",4.2,4.5,4.9,5,5.2,5.4,5.6,5.8,5.8,4.7,5.4,6.2,7.5,8.2,8.3,10.4,12.1,13.2,13.4,13.1,14.8,17.4,17.5,20.1,19.9,22.7,26.9,28.8,28.3,29,29.9,33,-4,41.6,41.9,41.4,39.2,43,43.2,44.5,46.8,53.8,50.9,58.1,66.1,76.5,91,88.7,100
