"","Table 5#4#5B# Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2008 8:08:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Private fixed investment in structures","A349RC1",593.2,654.5,700.1,752.7,784.5,775.5,841.8,965.3,1098.3,1157.9,1100.9
"9","2","Nonresidential","B009RC1",250.3,275.2,282.2,313.2,322.6,279.2,277.2,298.2,337.6,410.4,480.3
"10","3","  Commercial and health care","W001RC1",104.3,115.4,124.3,137.6,134.9,116.8,112.2,122.1,132.6,152.8,174.4
"11","4","    Office \1\","W031RC1",37.7,46.4,51.8,60.2,57.2,40.6,35.1,37.8,42.8,52.5,61.3
"12","5","    Health care","W032RC1",19.6,20,20.7,21.9,22,25.3,27.3,29.6,32.1,36,39.1
"13","6","      Hospitals and special care","C311RC1",15.1,15.4,15.2,16.2,16.8,19.7,20.5,21,23.1,28,30.7
"14","7","        Hospitals","W033RC1",11.2,10.7,10.7,11.5,12.8,15.8,17.2,18.2,20.6,24.7,27.4
"15","8","        Special care","W034RC1",3.9,4.7,4.5,4.7,4,4,3.3,2.8,2.5,3.3,3.3
"16","9","      Medical buildings","W035RC1",4.5,4.6,5.5,5.7,5.2,5.5,6.8,8.5,9,8,8.5
"17","10","    Multimerchandise shopping","W036RC1",11.5,12.6,14.5,14.2,15.5,14.8,14.6,17.9,21.6,27.7,32.5
"18","11","    Food and beverage establishments","W037RC1",8.1,8.7,7.9,8.3,8.3,7.5,7.9,7.8,7.4,7.1,7.5
"19","12","    Warehouses","W038RC1",11.9,12.1,13,14.1,14.9,11.3,11.7,11.5,12.2,13.8,15.6
"20","13","    Other commercial \2\","W039RC1",15.4,15.8,16.5,18.9,17,17.3,15.5,17.6,16.5,15.6,18.3
"21","14","  Manufacturing","C307RC1",37.6,40.5,32.6,31.8,29.5,17.8,16.7,18.5,23.3,27.4,33
"22","15","  Power and communication","W003RC1",28.8,33.6,39.5,46.8,49.6,49.5,44.2,39.1,40.9,48.4,62.3
"23","16","    Power","W028RC1",16.4,21.1,21.1,28,30,31.2,32.1,26.2,25.2,29.8,39.8
"24","17","      Electric","C571RC1",11.3,12.4,14.6,22,23.8,23.5,24.1,19.2,18.1,21.5,27.8
"25","18","      Other power","W029RC1",5,8.7,6.6,6,6.2,7.6,8,6.9,7.1,8.4,12
"26","19","    Communication","C314RC1",12.4,12.5,18.4,18.8,19.6,18.4,12.1,12.9,15.7,18.5,22.5
"27","20","  Mining exploration, shafts, and wells","E318RC1",22.4,23.4,20.6,27.2,39.2,35.6,45.7,55.7,76.6,107.9,118.1
"28","21","    Petroleum and natural gas","C319RC1",21,22.4,19.6,25.8,37.9,33.7,44.2,53.3,73.6,103.5,113.1
"29","22","    Mining","C320RC1",1.4,1.1,1,1.3,1.3,1.9,1.6,2.4,3,4.4,4.9
"30","23","  Other structures","W004RC1",57.3,62.3,65.2,69.9,69.4,59.5,58.4,62.9,64.2,74.1,92.6
"31","24","    Religious","C309RC1",5.6,6.4,7.2,7.8,8.2,8.1,8.3,7.9,7.5,7.5,7.2
"32","25","    Educational and vocational","W044RC1",9.8,11,10.9,13,14.3,14.6,14.7,13.9,14.2,14.9,17.8
"33","26","    Lodging","W045RC1",16,18.3,19.8,20.2,18,13,12.3,14.8,15.7,21.8,34
"34","27","    Amusement and recreation","W046RC1",10.2,10.3,11.5,10.5,9.4,9,9.3,10.1,9,11.2,12.4
"35","28","    Transportation","W047RC1",6.1,7.1,6.3,6.6,6.9,6.5,6.1,6.7,7,8.5,9.2
"36","29","      Air","W048RC1",1,1.2,1.3,1.9,2.1,1.4,1.1,1,0.9,0.9,0.9
"37","30","      Land \3\","W049RC1",5.1,6,5,4.7,4.7,5.1,5,5.7,6.1,7.6,8.3
"38","31","    Farm","C316RC1",3.8,4.3,5.1,6,5.1,5.6,5.1,5.5,5.9,5.8,7.3
"39","32","    Other \4\","W050RC1",3.8,3.9,3.6,4.6,3.6,2.6,2.4,3.2,3.6,3.8,4
"40","33","    Brokers' commissions on sale of structures","C321RC1",2,2.2,2.3,2.4,2.4,2.1,2.1,2.2,2.3,2.7,3.2
"41","34","    Net purchases of used structures","E322RC1",-0.1,-1.2,-1.3,-1.4,1.6,-1.9,-2,-1.4,-1,-2.2,-2.7
"42","35","Residential","A012RC1",342.8,379.3,417.8,439.5,461.9,496.3,564.5,667,760.6,747.4,620.7
"43","36","  Permanent site","A943RC1",198.1,224,251.3,265,279.4,298.8,345.7,417.5,480.8,468.8,353.4
"44","37","    Single-family structures","A944RC1",175.2,199.4,223.8,236.8,249.1,265.9,310.6,377.6,433.5,416,305.2
"45","38","    Multifamily structures","C292RC1",22.9,24.6,27.4,28.3,30.3,33,35.1,39.9,47.3,52.8,48.2
"46","39","  Other structures","A863RC1",144.8,155.3,166.6,174.5,182.5,197.5,218.8,249.5,279.8,278.7,267.3
"47","40","    Manufactured homes","A945RC1",13.9,15.3,14.9,11.5,9.3,8.5,7.1,7.5,9.1,7.4,6.1
"48","41","    Dormitories","C295RC1",0.8,1,1.3,1.4,1.6,1.5,1.8,1.7,1.5,2.1,3
"49","42","    Improvements","A946RC1",91,93.2,100,107.1,113,121.8,133.2,146.9,160.7,169.5,174.9
"50","43","    Brokers' commissions on sale of structures","A758RC1",41.5,48.9,53.8,56.1,60.4,68.8,80.3,96.1,109.9,101.5,86.4
"51","44","    Net purchases of used structures","A759RC1",-2.4,-3.1,-3.4,-1.5,-1.8,-3.1,-3.5,-2.6,-1.4,-1.8,-3.1
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RC1",552.1,607.7,648.8,697.1,721.9,709.7,764.9,871,988.5,1057.7,1017.1
"54","46","    Nonresidential structures","A771RC1",248.5,274.3,281.3,312.1,318.7,279.1,277.2,297.5,336.3,409.9,479.7
