"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2008 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2008 8:04:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Government consumption expenditures \1\","A955RX1",1277.2,1293.6,1299.4,1295.5,1299.2,1301.9,1306.7,1329.9,1351.2,1393.1,1417.1,1461,1523.4,1562,1585.7,1590.9,1616,1646.3
"9","2","        Gross output of general government","W101RX1",1456.8,1479.4,1491.1,1493.8,1505.7,1512.2,1520.9,1549.1,1580.2,1625.8,1662.4,1721.7,1791.5,1829.3,1854,1863.3,1886.8,1922.3
"10","3","          Value added","W102RX1",1003.9,1014.3,1017.7,1019.8,1019.9,1020.6,1022.1,1030,1041,1051.4,1069.6,1089.3,1110.4,1123.9,1129.4,1137.8,1144.4,1159.5
"11","4","            Compensation of general government employees","A194RX1",874.8,879.1,877.6,876.2,873.9,872.4,871.5,876.3,883.8,889.7,903.2,918.4,935.1,945.1,946.8,950.7,952.1,961.8
"12","5","            Consumption of general government fixed capital \2\","A265RX1",132,137.3,141.5,144.7,146.8,148.7,151,153.9,157.3,161.7,166.4,170.9,175.4,179.1,183.2,188.3,194.1,200
"13","6","          Intermediate goods and services purchased \3\","W104RX1",454.7,466.3,474.4,474.9,486.4,492.1,499.1,519.1,539.1,574.4,592.8,632.6,682.1,706.9,726.8,727.5,744.9,765.7
"14","7","            Durable goods","W105RX1",47.7,46.7,44,41.8,38.7,37.6,38.1,39.4,40.8,43.1,44.1,45.7,47.1,49.1,52.3,53.1,56.2,59.6
"15","8","            Nondurable goods","W106RX1",95.7,100.2,103.7,107,110.7,113.5,116.6,122.1,130.5,138,145.3,155.5,165.3,164.3,167.7,167.6,170.3,175
"16","9","            Services","W107RX1",308.6,317,324.9,324.8,336.4,340.7,344.2,357.4,367.7,393.1,403.4,431.4,469.4,492.8,506.3,506.5,518.5,531.3
"17","10","        Less: Own-account investment \4\","W108RX1",16.7,17.3,17.2,17,16.7,16.8,16.7,17.6,17.9,18,18.1,20.2,20.3,19.6,19.7,20.1,19.8,20.5
"18","11","              Sales to other sectors","W109RX1",162.4,168.2,174.6,181.5,190,193.7,197.6,201.6,211.2,214.7,227.2,240.5,247.9,247.7,248.6,252.2,251,255.5
"19","12","Federal consumption expenditures \1\","A957RX1",562.5,564.1,552.2,533.5,517.9,502.9,493.4,494.6,484.7,492.8,499.3,519.8,554,592,614.4,618.5,627.3,637.8
"20","13","      Gross output of general government","W110RX1",577.1,579.5,566.9,546.9,533.5,515.4,506,504.6,495.2,501.5,509.2,528.7,562.7,600.9,623.5,629.6,637.6,647.9
"21","14","        Value added","W111RX1",371.6,373.8,366,358.9,347.2,334.1,325,318.8,315.2,312.7,315.4,317,323.3,331.9,335.2,337.4,337,339.5
"22","15","          Compensation of general government employees","B568RX1",299.4,298.4,288,279.6,267.4,254.2,244.9,238.8,235.1,231.8,233.8,234.7,240.3,247.8,249.7,250,247.2,247.2
"23","16","          Consumption of general government fixed capital \2\","B995RX1",76,78.6,80.3,81.1,81,80.5,80.3,80.2,80.2,80.8,81.6,82.3,83,83.9,85.4,87.7,90.8,93.9
"24","17","        Intermediate goods and services purchased \3\","W113RX1",205.6,205.8,201.1,188.8,186.8,181.7,181.3,185.8,180.1,188.9,193.8,211.8,240,270.5,290.8,294.7,303.9,312.1
"25","18","          Durable goods","W114RX1",35.4,33.9,30.8,28.1,24.4,22.3,22.4,22.5,22.8,24.1,24,24.4,25.6,27.9,30.9,31.7,34.5,37.2
"26","19","          Nondurable goods","W115RX1",19.1,19.9,19.8,19.3,17.8,16.3,16.7,17.7,18,17,18.9,20.9,24.4,25.6,28.7,29.9,29.6,29.8
"27","20","          Services","W116RX1",150,151.1,150,141,144.6,143,142.3,145.7,139.4,147.7,150.9,166.4,189.9,216.7,231,232.9,240.1,245.7
"28","21","      Less: Own-account investment \4\","W117RX1",5.4,5.6,5.6,5.4,5,4.9,4.6,4.4,4.4,4,3.2,4,4.1,3.9,3.7,3.7,3.6,3.5
"29","22","            Sales to other sectors","W118RX1",9.2,9.9,9.2,8.2,10.6,7.5,8,5.5,6.1,4.8,6.6,4.9,4.6,5,5.4,7.5,6.7,6.6
"30","23","    Defense consumption expenditures \1\","A997RX1",404.9,404.4,383.5,367.2,350.6,338.1,332.2,328.1,319.8,324.6,321.5,334.1,356.7,387.5,407.6,411.6,415,425.8
"31","24","      Gross output of general government","W085RX1",409.5,408.9,388.5,372.3,357.6,342.4,336.8,331.9,323.1,327.7,324.6,337.5,360.6,391.5,411.5,415.9,419.5,430.4
"32","25","        Value added","W086RX1",259.4,260.8,250.9,243.5,234.1,224.3,216.7,210.3,204.6,200.6,199.2,200.1,203.8,209.6,213.4,215.2,214.1,215.1
"33","26","          Compensation of general government employees","B237RX1",199.2,198.5,186.9,178.8,169.6,160.3,153.5,148,143.3,139.9,138.9,139.9,143.7,148.8,151.5,152,149.6,149
"34","27","          Consumption of general government fixed capital \2\","B432RX1",62.6,64.4,65.5,65.8,65.2,64.3,63.3,62.4,61.3,60.7,60.2,60.1,60.1,60.5,61.6,63.2,65.1,67.1
"35","28","        Intermediate goods and services purchased \3\","W087RX1",149.8,148,137.7,129.1,123.9,118.5,120.3,121.7,118.6,127.2,125.4,137.4,157.2,183.2,200.1,202.8,208,218.8
"36","29","          Durable goods","A998RX1",34.4,32.9,29.6,26.9,23.1,21,20.8,20.9,21.1,22.4,22.3,22.5,23.3,25.7,28.3,28.8,31.2,33.8
"37","30","          Nondurable goods","A725RX1",12,12.2,11.3,10.4,9.4,7.7,8.6,8.6,8.9,9.9,10.4,10.9,13.1,13.5,15.3,15.3,14.7,15.1
"38","31","          Services","A489RX1",102.2,102,96.1,91.3,91.1,89.5,90.7,92,88.4,94.8,92.7,104,120.7,143.6,156.1,158.4,162.1,170.1
"39","32","      Less: Own-account investment \4\","W088RX1",2,2.2,2.1,2.1,1.9,1.8,1.7,1.6,1.5,1.4,1.1,1.4,1.9,1.9,1.7,1.6,1.6,1.5
"40","33","            Sales to other sectors","W089RX1",2.7,2.4,2.9,3.1,5.2,2.5,2.9,2.2,1.8,1.8,1.9,1.9,2,2.1,2.2,2.7,2.9,3.1
"41","34","    Nondefense consumption expenditures \1\","A542RX1",156.5,158.4,168.2,166,167.3,164.7,161.1,166.6,164.8,168.1,177.8,185.8,197.3,204.5,206.7,206.7,212.2,211.7
"42","35","      Gross output of general government","W128RX1",166.3,169.4,177.9,174.4,175.8,172.9,169.1,172.7,172.1,173.8,184.6,191.3,202.1,209.4,211.9,213.5,218,217.1
"43","36","        Value added","W129RX1",111.1,112,114.5,115.1,112.9,109.7,108.1,108.5,110.6,112.1,116.2,117,119.5,122.3,121.7,122.1,122.9,124.4
"44","37","          Compensation of general government employees","W130RX1",99.1,98.8,100.6,100.5,97.7,93.8,91.3,90.7,91.8,92,94.8,94.8,96.6,99,98,97.8,97.6,98.2
"45","38","          Consumption of general government fixed capital \2\","B546RX1",13.5,14.3,14.9,15.4,15.8,16.3,17,17.9,18.8,20.2,21.4,22.2,22.9,23.3,23.8,24.5,25.7,26.9
"46","39","        Intermediate goods and services purchased \3\","W131RX1",56,58,63.4,59.7,63,63.2,61,64.1,61.5,61.7,68.4,74.3,82.8,87.3,90.6,91.9,95.8,93.1
"47","40","          Durable goods","A543RX1",1.2,1.3,1.4,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.8,2,2.3,2.3,2.6,3,3.3,3.4
"48","41","          Nondurable goods","A729RX1",7.7,7.6,8.7,9,8.6,8.6,8.2,9,9,7.2,8.5,9.9,11.2,12,13.2,14.5,14.9,14.7
"49","42","            Commodity Credit Corporation inventory change","B826RX1",-1.1,0.2,-0.4,-0.1,-0.3,-0.1,-0.1,0,0.2,0.1,0.8,0.8,0.1,-0.2,-1,-0.6,-0.1,-0.1
"50","43","            Other nondurable goods","B828RX1",8.7,7.4,9.1,9.1,8.8,8.7,8.3,9,8.8,7.1,7.7,9.1,11.1,12.2,14.2,15.1,15,14.7
"51","44","          Services","A544RX1",47.9,49.3,53.9,49.8,53.5,53.5,51.5,53.7,51,52.9,58.1,62.4,69.2,72.9,74.6,74.3,77.7,75.2
"52","45","      Less: Own-account investment \4\","W136RX1",3.4,3.4,3.4,3.3,3.1,3.1,3,2.8,2.9,2.6,2.1,2.5,2.2,2,2,2.1,2.1,2
"53","46","            Sales to other sectors","W137RX1",6.4,7.5,6.2,5,5.3,5,5,3.3,4.4,3.1,4.7,3,2.6,2.9,3.2,4.8,3.8,3.5
"54","47","State and local consumption expenditures \1\","A991RX1",714.2,729,746.5,761.4,780.6,798.4,812.8,834.9,866.4,900.3,917.8,941.2,969.4,969.8,970.8,971.9,988.2,1008
"55","48","      Gross output of general government","W138RX1",879.2,899.4,923.8,946.4,971.8,996.4,1014.5,1044.2,1084.9,1124.3,1153.2,1193,1228.8,1228.1,1230,1233.2,1248.7,1273.9
"56","49","        Value added","W139RX1",633.6,641.7,652.6,661.6,673.1,686.5,697.2,711.2,725.8,738.7,754.2,772.3,787.1,791.9,794.1,800.2,807.4,820.1
"57","50","          Compensation of general government employees","B251RX1",579.1,584.2,592.4,598.8,608,618.8,626.9,637.7,648.8,657.9,669.4,683.7,694.8,697,696.8,700.4,705,714.9
"58","51","          Consumption of general government fixed capital \2\","B986RX1",55.7,58.4,61,63.3,65.6,68.1,70.6,73.6,77.1,80.9,84.8,88.6,92.4,95.2,97.8,100.5,103.3,106.1
"59","52","        Intermediate goods and services purchased \3\","W140RX1",246.7,258.3,271.5,285,298.8,309.9,317.4,332.9,358.9,385.5,399,420.8,442.1,436.3,436,432.9,441.3,453.8
"60","53","          Durable goods","B989RX1",12.5,12.9,13.3,13.7,14.3,15.3,15.7,16.8,18.1,19.1,20.1,21.2,21.5,21.2,21.4,21.4,21.8,22.6
"61","54","          Nondurable goods","B337RX1",76.7,80.4,84.1,87.9,93,97.2,99.9,104.5,112.5,121,126.4,134.6,141,138.8,139.2,137.9,140.9,145.4
"62","55","          Services","A988RX1",157.4,165,174.1,183.4,191.5,197.4,201.8,211.5,228.3,245.4,252.5,265,279.5,276.2,275.4,273.6,278.6,285.8
"63","56","      Less: Own-account investment \4\","W144RX1",11.3,11.8,11.7,11.7,11.8,12,12.1,13.2,13.5,14.1,14.9,16.2,16.2,15.7,16,16.4,16.2,17.1
"64","57","            Sales to other sectors","W145RX1",153.3,158.4,165.5,173.4,179.5,186.2,189.7,196.1,205,209.9,220.6,235.6,243.3,242.7,243.2,244.9,244.3,248.9
"65","58","              Tuition and related educational charges","B1065X1",37.9,38.6,39.3,38.8,38.9,39,39.1,40,41.2,42.6,44.3,47.2,47.7,47.8,46.1,46.2,46.5,47
"66","59","              Health and hospital charges","B1066X1",73.3,76.3,80.8,85.5,88.9,92.9,92.5,94.8,100.1,100.9,105.5,114.9,120.5,118.6,118.1,116.3,113.5,115.1
"67","60","              Other sales","W146RX1",43.2,44.4,46.3,49.5,51.9,54.3,58.1,61.4,63.7,66.5,70.7,73.4,75.1,76.4,79.4,83.1,85.1,87.7
"68","61","Residual","W100RX1",-3.7,-2,-1.7,-1.8,-1.4,-0.7,-0.2,0.3,0.3,0.2,0,-0.3,-0.7,-0.6,-1.2,-1.5,-3.8,-4.9
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","and the 2000 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
