"","Table 2#2B# Wage and Salary Disbursements by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2008 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/23/2008 1:02:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Wage and salary disbursements","A576RC1",4183.4,4466.3,4829.2,4942.8,4980.9,5112.7,5394.5,5671.7,6027.2,6362
"9","2","Private industries","A132RC1",3486.2,3736.9,4054.5,4126.9,4115,4208.3,4451.4,4690.9,5004.2,5286.7
"10","3","  Goods-producing industries","N231RC1",942.7,988.7,1066.5,1044.3,1010.7,1007.9,1049.2,1099.2,1167.2,1205.4
"11","4","    Manufacturing","N552RC1",675.2,697.1,749.3,708.8,675.5,668.9,686.9,704,731.2,746
"12","5","  Services-producing industries","N233RC1",2543.4,2748.2,2988,3082.6,3104.2,3200.4,3402.2,3591.7,3837.1,4081.3
"13","6","    Trade, transportation, and utilities","N234RC1",723,775.8,826.5,844.6,843.1,858.3,898.6,938.2,986.7,1035.2
"14","7","    Other services-producing industries \1\","N235RC1",1820.4,1972.4,2161.5,2238,2261.1,2342.1,2503.6,2653.5,2850.4,3046.1
"15","8","Government","B202RC1",697.3,729.3,774.7,815.9,865.9,904.4,943.1,980.7,1023,1075.2
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. Estimates in this table are based on the 1997 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
