"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 28, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/27/2006 9:24:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","      Government consumption expenditures \1\","A955RG3",6.328,6.214,6.051,5.732,5.758,6.077,6.179,6.281,6.396,6.43,6.339,6.219,6.478,6.467,6.617,6.752,7.096,9.01,9.663,9.948,10.297,10.35,10.882,11.091,11.315,11.667,12.254,12.813,13.372,13.925,13.965,14.231,14.582,14.999,15.372,15.885,16.379,17.131,17.919,18.953,20.087,21.721,23.437,25.164,27.028,29.515,32.474,34.817,37.381,39.804,43.166,47.938,52.637,56.116,58.627,62.165,64.49,65.921,68.055,70.006,72.339,75.513,78.401,80.646,82.765,84.988,87.301,89.628,91.475,92.954,95.76,100,102.779,106.139,111.172,116.248,122.768
"9","2","        Gross output of general government","W101RG3",6.179,6.057,5.878,5.553,5.558,5.87,5.971,6.037,6.156,6.193,6.117,6.042,6.281,6.29,6.438,6.57,6.897,8.655,9.347,9.639,9.961,10.025,10.552,10.758,10.976,11.312,11.864,12.395,12.934,13.46,13.511,13.785,14.12,14.516,14.874,15.362,15.836,16.554,17.304,18.301,19.402,20.951,22.566,24.176,25.972,28.38,31.204,33.462,35.939,38.325,41.591,46.202,50.777,54.255,56.836,60.311,62.652,64.194,66.431,68.599,71.215,74.604,77.752,80.329,82.718,85.049,87.477,89.843,91.732,93.224,95.949,100,102.81,106.203,111.287,116.454,122.76
"10","3","          Value added","W102RG3",3.79,3.759,3.745,3.59,3.619,3.799,3.783,3.901,3.946,4.012,3.947,3.881,3.887,4.167,4.351,4.644,5.116,6.867,7.39,7.547,7.874,7.856,8.211,8.557,8.76,9.023,9.469,9.982,10.437,10.994,11.335,11.653,11.983,12.355,12.809,13.301,13.751,14.469,15.2,16.235,17.309,19.041,20.707,22.478,24.205,26.065,28.597,30.75,33.077,35.256,37.981,41.696,45.844,49.345,52.123,56.083,58.824,60.987,63.444,65.912,68.607,71.885,75.512,78.559,81.32,84.024,86.391,88.835,90.938,93.206,96.317,100,103.407,108.229,113.896,119.235,124.718
