"","Table 1#10# Gross Domestic Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 28, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/27/2006 9:01:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Gross domestic income","A261RC1",102.8,91.6,75.7,58.4,55.9,65.6,73.5,82.6,91.9,85.4,90.9,100.3,126.4,162.8,200.4,217.2,219.2,221.1,241.9,269.7,265.4,292.4,335.7,355.6,375.3,377.2,412.3,439.2,461.1,466.2,506.1,527.3,545.3,585.3,618.5,662.8,717.5,781.5,828,905.4,981.4,1031.2,1115.5,1229.2,1374.1,1489.1,1620.6,1800.1,2008.7,2268.1,2517.3,2748.1,3097.5,3254.7,3490.9,3918.6,4203.6,4415.8,4717.8,5123.3,5444.7,5736.8,5923.4,6235,6517.9,6929.7,7296.5,7723.2,8233.7,8761.6,9304.1,9944.1,10217.6,10490.6,10912,11645.8,12384.8
"9","2","Compensation of employees, paid","A4002C1",51.1,46.9,39.8,31.1,29.6,34.3,37.4,42.9,48,45,48.1,52.2,64.8,85.3,109.6,121.3,123.3,119.7,130,141.9,141.8,155.2,181.4,196.2,210.2,209.2,225.8,244.6,257.6,259.6,281.1,296.6,305.4,327.2,345.3,370.7,399.5,442.6,475.1,524.3,577.6,617.2,658.9,725.1,811.2,890.3,949.2,1059.4,1180.6,1336.2,1500.8,1651.9,1826,1926,2042.8,2255.8,2424.9,2571.9,2751.6,2968.1,3146.5,3340.5,3448,3638.4,3804.7,4001.2,4197.4,4394.7,4666.1,5023.9,5362.3,5787.3,5947.2,6096.6,6331.1,6656.3,7036.6
"10","3","  Wage and salary accruals","A4102C1",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.8,116.8,117.6,112,123,135.5,134.7,147.2,171.6,185.6,199,197.3,212.2,229.1,240,241.4,259.9,273,280.7,299.5,314.9,337.8,363.8,400.3,429,472,518.3,551.5,584.5,638.8,708.8,772.3,814.9,899.8,994.2,1121.3,1255.9,1377.7,1517.7,1593.9,1684.8,1855.3,1995.7,2116.6,2272.1,2453.8,2597.6,2756.3,2825.7,2967.5,3092.5,3253.8,3439.8,3627.3,3879.1,4187.3,4476.6,4833.8,4947.9,4986.3,5133.4,5383.2,5671.1
"11","4","    Disbursements","W269RC1",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.6,117,117.5,112.1,123,135.4,134.7,147.2,171.5,185.7,199.1,197.3,212.2,229.1,240,241.4,259.9,273,280.7,299.5,314.9,337.8,363.8,400.3,429,472,518.3,551.5,583.9,638.8,708.8,772.8,814.8,899.7,994.1,1121,1256,1377.8,1517.6,1593.9,1685.2,1855.1,1995.9,2116.6,2272.1,2453.8,2597.6,2756.3,2825.8,2983.3,3086,3236.2,3423.4,3623.7,3882,4188,4471.5,4833.8,4947.9,4986.3,5118.4,5398.2,5671.1
"12","5","      To persons","W270RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.4,134.7,147.1,171.4,185.5,198.9,197.1,212,228.9,239.8,241.2,259.7,272.7,280.4,299.2,314.7,337.6,363.6,400.1,428.8,471.7,518.1,551.3,583.7,638.5,708.5,772.4,814.4,899.3,993.7,1120.5,1255.5,1377.2,1516.9,1593.2,1684.5,1854.3,1995.1,2113.9,2269.8,2452,2595.3,2752.8,2821.7,2978.5,3080.9,3230.2,3417.1,3617.4,3875.3,4181,4463.5,4826.3,4939.8,4978,5109.9,5389.2,5661.9
"13","6","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,8,7.5,8.1,8.4,8.5,8.9,9.2
"14","7","    Wage accruals less disbursements","A062RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0.1,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,-0.1,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,0
"15","8","  Supplements to wages and salaries","A038RC1",0.7,0.7,0.6,0.6,0.5,0.6,0.7,1,1.8,2,2.2,2.3,2.7,3.2,3.8,4.5,5.8,7.6,7,6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.5,514.2,548.9,584.2,622.3,670.9,712.2,747.5,757.7,767.3,787,836.7,885.7,953.4,999.3,1110.3,1197.7,1273.2,1365.5
"16","9","Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.8,27.1,29.1,28.9,31.5,34.3,36.6,37.7,41.1,44.6,47,50.4,53.4,57.3,60.8,63.3,68,76.5,84,91.5,100.6,108.1,117.3,125,135.5,146.6,159.9,171.2,180.4,200.7,236,241.3,263.7,290.2,308.5,323.7,347.9,374.9,399.3,425.5,457.5,483.8,503.4,545.6,558.2,581.1,612,639.8,674,708.9,728.6,762.8,807.2,864,922.4
"17","10","Less: Subsidies \1\","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.2,21,21.3,24.8,30.2,29.4,27.2,26.8,27.3,29.9,36.4,32.2,34,34.3,32.9,35.4,44.2,44.3,55.3,38.4,47.9,44.7,57.3
"18","11","Net operating surplus","W271RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,131.8,137.6,150.6,159.6,172.4,190.9,204,207.2,220.5,226.5,220.6,245.7,276.1,311.4,314.6,352.7,394.1,445.3,507.4,544.4,562.3,658.9,675.4,761.9,920.9,984.7,1013.7,1086.6,1212.1,1281.8,1315.1,1319.3,1390.8,1469.7,1581.3,1696.4,1863.6,2014.1,2103.1,2210.7,2304.5,2315.6,2377.6,2485.1,2733.9,2878.2
