"","Table 6#3C# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/27/2006 9:50:04 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Wage and salary accruals","A034RC0",2270746,2452948,2596345,2754015,2822984,2964529,3089159,3249764,3435670,3623205,3874685,4182719,4471400,4829240
"9","2","Domestic industries","A4102C0",2272102,2453815,2597630,2756322,2825735,2967494,3092479,3253779,3439760,3627330,3879087,4187282,4476613,4833832
"10","3","  Private industries \1\","A4103C0",1849474,2002495,2117469,2238580,2278961,2398305,2505720,2647537,2814254,2982949,3210991,3490020,3747305,4059131
"11","4","    Agriculture, forestry, and fishing","A4104C0",19161,21527,22920,25817,25928,26195,27930,29501,31568,33844,36785,39991,43165,46251
"12","5","      Farms","B4105C0",8389,9464,10000,11666,11300,11060,11933,12214,13079,13752,14895,15882,16167,16971
"13","6","      Agricultural services, forestry, and fishing","B4106C0",10773,12062,12920,14151,14628,15135,15998,17287,18489,20092,21890,24109,26998,29281
"14","7","    Mining","A4107C0",23913,24896,24951,26655,27033,26412,26171,26385,26899,27737,29793,30524,29334,31289
"15","8","      Metal mining","B4108C0",1441,1780,2046,2182,2198,2221,2184,2186,2551,2660,2679,2478,2447,2162
"16","9","      Coal mining","B4109C0",5734,5530,5492,5866,5571,5382,4868,4991,4827,4738,4717,4618,4352,4121
"17","10","      Oil and gas extraction","B4110C0",13647,14285,14070,15168,16007,15475,15698,15611,15709,16380,18178,18929,17874,20248
"18","11","      Nonmetallic minerals, except fuels","B4111C0",3091,3301,3343,3439,3257,3334,3421,3597,3811,3958,4219,4499,4662,4758
"19","12","    Construction","B4112C0",120104,130326,136337,140466,130594,128539,133935,147030,157148,171219,187428,208241,231746,254118
"20","13","    Manufacturing","A4113C0",496922,529879,547908,561291,562344,579730,594539,625064,651838,674235,713920,754728,782827,829738
"21","14","      Durable goods","A4114C0",311044,331894,342240,346853,342491,349506,357711,379688,398502,416042,443510,472322,493450,527652
"22","15","        Lumber and wood products","B4115C0",14685,15748,15747,15606,14771,15685,16781,18334,19241,20299,21572,22919,24307,24688
"23","16","        Furniture and fixtures","B4116C0",9528,10119,10418,10552,10080,10731,11311,11986,12613,12955,13870,15073,15964,16770
"24","17","        Stone, clay, and glass products","B4117C0",14208,15062,15419,15588,14956,15448,15837,17008,17669,18532,19418,20605,21707,23257
"25","18","        Primary metal industries","B4118C0",21895,23980,25030,25194,24330,24601,25066,26819,27989,28724,29627,30404,30857,31582
"26","19","        Fabricated metal products","B4119C0",35018,37345,38548,39491,38968,40183,41093,44486,46823,48476,51472,54230,56057,58394
"27","20","        Industrial machinery and equipment","B4120C0",60388,65602,68011,69864,69598,70522,71990,76712,82362,86437,93937,100499,104346,113814
"28","21","        Electronic and other electric equipment","B4121C0",48164,50012,51392,51669,51608,52201,54690,58231,62736,66181,71819,77090,82970,97377
"29","22","        Motor vehicles and equipment","B4122C0",29775,31666,32139,31164,30837,33266,36889,42341,44655,46494,48372,51554,54719,56002
"30","23","        Other transportation equipment","B4123C0",39126,40322,42260,43730,42419,41381,38211,36833,36143,37094,40146,43392,43383,42960
"31","24","        Instruments and related products","B4124C0",30587,33584,34501,34997,35820,35773,35648,35959,37056,39381,41385,44169,45981,49001
"32","25","        Miscellaneous manufacturing industries","B4125C0",7671,8454,8774,8999,9103,9715,10195,10979,11215,11470,11892,12387,13160,13808
"33","26","      Nondurable goods","A4126C0",185878,197985,205669,214438,219854,230224,236828,245375,253336,258193,270410,282406,289376,302086
"34","27","        Food and kindred products","B4127C0",36599,38401,39609,41351,43185,44762,46206,47691,49647,50802,52703,55136,56736,59959
"35","28","        Tobacco products","B4128C0",1916,2052,2096,2043,2045,2124,1984,2061,2229,2238,2375,2188,2168,2321
"36","29","        Textile mill products","B4129C0",13112,13487,13908,13786,13944,14896,15305,15832,15678,15577,16112,16156,15723,15542
"37","30","        Apparel and other textile products","B4130C0",15050,15725,16181,16190,16375,17011,17023,17398,17321,16807,16808,16520,15840,15213
"38","31","        Paper and allied products","B4131C0",20115,21214,22081,23024,23430,24525,25249,26209,27099,27590,28443,28990,29664,30153
"39","32","        Printing and publishing","B4132C0",35567,38998,40413,42581,43005,44363,45626,47777,49753,51120,54124,57543,60034,62973
"40","33","        Chemicals and allied products","B4133C0",35699,39153,41199,43856,45744,48194,49702,50695,52658,54308,57740,61668,64413,69969
"41","34","        Petroleum and coal products","B4134C0",6407,6405,6533,6971,7364,7745,7733,7762,7792,7718,8116,8475,8288,8070
