"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"11","28","A   Durable goods industries","KS30DW0",101811,102044,101628,101541,101324,100969,101843,101905,101335,101303,101586,102717,103412,104260,105232,106755,107747,108269,108674,110051,109572,110672,110304,110760,108688,109005,110213,109214,109765,108883,110604,109690,110262,110308,111090,110563,110114,110424,109792,109295,108549,108651,107723,106499,105773,105592,106532,106348,106216,106002,105031,105405,104087,103059,102882,102333,101697,101511,100385,98939,99160,99098,96331,95452,95642,95870,95538,95447,95449,95324,95351,98047,97955,98063,97554,98407,98394,96825,97069,96954,96173,96833,96447,97237,97595,97632,97298,97451,96960,97272,98625,98267,96955,97210,97992,97576,98127,98923,98533,98133,98344,97689,99352,98595,99036
"12","29","A     Wood product manufacturing","KS321W0",1743,1800,1782,1755,1775,1782,1797,1841,1827,1839,1818,1758,1751,1763,1884,1815,1850,1788,1760,1766,1769,1795,1852,1857,1871,1878,1889,1952,1872,1859,1863,1949,1938,1977,1963,1955,2116,2085,2083,2075,2026,2025,2035,2031,2028,2083,2110,2001,2026,2069,2000,1992,1912,1904,1916,2015,1975,2023,1964,1927,1977,2045,1991,1963,2069,2053,1997,2010,2026,2008,1988,1955,1946,1978,1948,1958,1957,1942,1947,1957,1988,1942,1975,1969,2043,2063,2000,1983,1997,2007,2005,1970,2007,2033,1988,1956,2039,2031,2065,2016,2064,1891,1836,1826,1765
"13","30","A     Nonmetallic mineral product manufacturing","KS327W0",1296,1322,1319,1297,1341,1240,1258,1316,1335,1340,1323,1300,1333,1363,1343,1303,1298,1285,1316,1281,1263,1269,1265,1269,1287,1251,1236,1265,1267,1277,1289,1323,1322,1336,1323,1320,1298,1290,1297,1324,1305,1277,1267,1274,1260,1260,1278,1362,1356,1342,1338,1319,1306,1307,1296,1254,1289,1288,1279,1232,1221,1191,1187,1203,1214,1225,1236,1212,1221,1229,1244,1251,1231,1233,1253,1216,1207,1210,1199,1184,1185,1178,1173,1186,1189,1183,1182,1148,1161,1143,1116,1130,1114,1105,1090,1082,1079,1072,1061,1055,1066,1065,1064,1054,1057
"14","31","A     Primary metal manufacturing","KS331W0",6741,6802,6940,6866,6885,6890,6980,6930,6851,6738,6786,6916,7093,7054,7080,7091,7030,6899,7098,7106,7064,7064,7155,7124,7356,7334,7338,7297,7482,7365,7477,7414,7311,7365,7484,7555,7703,7663,7548,7719,7682,7651,7699,7639,7520,7394,7304,7357,7228,7132,6969,6981,6879,6740,6809,6748,6716,6605,6552,6417,6429,6410,6237,6245,6202,6188,6257,6332,6252,6253,6363,6314,6448,6431,6333,6339,6266,5965,5937,5872,5576,5529,5464,5415,5577,5370,5548,5525,5381,5324,5293,5379,5414,5548,5508,5503,5779,5772,5714,5761,5891,5956,5936,5830,5766
"15","32","A     Fabricated metal product manufacturing","KS332W0",8953,9025,9044,9123,9066,9269,9247,9248,9271,9305,9345,9449,9380,9267,9420,9529,9538,9660,9571,9632,9606,9522,9506,9526,9498,9405,9391,9379,9508,9338,9432,9427,9527,9658,9809,9731,9990,9962,9834,9917,10007,10070,10009,9962,9901,9900,9800,9727,9942,10026,9987,9986,9883,9887,9767,9751,9724,9659,9609,9378,9160,9191,9140,9206,9237,9193,9218,9208,9251,9205,9308,9357,9213,9175,9039,9120,9119,9089,8945,9057,8979,9076,9033,9061,9071,9061,8978,8931,8884,8841,8788,8675,8614,8624,8700,8799,8811,8855,8967,9071,8972,8842,8906,8971,9130
"16","33","A     Machinery manufacturing","KS333W0",13158,12923,13057,13426,13219,13225,13126,13049,12905,12823,12801,12998,13036,13183,13016,12989,12968,13004,12870,13126,13161,13102,13095,12945,12809,12665,12751,12773,12938,12749,12891,12884,12712,12796,12588,12625,12996,13267,12895,12423,12831,13125,13075,12995,13134,13458,13649,14001,13670,13668,13761,13511,13403,13133,13048,12860,12702,12686,12376,11930,11894,11958,11791,11881,11852,11774,11649,11641,11594,11344,11375,11514,11270,11132,11044,11197,11007,10851,10770,11158,11265,11151,11110,11060,11272,11431,11337,11312,11509,11464,11640,11570,11462,11339,11480,11259,11620,11565,11523,11492,11403,11208,11457,11557,11408
"17","34","A     Computer and electronic product manufacturing","KS334W0",17003,17034,17123,16982,17108,17287,17751,17806,18048,17802,18181,18799,18616,18878,19166,19241,19251,19242,19011,19150,18886,18884,18836,18702,18593,18718,18778,18945,19194,19036,19105,19112,19075,19081,18808,18827,18971,18900,18609,19581,20005,20378,20975,21084,19970,20808,21802,22316,22626,22960,22846,22864,21952,21914,21596,21480,20689,20472,20466,19515,19677,19778,19891,19363,19538,19438,19561,19341,19708,19528,19668,19721,19673,19486,19243,19600,19655,19689,20053,20028,19947,20800,21303,21811,21567,21626,21848,22391,22689,22713,23031,23284,22953,23278,23082,22734,22644,22633,22547,22342,22586,22701,23535,23283,23283
"18","36","A     Electrical equipment, appliance, and component manufacturing","KS335W0",4768,4775,4808,4837,4873,4849,4888,4865,4846,4885,4878,4879,4887,4874,4821,4792,4760,4757,4808,4857,4880,4883,4898,4932,4887,4871,4931,4915,4929,4937,4838,4797,4936,4963,4950,4875,4883,4888,4780,4835,4883,4952,4953,4939,4905,4951,4986,5004,5013,5048,5030,5019,4963,4913,4880,4829,4808,4790,4732,4640,4626,4569,4607,4653,4659,4601,4541,4520,4473,4443,4446,4493,4507,4464,4433,4420,4394,4365,4365,4361,4361,4350,4368,4336,4360,4354,4333,4338,4356,4377,4345,4376,4339,4227,4289,4300,4333,4284,4269,4262,4230,4225,4249,4250,4243
"19","37","A     Transportation equipment manufacturing","KS336W0",43056,43395,42588,42415,42150,41416,41731,41818,41147,41499,41261,41409,42141,42726,43186,44682,45829,46383,46929,47907,47787,49119,48612,49376,47306,47785,48823,47610,47448,47214,48640,47669,48273,48051,49056,48474,46981,47124,47498,46066,44456,43783,42281,41145,41521,40242,40089,39121,38838,38243,37656,38291,38377,37885,38075,38031,38473,38698,38142,38689,38899,38722,36382,35756,35671,36215,35960,36038,35776,36076,35750,38154,38194,38507,38348,38792,39004,38196,37959,37530,37762,37801,36883,37308,37373,37276,36899,37060,36320,36743,37533,37034,36274,36231,36907,36907,36756,37349,37228,36565,36748,36709,37478,36823,37458
"20","38","D       Motor vehicle and parts manufacturing","KS3MVW0",7084,7176,7190,7324,7426,7190,7217,7354,8086,7367,7223,7269,7128,7118,7620,7105,6945,6514,6412,6229,6238,5943,6540,7095,6716,6408,7706,6738,6733,6964,7247,7161,7068,7277,7273,7221,7113,7221,6973,7074,7631,7368,7215,7218,7303,7342,7317,7274,7162,7148,7005,7254,7080,6943,6785,6686,6665,6525,6377,6283,6639,6272,5984,6250,6193,6538,6507,6476,6539,6568,6508,6540,6550,6883,6799,6967,6874,6646,6727,6682,6732,6757,6845,6792,6891,6966,7016,6875,6748,6919,6936,6925,6810,6841,6741,6743,6921,6896,6838,6808,6824,6939,6770,6739,6566
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35963,36207,35382,35069,34698,34204,34491,34437,33009,34103,34013,34115,34993,35587,35528,37562,38879,39886,40538,41707,41574,43206,42085,42284,40591,41379,41119,40871,40715,40250,41393,40508,41206,40776,41785,41255,39868,39901,40525,38992,36825,36414,35066,33927,34219,32902,32774,31849,31679,31096,30652,31037,31297,30942,31289,31344,31806,32170,31762,32398,32262,32437,30388,29516,29483,29690,29464,29569,29246,29515,29246,31610,31637,31627,31549,31826,32128,31545,31230,30847,31030,31044,30045,30519,30489,30318,29894,30192,29579,29832,30605,30116,29470,29394,30172,30167,29836,30455,30393,29758,29925,29770,30710,30087,30895
"22","40","A     Furniture and related product manufacturing","KS337W0",1389,1395,1361,1323,1349,1327,1371,1360,1355,1351,1342,1365,1368,1380,1430,1449,1462,1462,1503,1506,1497,1461,1458,1469,1513,1486,1468,1426,1434,1459,1453,1482,1422,1449,1502,1510,1523,1554,1561,1582,1568,1583,1580,1598,1588,1575,1588,1569,1594,1623,1600,1615,1603,1562,1550,1488,1477,1474,1468,1446,1515,1495,1494,1526,1559,1531,1543,1510,1544,1554,1554,1485,1540,1557,1592,1583,1516,1548,1575,1526,1518,1481,1460,1443,1498,1501,1493,1479,1471,1503,1488,1545,1454,1483,1500,1478,1522,1569,1528,1537,1551,1383,1360,1390,1383
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3869,3735,3706,3647,3645,3704,3653,3626,3648,3667,3737,3660,3662,3621,3713,3723,3646,3691,3745,3670,3622,3555,3609,3559,3570,3608,3609,3638,3679,3633,3609,3614,3734,3618,3609,3688,3632,3668,3674,3743,3752,3771,3815,3801,3913,3898,3915,3887,3919,3893,3845,3820,3797,3795,3925,3860,3822,3789,3772,3723,3713,3695,3628,3679,3675,3663,3598,3648,3644,3706,3701,3779,3908,4048,4253,4125,4208,3940,4331,4307,3603,3630,3884,3899,3841,4010,3935,3626,3623,3593,3870,3828,3823,3871,3928,3971,3858,4089,3925,4266,4100,4019,3988,4053,3965
"24","42","A   Nondurable goods industries","KS30NW0",26418,26392,26394,26626,26969,26840,26951,27548,27838,28250,28526,28626,28155,28377,28212,28444,28557,28428,28451,28169,27974,27881,28363,28007,28260,28338,28570,29149,29484,29390,29095,28739,28729,29080,29437,29400,29017,28853,28967,29023,28908,29370,29741,29546,29364,30110,29843,29546,29267,29101,28951,28946,28926,28484,28387,28689,29052,28489,28347,28684,29032,28962,29136,29057,29231,29489,29842,30492,30487,30207,29833,29223,29265,29484,29835,29309,29064,29583,29898,29867,29702,29957,30134,29189,29597,29634,29885,30266,29332,29814,29305,29252,28753,28856,28901,28618,28313,28646,28748,28015,27526,27578,27312,27186,27255
"25","43","A     Food manufacturing","KS311W0",4750,4816,4749,4781,4887,4843,4828,4910,4892,4940,4954,4894,4713,4678,4552,4616,4625,4573,4578,4622,4540,4531,4575,4595,4663,4684,4676,4646,4608,4649,4653,4607,4659,4666,4747,4732,4686,4697,4768,4797,4867,4847,4836,4818,4783,4628,4705,4839,4723,4730,4738,4705,4766,4647,4528,4607,4627,4569,4605,4616,4616,4650,4598,4563,4558,4596,4618,4625,4648,4744,4760,4746,4733,4740,4759,4801,4771,4741,4756,4745,4701,4659,4595,4626,4646,4596,4633,4681,4693,4695,4730,4830,4770,4838,4877,4900,4877,5004,4965,4920,4925,4822,4689,4786,4728
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",784,809,894,886,1004,998,1118,1313,1391,1436,1437,1524,1539,1583,1643,1683,1642,1651,1606,1367,1259,1300,1403,1516,1562,1623,1574,1585,1545,1553,1483,1443,1308,1461,1448,1437,1511,1511,1527,1646,1643,1721,1760,1728,1749,1779,1804,1913,1826,1885,1846,1905,1961,2001,2092,2161,2146,2122,2144,2127,2199,2202,2234,2165,2194,2125,2042,2105,2195,2132,2046,2085,2042,2001,1983,1992,1967,1935,2005,2028,2106,2065,2073,2078,2092,2059,2009,2094,1992,2124,2029,2232,2205,2133,2040,2100,2128,2094,2135,2131,2203,2230,2249,2139,2076
"27","45","A     Textile mills","KS313W0",1738,1719,1676,1718,1716,1683,1678,1675,1672,1695,1682,1662,1651,1665,1653,1658,1616,1656,1671,1681,1681,1652,1646,1636,1633,1605,1610,1608,1598,1577,1594,1573,1582,1606,1632,1632,1622,1614,1595,1617,1631,1625,1539,1574,1555,1555,1515,1517,1499,1497,1505,1499,1479,1480,1454,1424,1417,1391,1388,1357,1327,1328,1304,1268,1271,1264,1263,1284,1199,1223,1218,1266,1291,1280,1263,1259,1320,1317,1310,1300,1299,1291,1282,1287,1276,1273,1279,1304,1279,1256,1251,1255,1250,1254,1239,1219,1212,1203,1182,1134,1134,1130,1132,1149,1134
"28","46","A     Textile product mills","KS314W0",748,769,761,758,775,780,777,786,804,813,808,837,844,845,838,834,828,825,817,821,804,801,799,796,770,770,792,802,821,844,831,828,839,849,856,860,872,880,884,883,893,886,903,900,920,900,898,878,872,857,845,861,830,836,826,829,832,822,833,836,826,824,814,810,797,781,771,768,748,753,747,719,738,739,752,727,731,729,730,729,748,732,712,723,745,722,722,715,722,718,710,705,686,699,686,688,693,688,684,671,672,670,667,658,657
"29","47","A     Apparel manufacturing","KS315W0",1598,1629,1642,1654,1663,1701,1738,1712,1702,1726,1734,1795,1745,1691,1675,1670,1714,1679,1683,1697,1685,1662,1654,1636,1579,1589,1584,1653,1636,1703,1698,1751,1734,1821,1801,1813,1856,1859,1874,1815,1821,1833,1847,1827,1832,1780,1774,1731,1746,1697,1644,1614,1551,1468,1363,1352,1363,1358,1338,1300,1285,1287,1283,1291,1327,1343,1369,1403,1303,1310,1339,1355,1357,1346,1344,1344,1263,1329,1325,1330,1357,1377,1374,1367,1359,1362,1352,1363,1341,1323,1307,1325,1329,1302,1271,1252,1237,1227,1240,1224,1217,1192,1213,1236,1255
"30","48","A     Leather and allied product manufacturing","KS316W0",317,324,336,343,339,340,317,324,328,335,354,334,340,347,334,330,327,314,316,311,304,301,307,318,312,304,298,302,295,301,310,306,319,330,320,319,315,319,307,308,310,316,304,309,318,297,301,298,308,299,302,292,279,271,267,272,270,266,265,261,260,258,254,253,260,265,264,257,247,254,243,242,227,225,224,216,213,205,204,201,207,216,236,227,229,225,216,220,215,213,206,215,212,215,209,208,214,213,214,200,208,209,202,204,199
"31","49","A     Paper manufacturing","KS322W0",1557,1569,1588,1579,1586,1571,1558,1572,1609,1602,1595,1627,1633,1615,1589,1587,1568,1495,1514,1518,1464,1447,1453,1501,1501,1516,1550,1535,1544,1562,1562,1563,1608,1613,1670,1606,1620,1614,1588,1592,1578,1610,1611,1597,1600,1586,1565,1527,1517,1529,1459,1447,1473,1444,1429,1453,1473,1502,1507,1517,1543,1521,1576,1620,1631,1657,1697,1749,1674,1650,1660,1646,1628,1621,1671,1665,1646,1638,1626,1626,1653,1659,1648,1584,1635,1617,1618,1640,1677,1656,1690,1710,1693,1730,1733,1712,1704,1741,1773,1750,1739,1702,1698,1695,1695
"32","50","A     Printing and related support activities","KS323W0",1402,1285,1181,1241,1258,1192,1247,1450,1415,1406,1475,1378,1276,1310,1225,1325,1389,1368,1385,1331,1376,1283,1234,1259,1303,1286,1380,1581,1456,1457,1473,1260,1329,1370,1415,1422,1444,1508,1389,1295,1324,1346,1255,1345,1344,1436,1396,1295,1290,1257,1262,1202,1222,1239,1213,1266,1228,1127,1062,1169,1181,1081,1178,1227,1237,1349,1390,1393,1293,1450,1420,1287,1272,1319,1350,1234,1206,1159,1189,1211,1173,1166,1230,1203,1117,1164,1117,1116,1286,1147,1170,1181,1230,1320,1200,1181,1098,1187,1135,1148,1161,1138,1168,1103,1142
"33","51","A     Petroleum and coal product manufacturing","KS324W0",3728,3682,3757,3847,3800,3848,3816,3971,4118,4209,4325,4213,4064,4326,4369,4287,4343,4313,4239,3916,4195,4262,4052,3927,3810,3443,3735,3746,3659,3551,3465,3645,3597,3518,3749,3773,3763,3611,3593,3685,3642,3791,3795,3709,3762,4195,3826,3747,3734,3824,3762,3752,3817,3776,3862,3773,4079,3851,3838,4001,3947,3715,4019,4040,4031,4049,4057,4068,3998,3878,3581,3795,3737,3709,3906,3537,3131,3474,3713,3651,3484,3863,3624,3428,3692,3742,3647,3748,2951,2974,3103,2833,2814,3043,3045,2724,2824,2942,3015,2804,2467,2558,2595,2631,2673
"34","52","A     Chemical manufacturing","KS325W0",7761,7725,7791,7817,7849,7807,7800,7803,7859,8098,8190,8341,8334,8394,8426,8509,8583,8605,8666,8722,8620,8649,9120,8624,8782,9010,8979,9247,9843,9682,9509,9349,9341,9441,9474,9455,9101,9038,9175,9118,8963,9187,9689,9548,9339,9759,9975,9587,9469,9263,9364,9445,9377,9144,9186,9370,9495,9331,9220,9391,9753,9953,9662,9636,9742,9950,10242,10715,11020,10670,10707,9999,10167,10413,10470,10444,10699,10888,10974,11049,10911,10930,11344,10650,10781,10865,11277,11380,11247,11694,11057,10964,10574,10319,10501,10624,10295,10280,10333,10039,9933,10105,9875,9738,9854
"35","53","A     Plastics and rubber product manufacturing","KS326W0",2113,2129,2106,2105,2167,2172,2157,2145,2199,2161,2171,2183,2155,2162,2184,2172,2170,2197,2189,2254,2268,2266,2273,2304,2392,2373,2390,2417,2417,2413,2412,2376,2377,2347,2309,2349,2224,2198,2259,2258,2225,2199,2194,2185,2155,2176,2079,2212,2282,2268,2231,2234,2184,2192,2196,2183,2169,2161,2155,2148,2099,2082,2237,2217,2206,2139,2159,2140,2142,2140,2106,2080,2076,2102,2113,2088,2094,2159,2054,1985,2052,2003,2011,2016,1998,1981,1984,1963,1985,2047,2066,2074,2069,2022,2096,2090,2076,2091,2073,2049,2040,1952,1941,1940,1911
