"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"11","3","A   Durable goods manufacturing industries","KP30D0",164963,169303,170041,173891,171201,175385,180701,175806,178542,177798,180303,181038,177807,185714,185861,183699,182725,179460,177674,182490,185680,188965,190052,190612,190410,193485,191592,193220,194403,192811,194007,196698,194023,194748,195834,196142,203272,194431,198176,201388,198829,200799,197585,195428,199253,195028,192785,193656,185591,191354,189776,181802,186500,183702,182148,180592,174679,176463,177244,178898,180384,178802,176283,182647,181946,178357,183764,181213,180323,182170,179709,175404,179806,176613,177757,176323,176621,179811,184585,179988,184933,185905,185927,190003,187648,189376,196461,193686,191642,193720,194618,197155,194559,194852,195290,200373,201116,197068,197657,197896,199879,200062,199008,203188,201886
"12","4","A     Wood product manufacturing","KP3210",7182,6988,7074,7175,7075,7220,7504,7273,7485,7335,7503,7430,7674,7745,7724,7562,7514,7732,7643,7475,7389,7669,7839,7945,7693,8047,7844,8080,8038,7675,7849,7663,7695,7821,7922,8035,8308,8067,8576,7875,7975,7684,7531,7601,7659,7613,7369,7436,7228,7351,7225,7363,7548,7386,7413,7476,7496,7457,7372,7400,7469,7478,7460,7534,7586,7478,7548,7413,7340,7418,7692,7550,7458,7159,7590,7548,7481,7632,7586,7832,7835,7943,7930,7803,7764,7723,8090,8283,8237,8018,8169,8394,8060,7875,8114,8461,8136,8176,8116,8026,8119,8058,8076,8129,8040
"13","5","A     Nonmetallic mineral product manufacturing","KP3270",7309,7470,7535,7650,7576,7596,7687,7659,7738,7635,7661,7683,7827,7899,7936,7975,8127,8057,8019,7953,7957,7976,8123,8297,8105,8189,8153,7992,7986,8046,7993,8168,8147,8183,8371,8309,8354,7935,8284,8288,8068,8040,8180,8020,8158,8109,7920,7884,7702,7908,7855,7839,8026,7944,7944,7914,7613,7811,7698,7694,7789,7702,7131,7299,7208,7111,7113,7197,7131,7055,7039,7084,7199,6846,7054,6943,7010,7086,7188,7143,7322,7444,6948,7115,6929,6802,7523,7343,7110,7112,7137,7107,6976,7086,7331,7437,7292,7369,7482,7496,7548,7507,7393,7481,7522
"14","6","A     Primary metal manufacturing","KP3310",12951,13282,13033,13250,13068,13337,13334,13231,13431,13401,13738,13723,13887,14255,14044,13976,13791,13564,13476,13717,13505,13502,13325,13290,13395,13493,13431,13278,13558,13458,13476,13603,13648,13466,13663,13928,13966,13244,13448,13429,12923,13237,13107,12674,12828,12597,12486,12366,11966,12231,12124,11814,12161,12011,12062,12028,11640,11750,11673,11430,11622,11372,11661,12045,12004,11744,11857,11881,11662,11774,11386,11247,11582,10942,11228,11011,11017,10674,11011,10732,10891,10955,10919,11244,11228,11069,11875,11373,11144,11574,11712,11690,11559,11263,11449,11648,11595,11297,11376,11215,11225,11238,11219,11680,11690
"15","7","A     Fabricated metal product manufacturing","KP3320",19800,20283,20257,21059,20419,20877,20814,20862,21163,21135,21174,21108,21035,21680,21545,21297,21473,21467,21535,21422,21506,21441,21491,21731,21567,21671,21324,21501,21584,21514,21588,21569,21608,21738,22108,22081,22644,21835,22675,22758,22375,22745,22488,22200,22425,21899,21768,22053,21230,21536,21458,20833,21288,20865,20821,20977,20443,20696,20585,20456,20688,20312,20299,21080,20865,20786,21078,20990,20950,20971,20615,20581,20443,20157,20125,19785,19909,19865,20533,19634,20053,20133,19980,20547,20292,19761,21581,21166,20931,21007,21230,21048,20974,20622,20957,21015,21079,20691,20987,20959,21091,20929,20551,21018,21117
"16","8","A     Machinery manufacturing","KP3330",21971,22637,22833,23216,22711,23250,23607,23248,23892,23812,23770,24073,24091,24336,24773,23922,24087,24443,23966,23081,23294,23396,23037,22892,22611,22867,22843,22748,23003,23320,23083,23337,23623,23576,23689,24034,25051,23646,24701,24740,24201,24361,24611,24514,24467,24019,23761,23691,24577,24070,23386,22400,22738,21835,21958,22299,20488,21146,20653,20010,21549,22083,20772,20958,21843,21014,21316,21211,20924,20924,20779,20445,20667,20207,20348,20195,20412,20373,20767,20538,20810,20902,20685,22131,21982,21806,23079,22990,22311,23291,23938,23688,24078,24659,23655,25140,25388,24575,23879,24109,24120,23907,24147,24447,24530
"17","9","A     Computer and electronic product manufacturing","KP3340",28454,29409,30623,29909,30297,31875,31796,32371,32791,32122,31638,32814,31729,33439,33354,33235,32280,33915,33062,33567,34360,34434,35126,35389,35558,36136,35897,37070,37353,37724,39217,38489,38257,38314,38389,37587,40711,39731,40598,42527,42643,42442,43140,43416,43822,43423,42915,44040,42044,42162,41183,38105,37093,37151,35502,34132,34349,34101,33988,35604,35130,34698,34599,35054,34843,34494,35411,35304,35658,35938,36152,35190,36756,36247,36621,37896,37312,39329,39782,40407,40883,42162,41957,43543,44084,43418,44287,45452,44843,45017,46531,47270,46187,47876,48225,48571,50567,49840,50772,50190,51611,51544,51200,52782,52070
"18","10","A     Electrical equipment, appliance, and component manufacturing","KP3350",9025,9104,9037,9452,9264,9337,9376,9281,9731,9845,9777,9471,9642,9917,9780,9630,9641,9647,9753,9669,9859,9699,9781,10011,9648,9875,9850,9993,10024,9836,10098,10356,9906,9940,10151,9978,10646,10388,10493,10388,10421,10604,10468,10330,10358,10284,10593,10467,10175,10455,10252,9906,10068,9783,9309,9356,8730,8888,8567,8835,8559,8540,8691,8925,8956,8605,8743,8601,8575,8707,8796,8618,8682,8282,8397,8381,8388,8355,8624,8367,8527,8614,8662,8634,8528,8402,8484,8594,8511,8475,8777,8888,8587,8559,8659,8581,8839,8662,8473,8506,8649,8645,8721,8924,8780
"19","11","A     Transportation equipment manufacturing","KP3360",45140,46525,45969,48825,47261,47916,52988,48289,48298,48517,51139,50693,47586,51968,51945,51778,51819,45561,45527,50942,53134,56263,56564,56095,56748,57971,57010,57457,57682,56178,55704,58450,55979,56551,56282,56806,58381,54618,53887,55384,54371,55687,51969,50629,53431,50858,49912,49706,44935,49544,50516,47825,51913,51463,51492,50545,48690,49313,51549,52477,52071,51284,50355,53989,52675,51586,54714,52748,52616,53616,51440,48565,51268,51289,50658,49306,49360,50938,52961,49491,52706,51756,52583,52428,50829,54667,55172,52533,52542,52866,51024,53323,52308,51479,51127,52882,52077,50649,50807,51434,51636,52133,51647,53032,52185
"20","12","D       Motor vehicle and parts manufacturing","KP3MV0",33612,34261,33307,35111,33867,34206,38325,35458,35000,35879,37125,36590,33746,37414,37568,37062,37921,31341,31174,36437,37781,39480,40182,40714,40757,42294,41825,41398,42083,41930,40429,42122,41948,41620,41710,42116,43306,40970,41257,41034,39121,40684,38682,36297,39232,37754,35842,36115,31620,35396,36787,34814,37490,36202,37018,36053,33992,35293,37034,37480,37382,36864,35697,39908,38963,37786,40382,39558,38588,39808,37361,35121,38322,37179,36834,35841,35774,36859,38780,36131,38618,38207,37952,38891,37339,39301,40665,38847,37656,38116,36833,38751,38292,37270,37769,39469,37766,36922,36024,35505,36449,37057,36912,37972,38459
"21","13","D       Other transportation equipment manufacturing","KP3OT0",11486,12240,12665,13729,13415,13738,14674,12825,13308,12624,14022,14118,13871,14571,14389,14741,13901,14270,14406,14527,15382,16826,16412,15388,16009,15681,15184,16075,15603,14231,15284,16346,14014,14930,14568,14686,15072,13643,12622,14349,15255,15007,13291,14332,14203,13111,14067,13588,13298,14135,13728,13012,14418,15234,14465,14476,14665,14008,14507,14980,14679,14411,14631,14116,13747,13819,14366,13255,14046,13855,14078,13434,13012,14105,13826,13466,13580,14069,14203,13373,14112,13593,14611,13599,13520,15328,14552,13740,14838,14720,14165,14568,14038,14190,13411,13507,14297,13732,14676,15711,15060,14977,14661,14993,13793
"22","14","A     Furniture and related product manufacturing","KP3370",5415,5741,5624,5533,5510,5520,5505,5471,5614,5628,5726,5686,5960,5962,6027,5901,5753,5927,6077,5957,5993,6002,6062,6157,6171,6277,6161,6075,6229,6202,6104,6162,6193,6056,6072,6207,5955,6025,6239,6422,6264,6300,6301,6346,6270,6362,6254,6214,6156,6290,6158,6106,6009,5722,5984,5985,5704,5767,5729,5729,5850,5726,5680,5870,5756,5730,5752,5693,5570,5603,5516,5779,5609,5476,5420,5351,5687,5581,5825,5706,5679,5736,5827,5737,5971,5706,5706,5949,6009,5919,6170,5995,5842,5989,6036,6230,6198,6190,6226,6384,6415,6349,6370,6210,6306
"23","15","A     Miscellaneous durable goods manufacturing","KP3390",8273,8391,8364,8416,8429,8710,8535,8304,8606,8662,8605,8634,8718,8823,9078,8720,8644,9288,8825,8951,8915,8854,8933,9025,9118,9156,9269,9139,9064,8949,8910,8997,9041,9165,9248,9250,9275,8937,9253,9572,9581,9690,9783,9697,9834,9868,9812,9823,9617,9838,9645,9613,9604,9516,9581,9745,9465,9435,9322,9215,9540,9467,9553,9764,10057,9681,10088,10042,9811,10074,10252,10255,10137,10003,10333,10099,10146,10242,10510,10524,10561,10736,10891,11382,10770,10658,11118,10749,10741,11120,10797,10742,10875,10749,11025,11594,11542,11231,11313,11272,11413,11710,11608,11550,11551
"24","16","A   Nondurable goods manufacturing industries","KP30N0",146427,148362,147334,148981,149848,149570,150453,150306,150971,151283,152879,151678,153168,153342,152652,151628,151595,151970,150297,151713,151560,150733,150326,151344,150753,153813,152416,150372,151387,152879,151495,152371,151919,153056,155191,152549,154187,151365,152447,153713,153757,153839,152719,152857,152515,151934,151373,151129,149469,152749,150059,147561,149591,145993,148859,149952,144798,148873,147672,149310,150152,147860,147020,146747,148728,147998,147250,147519,145913,146886,146877,147758,147007,142951,145432,143515,146378,145995,149024,147190,147820,148153,148564,149692,149840,147561,153230,151865,153217,154028,154681,154385,151532,153418,152716,152371,154631,152503,154575,152482,155391,152951,152165,153916,148532
"25","17","A     Food manufacturing","KP3110",33548,33808,33718,33758,34175,34165,34444,34118,34013,34006,34549,34971,36037,35775,35963,35982,35225,35381,35087,35646,35334,35638,35561,35449,35328,36054,36140,35548,36248,36024,35801,35738,35986,35862,36280,36004,36032,35132,35852,36769,35954,36276,36333,36426,36500,36381,36296,36256,36258,36504,36605,36520,36286,36239,36304,36207,36011,36079,36652,36869,37047,36895,36769,36618,37019,36252,36525,36764,35125,36726,36720,36543,36131,35498,35607,35897,35592,35933,36051,35940,35747,34866,34411,34390,34852,34179,34458,34402,34678,34968,35971,35860,35594,36490,36213,36234,36940,36553,36025,36352,36737,36853,36579,36702,36586
"26","18","A     Beverage and tobacco product manufacturing","KP3120",9702,9568,10135,9493,10007,9823,9888,10077,10047,10325,10609,9988,9830,10434,10305,9939,10123,10440,10016,10215,10057,10062,9541,9344,9306,9453,9752,9185,9269,9725,9276,9426,8943,9366,9418,8792,9358,8852,9575,8987,9739,9367,9175,9533,9000,9313,9515,9176,8900,9309,9356,8917,9869,9343,9312,10040,8910,9875,8789,9047,8953,8392,8940,8248,8694,8499,8338,8348,8218,8172,7936,7964,8107,7944,8521,8206,8245,8336,8248,8142,8052,8115,7925,8021,7765,7754,8533,8118,8188,8595,8224,8454,8397,8315,8267,8238,8009,7967,8023,8174,8526,8516,8325,8802,8240
"27","19","A     Textile mills","KP3130",4760,4814,4781,4763,4676,4641,4701,4544,4706,4709,4680,4679,4864,4799,4821,4585,4611,4579,4648,4619,4467,4531,4575,4494,4637,4500,4338,4565,4571,4500,4431,4423,4516,4465,4513,4567,4355,4388,4474,4397,4326,4430,4392,4345,4292,4233,4205,4136,4111,4074,3937,3823,3887,3833,3795,3811,3750,3739,3553,3630,3590,3665,3657,3872,3750,3679,3852,3669,3607,3690,3685,3486,3680,3585,3553,3322,3227,3304,3314,3285,3362,3450,3405,3398,3483,3444,3466,3481,3501,3346,3518,3513,3506,3405,3433,3493,3514,3483,3388,3422,3381,3413,3297,3273,3167
"28","20","A     Textile product mills","KP3140",2515,2588,2580,2625,2570,2590,2639,2650,2657,2679,2673,2709,2708,2685,2525,2623,2572,2589,2614,2559,2626,2620,2619,2651,2717,2682,2656,2723,2739,2726,2779,2771,2787,2848,2863,2763,2902,2868,2930,2862,2851,2824,2781,2810,2750,2709,2689,2579,2750,2709,2643,2556,2594,2611,2625,2635,2635,2607,2615,2628,2627,2786,2755,2853,2880,2839,2811,2810,2838,2853,2874,2872,2830,2781,2814,2792,2761,2767,2840,2843,2899,2952,2982,3217,3226,3121,3121,3026,3005,2998,3014,3008,2984,3001,2958,3000,3112,3080,3007,2998,2999,3000,3013,3051,3115
"29","21","A     Apparel manufacturing","KP3150",5519,5698,5426,5815,5672,5658,5775,5760,5919,5864,5968,5675,5618,5609,5524,5509,5422,5525,5446,5447,5388,5235,5251,5292,5388,5324,5287,5318,5258,5226,5177,5105,5136,5130,5113,5053,5096,5108,5337,5047,5081,5035,4817,5073,4986,4995,4882,4879,4775,4859,4850,4710,4607,4513,4310,4481,4397,4467,4314,4495,4436,4458,4362,4614,4597,4487,4633,4505,4527,4435,4610,4502,4590,4400,4417,4268,4328,4419,4366,4323,4475,4547,4583,4692,4633,4675,4788,4819,4887,4863,4848,4732,4782,4730,4752,4617,4545,4447,4268,4176,4303,4371,4258,4221,4187
"30","22","A     Leather and allied product manufacturing","KP3160",916,950,948,933,907,926,919,896,893,870,871,933,926,922,903,876,858,858,825,831,830,762,833,922,807,797,796,788,811,788,829,822,824,823,818,894,792,741,800,824,815,806,830,807,751,794,779,884,819,767,778,725,742,697,661,664,650,685,672,736,757,758,744,803,827,863,880,880,905,879,909,866,858,898,887,886,874,875,900,882,836,834,870,843,814,830,829,831,831,860,846,857,825,802,805,706,897,871,863,876,885,842,816,840,849
"31","23","A     Paper manufacturing","KP3220",13299,13624,13566,13878,13608,13563,13512,13633,13671,13819,13993,13972,13917,13733,13848,13842,13991,13836,13832,13818,13683,13727,13521,14120,14119,14382,13647,13703,13647,13740,13702,14370,14153,13959,14369,14398,14302,14079,14201,14130,13612,13669,13730,13278,13668,13279,13517,13692,13289,13812,13524,13258,13005,12785,12789,12830,12540,12820,12644,12289,12712,12161,12439,12654,12886,12641,12999,13519,13136,13189,12826,13254,13280,13045,13640,13485,13522,13602,13602,13295,13336,13501,13569,13859,14413,13739,14143,14205,14178,14750,14404,14364,14001,13968,14138,14152,14479,14214,14367,14295,14346,14376,13729,13595,13311
"32","24","A     Printing and related support activities","KP3230",8414,8531,8279,8426,8537,8517,8465,8414,8649,8591,8488,8552,8536,8491,8556,8581,8546,8523,8639,8618,8647,8655,8803,8353,8707,8641,8698,8612,8553,8712,8674,8654,8648,8522,8763,8763,8626,8761,8610,8597,9088,9002,8806,8678,8655,8465,8497,8604,8580,8657,8565,8291,8540,8304,8254,8267,8011,8106,7999,7980,8077,7864,8077,8022,8073,8049,8037,8148,8140,8206,8090,8125,8036,7947,7995,8038,7983,7842,7660,7719,7739,7595,7675,7798,7712,7697,7784,7688,7847,8002,7824,7606,7706,7646,7592,7696,7713,7670,7706,7706,7703,7576,7429,7399,7346
"33","25","A     Petroleum and coal product manufacturing","KP3240",19022,19088,18564,19088,20035,19821,20162,20309,19954,19609,19581,18911,19305,19459,19825,19471,19936,19912,19038,19714,19955,19441,18785,19888,19263,20439,20206,18665,19482,20168,19955,19694,19417,20437,20925,19582,20309,19769,18908,19239,20027,19748,19493,19673,19279,19938,19459,18911,19656,19475,18830,18998,19334,18346,20071,20005,18477,20577,20738,22565,22595,22069,20766,18754,19731,19712,19692,19561,18709,18098,18498,19169,18336,16373,16984,17306,20456,18983,19051,19202,18976,19282,20770,20443,20016,20259,22011,21110,21741,21076,21231,21374,21000,21088,20354,20593,21665,21092,23535,21635,23246,21630,21269,21641,19910
"34","26","A     Chemical manufacturing","KP3250",35912,36613,36348,36806,36730,36703,36651,36775,36943,37126,37603,37054,37388,37382,36703,36364,36692,36824,36148,36304,36696,35846,36395,36689,36089,36821,36587,36712,36324,36922,36644,36815,36782,37036,37291,36661,37364,36873,36734,37602,37221,37488,37645,37525,37829,37211,37095,37780,36336,37913,36708,35835,36602,35317,36399,36739,35281,35870,35868,35496,35540,34927,34358,35200,35313,36290,34432,34444,35959,35594,35683,35833,36131,35940,36249,34870,34923,35124,38029,36808,37334,37799,37319,37515,37530,36836,38132,38237,38454,38484,38623,38176,36580,37889,38037,37332,37318,36939,36692,36767,36554,36255,37359,37899,35998
"35","27","A     Plastics and rubber product manufacturing","KP3260",12991,13168,13092,13442,13196,13338,13500,13442,13713,13833,13974,14077,13846,13998,13754,13816,13817,13707,13891,14032,14085,14222,14138,14304,14287,14985,14527,14307,14433,14484,14327,14574,14664,14737,15009,15072,15105,14820,15038,15248,15076,15201,14715,14702,14789,14566,14401,14225,13944,14619,14200,13870,14033,13900,14341,14216,14006,14064,13948,14071,14297,14324,14261,14983,14902,14665,15051,14863,14725,14999,15032,15151,15076,14793,14907,14426,14597,14817,14980,14747,15083,15267,15134,15649,15597,15098,15916,15990,15852,16162,16127,16311,16030,15863,16170,16182,16103,15924,15713,15606,15841,15725,15687,15957,16065
"36","28","A Merchant wholesale industries","KP42W0",184382,189081,187468,187104,188939,190426,191037,190233,193567,193260,193579,193712,197615,198507,200172,201631,201225,201574,203322,204523,205673,206592,207788,210037,208803,213111,214645,213993,218222,219494,220279,220325,221412,224260,225744,226094,227168,223533,225336,227919,227072,229784,229542,230309,230472,231267,229643,232711,231390,231507,229219,227859,228694,225276,228795,228810,228105,227203,228591,228720,229927,230852,228257,232072,233111,234778,233715,235569,234036,232158,236356,233633,233750,230390,231217,231376,232223,235220,237026,236174,238365,241107,241064,241353,240950,245014,251098,251061,250948,252568,252136,254624,255699,255220,256709,260452,260842,258813,256456,259872,261822,261672,260714,264008,266235
"37","29","A   Durable goods merchant wholesale industries","KP42WD0",89098,92340,90956,92045,92739,93676,94585,93692,96429,96072,96585,96223,98517,99149,100400,101224,100619,101498,102091,102474,102047,102939,103251,104233,105383,108310,108893,109211,111246,111784,113017,113148,114071,115607,116450,118152,118360,116846,117720,118193,118613,119026,118372,119289,119506,120008,119418,118415,118862,119350,118408,116880,117167,115026,115726,116469,114234,112751,113667,113334,114197,115493,113775,116106,116736,117062,116944,118210,117223,115988,116715,114853,116326,114095,116005,115877,116172,117808,118674,118236,120569,122191,122685,124024,123668,126501,131612,132651,133001,133537,133434,134043,133454,135061,136210,139415,138608,137333,136967,138633,139607,140296,140450,142928,142766
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KP42110",13732,13986,14012,13690,14190,14365,14097,13310,14210,14228,14040,13008,14108,14039,14617,14623,14599,14467,14656,14854,14891,14506,14798,14847,14860,16392,15844,15975,16224,16429,16687,16416,16737,17046,16797,17013,16815,16766,16619,16820,16425,16638,16419,16572,16520,16657,16690,16678,17000,17003,17219,17275,17642,17351,17407,17572,16700,17733,17630,17287,17684,18066,17886,18257,18238,18362,18664,19865,18928,18560,19158,19042,19031,18182,18678,18646,18771,19045,19106,18987,19145,19313,19752,20453,18981,20167,20407,20823,20396,20550,20338,20529,20541,20767,20059,20558,20627,21204,20987,20479,20906,21386,21780,22762,21916
"39","31","D     Furniture and home furnishings wholesalers","KP42120",3264,3458,3239,3305,3208,3211,3255,3207,3499,3440,3364,3433,3496,3356,3435,3404,3381,3456,3412,3453,3422,3334,3486,3437,3438,3527,3482,3509,3580,3553,3740,3663,3631,3732,3664,3756,3796,3865,3831,3914,3955,3928,3909,3917,3977,3915,3871,3846,3879,3861,3864,3779,3682,3699,3648,3708,3625,3680,3646,3589,3671,3607,3671,3683,3669,3837,3673,3617,3610,3598,3684,3499,3644,3708,3677,3656,3710,3741,3831,3768,3811,3811,3833,3902,3942,3944,4025,4032,4119,4023,4070,4146,4173,4087,4051,4134,4118,4081,4052,4108,4104,4183,4157,4150,4151
