"","Table 6#4C# Full-Time and Part-Time Employees by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2004 8:03:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Full-time and part-time employees","A4201C0",110725,113885,116590,118076,116567,116982,118625,121416,124306,126607,129416,132748,135833,138678
"9","2","Domestic industries","A4202C0",110791,113960,116673,118158,116649,117060,119051,121895,124783,127047,129888,133216,136347,139131
"10","3","  Private industries \1\","A4203C0",90241,93054,95389,96345,94805,95165,97127,99891,102707,104978,107798,110892,113734,116036
"11","4","    Agriculture, forestry, and fishing","A4204C0",1794,1891,1856,1885,1880,1839,1883,1924,1999,2030,2110,2159,2284,2298
"12","5","      Farms","B4205C0",964,1002,928,919,909,865,857,839,867,831,875,879,922,889
"13","6","      Agricultural services, forestry, and fishing","B4206C0",830,889,928,966,971,974,1026,1085,1132,1199,1235,1280,1362,1409
"14","7","    Mining","A4207C0",720,722,697,715,695,640,614,606,589,583,600,593,540,542
"15","8","      Metal mining","B4208C0",45,51,57,59,56,54,51,49,52,54,54,49,44,40
"16","9","      Coal mining","B4209C0",162,151,146,147,137,127,113,113,106,98,97,92,86,79
"17","10","      Oil and gas extraction","B4210C0",401,405,381,396,396,355,346,339,323,322,340,340,297,309
"18","11","      Nonmetallic minerals, except fuels","B4211C0",112,115,113,113,106,104,104,105,108,109,110,112,114,114
"19","12","    Construction","B4212C0",5174,5313,5381,5341,4872,4679,4848,5185,5369,5638,5901,6219,6636,6928
"20","13","    Manufacturing","A4213C0",19111,19475,19518,19202,18531,18176,18175,18430,18593,18579,18749,18900,18674,18575
"21","14","      Durable goods","A4214C0",11205,11453,11457,11168,10631,10328,10290,10516,10730,10844,11055,11257,11176,11182
"22","15","        Lumber and wood products","B4215C0",770,791,778,748,692,696,726,770,784,795,813,833,852,845
"23","16","        Furniture and fixtures","B4216C0",517,529,527,511,476,477,489,505,511,506,514,534,550,558
"24","17","        Stone, clay, and glass products","B4217C0",558,572,572,560,525,515,521,534,541,547,555,565,572,582
"25","18","        Primary metal industries","B4218C0",741,771,775,756,724,694,681,697,707,708,710,715,698,700
"26","19","        Fabricated metal products","B4219C0",1407,1434,1444,1424,1358,1333,1345,1396,1445,1454,1488,1518,1530,1545
"27","20","        Industrial machinery and equipment","B4220C0",2046,2114,2130,2096,2015,1932,1940,2000,2070,2118,2170,2210,2142,2120
"28","21","        Electronic and other electric equipment","B4221C0",1781,1773,1754,1688,1603,1536,1537,1582,1625,1660,1695,1707,1670,1719
"29","22","        Motor vehicles and equipment","B4222C0",854,851,850,824,786,820,837,899,969,967,982,996,1022,1019
"30","23","        Other transportation equipment","B4223C0",1170,1187,1198,1179,1102,1016,920,852,817,821,858,900,874,837
"31","24","        Instruments and related products","B4224C0",975,1031,1023,991,965,923,891,860,842,854,865,872,853,842
"32","25","        Miscellaneous manufacturing industries","B4225C0",386,400,406,392,386,387,402,421,419,414,406,406,414,415
"33","26","      Nondurable goods","A4226C0",7906,8022,8061,8034,7900,7848,7885,7914,7863,7735,7695,7643,7498,7392
"34","27","        Food and kindred products","B4227C0",1626,1638,1644,1667,1673,1659,1680,1687,1690,1704,1695,1696,1700,1704
"35","28","        Tobacco products","B4228C0",55,55,52,51,50,48,46,43,41,41,41,40,37,35
"36","29","        Textile mill products","B4229C0",731,732,725,700,673,675,680,680,665,631,618,598,561,535
"37","30","        Apparel and other textile products","B4230C0",1104,1099,1091,1047,1017,1012,997,982,946,876,832,772,700,646
"38","31","        Paper and allied products","B4231C0",678,687,694,697,688,690,692,693,693,683,686,679,669,657
"39","32","        Printing and publishing","B4232C0",1521,1577,1591,1597,1564,1526,1533,1555,1558,1547,1559,1578,1571,1562
"40","33","        Chemicals and allied products","B4233C0",1026,1062,1075,1089,1083,1082,1074,1056,1039,1033,1033,1040,1037,1038
"41","34","        Petroleum and coal products","B4234C0",161,158,155,156,158,155,150,147,143,140,137,135,131,126
"42","35","        Rubber and miscellaneous plastics products","B4235C0",856,867,890,892,866,879,912,955,979,981,1001,1017,1012,1017
"43","36","        Leather and leather products","B4236C0",148,147,144,138,128,122,121,116,109,99,93,87,80,73
