"","Table 6#8D# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2004 8:06:30 AM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Persons engaged in production \1\","A4601C0",129164,131777,134552,134765,133345
"9","2","Domestic industries","A4602C0",129565,132218,134940,135189,133789
"10","3","  Private industries","A4603C0",110862,113369,115812,115799,113992
"11","4","    Agriculture, forestry, fishing, and hunting","N4604C0",2147,2159,2177,2344,2369
"12","5","      Farms \2\","N4605C0",1551,1531,1543,1626,1666
"13","6","      Forestry, fishing, and related activities","N4606C0",597,629,634,718,703
"14","7","    Mining","N4607C0",567,518,520,550,516
"15","8","      Oil and gas extraction","N4608C0",130,115,120,127,125
"16","9","      Mining, except oil and gas","N4609C0",241,231,222,222,212
"17","10","      Support activities for mining","N4610C0",196,172,178,201,179
"18","11","    Utilities","N4611C0",595,597,593,595,587
"19","12","    Construction","N4612C0",7954,8356,8645,8540,8361
"20","13","    Manufacturing","N4613C0",17553,17365,17271,16549,15374
"21","14","      Durable goods","N4614C0",10990,10910,10921,10421,9560
"22","15","        Wood products","N4615C0",624,645,633,610,590
"23","16","        Nonmetallic mineral products","N4616C0",547,551,561,552,527
"24","17","        Primary metals","N4617C0",627,611,613,564,502
"25","18","        Fabricated metal products","N4618C0",1754,1755,1764,1671,1547
"26","19","        Machinery","N4619C0",1495,1448,1436,1360,1225
"27","20","        Computer and electronic products","N4620C0",1836,1791,1818,1731,1486
"28","21","        Electrical equipment, appliances, and components","N4621C0",580,566,582,558,495
"29","22","        Motor vehicles, bodies and trailers, and parts","N4622C0",1280,1300,1294,1209,1151
"30","23","        Other transportation equipment","N4623C0",795,772,739,720,670
"31","24","        Furniture and related products","N4624C0",666,686,693,671,627
"32","25","        Miscellaneous manufacturing","N4625C0",785,785,787,775,741
"33","26","      Nondurable goods","N4626C0",6563,6455,6351,6128,5814
