"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Change in private inventories","A014RC1","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-19,523.0","-18,290.0","-44,144.0","-82,519.0","-179,522.0","-200,522.0","-197,097.0","-66,097.0","44,344.0","78,060.0","106,692.0","38,691.0","62,021.0","53,575.0","813.0","68,689.0","71,961.0"
"21","2","Farm","B018RC1","-521.0","783.0","8,335.0","4,724.0","5,597.0","-4,938.0","557.0","3,850.0","4,032.0","-255.0","-9,052.0","-5,646.0","-17,838.0","5,902.0","-1,119.0","7,461.0","5,580.0","-3,031.0","1,830.0","-4,233.0","3,321.0","-10,319.0","-2,290.0","-702.0","2,851.0","-1,376.0","997.0","-2,104.0","4,448.0","18,422.0","7,697.0","4,662.0","-6,534.0","338.0","4,380.0","2,283.0","3,656.0","-8,144.0","-6,304.0","-3,620.0","5,244.0","-4,979.0","-2,266.0","-824.0","-6,487.0","4,043.0","6,155.0","2,721.0","181.0","-766.0","-5,548.0","-927.0","5,302.0","968.0","-6,226.0","-6,469.0","-9,423.0","-9,929.0","-5,567.0","-5,811.0","-7,623.0"
"22","3","Mining, utilities, and construction","N541RC1","12.0","3,442.0","3,269.0","-645.0","5,775.0","5,357.0","3,898.0","6,536.0","145.0","208.0","-2,171.0","-3,268.0","2,364.0","-2,579.0","-733.0","-7,839.0","9,882.0","10,839.0","5,060.0","6,995.0","-92.0","-3,404.0","-5,140.0","-3,724.0","7,149.0","2,800.0","5,656.0","7,927.0","-2,155.0","743.0","4,432.0","2,320.0","3,454.0","9,370.0","-1,798.0","3,967.0","9,627.0","20,455.0","19,143.0","17,376.0","5,484.0","7,563.0","-7,699.0","-6,163.0","-7,486.0","-5,782.0","-3,115.0","-21,417.0","-570.0","-2,177.0","-6,809.0","-20,658.0","-11,446.0","525.0","-6,884.0","-1,971.0","-1,464.0","3,048.0","-988.0","9,244.0","21,100.0"
"23","4","Manufacturing","N150RC1","15,538.0","22,744.0","20,017.0","25,971.0","31,610.0","15,634.0","6,873.0","7,575.0","12,168.0","4,617.0","15,454.0","23,310.0","-3,591.0","14,056.0","5,926.0","11,135.0","-20,117.0","-19,162.0","-24,049.0","-30,696.0","-25,255.0","-2,951.0","5,916.0","5,558.0","1,059.0","-9,255.0","-18,263.0","-3,226.0","-1,455.0","6,509.0","2,401.0","15,471.0","41,368.0","2,213.0","11,743.0","28,860.0","19,450.0","23,773.0","20,371.0","7,051.0","7,768.0","22,759.0","13,696.0","22,717.0","26,189.0","-24,660.0","-36,844.0","-22,227.0","-40,428.0","-45,219.0","-45,969.0","-6,814.0","13,610.0","9,629.0","27,635.0","42,464.0","40,888.0","31,492.0","14,316.0","41,080.0","17,304.0"
"24","5","  Durable goods industries","N624RC1","8,981.0","15,785.0","14,349.0","17,470.0","29,679.0","16,509.0","9,253.0","8,629.0","5,708.0","-3,619.0","10,540.0","12,644.0","-1,944.0","9,486.0","4,408.0","12,927.0","-14,588.0","-12,762.0","-22,483.0","-28,224.0","-15,397.0","-6,249.0","-2,680.0","4,551.0","1,924.0","-9,611.0","-15,420.0","3,926.0","-2,844.0","6,167.0","3,038.0","9,573.0","27,769.0","5,739.0","13,312.0","19,520.0","8,019.0","12,387.0","17,563.0","10,566.0","11,580.0","7,393.0","6,909.0","22,144.0","-731.0","-22,990.0","-7,685.0","13,424.0","-23,288.0","-34,388.0","-31,521.0","-7,028.0","11,260.0","25,729.0","24,156.0","21,962.0","32,188.0","25,180.0","22,568.0","23,860.0","15,324.0"
"25","6","  Nondurable goods industries","N625RC1","6,557.0","6,959.0","5,668.0","8,501.0","1,931.0","-875.0","-2,380.0","-1,054.0","6,460.0","8,236.0","4,914.0","10,666.0","-1,647.0","4,570.0","1,518.0","-1,792.0","-5,529.0","-6,400.0","-1,566.0","-2,472.0","-9,858.0","3,298.0","8,596.0","1,007.0","-865.0","356.0","-2,843.0","-7,152.0","1,389.0","342.0","-637.0","5,898.0","13,599.0","-3,526.0","-1,569.0","9,340.0","11,431.0","11,386.0","2,808.0","-3,515.0","-3,812.0","15,366.0","6,787.0","573.0","26,920.0","-1,670.0","-29,159.0","-35,651.0","-17,140.0","-10,831.0","-14,448.0","214.0","2,350.0","-16,100.0","3,479.0","20,502.0","8,700.0","6,312.0","-8,252.0","17,220.0","1,980.0"
"26","7","Wholesale trade","N658RC1","20,377.0","33,799.0","16,683.0","30,457.0","30,552.0","13,383.0","27,141.0","14,653.0","21,786.0","7,730.0","21,037.0","25,090.0","16,294.0","24,325.0","13,617.0","21,182.0","-5,842.0","-6,194.0","-22,765.0","-14,543.0","-7,274.0","4,163.0","4,020.0","-1,338.0","-6,295.0","-7,038.0","-2,250.0","13,228.0","13,681.0","15,842.0","27,443.0","22,100.0","35,201.0","12,498.0","2,106.0","22,713.0","18,413.0","21,042.0","17,131.0","-1,827.0","1,673.0","6,744.0","18,811.0","-8,049.0","2,951.0","29,951.0","7,540.0","-5,073.0","-75,411.0","-80,419.0","-81,007.0","-11,629.0","16,625.0","32,134.0","59,627.0","18,640.0","28,424.0","50,820.0","8,116.0","40,892.0","26,764.0"
"27","8","  Durable goods industries","N661RC1","15,647.0","26,292.0","8,338.0","18,728.0","25,366.0","8,677.0","21,949.0","12,093.0","15,612.0","11,076.0","10,354.0","19,246.0","11,360.0","21,856.0","8,573.0","12,307.0","-6,458.0","-20,778.0","-21,355.0","-18,062.0","-6,650.0","3,301.0","9,413.0","-4,509.0","3,423.0","-3,169.0","-7,536.0","10,401.0","14,647.0","16,897.0","26,774.0","12,732.0","22,522.0","11,826.0","1,166.0","17,968.0","5,943.0","16,627.0","17,406.0","-2,390.0","11,903.0","-6,774.0","-3,535.0","1,668.0","11,908.0","11,019.0","25,532.0","-10,712.0","-67,004.0","-59,192.0","-48,774.0","-21,608.0","14,855.0","16,568.0","29,054.0","15,618.0","17,448.0","35,520.0","27,148.0","16,532.0","27,084.0"
"28","9","  Nondurable goods industries","N664RC1","4,730.0","7,507.0","8,345.0","11,729.0","5,186.0","4,706.0","5,192.0","2,560.0","6,174.0","-3,346.0","10,683.0","5,844.0","4,934.0","2,469.0","5,044.0","8,875.0","616.0","14,584.0","-1,410.0","3,519.0","-624.0","862.0","-5,393.0","3,171.0","-9,718.0","-3,869.0","5,286.0","2,827.0","-966.0","-1,055.0","669.0","9,368.0","12,679.0","672.0","940.0","4,745.0","12,470.0","4,415.0","-275.0","563.0","-10,230.0","13,518.0","22,346.0","-9,717.0","-8,957.0","18,932.0","-17,992.0","5,639.0","-8,407.0","-21,227.0","-32,233.0","9,979.0","1,770.0","15,566.0","30,573.0","3,022.0","10,976.0","15,300.0","-19,032.0","24,360.0","-320.0"
"29","10","Retail trade","N153RC1","6,240.0","23,084.0","16,334.0","12,152.0","28,210.0","2,369.0","8,732.0","19,236.0","37,870.0","14,075.0","8,435.0","39,359.0","7,978.0","35,237.0","21,030.0","15,585.0","-21,913.0","6,770.0","10,596.0","-36,717.0","19,050.0","24,475.0","16,952.0","31,699.0","24,425.0","8,088.0","16,923.0","18,164.0","30,829.0","28,904.0","12,156.0","20,865.0","14,669.0","-11,135.0","-5,488.0","20,424.0","11,754.0","8,245.0","14,031.0","9,227.0","-8,917.0","9,573.0","13,887.0","1,768.0","-35,594.0","-20,790.0","-18,500.0","-41,777.0","-58,146.0","-64,320.0","-53,035.0","-22,320.0","19,322.0","35,127.0","31,385.0","-15,378.0","-728.0","-23,568.0","-14,640.0","-20,188.0","16,052.0"
"30","11","  Motor vehicle and parts dealers","N631RC1","736.0","6,955.0","5,427.0","7,454.0","9,873.0","-6,248.0","-4,172.0","7,876.0","24,716.0","573.0","2,534.0","21,937.0","2,028.0","23,531.0","15,812.0","6,149.0","-26,404.0","9,252.0","8,633.0","-28,796.0","19,698.0","18,465.0","2,911.0","28,106.0","16,956.0","11,830.0","7,593.0","14,837.0","14,431.0","13,293.0","1,907.0","-10.0","3,197.0","-18,975.0","-7,481.0","12,106.0","1,234.0","234.0","1,090.0","-4,030.0","-8,957.0","2,984.0","18,475.0","-1,054.0","-13,203.0","-9,153.0","-15,706.0","-11,370.0","-44,151.0","-43,308.0","-32,985.0","-9,438.0","14,378.0","22,876.0","20,968.0","-18,584.0","-9,584.0","-24,704.0","-12,008.0","-17,536.0","14,844.0"
"31","12","  Food and beverage stores","N542RC1","315.0","444.0","1,361.0","-743.0","976.0","1,780.0","-137.0","1,147.0","1,837.0","1,524.0","2,054.0","702.0","-75.0","-1,890.0","386.0","-664.0","856.0","593.0","14.0","171.0","-145.0","20.0","1,588.0","-839.0","-840.0","-2,925.0","1,366.0","-2,369.0","401.0","930.0","363.0","-101.0","326.0","197.0","-1,915.0","975.0","1,747.0","1,204.0","685.0","56.0","-629.0","1,498.0","2,285.0","1,189.0","-592.0","507.0","-716.0","-859.0","2,516.0","-822.0","-73.0","-2,880.0","1,074.0","-1,212.0","29.0","-594.0","-364.0","2,668.0","1,708.0","-312.0","2,988.0"
"32","13","  General merchandise stores","N543RC1","-387.0","3,173.0","-1,189.0","-1,029.0","-185.0","-166.0","2,477.0","-690.0","3,022.0","2,144.0","1,997.0","3,613.0","379.0","2,584.0","-843.0","2,040.0","5,165.0","726.0","-145.0","-5,106.0","-1,790.0","-343.0","3,792.0","4,001.0","559.0","961.0","1,831.0","574.0","6,039.0","3,133.0","1,380.0","7,352.0","5,746.0","-52.0","2,264.0","882.0","-2,263.0","-1,335.0","6,463.0","3,791.0","990.0","542.0","-3,454.0","1,106.0","-6,510.0","-1,735.0","918.0","-6,065.0","-1,779.0","-3,041.0","-4,403.0","-2,087.0","3,356.0","4,789.0","4,998.0","1,589.0","4,212.0","-1,044.0","-216.0","4,656.0","-852.0"
"33","14","  Other retail stores","N558RC1","5,576.0","12,512.0","10,735.0","6,470.0","17,546.0","7,003.0","10,564.0","10,903.0","8,295.0","9,834.0","1,850.0","13,107.0","5,646.0","11,012.0","5,675.0","8,060.0","-1,530.0","-3,801.0","2,094.0","-2,986.0","1,287.0","6,333.0","8,661.0","431.0","7,750.0","-1,778.0","6,133.0","5,122.0","9,958.0","11,548.0","8,506.0","13,624.0","5,400.0","7,695.0","1,644.0","6,461.0","11,036.0","8,142.0","5,793.0","9,410.0","-321.0","4,549.0","-3,419.0","527.0","-15,289.0","-10,409.0","-2,996.0","-23,483.0","-14,732.0","-17,149.0","-15,574.0","-7,915.0","514.0","8,674.0","5,390.0","2,211.0","5,008.0","-488.0","-4,124.0","-6,996.0","-928.0"
"34","15","Other industries","N154RC1","8,182.0","4,558.0","3,345.0","5,117.0","3,330.0","5,503.0","5,248.0","8,197.0","7,317.0","8,679.0","6,862.0","5,483.0","10,853.0","13,462.0","18,522.0","6,949.0","1,747.0","-818.0","-763.0","-1,591.0","-3,117.0","1,256.0","-1,175.0","-1,524.0","-546.0","3,657.0","1,123.0","1,808.0","6,041.0","5,603.0","6,637.0","6,046.0","2,551.0","2,593.0","99.0","3,936.0","3,064.0","7,052.0","4,732.0","4,123.0","5,771.0","5,851.0","2,951.0","3,127.0","904.0","-1,053.0","618.0","5,255.0","-5,148.0","-7,619.0","-4,729.0","-3,750.0","932.0","-322.0","1,156.0","1,405.0","4,324.0","1,712.0","-424.0","3,472.0","-1,636.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","  Change in private inventories","A014RC1","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-19,523.0","-18,290.0","-44,144.0","-82,519.0","-179,522.0","-200,522.0","-197,097.0","-66,097.0","44,344.0","78,060.0","106,692.0","38,691.0","62,021.0","53,575.0","813.0","68,689.0","71,961.0"
"37","17","    Durable goods industries","N355RC1","28,507.0","52,994.0","32,270.0","46,202.0","69,935.0","22,709.0","31,780.0","32,795.0","51,507.0","11,536.0","26,296.0","60,263.0","17,187.0","57,949.0","32,347.0","34,827.0","-44,519.0","-24,895.0","-33,825.0","-74,556.0","4,798.0","17,383.0","13,973.0","34,515.0","27,744.0","1,894.0","-10,313.0","32,864.0","34,091.0","46,719.0","36,486.0","31,755.0","61,477.0","8,546.0","12,036.0","58,821.0","20,866.0","33,730.0","44,109.0","5,054.0","11,427.0","5,816.0","7,515.0","19,946.0","-16,045.0","-34,174.0","-7,123.0","-35,052.0","-142,134.0","-144,137.0","-118,798.0","-49,419.0","32,426.0","62,753.0","69,181.0","17,687.0","42,688.0","34,168.0","34,196.0","14,520.0","56,800.0"
"38","18","    Nondurable goods industries","N357RC1","21,321.0","35,417.0","35,713.0","31,573.0","35,140.0","14,600.0","20,668.0","27,252.0","31,810.0","23,517.0","14,268.0","24,065.0","-1,128.0","32,453.0","24,894.0","19,646.0","13,855.0","13,299.0","3,733.0","-6,229.0","-18,163.0","-4,163.0","4,309.0","-4,546.0","901.0","-5,018.0","14,498.0","2,931.0","17,298.0","29,304.0","24,282.0","39,708.0","29,234.0","7,330.0","-995.0","23,361.0","45,097.0","38,693.0","24,995.0","27,277.0","5,595.0","41,697.0","31,865.0","-7,370.0","-3,478.0","15,884.0","-37,022.0","-47,467.0","-37,388.0","-56,384.0","-78,299.0","-16,679.0","11,918.0","15,307.0","37,511.0","21,003.0","19,333.0","19,407.0","-33,383.0","54,169.0","15,161.0"
"39","19","  Nonfarm industries","A015RC1","50,349.0","87,628.0","59,648.0","73,051.0","99,478.0","42,246.0","51,891.0","56,197.0","79,285.0","35,308.0","49,617.0","89,974.0","33,897.0","84,500.0","58,361.0","47,012.0","-36,245.0","-8,565.0","-31,921.0","-76,551.0","-16,687.0","23,538.0","20,572.0","30,670.0","25,793.0","-1,748.0","3,188.0","37,899.0","46,940.0","57,601.0","53,071.0","66,801.0","97,246.0","15,538.0","6,660.0","79,899.0","62,306.0","80,567.0","75,408.0","35,951.0","11,777.0","52,492.0","41,645.0","13,401.0","-13,036.0","-22,333.0","-50,299.0","-85,240.0","-179,703.0","-199,756.0","-191,549.0","-65,170.0","39,042.0","77,092.0","112,918.0","45,160.0","71,444.0","63,504.0","6,380.0","74,500.0","79,584.0"
"40","20","    Nonfarm change in book value \1\","B016RC1","28,530.0","65,085.0","40,521.0","61,667.0","74,978.0","22,272.0","24,555.0","36,983.0","52,423.0","36,190.0","68,493.0","123,113.0","62,489.0","114,228.0","70,123.0","69,244.0","-25,528.0","-18,852.0","-59,634.0","-117,476.0","-51,852.0","19,556.0","42,416.0","63,909.0","65,128.0","-9,440.0","10,429.0","64,431.0","85,598.0","115,441.0","101,794.0","134,412.0","143,373.0","45,749.0","54,119.0","148,619.0","85,668.0","127,710.0","124,579.0","68,055.0","77,248.0","101,336.0","74,212.0","112,655.0","143,090.0","169,565.0","25,173.0","-305,119.0","-275,847.0","-222,446.0","-163,414.0","20,350.0","86,694.0","80,797.0","155,238.0","147,473.0","206,288.0","132,604.0","57,064.0","92,592.0","106,580.0"
"41","21","    Nonfarm inventory valuation adjustment \2\","B017RC1","21,819.0","22,543.0","19,127.0","11,384.0","24,500.0","19,974.0","27,336.0","19,214.0","26,862.0","-882.0","-18,876.0","-33,139.0","-28,592.0","-29,728.0","-11,762.0","-22,232.0","-10,717.0","10,287.0","27,713.0","40,925.0","35,165.0","3,982.0","-21,844.0","-33,239.0","-39,335.0","7,692.0","-7,241.0","-26,532.0","-38,658.0","-57,840.0","-48,723.0","-67,611.0","-46,127.0","-30,211.0","-47,459.0","-68,720.0","-23,362.0","-47,143.0","-49,171.0","-32,104.0","-65,471.0","-48,844.0","-32,567.0","-99,254.0","-156,126.0","-191,898.0","-75,472.0","219,879.0","96,144.0","22,690.0","-28,135.0","-85,520.0","-47,652.0","-3,705.0","-42,320.0","-102,313.0","-134,844.0","-69,100.0","-50,684.0","-18,092.0","-26,996.0"
"42","22","  Wholesale trade","N658RC1","20,377.0","33,799.0","16,683.0","30,457.0","30,552.0","13,383.0","27,141.0","14,653.0","21,786.0","7,730.0","21,037.0","25,090.0","16,294.0","24,325.0","13,617.0","21,182.0","-5,842.0","-6,194.0","-22,765.0","-14,543.0","-7,274.0","4,163.0","4,020.0","-1,338.0","-6,295.0","-7,038.0","-2,250.0","13,228.0","13,681.0","15,842.0","27,443.0","22,100.0","35,201.0","12,498.0","2,106.0","22,713.0","18,413.0","21,042.0","17,131.0","-1,827.0","1,673.0","6,744.0","18,811.0","-8,049.0","2,951.0","29,951.0","7,540.0","-5,073.0","-75,411.0","-80,419.0","-81,007.0","-11,629.0","16,625.0","32,134.0","59,627.0","18,640.0","28,424.0","50,820.0","8,116.0","40,892.0","26,764.0"
"43","23","    Merchant wholesale trade","N151RC1","19,162.0","30,824.0","15,399.0","25,228.0","26,954.0","13,084.0","25,464.0","12,315.0","19,850.0","4,296.0","17,955.0","23,136.0","12,918.0","19,100.0","8,840.0","18,243.0","-3,127.0","-2,494.0","-15,083.0","-11,474.0","-3,373.0","1,973.0","3,370.0","95.0","-3,923.0","-6,178.0","-1,848.0","11,138.0","12,740.0","12,839.0","23,303.0","22,499.0","26,505.0","12,421.0","2,631.0","15,760.0","16,517.0","24,678.0","15,327.0","4,205.0","3,149.0","6,136.0","17,009.0","-1,442.0","-16,113.0","16,535.0","13,529.0","-9,919.0","-53,923.0","-64,268.0","-65,741.0","-2,666.0","9,371.0","29,284.0","49,319.0","15,681.0","12,116.0","43,412.0","-1,548.0","38,660.0","26,576.0"
