"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"22","3","Plus: Imports of goods and services","A021RX1","199,416.0","238,757.0","235,663.0","233,074.0","232,311.0","236,903.0","236,359.0","240,025.0","237,195.0","255,088.0","260,727.0","243,055.0","278,577.0","268,679.0","274,271.0","286,627.0","299,872.0","291,228.0","283,183.0","285,296.0","275,620.0","290,221.0","285,149.0","282,319.0","253,991.0","233,666.0","253,092.0","266,601.0","283,303.0","295,573.0","307,632.0","317,814.0","332,860.0","335,928.0","331,246.0","335,946.0","358,484.0","359,619.0","364,315.0","369,312.0","368,300.0","370,289.0","364,641.0","372,609.0","372,885.0","345,826.0","320,954.0","338,177.0","352,621.0","353,155.0","349,127.0","359,141.0","348,905.0","343,205.0","359,128.0","345,031.0","352,931.0","380,063.0","409,666.0","429,762.0","464,313.0","483,764.0","496,283.0","510,824.0","499,554.0","524,096.0","519,039.0","539,380.0","538,889.0","561,840.0","577,408.0","581,854.0","578,374.0","592,798.0","604,327.0","618,219.0","615,329.0","608,256.0","622,615.0","641,583.0","644,561.0","647,613.0","646,733.0","658,436.0","679,319.0","678,182.0","675,447.0","657,335.0","649,847.0","661,395.0","680,010.0","695,034.0","700,088.0","711,599.0","722,822.0","740,120.0","756,146.0","771,771.0","781,933.0","813,350.0","832,302.0","863,311.0","887,595.0","912,571.0","932,582.0","941,450.0","944,686.0","956,756.0","987,859.0","1,009,970.0","1,042,719.0","1,063,286.0","1,108,700.0","1,145,918.0","1,188,147.0","1,213,792.0","1,259,320.0","1,288,179.0","1,305,541.0","1,347,767.0","1,382,095.0","1,426,142.0","1,477,878.0","1,513,328.0","1,574,694.0","1,622,698.0","1,679,374.0","1,678,131.0","1,653,653.0","1,604,402.0","1,565,564.0","1,546,899.0","1,585,655.0","1,639,198.0","1,666,244.0","1,696,194.0","1,675,715.0","1,699,638.0","1,719,621.0","1,783,761.0","1,829,202.0","1,902,640.0","1,930,429.0","1,979,389.0","1,990,914.0","2,012,881.0","2,025,283.0","2,082,083.0","2,121,521.0","2,145,233.0","2,170,909.0","2,168,194.0","2,199,757.0","2,210,676.0","2,216,020.0","2,186,527.0","2,194,139.0","2,180,094.0","2,143,325.0","2,058,579.0","1,855,266.0","1,781,167.0","1,849,651.0","1,925,207.0","1,982,954.0","2,082,438.0","2,143,545.0","2,131,023.0","2,173,924.0","2,181,352.0","2,187,928.0","2,207,736.0","2,222,720.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,342,205.0","4,349,468.0","4,379,777.0","4,348,485.0","4,338,811.0","4,340,493.0","4,379,622.0","4,334,379.0","4,450,492.0","4,494,297.0","4,525,451.0","4,542,095.0","4,633,558.0","4,740,829.0","4,776,401.0","4,856,318.0","4,973,307.0","5,005,972.0","4,968,469.0","5,000,254.0","4,937,194.0","4,950,629.0","4,917,172.0","4,883,312.0","4,778,883.0","4,798,460.0","4,916,367.0","4,978,088.0","5,118,710.0","5,170,565.0","5,200,994.0","5,248,973.0","5,338,352.0","5,436,433.0","5,522,494.0","5,541,911.0","5,583,505.0","5,756,867.0","5,814,342.0","5,878,757.0","5,886,368.0","5,893,508.0","5,908,532.0","5,904,925.0","5,909,301.0","5,732,141.0","5,679,101.0","5,818,522.0","5,953,435.0","5,903,826.0","5,980,900.0","5,920,554.0","5,831,479.0","5,850,830.0","5,876,616.0","5,882,838.0","5,960,181.0","6,131,664.0","6,286,852.0","6,433,560.0","6,594,430.0","6,720,417.0","6,790,276.0","6,853,714.0","6,901,565.0","6,992,590.0","7,099,512.0","7,163,998.0","7,214,642.0","7,266,896.0","7,343,081.0","7,364,122.0","7,398,828.0","7,472,943.0","7,527,299.0","7,649,436.0","7,650,968.0","7,719,852.0","7,765,907.0","7,872,248.0","7,928,577.0","7,960,411.0","8,013,510.0","8,034,434.0","8,112,191.0","8,132,328.0","8,123,348.0","8,023,389.0","7,970,107.0","8,010,754.0","8,049,448.0","8,081,040.0","8,161,064.0","8,261,432.0","8,342,063.0","8,446,063.0","8,478,725.0","8,540,943.0","8,600,225.0","8,722,910.0","8,820,839.0","8,947,699.0","8,999,045.0","9,106,507.0","9,134,556.0","9,151,055.0","9,188,343.0","9,251,371.0","9,337,330.0","9,505,189.0","9,615,677.0","9,677,955.0","9,781,453.0","9,922,032.0","10,064,243.0","10,169,775.0","10,306,555.0","10,440,352.0","10,598,331.0","10,779,138.0","10,916,304.0","11,030,635.0","11,189,277.0","11,390,954.0","11,461,579.0","11,691,945.0","11,728,760.0","11,804,092.0","11,758,176.0","11,823,225.0","11,814,140.0","11,867,561.0","11,985,470.0","12,068,738.0","12,145,916.0","12,189,885.0","12,228,896.0","12,354,649.0","12,538,759.0","12,656,598.0","12,752,399.0","12,883,327.0","12,992,622.0","13,113,644.0","13,229,744.0","13,279,933.0","13,391,840.0","13,481,240.0","13,629,420.0","13,682,109.0","13,707,605.0","13,733,308.0","13,759,422.0","13,863,220.0","13,908,307.0","13,890,146.0","13,818,005.0","13,794,470.0","13,646,478.0","13,353,297.0","13,056,959.0","12,963,973.0","13,035,670.0","13,149,599.0","13,304,120.0","13,486,799.0","13,589,616.0","13,621,206.0","13,644,211.0","13,679,911.0","13,725,285.0","13,830,904.0","13,889,627.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","198,728.0","240,412.0","234,534.0","245,137.0","243,575.0","255,757.0","252,063.0","252,051.0","256,568.0","253,277.0","259,633.0","237,337.0","266,071.0","258,539.0","272,420.0","286,886.0","312,290.0","335,596.0","349,797.0","378,743.0","400,102.0","422,136.0","409,442.0","429,077.0","434,604.0","414,394.0","399,211.0","417,089.0","415,477.0","419,704.0","428,300.0","433,311.0","423,327.0","433,757.0","428,348.0","409,368.0","420,137.0","466,310.0","470,879.0","496,122.0","501,536.0","510,416.0","527,860.0","557,906.0","574,749.0","579,498.0","581,494.0","582,090.0","592,239.0","587,474.0","567,062.0","561,760.0","533,545.0","530,644.0","496,866.0","466,585.0","473,200.0","473,114.0","478,281.0","489,917.0","494,696.0","505,770.0","508,179.0","510,232.0","500,175.0","493,632.0","478,793.0","488,555.0","498,658.0","501,191.0","507,110.0","526,606.0","524,033.0","548,674.0","569,510.0","596,178.0","631,227.0","656,009.0","670,255.0","683,298.0","702,549.0","726,386.0","725,766.0","729,750.0","752,261.0","757,512.0","761,814.0","770,047.0","772,784.0","792,888.0","800,765.0","815,823.0","824,179.0","819,820.0","832,648.0","830,840.0","828,627.0","835,925.0","829,070.0","850,864.0","858,640.0","885,506.0","917,761.0","939,453.0","961,707.0","977,528.0","1,013,902.0","1,019,263.0","1,024,797.0","1,035,055.0","1,031,361.0","1,078,874.0","1,091,747.0","1,132,264.0","1,152,991.0","1,142,467.0","1,137,045.0","1,116,654.0","1,099,556.0","1,133,738.0","1,118,556.0","1,127,080.0","1,153,617.0","1,181,576.0","1,198,415.0","1,234,567.0","1,260,356.0","1,245,339.0","1,221,527.0","1,171,139.0","1,103,646.0","1,061,895.0","1,072,949.0","1,101,724.0","1,112,962.0","1,097,031.0","1,086,980.0","1,085,215.0","1,110,856.0","1,165,985.0","1,196,610.0","1,219,382.0","1,224,826.0","1,254,842.0","1,280,657.0","1,307,172.0","1,301,147.0","1,330,542.0","1,382,771.0","1,411,585.0","1,420,851.0","1,477,107.0","1,496,582.0","1,526,065.0","1,585,231.0","1,637,264.0","1,673,667.0","1,749,720.0","1,742,447.0","1,557,679.0","1,392,128.0","1,389,189.0","1,446,875.0","1,537,718.0","1,575,322.0","1,631,301.0","1,669,342.0","1,727,201.0","1,788,942.0","1,827,891.0","1,848,575.0","1,838,039.0","1,860,187.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","197,958.0","234,866.0","230,246.0","230,666.0","229,041.0","233,026.0","235,992.0","238,965.0","238,578.0","254,050.0","259,985.0","243,863.0","279,771.0","274,931.0","282,477.0","298,422.0","317,499.0","326,635.0","326,720.0","347,240.0","378,182.0","431,180.0","431,984.0","428,974.0","383,938.0","349,032.0","363,358.0","376,703.0","402,022.0","421,123.0","439,793.0","451,644.0","480,767.0","490,380.0","482,653.0","486,105.0","518,868.0","522,964.0","529,363.0","535,733.0","544,561.0","561,685.0","579,747.0","616,854.0","651,386.0","611,277.0","570,318.0","595,388.0","619,897.0","613,212.0","581,255.0","588,968.0","563,179.0","538,553.0","549,556.0","518,635.0","516,125.0","552,007.0","590,393.0","611,960.0","655,129.0","680,352.0","680,802.0","688,406.0","650,683.0","681,627.0","670,930.0","705,331.0","702,358.0","708,232.0","727,715.0","736,660.0","743,543.0","776,421.0","792,880.0","817,848.0","818,871.0","816,170.0","818,604.0","842,864.0","850,816.0","854,963.0","834,696.0","848,322.0","877,027.0","852,290.0","863,797.0","876,326.0","834,088.0","821,770.0","826,706.0","843,799.0","848,487.0","860,369.0","879,968.0","889,377.0","898,417.0","915,142.0","915,453.0","943,791.0","960,316.0","999,941.0","1,038,136.0","1,066,192.0","1,092,538.0","1,113,057.0","1,105,924.0","1,105,054.0","1,132,537.0","1,148,034.0","1,168,173.0","1,184,191.0","1,220,129.0","1,232,629.0","1,266,816.0","1,279,798.0","1,295,706.0","1,307,265.0","1,303,841.0","1,341,240.0","1,365,869.0","1,418,289.0","1,480,375.0","1,529,084.0","1,605,795.0","1,647,589.0","1,706,290.0","1,704,551.0","1,661,788.0","1,574,342.0","1,509,874.0","1,457,583.0","1,486,159.0","1,559,615.0","1,588,272.0","1,617,148.0","1,627,557.0","1,626,216.0","1,643,672.0","1,706,324.0","1,770,628.0","1,850,609.0","1,881,876.0","1,957,553.0","1,967,918.0","2,002,002.0","2,031,193.0","2,107,758.0","2,141,437.0","2,169,160.0","2,196,494.0","2,163,074.0","2,185,129.0","2,213,859.0","2,244,939.0","2,282,427.0","2,356,517.0","2,428,606.0","2,424,409.0","2,098,099.0","1,742,896.0","1,698,197.0","1,816,901.0","1,933,747.0","2,021,799.0","2,109,032.0","2,154,121.0","2,173,648.0","2,293,856.0","2,351,300.0","2,339,081.0","2,346,220.0","2,382,450.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,342,406.0","4,352,503.0","4,380,677.0","4,361,213.0","4,353,031.0","4,360,690.0","4,393,120.0","4,345,499.0","4,466,611.0","4,490,358.0","4,522,456.0","4,533,176.0","4,613,459.0","4,718,458.0","4,762,953.0","4,848,453.0","4,965,973.0","5,006,976.0","4,985,473.0","5,038,858.0","4,958,943.0","4,948,419.0","4,893,924.0","4,877,973.0","4,824,853.0","4,860,866.0","4,949,098.0","5,015,449.0","5,127,070.0","5,164,653.0","5,185,874.0","5,231,883.0","5,282,256.0","5,372,121.0","5,451,736.0","5,475,626.0","5,485,384.0","5,696,198.0","5,748,032.0","5,835,287.0","5,836,637.0","5,837,454.0","5,857,578.0","5,849,039.0","5,830,958.0","5,699,155.0","5,689,218.0","5,801,258.0","5,916,103.0","5,874,315.0","5,958,907.0","5,890,091.0","5,795,827.0","5,835,284.0","5,818,171.0","5,826,449.0","5,910,227.0","6,045,684.0","6,167,488.0","6,304,935.0","6,429,028.0","6,537,860.0","6,608,640.0","6,669,720.0","6,742,849.0","6,799,915.0","6,898,263.0","6,940,880.0","7,004,791.0","7,055,744.0","7,113,993.0","7,141,794.0","7,177,408.0","7,243,872.0","7,302,432.0","7,429,877.0","7,466,696.0","7,561,316.0","7,614,977.0","7,706,387.0","7,780,648.0","7,831,215.0","7,902,293.0","7,916,236.0","7,987,320.0","8,037,363.0","8,020,530.0","7,914,587.0","7,906,594.0","7,980,525.0","8,023,681.0","8,054,364.0","8,133,441.0","8,219,401.0","8,294,905.0","8,387,743.0","8,407,822.0","8,461,410.0","8,512,806.0","8,631,422.0","8,718,331.0","8,831,748.0","8,880,106.0","8,980,207.0","9,002,079.0","9,013,632.0","9,098,633.0","9,167,303.0","9,234,748.0","9,398,698.0","9,468,534.0","9,571,382.0","9,665,130.0","9,813,117.0","9,948,570.0","10,029,633.0","10,147,028.0","10,247,979.0","10,393,175.0","10,574,750.0","10,674,353.0","10,737,340.0","10,862,709.0","11,037,333.0","11,052,104.0","11,276,732.0","11,282,088.0","11,346,365.0","11,318,234.0","11,418,461.0","11,405,821.0","11,472,702.0","11,572,040.0","11,611,486.0","11,670,623.0","11,669,575.0","11,687,757.0","11,813,290.0","12,006,154.0","12,114,458.0","12,178,423.0","12,250,974.0","12,333,199.0","12,410,148.0","12,541,081.0","12,583,921.0","12,660,408.0","12,703,528.0","12,870,725.0","12,923,724.0","12,931,245.0","13,045,083.0","13,069,116.0","13,173,412.0","13,248,330.0","13,245,276.0","13,131,068.0","13,117,702.0","12,970,668.0","12,818,824.0","12,706,905.0","12,655,321.0","12,665,067.0","12,750,521.0","12,856,365.0","13,011,860.0","13,104,291.0","13,168,457.0","13,140,285.0","13,159,735.0","13,237,772.0","13,324,774.0","13,369,314.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","50,091.0","51,431.0","53,027.0","54,004.0","55,090.0","55,614.0","54,466.0","50,614.0","54,040.0","56,489.0","55,394.0","58,006.0","58,890.0","60,623.0","63,609.0","65,910.0","75,436.0","81,859.0","90,457.0","92,303.0","101,715.0","101,072.0","98,489.0","90,537.0","82,774.0","80,346.0","83,618.0","89,410.0","90,810.0","92,328.0","91,866.0","92,339.0","97,498.0","98,999.0","100,619.0","98,411.0","108,408.0","106,636.0","113,815.0","129,726.0","136,522.0","148,119.0","165,410.0","171,875.0","178,892.0","166,342.0","152,933.0","155,816.0","166,236.0","170,931.0","179,887.0","178,292.0","178,927.0","192,982.0","180,264.0","170,643.0","163,978.0","171,518.0","180,946.0","187,517.0","193,907.0","206,210.0","211,577.0","201,921.0","183,891.0","185,990.0","177,893.0","182,341.0","185,716.0","178,363.0","172,444.0","168,375.0","174,311.0","186,900.0","192,195.0","202,287.0","218,792.0","218,189.0","226,465.0","238,557.0","248,004.0","257,305.0","254,446.0","255,964.0","256,593.0","255,352.0","252,797.0","273,580.0","250,842.0","224,558.0","214,494.0","207,495.0","203,098.0","204,780.0","192,970.0","190,025.0","194,771.0","196,809.0","199,830.0","200,406.0","207,951.0","220,258.0","237,233.0","254,244.0","271,899.0","283,222.0","279,933.0","286,748.0","290,083.0","287,576.0","294,129.0","309,650.0","320,277.0","334,871.0","337,784.0","330,618.0","341,335.0","344,771.0","330,765.0","329,603.0","342,103.0","358,678.0","379,516.0","398,627.0","411,496.0","435,265.0","425,032.0","447,014.0","399,618.0","371,959.0","340,984.0","320,244.0","328,115.0","341,320.0","357,561.0","343,383.0","355,728.0","367,547.0","378,354.0","408,187.0","439,411.0","452,418.0","471,449.0","496,885.0","543,302.0","555,003.0","579,308.0","613,328.0","644,453.0","694,561.0","713,915.0","736,727.0","757,671.0","812,995.0","849,314.0","853,087.0","833,069.0","818,355.0","788,682.0","677,462.0","571,212.0","567,425.0","579,414.0","612,337.0","606,929.0","628,676.0","636,069.0","650,979.0","664,725.0","704,078.0","691,026.0","669,459.0","649,986.0"
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","21,466.0","23,959.0","26,874.0","27,879.0","28,182.0","27,598.0","26,932.0","25,581.0","23,882.0","24,480.0","26,570.0","27,580.0","27,201.0","29,376.0","29,605.0","31,907.0","35,749.0","39,415.0","40,710.0","41,971.0","43,206.0","46,427.0","49,096.0","48,633.0","47,740.0","45,044.0","44,923.0","42,689.0","45,249.0","44,681.0","43,557.0","42,708.0","40,915.0","43,412.0","45,507.0","49,723.0","52,017.0","59,686.0","62,395.0","70,334.0","75,675.0","80,072.0","84,085.0","91,602.0","97,576.0","91,529.0","82,636.0","99,051.0","105,351.0","113,768.0","118,566.0","108,914.0","113,430.0","119,291.0","118,026.0","110,676.0","104,454.0","107,730.0","115,840.0","119,684.0","131,362.0","143,382.0","149,486.0","146,988.0","140,846.0","139,323.0","138,692.0","138,874.0","148,024.0","152,195.0","143,168.0","149,545.0","152,305.0","158,313.0","164,558.0","171,929.0","180,527.0","183,310.0","195,261.0","203,808.0","213,789.0","224,233.0","218,071.0","211,113.0","214,440.0","212,192.0","216,383.0","206,061.0","199,883.0","188,523.0","183,222.0","166,108.0","162,803.0","165,227.0","157,729.0","153,276.0","147,754.0","158,140.0","153,375.0","173,342.0","172,281.0","189,605.0","209,878.0","227,497.0","233,099.0","240,941.0","254,861.0","247,749.0","243,602.0","251,492.0","262,246.0","271,817.0","292,777.0","298,253.0","310,330.0","311,097.0","311,359.0","317,969.0","319,464.0","316,144.0","315,482.0","326,206.0","350,682.0","357,907.0","376,236.0","396,282.0","390,633.0","385,333.0","353,815.0","316,980.0","311,127.0","220,787.0","271,881.0","305,419.0","305,867.0","272,675.0","300,096.0","297,222.0","308,405.0","310,744.0","323,197.0","363,040.0","371,434.0","423,568.0","434,929.0","458,130.0","472,769.0","536,102.0","565,722.0","621,348.0","654,298.0","667,869.0","690,925.0","738,092.0","713,557.0","668,535.0","668,745.0","653,378.0","609,399.0","570,262.0","449,865.0","439,223.0","430,503.0","456,343.0","454,340.0","452,237.0","450,011.0","486,397.0","463,999.0","475,089.0","457,857.0","472,654.0","497,212.0"
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,371,031.0","4,379,976.0","4,406,830.0","4,387,338.0","4,379,938.0","4,388,705.0","4,420,654.0","4,370,531.0","4,496,769.0","4,522,367.0","4,551,281.0","4,563,602.0","4,645,149.0","4,749,705.0","4,796,958.0","4,882,456.0","5,005,660.0","5,049,421.0","5,035,220.0","5,089,190.0","5,017,452.0","5,003,064.0","4,943,317.0","4,919,877.0","4,859,887.0","4,896,168.0","4,987,793.0","5,062,171.0","5,172,631.0","5,212,300.0","5,234,183.0","5,281,515.0","5,338,839.0","5,427,708.0","5,506,848.0","5,524,314.0","5,541,776.0","5,743,148.0","5,799,451.0","5,894,680.0","5,897,484.0","5,905,501.0","5,938,903.0","5,929,312.0","5,912,274.0","5,773,968.0","5,759,515.0","5,858,023.0","5,976,988.0","5,931,478.0","6,020,229.0","5,959,469.0","5,861,324.0","5,908,975.0","5,880,410.0","5,886,416.0","5,969,752.0","6,109,472.0","6,232,595.0","6,372,769.0","6,491,572.0","6,600,688.0","6,670,732.0","6,724,652.0","6,785,893.0","6,846,582.0","6,937,464.0","6,984,347.0","7,042,483.0","7,081,913.0","7,143,269.0","7,160,624.0","7,199,414.0","7,272,459.0","7,330,069.0","7,460,236.0","7,504,962.0","7,596,195.0","7,646,181.0","7,741,136.0","7,814,863.0","7,864,287.0","7,938,669.0","7,961,086.0","8,029,474.0","8,080,523.0","8,056,944.0","7,982,107.0","7,957,554.0","8,016,560.0","8,054,953.0","8,095,751.0","8,173,736.0","8,258,955.0","8,330,146.0","8,424,491.0","8,454,839.0","8,500,078.0","8,559,262.0","8,658,486.0","8,754,000.0","8,862,401.0","8,907,460.0","9,006,955.0","9,040,879.0","9,055,914.0","9,123,704.0","9,206,301.0","9,281,229.0","9,434,783.0","9,500,417.0","9,609,215.0","9,692,631.0","9,849,735.0","9,976,024.0","10,049,153.0","10,177,004.0","10,274,781.0","10,404,476.0","10,588,209.0","10,700,974.0","10,769,812.0","10,891,544.0","11,078,052.0","11,087,364.0","11,315,715.0","11,316,487.0","11,408,046.0","11,364,037.0","11,473,440.0","11,435,677.0","11,572,159.0","11,628,274.0","11,647,387.0","11,722,318.0","11,740,283.0","11,743,389.0","11,883,615.0","12,076,103.0","12,211,901.0","12,294,637.0","12,340,352.0","12,433,214.0","12,483,466.0","12,649,454.0","12,680,793.0","12,766,947.0","12,780,754.0","12,949,456.0","12,996,937.0","12,990,863.0","13,113,942.0","13,135,861.0","13,248,315.0","13,384,087.0","13,429,828.0","13,295,391.0","13,282,679.0","13,149,950.0","12,926,024.0","12,828,252.0","12,783,522.0","12,813,978.0","12,906,515.0","13,008,955.0","13,188,298.0","13,290,348.0","13,333,039.0","13,341,011.0","13,388,724.0","13,470,942.0","13,521,579.0","13,522,088.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Command-basis net domestic product \4\","C362RX1","4,058,239.0","4,063,440.0","4,087,287.0","4,061,662.0","4,047,816.0","4,051,482.0","4,082,038.0","4,030,926.0","4,151,425.0","4,171,492.0","4,200,386.0","4,207,784.0","4,287,155.0","4,391,319.0","4,431,653.0","4,513,688.0","4,628,171.0","4,663,576.0","4,634,665.0","4,683,555.0","4,594,779.0","4,578,194.0","4,516,189.0","4,494,547.0","4,434,569.0","4,467,396.0","4,554,683.0","4,619,126.0","4,730,851.0","4,765,138.0","4,781,938.0","4,824,176.0","4,870,456.0","4,957,571.0","5,033,756.0","5,051,637.0","5,054,662.0","5,266,667.0","5,312,547.0","5,394,980.0","5,387,369.0","5,379,327.0","5,391,556.0","5,374,180.0","5,346,998.0","5,201,660.0","5,183,671.0","5,293,134.0","5,405,795.0","5,354,844.0","5,435,193.0","5,355,097.0","5,247,979.0","5,281,163.0","5,256,095.0","5,258,253.0","5,339,739.0","5,474,315.0","5,594,132.0","5,729,370.0","5,850,183.0","5,953,997.0","6,017,228.0","6,069,349.0","6,132,887.0","6,180,361.0","6,271,011.0","6,304,721.0","6,361,173.0","6,403,851.0","6,453,951.0","6,472,411.0","6,498,810.0","6,557,322.0","6,607,942.0","6,729,663.0","6,758,425.0","6,846,481.0","6,892,194.0","6,976,469.0","7,042,952.0","7,085,063.0","7,148,099.0","7,152,621.0","7,215,783.0","7,257,993.0","7,232,423.0","7,116,460.0","7,101,321.0","7,169,797.0","7,206,717.0","7,230,774.0","7,304,061.0","7,385,256.0","7,456,605.0","7,546,440.0","7,556,659.0","7,601,234.0","7,643,765.0","7,754,872.0","7,833,909.0","7,939,233.0","7,977,909.0","8,068,515.0","8,079,097.0","8,078,737.0","8,152,491.0","8,209,241.0","8,264,273.0","8,416,628.0","8,472,965.0","8,562,221.0","8,641,102.0","8,774,413.0","8,894,135.0","8,958,045.0","9,057,728.0","9,140,090.0","9,266,462.0","9,428,804.0","9,507,811.0","9,549,844.0","9,654,688.0","9,809,009.0","9,802,511.0","10,004,821.0","9,988,330.0","10,033,614.0","9,987,412.0","10,072,430.0","10,046,279.0","10,101,161.0","10,187,549.0","10,216,119.0","10,263,991.0","10,252,510.0","10,261,089.0","10,377,396.0","10,560,289.0","10,656,865.0","10,708,464.0","10,769,635.0","10,839,459.0","10,903,130.0","11,020,639.0","11,050,063.0","11,112,454.0","11,141,024.0","11,295,438.0","11,332,732.0","11,324,651.0","11,422,474.0","11,430,054.0","11,519,197.0","11,579,758.0","11,563,235.0","11,439,386.0","11,414,256.0","11,256,346.0","11,094,180.0","10,975,899.0","10,922,381.0","10,930,870.0","11,014,157.0","11,116,947.0","11,266,084.0","11,350,181.0","11,404,608.0","11,368,461.0","11,378,648.0","11,445,546.0","11,520,222.0","11,552,592.0"
"32","12","  Net domestic product","A362RX1","3,955,455.0","3,963,096.0","3,985,703.0","3,959,604.0","3,947,479.0","3,951,304.0","3,987,582.0","3,938,709.0","4,055,128.0","4,076,332.0","4,108,363.0","4,117,479.0","4,195,938.0","4,302,364.0","4,342,609.0","4,415,819.0","4,534,407.0","4,585,761.0","4,552,012.0","4,594,061.0","4,543,229.0","4,550,632.0","4,494,789.0","4,469,894.0","4,403,817.0","4,437,223.0","4,517,343.0","4,579,541.0","4,692,818.0","4,727,842.0","4,748,717.0","4,782,005.0","4,838,545.0","4,940,727.0","5,033,749.0","5,025,578.0","5,037,871.0","5,254,365.0","5,304,303.0","5,374,886.0","5,376,014.0","5,372,805.0","5,407,735.0","5,416,081.0","5,427,454.0","5,292,998.0","5,274,057.0","5,378,218.0","5,498,744.0","5,441,212.0","5,508,866.0","5,421,951.0","5,310,964.0","5,336,082.0","5,305,119.0","5,303,458.0","5,373,821.0","5,506,473.0","5,624,154.0","5,749,590.0","5,868,709.0","5,974,941.0","6,030,746.0","6,075,361.0","6,128,235.0","6,175,596.0","6,274,258.0","6,317,937.0","6,377,350.0","6,396,624.0","6,456,655.0","6,481,782.0","6,512,103.0","6,580,781.0","6,635,877.0","6,755,486.0","6,786,006.0","6,875,677.0","6,906,427.0","7,001,413.0","7,066,072.0","7,116,101.0","7,170,146.0","7,178,020.0","7,253,175.0","7,276,685.0","7,268,131.0","7,188,173.0","7,141,624.0","7,189,394.0","7,216,667.0","7,241,554.0","7,324,482.0","7,406,352.0","7,487,360.0","7,571,825.0","7,577,271.0","7,622,128.0","7,657,762.0","7,762,728.0","7,838,893.0","7,950,208.0","7,997,578.0","8,086,911.0","8,097,671.0","8,105,223.0","8,169,775.0","8,221,273.0","8,271,582.0","8,419,657.0","8,488,027.0","8,577,885.0","8,637,126.0","8,765,621.0","8,872,765.0","8,931,673.0","9,008,223.0","9,080,313.0","9,195,740.0","9,355,045.0","9,427,870.0","9,489,800.0","9,605,036.0","9,778,988.0","9,786,405.0","9,979,188.0","9,966,639.0","10,014,230.0","9,958,727.0","10,017,317.0","9,972,522.0","10,000,163.0","10,084,101.0","10,133,997.0","10,181,000.0","10,174,295.0","10,212,533.0","10,302,058.0","10,485,005.0","10,581,067.0","10,647,705.0","10,714,241.0","10,792,686.0","10,879,919.0","10,994,165.0","11,036,692.0","11,122,371.0","11,173,094.0","11,321,445.0","11,358,065.0","11,344,099.0","11,416,372.0","11,417,364.0","11,519,313.0","11,601,084.0","11,643,327.0","11,573,852.0","11,605,227.0","11,470,176.0","11,157,367.0","10,930,761.0","10,906,211.0","10,957,336.0","11,073,628.0","11,194,354.0","11,308,890.0","11,381,599.0","11,448,162.0","11,451,291.0","11,485,748.0","11,534,461.0","11,619,492.0","11,669,375.0"
