"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","Gross domestic product","A191RX1","4,258,163.0","4,266,295.0","4,409,497.0","4,643,763.0","4,912,813.0","4,885,743.0","4,875,355.0","5,136,908.0","5,373,062.0","5,672,779.0","5,850,052.0","5,833,996.0","5,982,080.0","5,865,934.0","6,130,933.0","6,571,503.0","6,843,419.0","7,080,461.0","7,307,037.0","7,607,391.0","7,879,198.0","8,027,052.0","8,008,303.0","8,280,000.0","8,516,176.0","8,863,103.0","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,703,117.0","13,087,981.0","13,315,057.0"
"20","2","Less: Exports of goods and services","A020RX1","158,318.0","175,338.0","178,313.0","191,696.0","227,832.0","245,839.0","244,283.0","254,950.0","261,085.0","288,613.0","317,221.0","351,389.0","355,708.0","328,527.0","320,056.0","346,175.0","356,687.0","384,065.0","425,376.0","493,507.0","550,226.0","599,724.0","639,540.0","683,459.0","705,851.0","767,403.0","845,093.0","915,270.0","1,024,346.0","1,047,719.0","1,093,443.0","1,187,406.0","1,120,789.0","1,098,339.0","1,116,007.0","1,222,538.0","1,305,057.0","1,422,104.0","1,554,433.0","1,649,274.0","1,494,020.0","1,663,216.0","1,774,174.0"
"21","3","Plus: Imports of goods and services","A021RX1","226,728.0","236,399.0","249,016.0","277,039.0","289,895.0","283,327.0","251,838.0","301,081.0","333,995.0","362,933.0","368,960.0","344,460.0","353,511.0","349,067.0","393,105.0","488,796.0","520,517.0","564,998.0","598,430.0","621,946.0","649,336.0","672,571.0","671,572.0","718,657.0","780,800.0","873,945.0","943,868.0","1,025,959.0","1,164,139.0","1,300,202.0","1,449,861.0","1,638,724.0","1,592,630.0","1,646,823.0","1,719,684.0","1,910,415.0","2,027,790.0","2,151,464.0","2,203,245.0","2,144,034.0","1,852,823.0","2,084,990.0","2,187,735.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,354,984.0","4,348,326.0","4,503,084.0","4,751,777.0","4,987,000.0","4,922,077.0","4,867,949.0","5,184,810.0","5,459,797.0","5,758,368.0","5,898,333.0","5,784,766.0","5,939,679.0","5,860,441.0","6,203,064.0","6,739,709.0","7,039,416.0","7,297,185.0","7,512,126.0","7,752,244.0","7,984,233.0","8,097,814.0","8,027,837.0","8,302,655.0","8,585,701.0","8,968,522.0","9,181,331.0","9,534,038.0","9,984,376.0","10,531,094.0","11,131,792.0","11,671,594.0","11,815,776.0","12,097,502.0","12,444,726.0","12,935,498.0","13,345,689.0","13,688,111.0","13,855,274.0","13,653,063.0","13,051,550.0","13,500,435.0","13,720,078.0"
"23","5","Less: Change in private inventories","A014RX1","30,279.0","5,605.0","24,989.0","25,674.0","39,010.0","29,070.0","-12,777.0","34,260.0","43,103.0","45,578.0","27,977.0","-9,328.0","38,959.0","-19,678.0","-7,650.0","78,263.0","25,419.0","8,491.0","33,196.0","21,918.0","30,620.0","16,566.0","-1,428.0","17,898.0","22,250.0","69,285.0","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-36,266.0","-144,938.0","58,781.0","34,628.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","4,342,026.0","4,367,178.0","4,497,623.0","4,745,167.0","4,958,040.0","4,906,160.0","4,914,746.0","5,163,557.0","5,426,956.0","5,720,352.0","5,884,194.0","5,823,272.0","5,911,736.0","5,911,889.0","6,239,332.0","6,658,395.0","7,029,348.0","7,309,716.0","7,495,320.0","7,746,236.0","7,965,790.0","8,096,387.0","8,047,067.0","8,299,534.0","8,577,275.0","8,907,001.0","9,160,614.0","9,512,447.0","9,912,537.0","10,464,664.0","11,067,733.0","11,613,300.0","11,860,860.0","12,088,256.0","12,428,962.0","12,869,829.0","13,295,737.0","13,628,961.0","13,826,424.0","13,691,167.0","13,199,954.0","13,440,747.0","13,688,657.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","4,244,959.0","4,284,251.0","4,403,606.0","4,636,663.0","4,883,978.0","4,869,972.0","4,922,086.0","5,115,866.0","5,340,326.0","5,634,916.0","5,836,211.0","5,873,644.0","5,954,422.0","5,918,231.0","6,167,641.0","6,490,046.0","6,833,097.0","7,092,665.0","7,289,926.0","7,601,310.0","7,860,770.0","8,025,796.0","8,027,896.0","8,277,198.0","8,507,967.0","8,801,666.0","9,065,420.0","9,404,420.0","9,774,236.0","10,208,329.0","10,706,515.0","11,157,960.0","11,381,995.0","11,533,643.0","11,820,467.0","12,181,294.0","12,573,004.0","12,899,338.0","13,177,548.0","13,200,544.0","12,852,658.0","13,028,945.0","13,284,564.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
