"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155"
"11","3","  Gross output of general government","W085RA3",78.066,78.091,74.112,72.95,72.488,72.24,69.065,68.909,69.668,70.212,67.658,67.249,67.518,67.141,66.01,65.838,64.985,66.032,64.721,64.385,65.019,66.276,66.781,65.134,65.962,66.758,67.029,66.31,67.175,68.453,66.311,67.433,69.042,69.764,70.597,70.839,72.665,73.742,74.484,75.472,77.124,77.749,79.804,81.651,81.783,82.969,82.826,84.419,84.454,85.253,85.652,87.206,88.289,89.358,92.365,92.974,92.587,95.51,96.864,94.573,96.704,98.134,99.123,99.866,100.295,99.233,98.489,100.542,96.854,99.539,99.588,99.643,99.553,98.547,96.719,99.114,101.04,100.074,97.614,94.626,92.998,92.893,94.157,93.655,91.174,89.73,89.294,89.086,86.503,86.158,87.668,85.013,83.862,83.369,82.994,80.291,81.04,82.377,81.152,81.615,79.302,81.402,79.726,80.187,76.029,78.358,78.95,78.374,77.811,77.267,79.54,81.759,76.66,80.244,78.342,78.24,80.517,80.68,81.303,82.568,84.57,85.628,87.156,89.221,88.434,96.44,94.793,96.388,98.013,98.379,100.883,98.088,99.58,99.775,102.41,98.235,100.842,100.413,100.446,101.693,100.117,101.398,104.253,104.118,105.727,106.345,111.26,112.152,110.813,114.043,116.255,115.87
"12","4","    Value added","W086RA3",109.42,107.116,106.893,106.851,104.265,102.439,101.086,100.798,100.606,100.267,99.772,100.041,99.566,98.827,98.507,98.186,97.89,97.409,97.035,96.889,96.667,96.669,96.885,96.881,97.147,97.339,97.628,97.352,97.039,96.841,97.026,97.074,97.084,97.534,98.266,98.694,99.673,100.31,101.246,101.805,102.345,103.242,103.699,104.235,105.163,105.504,106.069,106.442,107.345,108.186,108.976,109.693,110.736,111.722,112.892,113.325,113.955,114.368,115.202,115.928,116.402,117.417,118.717,119.012,118.615,118.393,118.554,118.707,118.926,119.681,120.498,120.647,120.402,120.396,120.572,121.324,123.704,122.416,120.585,118.605,117.759,117.243,116.424,115.547,115.039,113.833,113.008,111.359,110.43,109.596,108.664,107.079,106.041,105.1,104.095,102.223,101.61,101.395,100.855,99.587,98.893,98.092,97.788,96.745,96.157,95.38,95.23,94.245,93.593,93.207,93.348,93.185,92.504,92.8,92.766,92.53,92.777,92.861,92.947,92.947,94.029,94.686,95.018,94.744,96.408,97.456,97.707,97.781,98.744,98.541,99.363,99.9,100.077,99.802,99.945,100.176,99.072,98.94,99.895,100.112,99.455,99.322,100.442,100.882,101.856,102.893,104.945,106.4,107.59,109.803,112.011,113.691
"13","5","      Compensation of general government employees","B237RA3",134.87,131.673,131.842,132.297,128.633,126.115,124.344,124.188,124.246,124.009,123.369,124.022,123.341,122.236,121.808,121.239,120.696,119.907,119.256,118.983,118.563,118.493,118.763,118.747,119.203,119.421,119.815,119.312,118.747,118.29,118.4,118.366,118.183,118.683,119.644,120.13,121.484,122.273,123.49,124.076,124.591,125.638,125.98,126.369,127.398,127.414,127.786,127.714,128.492,129.164,129.673,130.053,130.842,131.529,132.46,132.184,132.302,132.049,132.431,132.631,132.466,133.229,134.449,134.191,132.923,131.968,131.637,131.319,131.148,131.785,132.511,132.247,131.357,130.867,130.718,131.45,134.655,132.391,129.358,126.159,124.678,123.754,122.431,121.048,120.234,118.428,117.227,114.864,113.609,112.484,111.251,109.062,107.74,106.526,105.202,102.602,101.87,101.752,101.119,99.437,98.585,97.596,97.332,96.02,95.377,94.43,94.37,93.08,92.256,91.806,92.111,91.973,91.089,91.599,91.62,91.377,91.834,92.013,92.19,92.226,93.738,94.626,95.054,94.621,96.8,98.099,98.33,98.285,99.42,98.988,99.89,100.408,100.43,99.862,99.817,99.891,98.23,97.83,98.853,98.918,97.844,97.391,98.511,98.678,99.471,100.475,102.919,104.697,105.774,108.072,110.269,111.376
"14","6","        Military","B4080A3",135.361,130.235,130.394,131.26,128.299,124.709,122.552,121.791,121.116,120.322,118.809,119.47,118.837,117.744,116.772,116.03,115.328,114.735,114.035,113.778,113.666,113.55,113.622,113.186,112.865,112.213,112.55,111.978,111.171,110.311,110.398,110.628,110.663,111.095,112.36,112.949,114.261,114.739,115.994,116.505,116.942,117.211,117.704,117.817,119.189,119.31,119.66,119.547,120.417,120.775,121.156,121.261,122.24,122.622,123.182,122.653,123.039,123.377,124.23,124.653,125.053,124.689,125.625,126.037,125.253,123.991,124.038,124.35,123.665,123.351,123.859,124.261,123.566,122.998,123.241,126.474,131.995,127.922,122.738,119.153,117.097,115.046,113.876,112.908,110.857,109.405,108.374,106.656,105.63,104.455,103.145,101.124,100.066,99.012,97.477,96.323,95.676,94.739,94.471,93.613,92.792,91.942,92.163,91.428,90.818,89.94,90.094,89.171,88.332,87.958,88.765,88.555,88.419,88.454,89.685,90.12,90.799,91.06,90.698,91.361,93.88,94.404,94.649,94.378,97.712,100.491,100.148,99.501,101.148,100.166,100.078,101.023,101.039,99.838,99.4,99.722,97.588,97.019,98.208,97.819,96.688,96.099,97.512,97.266,98.625,99.362,102.198,104.634,106.074,108.695,110.675,110.58
"15","7","        Civilian","W090RA3",132.967,133.697,133.884,133.498,128.419,128.111,127.145,128.245,129.839,130.778,131.996,132.624,131.848,130.727,131.419,131.212,131.002,129.811,129.266,128.964,127.937,127.959,128.615,129.42,131.41,133.359,133.87,133.508,133.44,133.805,133.963,133.387,132.76,133.395,133.726,133.989,135.416,136.847,137.97,138.701,139.368,142.117,142.115,143.112,143.373,143.156,143.563,143.567,144.089,145.513,146.315,147.372,147.657,149.096,150.939,151.334,150.747,148.987,148.161,147.798,146.225,149.793,151.676,149.755,147.328,147.148,145.92,144.124,145.179,148.052,149.258,147.43,146.077,145.764,144.722,139.87,138.046,139.714,141.391,139.106,138.954,140.653,139.004,136.722,138.595,136.056,134.515,130.83,129.121,128.111,127.042,124.524,122.674,121.142,120.236,114.787,113.883,115.401,114.03,110.689,109.787,108.528,107.31,104.878,104.167,103.084,102.604,100.6,99.804,99.205,98.541,98.542,96.204,97.635,95.31,93.782,93.811,93.823,95.034,93.842,93.387,94.981,95.776,95.032,94.863,93.158,94.58,95.776,95.859,96.54,99.455,99.094,99.126,99.913,100.709,100.251,99.619,99.589,100.249,101.312,100.365,100.219,100.682,101.783,101.297,102.907,104.457,104.744,104.996,106.561,109.248,113.111
"16","8","      Consumption of general government fixed capital \2\","B432RA3",62.572,61.737,61.002,60.286,59.461,58.783,58.152,57.713,57.195,56.754,56.513,56.226,56.083,55.928,55.791,55.848,55.928,55.924,55.973,56.016,56.092,56.194,56.311,56.326,56.301,56.436,56.551,56.615,56.683,56.864,57.132,57.288,57.571,57.908,58.246,58.552,58.895,59.252,59.695,60.164,60.696,61.289,61.872,62.576,63.274,64.068,64.871,65.864,66.896,67.968,69.179,70.415,71.834,73.297,74.831,76.475,77.991,79.581,81.202,82.86,84.498,85.964,87.395,88.718,89.967,91.148,92.254,93.309,94.283,95.269,96.266,97.218,98.229,99.174,99.98,100.757,101.486,102.136,102.721,103.214,103.698,104.057,104.318,104.509,104.633,104.657,104.6,104.416,104.152,103.915,103.593,103.224,102.762,102.379,102.024,101.647,101.295,100.88,100.539,100.168,99.814,99.431,99.031,98.584,98.122,97.731,97.377,97.082,96.825,96.588,96.351,96.13,95.925,95.713,95.551,95.326,95.067,94.919,94.78,94.693,94.664,94.704,94.789,94.949,95.174,95.503,95.813,96.232,96.68,97.166,97.743,98.332,98.974,99.617,100.345,101.064,101.737,102.474,103.206,103.908,104.613,105.548,106.663,108.004,109.581,110.723,111.471,111.855,113.428,115.34,117.576,121.223
"17","9","    Intermediate goods and services purchased \3\","W087RA3",47.828,49.906,42.77,40.636,42.074,43.211,38.567,38.514,40.05,41.303,37.195,36.259,37.113,37.056,35.337,35.298,34.031,36.278,34.271,33.801,35.1,37.312,38.024,35.123,36.37,37.612,37.848,36.806,38.563,40.942,37.103,38.988,41.719,42.594,43.43,43.505,45.836,47.156,47.679,48.915,51.318,51.679,54.847,57.601,57.086,58.866,58.168,60.633,59.953,60.678,60.718,62.913,63.97,65.056,69.546,70.282,69.01,74.064,75.828,70.903,74.441,76.184,76.846,77.959,79.125,77.342,75.795,79.517,72.336,76.734,76.053,76.016,76.07,74.179,70.591,74.382,75.828,75.213,72.252,68.408,66.055,66.339,69.603,69.465,65.154,63.517,63.47,64.673,60.544,60.691,64.559,60.936,59.705,59.667,59.917,56.454,58.545,61.426,59.524,61.737,57.812,62.865,59.803,61.791,54.008,59.53,60.881,60.737,60.279,59.573,64.083,68.783,59.052,66.108,62.241,62.287,66.695,66.943,68.135,70.755,73.762,75.26,78.106,82.774,79.182,95.209,91.378,94.728,97.137,98.184,102.678,95.947,98.993,99.741,105.363,95.903,103.014,102.209,101.108,103.6,100.871,103.933,108.965,108.119,110.519,110.626,119.003,119.212,114.695,119.22,121.434,118.433
"18","10","      Durable goods","B998RA3",58.673,59.563,56.063,53.216,55.238,54.548,48.453,52.015,46.316,51.476,38.458,45.568,47.686,47.051,48.154,45.943,41.326,47.117,38.011,43.078,49.102,61.601,50.72,53.298,58.967,62.968,59.473,58.423,60.167,67.707,62.333,69.013,67.839,68.948,70.956,63.959,74.741,81.786,75.957,84.238,78.727,85.661,87.961,95.035,99.632,104.685,102.69,103.729,107.323,106.921,96.211,104.688,103.451,108.393,119.21,114.353,106.774,122.967,127.437,118.934,119.184,123.384,133.341,129.727,129.95,127.452,126.942,135.455,124.501,129.922,126.684,117.925,122.618,119.813,117.868,120.797,117.277,119.05,114.188,108.631,104.724,100.714,103.664,103.997,94.099,109.18,86.927,85.381,80.281,78.917,85.56,77.336,76.158,68.699,82.573,66.026,68.114,77.322,76.637,69.121,71.426,76.879,71.088,72.952,69.939,71.555,77.715,75.559,70.392,80.012,85.569,77.195,78.496,78.049,78.422,75.103,73.28,79.464,84.41,75.092,76.334,80.655,86.249,81.86,79.534,91.743,92.437,92.919,94.187,100.498,102.166,98.792,96.061,98.812,102.633,102.493,104.979,105.244,109.123,114.091,109.752,116.106,123.747,126.592,130.006,138.458,145.989,149.329,138.631,151.65,162.513,155.261
"19","11","        Aircraft","B999RA3",88.791,87.779,74.071,66.623,73.176,66.248,63.394,62.223,52.793,59.961,39.798,53.384,51.978,40.52,52.447,44.842,36.39,44.788,34.417,43.303,53.947,68.666,60.894,59.168,58.445,63.567,58.846,67.081,65.511,85.982,71.592,85.566,84.494,81.328,85.85,83.562,105.117,107.443,95.486,123.93,113.727,120.877,129.966,140.783,149.448,154.339,153.999,157.145,151.127,148.281,136.208,145.727,149.108,149.948,164.564,160.96,149.312,184.445,183.633,173.39,173.161,160.35,199.86,206.302,196.245,188.369,184.892,196.331,186.664,186.147,178.599,170.848,162.451,157.2,147.779,167.029,147.611,142.738,138.605,138.642,128.94,125.288,117.929,122.904,106.821,131.152,91.769,99.315,88.148,86.025,96.141,93.88,98.353,69.03,101.997,77.771,83.964,86.222,89.33,84.776,89.76,100.427,83.667,94.028,89.982,94.984,98.525,107.042,93.79,107.119,113.411,98.099,102.568,93.42,99.232,88.675,85.391,93.243,108.974,91.098,89.178,95.664,98.836,96.274,93.055,112.905,108.399,112.529,106.969,110.13,117.728,113.15,99.865,99.561,98.613,101.962,97.279,92.973,97.21,111.98,91.444,99.709,108.416,115.061,105.343,113.499,122.228,127.679,126.825,135.955,142.926,154.203
"20","12","        Missiles","B277RA3",101.464,98.415,149.681,121.989,118.129,113.806,119.762,138.463,128.094,119.262,95.778,105.872,117.488,124.025,122.336,113.429,97.961,145.179,97.33,92.782,93.817,140.201,102.303,103.865,141.648,163.101,131.102,127.74,126.001,127.339,118.291,118.141,124.568,128.599,132.221,113.553,129.593,138.977,141.833,139.551,135.051,161.707,144.685,149.646,143.451,162.028,145.2,158.31,148.912,138.72,116.815,161.673,114.253,115.414,141.636,159.157,140.622,162.063,167.9,148.235,154.417,180.004,158.028,150.328,165.361,176.363,156.925,214.033,164.037,187.919,182.496,160.966,198.828,165.31,192.942,168.005,166.68,190.379,186.655,166.591,152.28,151.122,164.857,144.575,145.083,121.635,140.88,117.714,115.145,106.517,121.716,94.673,76.092,96.523,106.546,82.604,76.032,94.502,93.962,73.994,71.617,78.553,74.647,75.429,69.12,60.263,102.11,67.161,69.634,70.926,74.673,75.543,71.807,79.593,79.547,88.263,89.302,85.928,85.425,78.246,74.618,69.008,86.44,84.621,68.155,72.527,73.456,86.296,74.617,97.554,73.367,77.77,89.963,101.332,96.402,112.303,117.996,127.77,112.606,120.353,121.86,127.893,131.874,139.189,134.878,136.401,137.189,139.666,126.286,131.037,158.272,148.344
"21","13","        Ships","B278RA3",26.112,40.475,31.049,32.977,37.415,40.378,27.515,25.568,22.569,25.088,26.853,29.042,27.009,34.411,32.223,37.383,33.583,35.16,28.729,59.372,105.169,108.36,52.444,87.172,117.388,111.804,87.122,92.877,106.483,125.629,114.722,118.43,113.942,112.807,105.798,48.701,66.163,96.931,106.558,80.404,54.343,84.23,97.512,114.346,128.713,139.025,134,109.926,148.372,130.418,133.909,77.378,83.68,72.524,82.185,60.601,66.157,78.295,79.373,58.091,66.174,98.234,127.958,61.824,89.902,89.565,87.228,104.968,76.473,98.985,87.778,86.108,116.28,142.566,132.547,151.473,133.401,155.656,172.298,148.633,157.685,150.547,165.473,188.494,151.357,279.185,131.089,138.983,126.367,123.714,121.719,107.365,85.769,100.391,118.643,54.281,51.825,97.339,70.509,57.979,74.013,73.652,74.703,66.959,71.485,62.241,65.055,64.992,80.144,98.213,105.651,89.827,103.593,108.807,103.316,93.111,91.246,102.694,100.684,82.877,94.311,100.646,112.264,89.448,94.097,100.086,101.35,95.463,93.95,112.54,120.831,98.101,97.434,102.358,113.515,86.693,114.185,95.634,92.04,94.089,101.698,98.362,57.659,60.733,51.516,60.353,56.681,49.231,46.268,52.1,54.218,37.789
"22","14","        Vehicles","B288RA3",137.665,195.229,128.308,155.175,119.002,193.355,110.725,112.94,116.235,153.376,84.953,113.201,152.185,191.219,200.804,208.624,185.511,162.596,142.558,183.035,162.665,219.023,198.478,236.42,229.872,257.591,320.866,264.212,260.052,205.203,261.3,292.43,241.729,322.319,329.589,272.342,254.999,332.021,269.106,293.902,286.292,212.032,253.413,270.891,333.587,334.543,329.505,321.745,424.679,463.649,405.096,387.664,475.985,562.925,534.175,468.919,484.572,520.277,528.54,491.408,492.035,562.063,433.307,363.726,383.572,449.786,477.442,362.702,314.888,344.63,300.486,293.138,260.209,296.652,282.736,281.776,264.459,376.728,255.876,222.669,203.619,213.632,209.686,218.957,187.201,219.132,152.287,134.651,126.658,125.34,120.964,115.658,139.818,144.572,154.859,106.427,113.18,115.411,128.844,113.484,138.557,151.108,128.606,126.573,106.886,105.005,102.028,92.546,78.183,80.023,74.496,74.213,51.293,73.512,65.49,64.287,63.911,66.933,75.738,68.679,68.627,65.462,64.281,69.619,63.162,69.453,71.524,70.641,67.592,65.699,74.137,80.345,81.557,90.385,113.238,114.82,125.754,139.121,160.591,165.16,167.213,206.014,217.313,229.584,233.883,267.832,268.16,339.493,222.465,305.734,331.092,333.909
