"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2010 9:05:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Housing output \1\","A2007C1",11.3,10.9,10.2,8.9,7.9,7.6,7.7,7.9,8.4,8.9,9.1,9.4,10.1,10.8,11.3,11.8,12.2,13.6,15.2,17.1,18.9,20.9,23.4,26,28.9,31.2,33.2,35.5,38,40.6,43.6,46.7,49.6,53.1,56.2,59.5,63.3,67.2,71.5,76.9,83.7,90.5,99.2,108.2,118.5,129.5,141.8,155.4,172.7,193.9,217.5,245.4,277.3,302,326.7,357.9,394.2,428.8,461.3,496.8,530.9,569.8,601.1,633.9,665.3,711.9,755.5,793.4,838.5,893.1,949.6,1009.6,1084.8,1133.6,1175.2,1233,1328,1415.4,1479,1542.1
"9","2","  Nonfarm housing","A2008C1",10.4,10,9.4,8.3,7.3,6.9,7,7.2,7.7,8.1,8.3,8.6,9.3,10,10.4,10.9,11.2,12.3,13.7,15.6,17.5,19.4,21.8,24.3,27.1,29.5,31.5,33.7,36.2,38.8,41.6,44.6,47.4,50.8,53.8,57,60.8,64.6,68.7,74.1,80.7,87.3,95.7,104.5,114.7,125.5,137.8,151.2,168.4,189.2,212.5,240.2,272,296.8,321.5,352.7,389.1,423.8,456.3,491.4,525,563.5,594.3,626.7,657.2,702.9,746,783.7,828.8,883,939,996.8,1071.7,1120,1160.9,1216.2,1309.2,1394.4,1455.4,1517.2
"10","3","    Owner-occupied","DOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.7,462.8,488.5,526.2,559.8,592.5,629.5,674.1,720.3,768.9,829.8,870.9,913.8,962.5,1044.5,1111,1143.5,1186.8
"11","4","    Tenant-occupied","DTENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.3,126.8,133.8,140.1,150.7,157.6,163.9,168.8,176.7,186.2,191.2,199.4,209,218.7,227.9,241.9,249.2,247.1,253.7,264.7,283.4,311.9,330.3
"12","5","  Farm housing","DFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,20.9,23.6,24.9
"13","6","Less: Intermediate goods and services consumed","B1027C1",1.6,1.5,1.3,1.1,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.7,1.7,1.6,1.6,1.6,2.5,3.1,3.6,4,4.4,4.9,5.2,5.7,5.9,6.1,6.4,6.5,6.7,6.7,6.7,6.9,7.1,7.3,7.9,8.4,8.9,9.4,11,12.5,13.9,15.3,17.2,20.1,22.6,24.6,28.7,32.3,38.4,44.5,45.5,48.5,46.2,49,56.6,61.1,69.1,75.8,81.5,87.5,92,93,95.3,102.3,109.3,114.7,122.2,129.9,147.8,151.3,159.7,180.4,201.2,237,244.3,274,284.6,273.6,235.6
"14","7","Equals: Gross housing value added","A2009C1",9.7,9.4,8.8,7.8,6.8,6.4,6.5,6.6,7,7.5,7.6,7.8,8.3,9.2,9.7,10.2,10.6,11.1,12.1,13.5,14.9,16.5,18.5,20.8,23.2,25.3,27.1,29.1,31.5,33.9,37,39.9,42.8,46,48.9,51.6,54.9,58.2,62.1,65.9,71.3,76.7,83.9,91.1,98.3,106.8,117.2,126.6,140.5,155.5,172.9,199.8,228.8,255.7,277.7,301.3,333.1,359.7,385.5,415.3,443.4,477.8,508.1,538.6,562.9,602.6,640.7,671.3,708.6,745.3,798.3,849.9,904.4,932.5,938.2,988.7,1054,1130.8,1205.4,1306.5
"15","8","          Nonfarm housing","B499RC1",8.9,8.6,8.1,7.2,6.3,5.8,5.8,5.9,6.3,6.8,6.9,7.1,7.6,8.4,8.9,9.3,9.6,9.9,10.8,12.1,13.6,15.1,17,19.2,21.5,23.8,25.5,27.5,29.8,32.2,35.1,38,40.7,43.9,46.7,49.4,52.6,55.9,59.6,63.3,68.5,73.7,80.8,87.7,94.9,103.2,113.6,122.9,136.5,151.3,168.5,195.2,224,251.1,273.1,296.7,328.6,355.4,381.2,410.6,438.2,472.2,502.1,532.2,555.8,594.6,632.4,662.7,700.1,736.5,789,838.8,893,920.6,925.9,974.2,1037.8,1112.7,1184.9,1284.8
