"","Table 6#2C# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2010 8:59:33 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Compensation of employees","A033RC0",2735638,2954155,3131318,3326257,3438331,3631429,3797095,3998534,4195178,4391364,4665622,5023242,5353937,5788849
"9","2","Domestic industries","A4002C0",2736994,2955022,3132603,3328564,3441082,3634394,3800415,4002549,4199268,4395489,4670024,5027805,5359150,5793539
"10","3","  Private industries \1\","A4003C0",2178556,2358681,2498239,2645335,2716353,2875352,3016722,3191689,3366738,3537054,3783065,4109107,4394466,4773287
"11","4","    Agriculture, forestry, and fishing","A4004C0",20353,23195,24884,28278,28469,28930,30641,31932,33523,35177,37695,40286,43789,46265
"12","5","      Farms","B4005C0",9523,10822,11479,13464,13244,13030,14190,14434,15485,16028,17142,18211,18905,19722
"13","6","      Agricultural services, forestry, and fishing","B4006C0",10829,12373,13405,14814,15225,15900,16451,17497,18038,19150,20553,22076,24884,26543
"14","7","    Mining","A4007C0",29800,30383,30551,32450,32983,32378,32349,32739,32981,33668,35837,36437,35059,37173
"15","8","      Metal mining","B4008C0",1838,2234,2574,2763,2778,2817,2786,2886,3261,3405,3486,3311,3240,2943
"16","9","      Coal mining","B4009C0",7611,6816,6788,7195,6882,6670,6218,6419,6294,6209,6297,6273,5918,5637
"17","10","      Oil and gas extraction","B4010C0",16671,17338,17116,18341,19372,18829,19158,18907,18579,18966,20594,21091,20025,22529
"18","11","      Nonmetallic minerals, except fuels","B4011C0",3680,3995,4073,4151,3951,4063,4187,4527,4847,5087,5459,5761,5875,6063
"19","12","    Construction","B4012C0",142890,155187,162119,167583,157743,157596,164501,179589,190563,206504,225376,248395,275502,303840
"20","13","    Manufacturing","A4013C0",609074,649076,672619,687803,698098,727907,753258,790074,808656,819625,854389,904232,939310,996819
"21","14","      Durable goods","A4014C0",383889,409560,422473,426588,428331,444973,459999,487657,499384,508429,532411,570083,594195,636835
"22","15","        Lumber and wood products","B4015C0",17423,19157,19180,19053,18217,19489,20948,22582,23200,24128,25301,26605,28512,28888
"23","16","        Furniture and fixtures","B4016C0",11594,12319,12773,12902,12388,13316,14160,14931,15497,15886,16815,18142,19358,20401
"24","17","        Stone, clay, and glass products","B4017C0",18397,18576,19079,19170,18484,19243,20073,21265,21876,22549,23221,24430,25929,27976
"25","18","        Primary metal industries","B4018C0",28278,30743,31747,31576,30855,32351,33167,35253,35343,35347,36281,36583,37201,37855
"26","19","        Fabricated metal products","B4019C0",43216,46381,48070,49041,48775,50703,52413,56054,58132,59509,62342,64693,67390,70375
"27","20","        Industrial machinery and equipment","B4020C0",73254,79606,83040,84659,85062,86647,90121,95862,99879,103257,110295,117545,122976,133887
"28","21","        Electronic and other electric equipment","B4021C0",70984,61217,63060,63293,64019,65382,69410,73517,77984,80809,86383,91731,99478,115630
"29","22","        Motor vehicles and equipment","B4022C0",38312,41967,41691,40360,43288,50842,54341,63071,59517,55887,54701,63308,60908,64009
"30","23","        Other transportation equipment","B4023C0",48869,49180,51844,53734,52960,51639,48992,47669,48371,49158,53061,58064,59382,59946
"31","24","        Instruments and related products","B4024C0",24375,40017,41220,41705,42986,43329,43584,43872,45540,47076,48634,52928,55932,59978
"32","25","        Miscellaneous manufacturing industries","B4025C0",9187,10395,10769,11095,11298,12032,12788,13580,14046,14823,15376,16055,17130,17890
"33","26","      Nondurable goods","A4026C0",225185,239516,250146,261214,269767,282934,293259,302417,309272,311196,321978,334150,345115,359984
"34","27","        Food and kindred products","B4027C0",44827,46609,48323,50940,53409,55256,57517,59082,60668,61477,63293,66334,68926,72190
"35","28","        Tobacco products","B4028C0",2518,2617,2710,2666,2684,2771,2583,2823,2942,2843,2971,2732,2842,2992
"36","29","        Textile mill products","B4029C0",15496,16067,16618,16513,16853,18063,18686,19175,18959,18767,19201,19209,18827,18511
"37","30","        Apparel and other textile products","B4030C0",18107,18827,19388,19473,19790,20653,20999,21313,20978,20218,20036,19660,18916,18088
"38","31","        Paper and allied products","B4031C0",24308,25429,26655,27722,28400,29891,30947,31778,32637,32689,33336,34038,35261,35836
"39","32","        Printing and publishing","B4032C0",42406,46528,48353,50980,51865,53810,55504,57890,59612,60811,63691,66797,70127,73270
"40","33","        Chemicals and allied products","B4033C0",43717,47748,50571,53820,56684,59727,62046,63061,64650,65949,68722,72565,76128,83444
"41","34","        Petroleum and coal products","B4034C0",8882,8447,8824,9169,9710,10140,10404,10477,10568,10034,10428,10443,10342,10351
