"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2010 9:03:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Undistributed corporate profits","B057RC0",16419,12166,16470,13659,12271,12510,12437,17365,17190,15915,12433,17459,15483,14778,17884,19472,22747,28880,32149,29138,29276,27155,21928,29687,39047,55092,61772,60936,75437,91300,110485,124598,102282,85647,54399,69887,80270,60506,30106,80346
"9","2","Domestic industries","A3402C0",15994,11873,16185,13077,11482,11847,11897,16590,16182,14709,11644,16603,14302,13857,16783,18065,21481,27505,30463,27543,27008,24396,18764,26522,34407,46994,54068,52861,67848,83266,98800,106028,83559,71413,38201,46973,55996,34244,8515,49039
"10","3","  Agriculture, forestry, and fishing","A3403C0",44,22,35,4,-25,-40,-1,-26,-22,-25,-15,-15,-18,-14,27,-107,-5,56,87,2,54,55,-53,7,224,480,52,325,268,5,683,530,-21,-438,-380,-602,-462,-835,481,1081
"11","4","    Farms","B3404C0",45,28,39,4,-26,-42,0,-29,-25,-30,-40,-61,-66,-69,-41,-147,-35,18,41,-18,25,3,-86,-51,114,392,-41,246,105,-122,456,307,-128,-523,-421,-574,-610,-915,78,312
"12","5","    Agricultural services, forestry, and fishing","B3405C0",-1,-6,-4,0,1,2,-1,3,3,5,25,46,48,55,68,40,30,38,46,20,29,52,33,58,110,88,93,79,163,127,227,223,107,85,41,-28,148,80,403,769
"13","6","  Mining","A3406C0",931,618,811,741,545,456,426,606,638,669,382,158,186,239,80,190,407,307,132,9,-79,-189,14,-27,-765,-672,-2185,3799,1587,-175,-1243,-1211,959,-1078,-5804,-6368,-5264,-7352,-7727,-4750
"14","7","    Metal mining","B3407C0",113,35,94,77,37,67,50,52,44,28,46,-110,-36,21,-22,60,103,46,86,-146,-76,-94,-18,-168,-130,137,183,-104,81,-83,-239,155,-119,-215,-668,-468,-615,-1137,-975,-1411
"15","8","    Coal mining","B3408C0",243,58,110,91,49,28,6,55,118,105,51,27,38,58,38,71,106,97,92,92,100,76,268,143,101,194,1179,960,627,352,10,-33,149,330,181,-61,1,-238,-196,2
"16","9","    Oil and gas extraction","B3409C0",514,467,542,500,393,293,287,395,376,459,242,191,90,96,15,-74,24,45,-178,-98,-221,-308,-313,-136,-866,-1273,-3887,2685,604,-697,-1496,-1926,323,-1549,-5335,-5898,-5007,-6116,-6667,-3428
"17","10","    Nonmetallic minerals, except fuels","B3410C0",61,58,65,73,66,68,83,104,100,77,43,50,94,64,49,133,174,119,132,161,118,137,77,134,130,270,340,258,275,253,482,593,606,356,18,59,357,139,111,87
"18","11","  Construction","B3411C0",369,336,288,244,280,226,251,194,363,389,379,309,114,204,402,443,652,833,941,1028,1106,1003,992,1192,1118,1116,1076,1267,1703,2844,3722,3868,3206,1663,1033,156,1481,2558,4182,7455
"19","12","  Manufacturing","A3412C0",8737,6014,9034,7095,5758,6317,6558,9653,8951,8060,5519,8810,7140,6384,7879,9171,10642,14006,15720,13730,13080,10793,6309,11023,15759,24441,31979,23039,33065,38684,45668,53875,40548,42527,24139,23019,29210,23784,-5426,20778
"20","13","    Durable goods","A3413C0",4055,2947,4579,3626,2950,3138,2981,4935,4211,3988,2043,4035,2747,2163,3919,4722,5841,8516,8893,7246,6892,5128,1067,4397,7937,10854,10055,8832,12894,19550,23632,22647,6591,4438,-3816,2637,11855,6214,2658,14603
"21","14","      Lumber and wood products","B3414C0",282,131,319,236,166,147,163,270,193,95,165,279,147,161,244,347,426,527,427,400,735,752,288,568,828,1443,961,570,1373,1823,2460,2540,688,-924,-751,1072,1340,318,1232,2950
"22","15","      Furniture and fixtures","B3415C0",77,53,95,67,65,50,47,97,102,73,52,68,45,62,88,110,142,191,185,174,197,188,128,146,225,211,171,176,272,374,445,438,368,412,353,573,518,704,544,807
"23","16","      Stone, clay, and glass products","B3416C0",232,204,308,243,176,215,279,462,392,344,334,459,275,258,268,356,420,417,359,241,302,319,203,403,540,633,534,507,890,1203,1402,1618,724,-153,-1756,184,1035,1239,1956,1154
"24","17","      Primary metal industries","B3417C0",894,607,934,878,549,796,528,1070,1114,990,456,685,542,114,290,631,963,1357,1539,1063,607,490,-107,227,614,1291,3535,1054,894,49,1824,2714,1185,511,-5387,-5131,-2138,-2856,-269,2170
"25","18","      Fabricated metal products","B3418C0",458,250,474,407,297,308,280,403,412,385,272,350,198,272,395,478,587,909,1105,1024,812,711,340,478,962,1499,1810,1564,1994,2504,2813,3391,2345,2280,584,760,1586,1986,1948,3363
"26","19","      Machinery, except electrical","B3419C0",721,482,677,687,605,525,521,632,831,677,344,714,480,480,787,856,1345,1647,1855,1660,1356,1127,807,802,1620,2309,2327,2668,2742,4522,5715,6413,4198,4291,404,-34,736,547,-3391,982
"27","20","      Electric and electronic equipment","B3420C0",365,258,493,314,328,283,292,269,253,367,285,445,201,196,324,343,325,878,1082,932,689,333,-275,-22,744,1069,301,870,1251,3228,3349,2508,2822,2178,-1120,-29,944,-1218,-2223,236
"28","21","      Motor vehicles and equipment","B3421C0",748,782,889,488,474,487,392,1268,437,556,-226,763,755,482,1053,1025,903,1591,1183,727,1134,802,-321,1645,1738,1412,-509,122,2260,4275,4183,2687,-4407,-286,1102,3249,4709,4172,1057,-1055
"29","22","      Other transportation equipment","B3422C0",58,41,124,83,108,146,252,208,217,268,147,-49,-123,-97,135,191,298,368,432,318,396,-241,-435,-273,-8,110,218,341,17,-66,-387,-1197,-2567,-5464,2301,2244,2392,1900,3094,3839
