"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","Less: Income payments to the rest of the world","A655RX1",3.8,3.7,3.6,4.2,4,4,4.7,4.2,4.8,4.7,4.8,4.9,5.1,5.2,5.3,5.4,5.8,5.8,5.7,5.7,5.5,5.9,5.9,6.2,6.1,6,6.2,6.5,6.3,6.3,6.2,6.2,6.4,6.9,7.1,7,7.1,6.9,7.2,7.3,7.3,7.2,7.4,7.5,7.6,7.1,7.5,7.8,8.2,8.5,9,9.6,10.6,10.3,10.2,9.8,10,10,10.4,10.7,10.2,10.4,10.4,10.6,10.7,11.3,11.8,12.1,12.3,12.6,12.6,13.3,13.4,13.7,14.1,14.5,14.7,14.9,15.9,16.3,16.4,16.3,16.2,17,18,19.2,19.6,19.9,21.9,24.5,27.4,28.4,28.8,28.1,27.5,26.2,24.5,25,27.2,28.2,27.9,30.1,30.4,32.7,36.7,40.5,41.8,42.7,44.3,48,50.8,50.7,49.5,46.9,46.7,44.5,47.4,46.8,45.7,44.8,43.2,45.7,47.7,52.2,54.7,62.3,65,73,78.6,83.5,87.9,96.2,102.8,96.6,87.2,104.5,110.9,120,124.2,113.7,118.3,124.4,123.1,115.4,109.1,112.3,121,124.9,137.3,150,156.2,153.1,146.6,145.2,145,144.6,153.8,157.7,147.8,154.1,157.3,163.7,170,177.2,186.1,188.9,200.8,209.7,219.9,230.7,224.3,216.8,220.3,217.4,221.4,210.6,204,192.2,186.5,168.8,164.8,167,159.4,154.9,149.4,160.2,155.6,175.8,174.6,192.1,212.1,229.6,235.4,243.5,257.4,250.3,246.1,254.3,265,274.6,295.1,300.3,312.4,312.9,312.8,319.2,320.7,317.4,316.8,327.7,352.3,359.6,377.8,397.5,392.4,387.1,355.2,317.8,311.8,221.2,272.4,305.8,306.2,273.1,300.4,297.3,308.5,311.1,323.4,362.8,371.6,424,435.3,458.5,473,536.7,566.4,621.9,654.9,668.9,690.4,733.7,713.7,675,632.3,649.5,600.3,554.2,438.5,437.5,427.5,NA
"12","4","Equals: Gross national product","A001RX1",1781.9,1779.6,1778.1,1805.5,1835,1869.2,1879.2,1882.1,1855.6,1848.5,1868.8,1850.4,1925.4,1984.3,2063.5,2099.6,2125.4,2162.6,2206,2210.6,2231.8,2234.3,2248.9,2322.4,2365.4,2384,2368.1,2330.8,2320.8,2323.6,2349.8,2398.4,2467.4,2507.7,2541.1,2555.6,2545.8,2565.5,2562.8,2602.1,2620.9,2616.1,2640.2,2608.6,2538.8,2554.5,2613.4,2673.8,2727.5,2795.9,2793.8,2804.6,2866.4,2853.5,2858.9,2823.6,2841.4,2893.1,2939.9,2999.8,3053.1,3088.6,3117.2,3128.1,3167.4,3205.9,3266.2,3291.7,3367.2,3404.5,3451.2,3458.8,3546.6,3595.2,3665.5,3750.8,3843.1,3855.9,3880.5,3912.8,3946.7,3946.8,3980.8,4010.1,4092.9,4162.5,4191.6,4209.4,4275.4,4286.6,4312.3,4292.1,4286.2,4294.9,4332.4,4284.3,4406.6,4433.2,4465.1,4479.1,4560,4666.8,4714,4790.8,4917.9,4977,4957.9,5005.1,4970.5,4979.8,4926,4899.7,4833.4,4870.4,4954.8,5026.9,5138.6,5178.8,5204.4,5243,5310.6,5413.8,5509,5501.5,5528.1,5733.5,5793.7,5877.5,5888.8,5901.8,5957.3,5972.9,5993.4,5865.8,5850.6,5943.7,6069.9,6018.3,6094.4,6027.2,5925.6,5965.7,5931.4,5933.6,6005.9,6143.5,6264.6,6395.3,6512.8,6624.4,6687.5,6734.4,6785.7,6845.8,6943.5,7000.5,7061.9,7079,7150.4,7174.6,7217,7299.6,7361.9,7490.1,7536.7,7629.6,7665.1,7770.3,7842.3,7899.3,7964.5,7990.1,8070.3,8103.5,8096.5,8057,8001.5,8040.2,8069.5,8111.2,8199.3,8285.3,8366.1,8455,8480,8525.2,8577.4,8670.4,8763.3,8877.5,8931.5,9029.7,9063.8,9086.4,9145,9222.5,9292.9,9442.1,9520,9629.6,9693.2,9845.8,9959.7,10028.3,10133.3,10221.2,10340.3,10521.2,10628,10716.6,10848.9,11055,11078.6,11297.8,11302.4,11396.4,11343.3,11426.4,11369.9,11479,11534,11575.1,11648.5,11669.9,11701.8,11809.3,12005.6,12140.2,12243.7,12303,12403.5,12483.7,12642.6,12684.5,12789.5,12825.6,12994.2,13035.4,13025.1,13129.5,13160.5,13275.9,13451.5,13563.3,13525.4,13533.7,13470.7,13240.5,13018.1,12986.8,13084,NA
"13","5","Less: Consumption of fixed capital","A262RX1",156.3,155.1,154.4,153.9,153.8,153.7,153.7,153.6,154,154.3,154.6,155,155.5,156.3,157.3,158.5,159.9,161.6,163.3,165.1,167.1,169.2,171.3,173.6,176,178.4,180.4,182.5,184.7,186.6,188.5,190.3,192.1,193.9,195.6,197.3,199.1,200.9,202.7,204.2,205.7,207.4,209.3,211.4,213.7,215.6,217.2,218.4,219.4,220.4,221.2,222.3,223.3,224.4,225.7,227.3,228.8,230.6,232.2,234.1,236.1,238.1,240.3,242.6,245,247.4,249.9,252.5,254.9,257.5,260.3,263.4,266.6,270.1,273.7,277.4,281.5,285.5,289.5,293.4,297.4,301.2,305.1,308.8,312.5,316.2,320.1,323.9,327.8,331.6,335.6,339.5,343.5,346.6,348.9,350.1,353.9,357.3,360.5,363.2,366.1,369.6,373.8,378.7,384.2,389.4,394.4,399.2,403.6,407.8,411.8,415.4,418.8,422.2,425.4,428.7,431.9,435.3,439.1,443.1,447.5,452.1,456.9,461.8,466.8,472.3,478,484,490.4,496.7,502.8,508.8,514.6,520.3,525.7,530.8,535.8,540.9,546.4,552.2,558.3,563.9,569,573.7,577.8,582.4,587.3,592.8,598.7,605.3,612.8,621.2,630.4,639.2,647.5,655.4,662.6,670.1,677.9,685.8,693.9,701.8,709.4,716.8,724,731.3,738.8,746.5,754.3,762.2,770.1,778,786,793.4,800.2,806.5,812.3,818.2,824.1,830.2,836.5,842,846.8,850.8,859.6,868.2,876.6,884.9,893,901.7,910.8,920.5,930.6,941.2,952.3,963.8,975.7,988,1001,1014.4,1028.2,1043.1,1058.8,1075.4,1092.8,1110.9,1129.5,1148.7,1168.5,1188.8,1209.5,1230.8,1252.5,1273.2,1292.7,1311.2,1328.4,1344.3,1358.8,1371.9,1383.5,1394.7,1405.4,1415.6,1425.4,1435.7,1446.4,1457.6,1469.8,1482.1,1494.4,1506.8,1519.2,1533,1548.3,1565,1577.3,1590.9,1605.2,1620.3,1636,1652,1668,1684.1,1700.4,1712.8,1721.4,1726.2,1732.8,1735.2,1738.4,1745.3
"14","6","        Private","A024RX1",89.1,90.9,92.7,94.5,96.3,98,99.7,101.2,102.6,104,105.4,106.7,108.1,109.5,110.9,112.4,113.8,115.1,116.3,117.3,118.2,119.1,120.2,121.4,122.7,123.9,125.2,126.4,127.5,128.8,130,131.3,132.7,134.1,135.6,137,138.5,139.9,141.3,142.5,143.7,145.1,146.7,148.4,150.4,152,153.3,154.1,154.5,155,155.4,155.8,156.2,156.8,157.6,158.6,159.8,160.9,162.1,163.3,164.5,165.8,167.3,168.9,170.6,172.4,174.2,176,177.8,179.8,182,184.5,187.2,190,193.1,196.2,199.5,202.8,205.9,209,212,215,218,220.9,223.7,226.7,229.8,233,236.3,239.7,243.1,246.6,250.1,252.9,255,256.3,259.9,263.4,266.7,269.7,272.6,276.2,280.4,285.3,290.7,295.9,300.7,305.2,309.5,313.4,317.1,320.4,323.4,326.3,329.2,331.9,334.6,337.6,340.8,344.4,348.4,352.4,356.7,361.1,365.6,370.5,375.6,381,386.7,392.2,397.5,402.7,407.7,412.5,417.1,421.4,425.5,429.9,434.5,439.4,444.6,449.2,453.4,457.1,460.2,463.7,467.4,471.6,476,481.2,487.1,493.7,501.1,507.9,514.3,520.2,525.5,531.1,536.8,542.7,548.9,554.8,560.6,566.2,571.6,577.2,582.9,588.9,595,601.1,607.1,613.2,619.2,624.8,629.9,634.5,638.6,642.8,647.3,651.9,656.7,660.9,664.4,667.3,674.8,682.3,689.7,697.1,704.3,712.1,720.4,729.3,738.6,748.4,758.6,769.1,780,791.4,803.3,815.7,828.6,842.3,856.9,872.2,888.4,905.1,922.2,939.8,957.9,976.5,995.5,1015.1,1035.1,1054.2,1072.2,1089.2,1105.1,1119.6,1132.8,1144.5,1154.7,1164.5,1173.8,1182.6,1190.9,1199.7,1208.9,1218.6,1228.7,1239,1249.5,1260.2,1271.1,1283.3,1296.9,1311.9,1322.8,1334.4,1346.8,1360,1374,1387.9,1401.7,1415.5,1429.3,1439.6,1446.4,1449.8,1453.9,1453.2,1453.1,1455.1
"15","7","        Government","A264RX1",73.8,70.4,67.5,64.9,62.7,60.5,58.6,56.7,55.5,54.2,52.9,51.5,50.4,49.7,49.1,48.7,48.7,49,49.6,50.5,51.8,53.1,54.3,55.6,56.8,58.1,59,60,61.2,61.9,62.6,63.1,63.5,63.8,64.2,64.4,64.6,65,65.4,65.7,66,66.3,66.6,66.9,67.1,67.4,67.8,68.1,68.9,69.5,70,70.7,71.4,72,72.5,73.2,73.6,74.2,74.7,75.5,76.4,77,77.9,78.6,79.3,80,80.7,81.6,82.2,82.8,83.4,84,84.4,85,85.6,86.1,86.9,87.6,88.4,89.3,90.2,91.1,92,92.9,93.7,94.5,95.2,95.8,96.3,96.7,97.1,97.6,97.8,98.1,98.3,98.3,98.2,98,97.9,97.4,97.2,97,97,96.9,96.7,96.7,96.7,96.9,97,97.2,97.5,97.8,98.2,98.6,99,99.5,100,100.4,100.9,101.2,101.7,102.2,102.6,103.1,103.5,104,104.5,105,105.6,106.2,107,107.6,108.4,109.2,110,110.8,111.6,112.4,113.2,114.1,114.9,115.8,116.8,117.8,118.8,120,121.2,122.5,124,125.5,127.2,128.9,130.8,132.7,134.7,136.9,138.9,140.9,143,145.1,147.2,149.1,151,152.9,154.7,156.6,158.4,160.2,162,163.8,165.7,167.6,169.6,171.5,173.4,175.2,176.9,178.6,180.2,181.7,183.2,184.5,185.8,187,188.3,189.3,190.3,191.1,191.9,192.7,193.4,194.1,194.7,195.4,196.2,197,197.9,198.7,199.6,200.5,201.3,202.3,203.4,204.5,205.6,206.9,208.3,209.7,211.4,213,214.6,216.2,217.8,219.3,220.8,222.2,223.4,224.8,226.1,227.5,228.9,230.2,231.7,233.1,234.5,236,237.5,239.1,241.1,243.1,244.9,246.5,248.1,249.7,251.4,253.2,254.6,256.5,258.4,260.3,262.1,264.1,266.3,268.7,271.2,273.4,275.1,276.4,278.9,281.7,284.8,289.3
"16","8","          General government","A265RX1",68.6,65.3,62.5,59.9,57.8,55.6,53.8,51.9,50.7,49.4,48.1,46.8,45.7,44.9,44.3,43.9,43.9,44.1,44.7,45.5,46.7,47.9,49,50.2,51.4,52.6,53.4,54.4,55.4,56.1,56.7,57.2,57.5,57.8,58.1,58.2,58.4,58.7,59.1,59.3,59.5,59.8,60,60.3,60.5,60.7,61,61.3,61.9,62.4,62.8,63.5,64,64.5,65,65.6,65.9,66.4,66.8,67.5,68.3,68.8,69.6,70.2,70.9,71.4,72.1,72.8,73.3,73.8,74.3,74.8,75.1,75.6,76.1,76.5,77.1,77.7,78.5,79.2,80,80.7,81.6,82.3,83,83.6,84.2,84.6,85,85.3,85.6,85.9,86.1,86.3,86.3,86.2,86.1,85.7,85.5,84.9,84.6,84.3,84.1,83.9,83.6,83.5,83.3,83.4,83.3,83.4,83.6,83.7,83.9,84.2,84.4,84.8,85.2,85.5,85.8,86.1,86.4,86.8,87.1,87.5,87.7,88.1,88.5,88.9,89.3,89.8,90.4,90.9,91.5,92.1,92.8,93.4,94,94.6,95.3,95.9,96.6,97.3,98.1,98.9,99.8,100.8,101.8,103,104.2,105.5,107,108.5,110.1,111.8,113.6,115.5,117.2,119.1,120.9,122.8,124.6,126.4,128.1,129.7,131.3,132.9,134.5,136.1,137.6,139.2,140.9,142.6,144.3,146,147.6,149.1,150.6,152,153.4,154.6,155.9,156.9,158,158.9,159.8,160.6,161.4,162,162.5,163.1,163.6,164.1,164.5,165.1,165.7,166.2,166.9,167.5,168.2,168.9,169.6,170.4,171.3,172.1,173,174,175.1,176.3,177.6,178.9,180.1,181.4,182.7,183.9,185.1,186.2,187.2,188.3,189.4,190.5,191.6,192.7,193.8,194.9,196,197.1,198.2,199.4,201.1,202.6,204,205.4,206.6,207.9,209.4,210.9,212.4,214.1,215.7,217.3,218.9,220.6,222.6,224.7,227,228.9,230.5,231.7,233.9,236.5,239.5,243.7
"17","9","          Government enterprises","A266RX1",3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.9,3.9,4,4.1,4.1,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.7,4.8,4.8,4.9,4.9,5,5,5.1,5.1,5.2,5.2,5.3,5.4,5.4,5.5,5.6,5.6,5.7,5.7,5.8,5.9,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.5,7.6,7.7,7.9,7.9,8,8.2,8.3,8.4,8.5,8.6,8.7,8.8,9,9.1,9.2,9.3,9.4,9.6,9.7,9.9,10,10.1,10.3,10.4,10.6,10.7,10.9,11,11.1,11.3,11.4,11.5,11.6,11.8,11.9,12.1,12.2,12.4,12.5,12.7,12.9,13,13.2,13.4,13.5,13.7,13.9,14.1,14.2,14.3,14.5,14.6,14.8,14.9,15,15.1,15.3,15.4,15.5,15.6,15.8,15.9,16,16.2,16.4,16.5,16.7,16.9,17.1,17.3,17.4,17.6,17.8,18,18.2,18.4,18.5,18.7,18.9,19.1,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.9,21.1,21.3,21.6,21.8,22,22.2,22.4,22.6,22.9,23.1,23.3,23.5,23.7,23.9,24.2,24.4,24.6,24.8,25.1,25.3,25.6,25.8,26.1,26.3,26.6,26.8,27.1,27.4,27.7,27.9,28.2,28.5,28.7,29,29.2,29.4,29.7,29.9,30,30.2,30.5,30.7,30.9,31.1,31.3,31.5,31.6,31.8,32,32.3,32.5,32.8,33.1,33.4,33.7,34.1,34.4,34.7,35.1,35.4,35.7,35.9,36.2,36.4,36.7,37,37.2,37.5,37.8,38.2,38.5,38.9,39.3,39.7,40.1,40.5,40.8,41.2,41.5,41.7,42,42.3,42.2,42.4,42.7,43,43.3,43.5,43.8,44,44.2,44.4,44.6,44.8,45,45.2,45.4,45.6
"18","10","Equals: Net national product","A027RX1",1637.2,1636.5,1635.8,1664.8,1695.3,1730.9,1741.3,1744.3,1716.3,1708.6,1729.2,1709.7,1786.8,1846.8,1927.7,1963.5,1988.3,2024.7,2067.5,2069.7,2089,2088.7,2101,2174.3,2215.6,2231.7,2212.2,2170.6,2157.1,2157.5,2182,2230.1,2299.3,2338.7,2371.1,2383.8,2371.1,2389.1,2383.7,2422.6,2440.1,2432.5,2455,2419,2342.9,2356.7,2415.7,2477.1,2531.5,2601.6,2598.2,2607.9,2671,2655.9,2659.7,2620.7,2637.1,2688.3,2734.9,2794.5,2847.1,2881.3,2907.9,2916.1,2953.6,2990.3,3049.6,3072.5,3147.6,3182.8,3227.4,3231.1,3317.8,3363.6,3431.6,3515,3605.2,3613,3633.1,3661.4,3691.2,3686.2,3716.2,3741.5,3822.4,3889.5,3914.6,3927.9,3991,3997.6,4018.9,3992.7,3981.3,3986.1,4022,3970.6,4092.2,4115.2,4144,4154.8,4234.8,4340.8,4383.9,4457,4581.3,4635.5,4609.1,4651.6,4609.9,4614,4552.8,4520.4,4446.8,4480.5,4563.9,4634.3,4746.2,4783.2,4804.6,4839.2,4903.4,5004.4,5096.9,5082.1,5102.7,5309.2,5363.9,5442.7,5445.4,5450.1,5499.2,5506.9,5519.9,5378.6,5355,5444.8,5569.6,5508.2,5579.8,5501.1,5386,5419.8,5376.7,5372.5,5442.2,5579.1,5698.2,5826.4,5940.2,6046.9,6102,6139.3,6180.2,6230.7,6320.7,6369.1,6423,6430.8,6494.4,6509.1,6542.2,6617.3,6671.6,6794.2,6833,6919.2,6946.2,7044.6,7108.7,7157.3,7214.3,7230.7,7303.1,7327.9,7312.3,7264.1,7200.4,7232.9,7255.6,7291,7373.4,7454.7,7531.5,7617.3,7632.5,7668.4,7711.7,7796.8,7881.9,7988.1,8032.5,8121.2,8144.1,8155,8201.9,8267.5,8325.5,8462.9,8527.3,8623.4,8672.4,8810.4,8908.3,8959.6,9046.7,9115.8,9216,9377.7,9464.2,9531.9,9643.2,9828.2,9829.1,10027.9,10012,10087.2,10015.9,10082.9,10011.4,10107.3,10150.7,10180.4,10243.2,10254.3,10276.4,10373.6,10559.2,10682.5,10773.8,10820.9,10909.1,10976.9,11123.4,11151.5,11241.2,11260.5,11416.9,11444.4,11419.7,11509.2,11524.3,11623.8,11783.4,11879,11824.9,11820.9,11749.4,11514.6,11285.8,11252.3,11346.1,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",1766.3,1750.7,1750.6,1771.5,1818.3,1866,1869.3,1876.9,1839.8,1828.8,1841.8,1818,1889,1964,2046,2087.1,2096.5,2122.5,2158.5,2175.9,2194,2204.9,2220.1,2287.6,2329.1,2346.4,2333.5,2281.8,2287.5,2291.5,2311.8,2362.3,2425.4,2480,2509.1,2529.2,2531.9,2556.3,2553.6,2598.5,2603,2601.5,2613.7,2587.7,2530.8,2534.5,2580.6,2643.7,2707.2,2787,2763.1,2782.2,2846.2,2840.1,2837,2820.8,2825.7,2874.2,2917.1,2983,3025.7,3057.1,3085.1,3115,3146.9,3194.7,3235.7,3266.6,3322.3,3368.1,3416.3,3446.6,3523.7,3569.1,3619.6,3698.2,3778.1,3801.2,3825,3856.3,3875.5,3896,3936.8,3976,4036.2,4096.8,4148.3,4173.5,4214.8,4242.2,4273.2,4266.6,4235.3,4233.5,4270.1,4227.8,4314.1,4345.4,4382.6,4437.6,4499.1,4559.3,4635.9,4761.3,4848.6,4874.8,4887.2,4942.5,4899.8,4879.8,4859,4794.8,4737,4779.8,4878.8,4927.8,5029.1,5060.7,5096.9,5114.1,5163,5293.7,5397.4,5430.1,5457.8,5625,5662.3,5710.1,5759.1,5725.9,5734,5773.8,5773.9,5663.9,5694.7,5840.2,5890.7,5888.5,5980.8,5906.7,5862.9,5890.2,5862.6,5834.6,5903.2,6000.7,6085,6211.8,6378.4,6498.5,6573,6647,6701.1,6741.9,6819.3,6860.4,6932.9,6950.1,6991.7,7041.1,7099.9,7210,7317.8,7421.6,7507.1,7592.6,7654.3,7758.1,7800.7,7780.8,7815.1,7825.8,7891.1,7945.2,7936.4,7895.9,7879,7899.6,7914.9,7941,8063.5,8126.1,8151,8233.6,8235.4,8326.8,8350.2,8486.8,8583.7,8688.2,8780.3,8885.2,8931.1,8973.9,9078.2,9133.7,9219,9362.8,9453.8,9575.2,9677.2,9789.2,9948.9,10067.8,10174.9,10318.4,10469,10570.9,10712.3,10784.1,10881.8,11069.1,11294.3,11356.9,11440.6,11418,11532.4,11491.6,11438.7,11383.7,11525.2,11588,11574.2,11620.8,11653.5,11770.2,11870.4,11998.8,12096.4,12213.8,12343.4,12433.3,12563.5,12655.6,12750.4,12901.3,13104.3,13147.6,13210.1,13296.6,13215,13295.5,13260,13303.5,13301.9,13298,13262,13014.3,12756.3,12754.1,12742.3,NA
"21","12","  Gross national income \2\","A023RX1",1776,1760.8,1760.5,1782.2,1829.9,1878.2,1881.6,1889.2,1851.6,1840.3,1853,1828.1,1899.6,1975.4,2059.4,2100.4,2109.4,2137.5,2174.1,2192.3,2209.7,2220.6,2235.5,2302.6,2344.2,2362.4,2347.7,2296,2302.7,2306.8,2327.2,2379.5,2443,2497.4,2526.5,2547.1,2551.6,2576,2573.6,2616.4,2623.7,2623.8,2635,2605,2548.4,2552.4,2598,2660.9,2724.3,2804.2,2781.4,2801.6,2865,2859.3,2856.9,2841.7,2847.8,2895.4,2938.6,3004.9,3047.7,3081,3109.2,3142.5,3173.2,3220.1,3261.6,3293.3,3351.2,3395.9,3445.1,3473.5,3554,3600.4,3648.8,3725,3805.6,3829,3852.2,3884.7,3903.5,3923.4,3966.7,4005.1,4065.9,4127.2,4179.6,4204.6,4246,4272.4,4302.1,4295.6,4264.8,4264,4300.3,4255.5,4346.8,4379.6,4413.6,4470.6,4533.3,4593,4672.2,4797.5,4890.2,4919.3,4938.9,4994.4,4960.8,4937.5,4911.5,4840,4775.1,4818.3,4920.3,4977.1,5077,5110.7,5147.2,5165.7,5221.7,5351.3,5454.4,5480.8,5516.4,5674,5715.6,5771.4,5821.9,5796.3,5817.9,5857.1,5858.8,5742.3,5768.6,5900.4,5954.9,5949,6045,5978.8,5931.1,5966.8,5927.6,5897.2,5965,6066.5,6152.2,6281.5,6442.9,6563.3,6637.1,6704.1,6746.4,6790.3,6859.2,6905,6972.1,6978,7023,7062.4,7123.8,7240.2,7347,7453.8,7547.2,7629.3,7687.4,7794.3,7836.4,7815,7852.1,7871.1,7933.8,7989.1,7973.4,7963.9,7930.3,7936.1,7946.8,7983.2,8105.1,8167,8187.8,8271.7,8282.9,8365.6,8396.5,8513.3,8619.1,8718.4,8807.6,8911.7,8969.5,9015.6,9102.5,9172,9264.6,9397.9,9484.9,9612.3,9704.1,9825.5,9975.9,10087.3,10204.8,10345.3,10480.6,10584.4,10739.1,10816.7,10910.8,11109.8,11329.8,11396.2,11475.2,11479.9,11578.5,11546.8,11468.5,11482.5,11581.3,11624.5,11626.2,11692,11709.4,11840.8,11940.4,12096.2,12212.4,12303.1,12443.4,12506.8,12671.9,12752.5,12856.7,12978.1,13182.5,13220.6,13269.3,13365.6,13275.6,13367.4,13390.5,13475.5,13460.5,13416.4,13408.2,13112.9,12848.9,12839.4,12853.3,NA
"22","13","  Net domestic product","A362RX1",1627.5,1626.3,1625.7,1654,1683.6,1718.5,1728.8,1731.9,1704.5,1697.1,1718,1699.5,1776,1835.3,1914.1,1949.9,1975.3,2009.4,2051.6,2052.9,2073.2,2072.8,2085.3,2158.9,2200.4,2215.6,2197.8,2156.1,2141.6,2142.1,2166.4,2212.6,2281.4,2321.1,2353.3,2365.6,2351,2369.2,2363.3,2404.5,2419,2409.9,2433.3,2401.6,2325.1,2338.6,2398.2,2459.7,2514.3,2584.3,2579.6,2588.2,2652,2636.5,2639.5,2599.4,2614.6,2667,2713,2772.2,2824.9,2857,2883.4,2888.1,2926.8,2964.4,3023.3,3045.3,3118.1,3154.3,3198.1,3203.8,3286.9,3331.7,3401.8,3487.8,3577.1,3584.9,3605.6,3632.7,3662.8,3658.6,3685.8,3712,3792.1,3858.6,3882.7,3896.3,3959.3,3967,3989.6,3963.5,3951.3,3955.2,3991.5,3942.5,4059.1,4080.3,4112.4,4121.5,4200,4306.6,4346.8,4420.1,4538.8,4590.2,4556.4,4598.5,4547.7,4555.1,4499.2,4474.2,4408.1,4441.5,4521.7,4584,4697.4,4732.4,4753.3,4786.7,4843.3,4945.5,5038.6,5030.5,5042.8,5259.5,5309.5,5380.1,5381.2,5378,5413,5421.4,5432.7,5298.2,5279.2,5383.5,5504.1,5446.5,5514.2,5427.2,5316.1,5341.3,5310.3,5308.6,5379.1,5511.8,5629.6,5755.2,5874.4,5980.8,6036.6,6081.3,6134.2,6181.6,6280.4,6324.1,6383.6,6402.9,6462.9,6488.1,6518.4,6587.2,6642.3,6762.1,6792.6,6882.4,6913.1,7008.2,7072.9,7123,7177.1,7185,7260.2,7283.8,7275.2,7195.2,7148.6,7196.4,7223.7,7248.6,7331.6,7413.6,7494.6,7579.2,7584.6,7629.5,7665.2,7770.3,7846.5,7957.9,8005.4,8094.8,8105.6,8113.1,8177.7,8229.3,8279.6,8427.8,8496.3,8586.2,8645.6,8774.2,8881.4,8940.3,9016.9,9089,9204.7,9364.4,9437.6,9499.5,9614.4,9787.6,9793.6,9988.6,9977.6,10025.3,9969.9,10027.8,9981.6,10008.4,10094.5,10144.1,10191.1,10183.2,10220.4,10303.1,10489.1,10585.2,10657.8,10731.7,10809.1,10903.5,11014.9,11054.5,11134.9,11183.7,11338.6,11371.5,11360.6,11440.3,11463.7,11551.9,11653,11707,11666.4,11702.4,11603.3,11416,11193.2,11167,11235.2,11415.7
