"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 26, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2010 9:02:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,"2009"
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",812.4,856.3,819.2,784.2,872.2,977.8,1246.9,1456.1,1608.3,1541.7,1360.4,"....."
"9","2","Domestic industries","A445RC1",709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1193.9,983.2,"....."
"10","3","  Financial \1\","N587RC1",165.8,200.2,201.4,244.4,287.1,325.9,364.4,419,427.6,347,271.6,"....."
"11","4","  Nonfinancial","N463RC1",543.9,534.6,472.2,370.1,427.2,486.1,677.5,797.6,923.9,846.9,711.6,"....."
"12","5","Rest of the world","B394RC1",102.8,121.5,145.6,169.7,157.9,165.8,205,239.4,256.8,347.8,377.2,"....."
"13","6","  Receipts from the rest of the world","B933RC1",146.8,176.8,202.5,182.6,204.4,249.2,328.2,384.1,434.4,504.5,544.2,"....."
"14","7","  Less: Payments to the rest of the world","B934RC1",44,55.3,56.9,12.9,46.5,83.4,123.1,144.6,177.6,156.8,167,"....."
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",738.6,776.6,755.7,720.8,762.8,892.2,1195.1,1609.5,1784.7,1730.4,1424.5,"....."
"16","9","Domestic industries","A390RC1",635.9,655,610,551.1,604.9,726.4,990.1,1370,1527.8,1382.6,1047.3,"....."
"17","10","  Financial","N392RC1",159.5,189.3,189.6,228,265.2,311.8,362.3,443.6,448,367.8,278.9,"....."
"18","11","    Federal Reserve banks","B397RC1",25.6,26.7,31.2,28.9,23.5,20.1,20,26.6,33.8,37.7,35.7,"....."
"19","12","    Other financial \2\","N398RC1",133.9,162.6,158.4,199.1,241.7,291.8,342.3,417,414.1,330.1,243.2,"....."
"20","13","  Nonfinancial","N399RC1",476.4,465.7,420.4,323.1,339.7,414.6,627.8,926.4,1079.9,1014.9,768.4,"....."
"21","14","    Utilities","N419RC1",33.5,33.7,25.6,25.2,12.3,12.4,19.4,29.8,54.4,49.1,40.1,"....."
"22","15","    Manufacturing","N400RC1",155.8,148.8,143.9,49.7,47.7,69.4,154.1,247.2,304.5,278.6,175.5,"....."
"23","16","      Durable goods","N406RC1",82.7,71.2,60,-26.9,-7.7,-4.3,40.7,95.6,118.9,96.1,30.7,"....."
"24","17","        Fabricated metal products","N408RC1",16.4,16.4,15.8,9.8,9.1,8,12.2,18.1,18.7,21.3,17.6,"....."
"25","18","        Machinery","N409RC1",15.3,11.7,7.7,2,1.4,1,7.1,14.5,19.2,19.8,16.1,"....."
"26","19","        Computer and electronic products","N501RC1",4.2,-6.8,4.2,-48.6,-34.4,-14.7,-4.3,9,17.4,11.2,4.7,"....."
"27","20","        Electrical equipment, appliances, and components","N410RC1",6.2,6.4,5.9,1.9,0,2.2,0.6,-1.4,11.5,-1.1,-4.1,"....."
"28","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",6.4,7.7,-0.7,-8.9,-4.5,-11.7,-6.8,1.1,-6.8,-16.4,-47.5,"....."
"29","22","        Other durable goods \3\","N412RC1",34.2,35.9,27.1,16.8,20.7,10.8,31.9,54.2,58.9,61.3,43.9,"....."
"30","23","      Nondurable goods","N401RC1",73.1,77.6,83.9,76.6,55.4,73.8,113.4,151.7,185.7,182.6,144.9,"....."
"31","24","        Food and beverage and tobacco products","N402RC1",22.1,30.9,26,28.2,25.3,24,24.3,27.3,32.5,30.2,33.7,"....."
"32","25","        Petroleum and coal products","N404RC1",5.3,2.2,27.6,29.7,1.3,23.5,49.1,79.4,76.6,77.8,66.5,"....."
"33","26","        Chemical products","N403RC1",25,22.8,13.8,11.6,17.8,18.9,24.7,25.7,52.5,51.9,31.3,"....."
"34","27","        Other nondurable goods \4\","N405RC1",20.7,21.7,16.5,7.1,11,7.4,15.3,19.3,24,22.7,13.3,"....."
"35","28","    Wholesale trade","N414RC1",52.8,54.8,58.7,51.3,49.1,54.8,75.6,92.2,103.7,102.2,75.1,"....."
"36","29","    Retail trade","N415RC1",67.3,65.7,60.7,72.6,81.6,88.9,93.4,122.6,133.2,121.6,78.2,"....."
"37","30","    Transportation and warehousing","N417RC1",21.3,16.5,15.2,1.2,-0.1,7.4,14.4,29,42.1,30,11.4,"....."
"38","31","    Information","N502RC1",21.9,12.5,-15.5,-24.4,-3.8,4.9,45.6,81.3,92.4,90.3,84.7,"....."
"39","32","    Other nonfinancial \5\","N420RC1",123.7,133.6,131.8,147.4,153,176.7,225.2,324.3,349.6,343,303.4,"....."
"40","33","Rest of the world","B394RC1",102.8,121.5,145.6,169.7,157.9,165.8,205,239.4,256.8,347.8,377.2,"....."
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
