"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2010 8:53:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government \1\","W022RC1",115.9,123,132.2,142.9,151.2,159.3,170.6,192.8,220,247,267,295.2,325.8,356.3,386.5,436.9,510.2,552.2,600.3,656.3,729.9,846.5,966.9,1076.8,1171.7,1261,1370.9,1464,1540.5,1623.6,1741,1879.5,1984,2149,2229.4,2304,2412.5,2505.7,2581.1,2649.3,2761.9,2906,3093.6,3274.7,3458.6,3653.5,3916.4,4147.9,4424,4740.3
"9","2","General public service","G160021",13.8,17.3,17.8,19,20.1,21.6,23,25.1,26.8,30.2,33.5,38.6,42.3,46.3,53.4,62.7,71,79.9,87.5,98.6,115.1,136.6,166.1,193.7,216.8,251.6,285.7,305.3,318.6,339.1,367.2,395.4,378.6,432.3,434.7,446,475.6,490.9,501.3,510.5,507.1,519.8,505.4,492.8,489.6,511,567.6,605.3,660.3,661.5
"10","3","  Executive and legislative","G160031",4.3,4.5,4.9,5,5.2,5.4,5.6,5.8,5.8,4.7,5.3,6.2,7.5,8.2,8.3,10.4,12.1,13.2,13.4,13.1,14.8,17.4,17.5,20.1,19.9,22.7,26.9,28.7,27.8,28.4,29.4,32.4,-5.1,40.8,42.1,41.8,38.8,43.1,42.1,44.3,46.1,51.7,49.3,58.8,68.2,78.4,92,91.5,102.3,111.3
