"","Table 5#8#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2010 8:58:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Gross government fixed investment \1\","A782RX1",302.7,313.3,336.5,347.5,362.5,382.5,391.6,395.1,392,404.8,417.8,432.1
"9","2","        Federal","A787RX1",75.8,79.5,84.1,82,84.1,93.8,99.9,105.5,110.5,118.5,124,141.4
"10","3","          National defense","A788RX1",46.8,47.5,49.3,50.3,52.7,59.6,65.3,71.1,74.2,79.4,84.3,98.4
"11","4","          Nondefense","A798RX1",29,32,34.8,31.6,31.3,34.2,34.6,34.4,36.3,39.1,39.7,43
"12","5","        State and local","A799RX1",227.1,233.7,252.7,266.6,279.7,289.4,292.2,289.8,281.6,286.4,294,292.3
"13","6","Structures \2\","A760RX1",219.3,219.1,232,239.4,251.1,263,265.9,259,246.5,247.7,255.8,255.4
"14","7","  Federal","A801RX1",22.5,22.6,21.2,17.2,16.4,18.7,20.4,17.7,15.7,16.3,18.9,20.9
"15","8","    National defense","A808RX1",8.7,8.1,7.2,6.9,6.5,7,8.5,7.8,7.5,7.5,9.1,11
"16","9","      New","A814RX1",8.7,8.1,7.2,6.9,6.5,7,8.5,7.8,7.5,7.5,9.1,11
"17","10","        Residential","B816RX1",2.1,1.9,1.7,1.4,1.5,1.5,1.7,1.4,1.6,1.4,1.4,1.3
"18","11","        Industrial","B817RX1",0.7,0.3,0.3,0.4,0.5,0.4,0.9,0.7,0.6,0.5,0.3,0.5
"19","12","        Military facilities \3\","B818RX1",5.9,5.8,5.2,5.1,4.5,5.1,5.8,5.7,5.2,5.5,7.4,9.2
"20","13","      Net purchases of used structures","B819RX1",0,0,0,0,0,0,0,0,0,0,0,0
"21","14","    Nondefense","A830RX1",13.8,14.5,14,10.4,9.8,11.8,11.9,9.9,8.3,8.8,9.8,9.9
"22","15","      New","A831RX1",14.2,13.3,12.8,11.8,11.1,11.7,12,12.1,10.6,9.6,9.7,9
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RX1",2.7,2.6,2.3,2,1.8,1.7,2.1,2.7,2,1.6,1.8,1.1
"25","18","        Commercial","W183RX1",0.9,1.1,1.1,0.9,0.8,0.6,0.7,1.5,1.2,1.1,1,0.8
"26","19","        Health care","W184RX1",1.9,1.4,1.1,1,0.9,1,0.8,0.7,0.8,0.7,0.9,0.9
"27","20","        Educational","W185RX1",0.5,0.4,0.4,0.5,0.6,0.9,0.9,0.8,0.3,0.3,0.3,0.3
"28","21","        Public safety","W186RX1",2.9,2.8,2.5,2.1,1.5,1.6,0.9,0.5,0.3,0.2,0.5,0.6
"29","22","        Amusement and recreation","W187RX1",0.9,0.9,0.8,0.8,0.5,0.5,0.7,0.3,0.2,0.1,0.2,0.2
"30","23","        Transportation","W188RX1",0.5,0.5,0.5,0.5,0.5,0.7,0.4,0.5,0.2,0.2,0.2,0.2
"31","24","        Power","W189RX1",0.1,0.1,0.1,0.1,0.2,0.4,1.3,1,0.8,0.7,0.4,0.6
"32","25","        Highways and streets","W190RX1",0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.6,0.5,0.5,0.5
"33","26","        Conservation and development","W191RX1",2.3,2.3,2.5,2.5,2.7,2.9,2.6,2.6,2.7,3,2.8,2.8
"34","27","        Other \4\","W192RX1",0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,1.6,1.3,1.2,1
"35","28","      Net purchases of used structures","B841RX1",-0.4,1.2,1.2,-1.5,-1.3,0,-0.1,-2.2,-2.3,-0.8,0,0.9
"36","29","  State and local","A842RX1",196.7,196.5,210.9,222.2,234.8,244.2,245.5,241.3,230.8,231.4,236.9,234.6
"37","30","    New","A843RX1",192.5,191.4,205.5,217,233,237.8,238.7,235,225.8,226.4,231,228.7
"38","31","      Residential","W147RX1",6.5,6.3,6.4,5.6,6.3,6.6,6.4,6.4,6.1,4.2,4.8,4.7
"39","32","      Office","W193RX1",15.8,16.9,18,19.6,21.7,23.3,22.5,22.4,20.7,16.5,19.1,20.5
