"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 9:31:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Capital consumption adjustment \1\","Y0004C1",-1.2,-0.9,-0.5,-0.2,-0.2,-0.4,-0.4,-0.4,-0.9,-1,-0.9,-0.9,-1,-1,-0.5,0,0.1,-2.6,-3.4,-3.8,-3.4,-3.2,-3.6,-3.1,-1.9,-1.1,0.4,-0.2,-0.1,-0.4,1.4,1.4,2,5.4,6,7.2,7.6,7.2,7.8,8.2,7.7,6.7,6.9,8.1,7.1,1.7,-5.9,-8.3,-9.1,-13.7,-16.9,-19.8,0.4,12.1,40.4,65.4,92.4,91.5,89.4,92.1,82.5,54.7,32.7,34.4,44.7,47.1,51.6,66.1,81.3,91.4,113.7,107.8,124.9,215.7,207,178,-74.5,-79.4,-91.5
"9","2","    For consistent accounting at historical cost","A1400C1",-0.4,-0.5,-0.4,-0.6,-0.6,-0.5,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,0.1,1,1.5,2.3,2.4,0.2,0.9,1.2,1.6,1.7,2.5,3,3.9,4.6,6,6.8,7.5,7,8,8.7,8.8,11.6,12.3,13,13.7,14.2,15.3,16.5,18.4,18,20.9,23.1,24.3,27.5,31.1,32.5,38.8,42.5,48.5,57.6,90.7,111.4,130.2,146.7,170.8,161.9,158.7,167.7,164.4,147.1,133.8,128.8,139.8,146.5,145.3,153.1,163.3,171.5,188.7,186.9,249.8,338.4,338.5,336.1,136.7,142.4,146.4
"10","3","    For current-cost valuation","A1401C1",-0.8,-0.5,-0.1,0.4,0.4,0.1,0,-0.1,-0.6,-0.6,-0.6,-0.7,-1.1,-2,-2,-2.3,-2.3,-2.8,-4.2,-5,-4.9,-4.8,-6.1,-6.1,-5.7,-5.6,-5.5,-6.9,-7.7,-7.4,-6.7,-7.3,-6.7,-6.1,-6.3,-5.8,-6.1,-7,-7.5,-8.3,-10.7,-11.3,-14,-15,-17.2,-25.8,-37,-40.9,-47.9,-56.3,-65.4,-77.3,-90.3,-99.4,-89.8,-81.3,-78.4,-70.4,-69.3,-75.6,-81.9,-92.4,-101,-94.4,-95.2,-99.3,-93.7,-87,-82,-80.1,-75,-79.1,-124.8,-122.7,-131.5,-158.1,-211.2,-221.8,-237.9
