"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2008 9:53:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Personal consumption expenditures","B002RG3",11.7,11.203,9.997,8.808,8.492,8.884,9.097,9.185,9.52,9.305,9.217,9.293,9.864,11.082,12.094,12.78,13.291,14.247,15.702,16.599,16.474,16.675,17.805,18.169,18.416,18.585,18.676,19.059,19.639,20.117,20.432,20.767,20.985,21.232,21.479,21.786,22.103,22.662,23.237,24.151,25.255,26.448,27.574,28.528,30.081,33.191,35.955,37.948,40.41,43.248,47.059,52.078,56.72,59.859,62.436,64.795,66.936,68.569,70.947,73.755,76.972,80.498,83.419,85.824,87.804,89.654,91.577,93.547,95.124,95.978,97.575,100,102.094,103.542,105.597,108.392,111.581,114.675,117.659
"9","2","Durable goods","B003RG3",25.781,24.249,21.706,19.232,18.656,19.668,19.557,19.68,20.484,20.547,20.338,20.527,22.002,25.646,27.907,31.267,32.954,34.312,37.244,39.134,39.608,39.828,42.471,42.874,42.531,41.596,41.439,42.453,44.082,44.921,45.662,45.444,45.551,45.755,45.915,46.142,45.721,45.517,46.228,47.749,49.067,50.148,51.975,52.531,53.301,56.676,61.844,65.278,68.129,72.038,76.83,83.277,88.879,92.358,94.181,95.55,96.62,97.685,100.465,101.921,103.717,104.561,106.08,106.756,107.84,109.978,110.672,109.507,107.068,104.152,101.626,100,98.114,95.766,92.366,90.696,89.984,88.772,87.154
"10","3","  Motor vehicles and parts","B165RG3",11.694,11.267,10.51,9.863,9.246,9.682,9.54,9.585,9.826,10.216,9.981,9.997,10.867,13.918,14.658,15.744,15.998,20.016,21.996,23.7,24.538,24.608,25.865,26.937,26.431,25.52,25.806,26.977,28.679,29.763,31.24,30.669,30.836,31.326,31.572,31.825,31.567,31.364,31.803,32.9,33.581,34.506,36.304,36.445,36.672,39.029,42.909,46.14,48.862,52.237,56.153,60.367,65.008,68.075,70.144,72.16,73.833,75.784,79.128,80.403,82.766,83.09,85.386,86.981,90.263,94.307,97.953,99.834,100.153,99.156,99.557,100,100.505,100.062,97.657,96.898,98.508,99.099,98.589
"11","4","    New autos (70)","B136RG3",18.188,17.663,16.857,15.813,14.285,15.129,14.888,15.008,15.29,16.054,15.65,15.691,16.86,20.105,21.368,24.017,18.736,22.09,25.059,27.406,30.022,30.223,31.512,34.407,34.692,35.254,31.874,33.565,35.496,36.783,38.383,37.887,37.895,37.742,37.516,37.418,36.583,35.906,36.244,37.265,37.85,38.926,40.558,40.254,40.266,42.503,46.322,49.207,51.8,55.722,60.02,64.702,68.495,71.188,72.958,74.923,77.223,80.524,83.272,84.765,86.374,87.519,90.618,92.681,94.883,97.912,99.949,101.497,101.595,100.817,99.99,100,99.525,98.365,96.563,95.842,96.752,97.619,97.214
"12","5","    Net purchases of used autos (71)","B137RG3",0.279,0.299,0.399,0.498,0.478,0.419,0.319,0.259,0.279,0.379,0.359,0.598,1.256,2.333,2.512,2.672,2.911,6.161,6.596,7.108,5.642,5.367,5.528,4.543,3.496,1.09,6.857,7.021,8.043,8.635,9.722,9.363,10.016,11.389,12.275,13.207,13.625,14.119,14.503,15.448,15.95,16.246,17.883,18.89,20.307,22.036,25.437,29.365,31.639,33.567,34.799,34.911,41.794,46.477,53.166,58.495,58.622,58.33,68.346,68.895,73.97,69.129,70.014,71.931,79.324,87.603,95.644,98.841,99.438,97.228,98.73,100,101.619,103.935,97.441,96.87,100.683,101.852,100.575
"13","6","    Other motor vehicles (72)","BOAURG3",14.316,13.945,13.266,12.437,11.269,11.852,11.686,11.772,12.014,12.589,12.268,12.283,13.285,14.108,14.93,15.753,16.575,17.398,19.45,21.222,23.22,23.425,24.4,26.647,26.925,27.243,24.724,25.967,27.532,28.494,29.725,29.525,29.47,29.448,29.355,29.367,28.875,28.637,29.027,29.953,30.696,30.537,33.254,33.627,34.166,36.891,40.46,42.831,45.285,48.645,52.263,56.428,60.979,64.037,66.148,69.161,71.64,73.52,74.858,76.173,78.326,80.264,82.989,84.26,88.112,92.489,96.385,98.604,99.246,98.607,99.568,100,100.173,98.797,96.433,95.348,96.546,95.963,94.557
"14","7","    Tires, tubes, accessories, and other parts (73)","BTBARG3",40.55,37.73,32.253,29.705,30.31,31.199,31.456,31.607,33.261,32.606,32.178,30.475,30.915,35.425,36.469,39.027,39.086,40.005,41.452,42.275,42.172,43.338,48.964,48.875,48.208,47.165,47.285,47.882,48.297,48.437,48.124,46.657,45.293,45.391,46.129,46.159,47.911,48.907,50.105,51.944,53.625,56.186,58.254,58.642,57.122,60.981,66.506,71.224,76.026,79.564,87.322,97.055,101.976,104.466,101.506,97.648,97.591,97.351,98.163,99.693,101.77,102.207,103.128,103.768,102.046,101.459,101.797,101.625,101.068,100.194,99.668,100,102.493,104.25,105.199,105.704,108.194,112.558,116.372
"15","8","  Furniture and household equipment","B166RG3",54.675,49.99,42.63,36.082,35.662,38.432,38.584,38.827,41.271,40.65,40.294,40.638,43.28,49.862,56.1,64.119,69.122,69.193,74.819,78.148,77.615,78.709,85.154,83.65,83.378,82.338,81.087,81.676,83.361,83.504,82.861,83.325,83.149,82.493,82.232,82.064,81.096,80.847,82.044,84.528,86.91,88.509,90.041,91.198,92.847,98.807,107.02,110.886,113.95,118.952,125.399,133.754,141.937,147.097,147.743,147.266,146.257,144.565,144.792,144.64,143.973,143.176,141.812,139.835,137.072,136.108,131.913,125.625,118.446,111.631,104.679,100,94.059,88.688,83.339,79.919,76.848,73.331,69.924
"16","9","    Furniture, including mattresses and bedsprings (29)","BFNRRG3",15.406,14.95,13.172,10.712,11.077,12.033,11.803,12.214,13.354,13.037,12.807,12.989,14.357,16.909,20.1,24.155,27.21,27.256,28.392,30.126,29.215,29.671,33.135,33.181,33.136,33.272,33.044,33.501,34.318,34.323,34.371,34.43,34.789,34.959,35.103,35.15,35.366,36.252,37.602,39.538,41.799,43.477,44.823,45.597,47.158,51.174,55.329,57.272,59.442,62.602,66.778,72.369,77.072,80.32,82.319,83.962,86.198,88.123,89.657,91.696,91.362,91.921,91.954,94.213,95.797,98.457,99.564,100.921,100.815,100.618,100.363,100,98.326,96.313,95.03,94.723,93.699,94.486,93.641
"17","10","    Kitchen and other household appliances (30)","BAPPRG3",58.791,56.174,51.91,44.988,42.363,42.75,42.072,42.698,44.236,44.403,43.83,42.259,44.412,51.136,56.751,60.499,63.912,63.778,70.145,74.094,71.937,71.04,76.122,76.065,75.541,74.357,71.933,68.62,67.674,66.023,65.858,64.961,63.635,62.166,60.988,60.307,58.891,57.905,57.951,59.174,60.475,61.968,63.242,63.571,63.635,66.891,74.29,78.414,81.264,85.415,90.067,94.56,100.042,106.18,109.272,109.484,107.073,106.548,107.377,107.575,107.425,106.687,105.596,104.929,105.131,106.334,105.422,105.192,104.716,103.413,101.062,100,99.163,97.968,94.87,91.515,93.89,96.085,99.047
"18","11","    China, glassware, tableware, and utensils (31)","BCHNRG3",12.26,11.906,10.803,10.091,9.857,10.919,11.906,11.195,11.353,11.352,11.353,11.352,11.591,13.047,14.664,16.517,17.146,17.03,17.462,17.778,18.411,19.081,20.891,21.408,21.959,22.273,22.704,24.598,25.942,26.685,26.666,27.503,27.844,28.561,29.517,30.061,30.05,30.688,31.584,34.04,35.458,36.574,37.654,39.322,41.562,46.951,54.951,58.44,60.892,65.288,70.668,78.019,85.831,89.424,91.102,91.288,91.667,94.141,96.447,97.178,98.644,100.587,102.911,104.959,104.388,105.774,103.692,102.481,101.82,103.641,101.184,100,97.3,93.846,90.013,89.744,89.157,85.882,84.472
"19","12","    Video and audio goods, including musical instruments, and computer goods (91)","BRADRG3",781.321,598.196,421.132,309.394,280.519,302.272,297.496,294.794,301.669,291.691,280.206,283.373,291.828,349.004,352.525,380.506,380.436,384.462,474.072,504.719,532.689,529.444,524.329,482.04,466.56,441.604,419.022,420.214,435.701,444.174,422.95,422.393,414.298,400.041,393.417,386.513,371.505,353.314,348.16,348.274,349.14,350.385,353.011,354.539,353.714,361.561,374.117,378.773,379.482,385.835,396.415,403.691,412.226,409.697,389.21,371.463,351.537,327.941,317.305,305.722,297.561,284.817,272.388,253.741,235.92,224.553,205.948,179.097,152.723,129.708,111.513,100,87.28,77.13,68.685,62.892,56.823,51.054,45.943
"20","13","      Video and audio goods, including musical instruments (92)","BVAMRG3",329.41,252.204,177.552,130.442,118.269,127.44,125.426,124.287,127.185,122.979,118.137,119.472,123.037,147.142,148.627,160.424,160.394,162.092,199.872,212.793,224.585,223.217,221.061,203.231,196.705,186.183,176.662,177.165,183.694,187.267,178.319,178.084,174.671,168.66,165.867,162.957,156.629,148.959,146.787,146.835,147.2,147.725,148.832,149.476,149.128,152.436,157.73,159.693,159.992,162.677,167.174,170.818,174.895,175.393,171.197,164.868,156.411,149.606,146.238,142.157,139.607,137.088,135.36,133.308,130.967,128.397,124.616,120.322,115.799,110.946,105.251,100,94.876,89.237,83.625,78.188,72.719,66.8,59.788
"21","14","      Computers, peripherals, and software (93)","BCPTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12100.68,12100.68,11785.406,7942.22,6750.171,5433.234,3847.854,3381.394,3118.362,2349.825,2122.489,1942.913,1804.034,1516.154,1269.035,963.812,743.502,649.184,516.498,358.262,243.623,168.356,122.772,100,75.742,60.151,49.201,43.556,37.6,32.614,29.599
"22","15","    Other durable house furnishings (32)","BODHRG3",20.552,19.713,17.37,15.266,15.66,17.309,17.226,17.522,19.29,18.853,19.097,19.904,21.405,23.952,26.807,30.209,32.431,32.524,34.511,35.126,34.612,36.201,40.643,39.465,39.762,39.52,39.954,41.238,42.411,42.747,42.908,43.988,44.404,44.378,44.349,44.629,44.466,44.935,46.089,47.325,48.452,48.448,48.674,49.211,50.312,53.883,58.026,60.032,61.878,64.548,68.088,74.526,80.643,85.169,87.172,88.799,90.83,91.354,92.914,94.658,96.02,98.408,100.002,101.038,101.323,101.779,101.737,101.933,102.253,102.547,101.036,100,98.485,96.875,93.013,91.122,90.899,88.243,85.698
"23","16","  Other","B167RG3",22.965,22.674,22.143,20.745,20.113,19.864,19.529,19.742,19.808,19.552,19.785,20.403,21.562,24.137,24.57,26.933,27.618,27.673,29.766,30.198,30.604,30.098,31.968,32.384,32.677,32.171,31.792,32.206,32.83,33.429,33.256,33.547,33.763,33.98,34.286,34.828,34.672,34.606,35.398,36.661,38.387,39.017,40.69,41.751,43.061,45.591,49.751,52.315,54.337,57.343,61.456,70.278,74.455,76.459,78.534,79.769,81.084,82.348,85.901,89.596,92.577,96.86,99.967,101.841,102.439,103.921,104.584,104.285,103.216,102.486,100.841,100,100.337,99.541,97.926,98.044,97.67,98.46,99.421
"24","17","    Ophthalmic products and orthopedic appliances (46)","BOPTRG3",16.239,16.085,16.048,15.289,14.64,14.665,14.67,14.596,14.673,14.675,14.858,14.971,15.034,15.141,15.652,16.004,16.202,16.549,17.181,17.883,18.474,18.631,19.532,19.752,19.491,19.272,19.557,19.847,20.639,20.825,21.067,21.577,22.286,22.634,22.791,23.045,23.516,24.189,25.347,26.203,27.323,28.8,30.525,31.688,32.857,35.135,37.964,40.3,42.647,44.955,47.385,51.7,55.187,57.637,59.766,61.613,63.892,65.928,69.718,73.224,75.599,78.787,81.797,85.158,87.338,89.024,91.616,93.071,94.498,96.245,97.189,100,103.175,103.849,104.125,106.366,109.012,112.261,114.593
"25","18","    Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","BWHGRG3",33.255,33.423,31.772,28.26,26.823,26.922,26.427,25.054,25.993,26.788,26.271,27.215,27.48,30.909,28.374,32.412,33.474,34.651,38.333,39.372,39.301,38.026,41.46,41.614,41.399,40.871,40.071,40.861,41.727,42.953,41.772,42.383,42.564,42.94,43.359,43.443,43.205,43.714,44.73,46.208,47.761,47.119,49.374,50.049,51.459,55.14,59.382,61.731,64.134,67.034,70.818,76.813,81.191,83.953,85.015,86.581,87.488,87.715,89.25,92.369,94.916,97.719,100.581,101.893,101.924,103.766,104.687,104.632,103.98,102.887,101.078,100,99.173,97.292,96.051,95.108,94.664,94.379,92.314
"26","19","    Jewelry and watches (18)","BJRYRG3",30.097,29.86,29.741,27.891,27.914,27.029,25.962,27.57,26.801,25.058,25.913,27.499,31.205,38.058,39.107,44.498,45.456,44.005,46.896,45.418,45.156,43.801,46.872,46.569,47.009,45.513,44.164,44.462,43.758,43.204,43.219,43.205,43.18,43.206,43.455,46.127,44.838,42.741,43.259,44.601,47.128,47.942,48.855,50.057,51.826,54.812,58.746,60.674,61.541,64.81,70.714,88.377,91.966,89.812,91.263,91.884,90.962,91.813,98.7,104.048,107.964,114.413,117.983,119.397,118.528,119.28,117.946,113.717,109.295,105.277,102.693,100,99.949,97.254,93.921,94.49,93.137,95.391,100.089
"27","20","    Books and maps (87)","BBKSRG3",9.136,8.819,8.404,8.069,7.654,7.579,7.58,7.653,7.774,7.896,7.969,7.942,8.043,8.069,8.674,8.918,9.258,9.597,10.372,11.345,12.096,12.269,12.56,13.361,13.947,14.093,14.36,14.553,15.6,16.594,16.864,16.954,17.084,17.198,17.441,16.978,17.332,17.908,18.408,19.359,20.591,21.745,23.045,24.176,24.884,25.362,30.1,34.034,37.207,40.649,43.9,48.229,53.285,59.327,63.675,64.968,69.657,72.82,74.345,76.702,79.501,83.959,86.803,88.934,91.219,92.973,94.562,98.037,99.187,101.927,100.118,100,101.153,104.173,103.35,103.563,103.152,102.493,103.356
"28","21","Nondurable goods","B004RG3",12.815,12.139,10.382,8.879,8.822,9.745,10.101,10.131,10.486,9.969,9.803,9.892,10.729,12.491,13.958,14.744,15.373,16.772,18.939,20.06,19.401,19.482,21.099,21.331,21.235,21.303,21.174,21.468,22.1,22.633,22.765,23.089,23.227,23.412,23.683,23.986,24.423,25.232,25.83,26.82,28.062,29.446,30.359,31.373,33.838,38.702,41.735,43.346,45.911,48.985,54.148,60.449,65.13,66.955,68.386,70.004,71.543,71.273,73.731,76.206,79.842,84.226,86.779,88.105,88.973,89.605,90.629,92.567,93.835,93.821,96.173,100,101.531,102.089,104.145,107.626,111.606,114.984,118.407
"29","22","  Food","B168RG3",11.463,10.726,8.753,7.196,7.19,8.037,8.666,8.678,8.95,8.315,8.213,8.27,9.109,10.815,12.343,12.708,13.104,14.583,16.721,17.533,16.866,16.994,18.626,19.056,18.728,18.767,18.491,18.641,19.216,19.944,19.949,20.215,20.39,20.636,20.92,21.327,21.753,22.669,23.022,23.864,25.031,26.549,27.384,28.61,31.742,36.234,39.106,40.394,42.92,46.832,51.497,55.992,60.254,62.372,63.699,65.827,67.164,69.105,71.395,73.805,77.477,81.183,83.937,84.948,86.249,87.679,89.573,92.09,94.197,95.868,97.711,100,102.943,104.951,106.985,110.269,112.743,115.344,119.682
