"","Table 6#14D# Inventory Valuation Adjustment to Nonfarm Incomes b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 9:28:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Inventory valuation adjustment to nonfarm incomes","A1830C0",21810,474,-15684,12732,-2903,-15326,-48639,-42685,-43323,-57917
"9","2","Corporate business","B058RC0",20203,950,-14077,11317,-2247,-13589,-43092,-37805,-39494,-51159
"10","3","  Mining","N1831C0",180,-138,-172,53,-199,-289,-828,-1950,146,-1170
"11","4","  Utilities","N530RC0",137,-152,-469,593,-328,-112,-444,-933,824,-208
"12","5","  Construction","N1832C0",55,-176,71,46,-198,-481,-1498,-787,-708,-378
"13","6","  Manufacturing","N672RC0",10360,2453,-9037,4947,33,-7413,-22509,-18390,-22082,-22424
"14","7","    Durable goods","N674RC0",7052,2376,-3073,3618,936,-1907,-14390,-7128,-16671,-10167
"15","8","    Nondurable goods","N673RC0",3308,77,-5964,1329,-903,-5506,-8119,-11262,-5411,-12257
"16","9","  Wholesale trade","N526RC0",7344,400,-1979,3978,-2313,-4365,-10097,-7674,-11593,-16748
"17","10","  Retail trade","N527RC0",1470,-1070,-1741,1033,496,-667,-6894,-6167,-4429,-7527
"18","11","  Transportation and warehousing","N676RC0",222,-393,-249,483,-363,-148,-380,-588,8,-906
"19","12","  Information","N529RC0",119,299,137,451,770,470,379,-120,-415,-276
"20","13","  Other \1\","N1833C0",316,-273,-638,-267,-145,-584,-821,-1196,-1245,-1522
"21","14","Noncorporate business","B179RC0",1607,-476,-1607,1415,-656,-1737,-5547,-4880,-3829,-6758
"22","15","  Mining","N1834C0",27,-84,-134,157,-194,-137,-624,-435,256,-435
"23","16","  Construction","N1835C0",29,-79,31,20,-90,-194,-689,-374,-381,-202
"24","17","  Manufacturing","N1836C0",538,-45,-784,391,-180,-804,-1877,-1500,-1627,-2242
"25","18","    Durable goods","N1837C0",245,58,-187,189,-25,-242,-1028,-451,-1023,-761
"26","19","    Nondurable goods","N1838C0",293,-103,-597,202,-155,-562,-849,-1049,-604,-1481
"27","20","  Wholesale trade","N1839C0",475,1,-162,264,-202,-397,-891,-766,-1173,-1824
"28","21","  Retail trade","N1840C0",333,-138,-264,270,55,-57,-1065,-961,-646,-1091
"29","22","  Other \2\","N1841C0",203,-130,-293,313,-45,-148,-401,-844,-258,-964
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of forestry, fishing, and related activities; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and rental and leasing; professional, scientific, and technical services; management of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","companies and enterprises; administrative and waste management services; educational services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","health care and social assistance; arts, entertainment, and recreation; accommodation and food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","services; and other services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Consists of forestry, fishing, and related activities; utilities; transportation and warehousing; information;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","finance and insurance; real estate and rental and leasing; professional, scientific, and technical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","services; management of companies and enterprises; administrative and waste management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","recreation; accommodation and food services; and other services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
