"","Table 6#19D# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 9:29:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Corporate profits after tax","A055RC0",469960,517242,508226,503780,575819,664793,897314,1206881,1404787,1435913
"9","2","Domestic industries","A3202C0",367010,395729,362523,334083,420016,499328,703921,967439,1137278,1091249
"10","3","  Agriculture, forestry, fishing, and hunting","N3203C0",185,1397,1109,981,177,1537,2358,3608,3213,3203
"11","4","    Farms \1\","N3204C0",-436,492,405,462,-615,571,1495,2292,NA,NA
"12","5","    Forestry, fishing, and related activities","N3205C0",621,905,704,519,792,966,864,1316,NA,NA
"13","6","  Mining","N3206C0",3008,2341,12259,13204,3998,13217,19223,32562,43151,41044
"14","7","    Oil and gas extraction","N3207C0",1514,3525,11799,11608,5524,13761,17688,24836,NA,NA
"15","8","    Mining, except oil and gas","N3208C0",891,1063,864,419,393,468,1350,5950,NA,NA
"16","9","    Support activities for mining","N3209C0",603,-2247,-404,1177,-1919,-1012,184,1776,NA,NA
"17","10","  Utilities","N3210C0",18938,17693,13786,15325,5834,7482,13722,20062,41721,42782
"18","11","  Construction","N3211C0",30911,36205,36972,39274,42270,33604,47935,72218,75762,2968
"19","12","  Manufacturing","N3212C0",79189,75349,75647,-592,8257,26873,95632,143006,196213,209211
"20","13","    Durable goods","N3213C0",40807,34725,26585,-40620,-22190,-20278,25527,54833,82377,90037
"21","14","      Wood products","N3214C0",2976,4453,2374,1768,1525,2445,4688,4770,NA,NA
"22","15","      Nonmetallic mineral products","N3215C0",4984,5757,4365,2800,2451,2272,3954,6590,NA,NA
"23","16","      Primary metals","N3216C0",3291,739,281,-3409,-496,-1933,8470,10075,NA,NA
"24","17","      Fabricated metal products","N3217C0",12509,12561,12517,7285,7001,6273,11933,14777,NA,NA
"25","18","      Machinery","N3218C0",10250,8251,5548,1078,501,580,7097,10278,NA,NA
