"","Table 6#20D# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 9:29:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Net corporate dividends","B056RC0",351623,337368,377941,370918,399186,424741,539471,577353,702081,788660
"9","2","Domestic industries","A3302C0",309162,295671,348444,330056,351334,392766,491694,316492,628805,671085
"10","3","  Agriculture, forestry, fishing, and hunting","N3303C0",2241,2818,2703,2959,2848,3194,3843,4351,6396,6875
"11","4","    Farms \1\","N3304C0",1446,1941,1821,1946,1997,2116,2761,2984,NA,NA
"12","5","    Forestry, fishing, and related activities","N3305C0",795,877,882,1013,851,1078,1082,1367,NA,NA
"13","6","  Mining","N3306C0",4242,2402,4381,4308,3017,4754,6397,4160,17092,17624
"14","7","    Oil and gas extraction","N3307C0",1866,1195,2618,3250,2497,3051,4696,1296,NA,NA
"15","8","    Mining, except oil and gas","N3308C0",1092,972,1599,831,652,1362,1445,1553,NA,NA
"16","9","    Support activities for mining","N3309C0",1284,235,164,227,-132,341,256,1311,NA,NA
"17","10","  Utilities","N3310C0",13886,13107,12476,10569,10843,9603,10618,13291,17589,15628
"18","11","  Construction","N3311C0",14584,17555,20190,21167,23423,22431,27016,36364,43310,33369
"19","12","  Manufacturing","N3312C0",82805,65860,74833,71010,78751,94094,113675,-68638,147190,140547
"20","13","    Durable goods","N3313C0",30767,25679,29438,27320,26077,31312,36383,-29918,48105,45556
"21","14","      Wood products","N3314C0",1467,2980,3098,1331,1278,1261,1785,1610,NA,NA
"22","15","      Nonmetallic mineral products","N3315C0",1042,1028,888,926,967,1495,1345,811,NA,NA
"23","16","      Primary metals","N3316C0",740,1328,827,801,772,574,2167,2607,NA,NA
"24","17","      Fabricated metal products","N3317C0",5956,6138,5828,4919,4815,7112,5596,3624,NA,NA
"25","18","      Machinery","N3318C0",10,3386,2484,2716,2452,2435,3237,925,NA,NA
