"","Table 6#2D# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 9:27:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Compensation of employees","A033RC0",5019383,5357103,5782665,5942085,6091188,6325381,6656396,7030778,7433819,7812340
"9","2","Domestic industries","A4002C0",5023946,5362316,5787257,5947248,6096629,6331085,6662544,7037185,7440435,7819371
"10","3","  Private industries","A4003C0",4107706,4407009,4776446,4882424,4957597,5118712,5382199,5692444,6035337,6342033
"11","4","    Agriculture, forestry, fishing, and hunting","N4004C0",31214,32960,34641,36087,36445,36080,38723,39968,40767,42842
"12","5","      Farms \1\","N4005C0",18212,18906,19719,20878,20792,19984,21981,22323,22504,23821
"13","6","      Forestry, fishing, and related activities","N4006C0",13002,14054,14922,15210,15654,16096,16742,17645,18263,19022
"14","7","    Mining","N4007C0",34606,33444,35981,38836,37736,39426,43982,49425,57635,64168
"15","8","      Oil and gas extraction","N4008C0",12198,12285,13418,14129,14209,14941,16954,18353,21404,23176
"16","9","      Mining, except oil and gas","N4009C0",13371,13214,13078,13385,12961,13166,14360,15194,16234,16930
"17","10","      Support activities for mining","N4010C0",9037,7946,9484,11322,10566,11320,12668,15878,19996,24062
"18","11","    Utilities","N4011C0",41181,42629,46341,48412,51215,51765,57449,55701,56071,59774
"19","12","    Construction","N4012C0",254268,282763,309187,327586,332734,341009,356256,390651,424242,442817
"20","13","    Manufacturing","N4013C0",825331,854192,918856,876811,874315,888587,902691,908453,953123,968925
"21","14","      Durable goods","N4014C0",546233,570351,621216,584238,570836,583608,588392,598038,628529,641166
"22","15","        Wood products","N4015C0",20305,21432,22172,21348,21471,21614,23177,24759,24859,23727
"23","16","        Nonmetallic mineral products","N4016C0",22599,23795,25788,25672,25482,25407,27191,28100,29055,29408
"24","17","        Primary metals","N4017C0",33039,33566,34800,32239,29624,29037,31873,31520,32965,33770
"25","18","        Fabricated metal products","N4018C0",73454,75003,80339,77349,75035,73985,77221,81552,86174,90054
