"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 31, 2002  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2002 7:59:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","    Current receipts","1","A073RC",3.7,2.9,1.9,1.6,2.6,3.4,3.7,4.6,6.6,6,6.3,8.2,14.9,22.3,38.5,40.1,41.5,39.5,42.8,42.4,37.9,48.8,62.9,65.8,68.6,62.5,71.1,75.8,79.3,76,87,92.8,94.4,102.3,110.2,110.2,119.3,136.3,144.9,168.5,190.1,184.3,189.8,217.5,248.5,277.3,276.1,318.9,359.9,417.3,478.3,522.8,605.6,599.5,623.9,688.1,747.4,786.4,870.5,928.9,1010.3,1055.7,1072.3,1121.3,1197.3,1293.7,1383.7,1499.1,1625.5,1749.7,1867.2,2033.9,2008.4
"9","Personal tax and nontax receipts \1\","2","A074RC",1.2,1.1,0.6,0.3,0.4,0.5,0.6,0.7,1.3,1.3,0.9,1,1.6,4.2,16.1,17,18.7,16.4,18.8,18.1,15.4,17.5,25.4,30.2,31.4,28.1,30.5,34,36,35.5,38.5,41.9,42.7,46.6,49.2,46,51.1,58.7,64.4,76.5,91.8,88.9,85.9,102.9,109.7,126.6,120.9,141.4,162.3,189.1,224.8,250.2,290.8,295.7,287.2,302.5,337.2,351.4,394.5,405.7,454.6,473.6,465.2,479.4,509.9,547.8,591.8,670,751.9,834.9,903.3,1009,1010.9
"10","  Income taxes","3","B231RC",1.2,1,0.5,0.3,0.4,0.4,0.6,0.7,1.3,1.2,0.9,1,1.6,4,15.9,16.8,18.5,16.4,18.8,18.1,15.4,17.4,25.4,30.2,31.3,28.1,30.5,33.9,36,35.5,38.5,41.8,42.7,46.5,49.1,46,51.1,58.6,64.4,76.4,91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.2,162.2,188.9,224.6,250,290.6,295,286.2,301.4,336,350.1,392.5,402.9,451.5,470.2,461.3,475.3,505.4,542.5,585.6,662.9,743.9,826.4,894,999,1000.3
"11","  Nontaxes","4","B233RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,4.5,5.3,6.2,7.1,8,8.5,9.3,10,10.6
"12","Corporate profits tax accruals","5","B075RC",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.7,11.8,9.6,17.2,21.7,18.6,19.5,16.9,21.1,20.9,20.4,18,22.5,21.4,21.5,22.5,24.6,26.1,28.9,31.4,30,36.1,36.1,30.6,33.5,36.6,43.3,45.1,43.6,54.6,61.6,71.4,74.4,70.3,65.7,49,61.3,75.2,76.3,83.8,103.2,111.1,117.2,118.1,109.9,118.8,138.5,156.7,179.3,190.6,203,204.2,213,223.8,170.2
"13","  Federal Reserve banks","6","B677RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1
"14","  Other","7","A678RC",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.6,11.6,9.4,17,21.4,18.3,19.1,16.6,20.8,20.5,19.9,17.4,21.6,20.6,20.8,21.7,23.7,24.6,27.6,29.8,28.1,33.6,33,27.1,30.1,33.4,38.9,39.6,38.2,48.7,55.7,64.4,65.1,58.6,51.7,33.8,47.1,59.2,58.5,66,85.4,93.8,95.6,94.5,89.2,102,122.5,136.3,155.9,170.5,182.3,177.7,187.6,198.5,143.2
"15","Indirect business tax and nontax accruals \2\","8","A076RC",1.2,1,0.9,0.9,1.6,2.2,2.2,2.3,2.4,2.3,2.4,2.7,3.6,4.1,5,6.3,7.2,7.9,7.9,8.1,8.2,8.9,9.4,10.4,11,9.8,10.7,11.3,11.9,11.6,12.6,13.5,13.7,14.7,15.4,16.3,16.6,15.7,16.5,18.2,19.2,19.5,20.5,20.1,21.5,22.1,24.2,23.8,25.6,28.9,30.1,39.7,57.3,49.9,53.5,57.6,57.5,53.7,56.8,58.9,62.3,63.9,78.5,81.3,85.3,95.2,93,95.1,93.7,97.4,100.2,109.1,110.3
"16","  Excise taxes","9","B234RC",0.6,0.5,0.5,0.6,1.2,1.8,1.7,1.7,1.8,1.7,1.8,2.1,2.8,3.4,4.1,5.2,6.2,7.2,7.2,7.4,7.5,8.2,8.6,9.6,10.2,9,9.8,10.3,10.8,10.4,11.2,12,12.2,13,13.5,14.2,13.9,12.6,13.3,14.7,15.5,15.7,16,15.6,16.7,16.5,16.4,17,17.5,18.5,18.5,26.9,41.7,33,35.9,35.6,33.7,30.7,30.3,32.5,33.3,33.7,44.9,45.2,46.4,55.2,57.8,55.7,57.8,61.3,64.2,67.3,66.3
"17","  Customs duties","10","B235RC",0.6,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.8,1,1.1,1,1.2,1.2,1.3,1.6,1.9,1.9,2.3,2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6
"18","  Nontaxes","11","B236RC",0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.9,2,2.2,2.7,3.3,4.1,5.6,7,8.3,8.5,10.1,11.6,9.3,11.1,10,11.4,12.7,16.8,17.8,19,18.5,15.3,20.2,16.3,16.5,16.8,20.7,23.4
