"","Table 1#4# Real Gross Domestic Product by Major Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 31, 2002  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2002 7:51:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","    Gross domestic product","1","A191RX",822.2,751.5,703.6,611.8,603.3,668.3,728.3,822.5,865.8,835.6,903.5,980.7,1148.8,1360,1583.7,1714.1,1693.3,1505.5,1495.1,1560,1550.9,1686.6,1815.1,1887.3,1973.9,1960.5,2099.5,2141.1,2183.9,2162.8,2319,2376.7,2432,2578.9,2690.4,2846.5,3028.5,3227.5,3308.3,3466.1,3571.4,3578,3697.7,3898.4,4123.4,4099,4084.4,4311.7,4511.8,4760.6,4912.1,4900.9,5021,4919.3,5132.3,5505.2,5717.1,5912.4,6113.3,6368.4,6591.8,6707.9,6676.4,6880,7062.6,7347.7,7543.8,7813.2,8159.5,8508.9,8859,9191.4,9214.5
"9","  Final sales of domestic product","2","A190RX",830.9,774.2,729.5,646.5,626.2,685.2,728.4,823.8,859.3,846.7,909.7,969.4,1125.7,1359.5,1604.8,1737.3,1721.4,1483.3,1517,1544.8,1580.5,1672.4,1789.2,1887,1979.7,1984.3,2093.9,2141.9,2196.5,2179.3,2317.4,2378.5,2435.5,2569.5,2683.6,2844.1,3008.5,3191.1,3288.2,3450,3555.9,3588.6,3688.1,3887.7,4094.3,4080.7,4118.5,4288.8,4478.8,4722.9,4894.4,4928.1,4989.5,4954.9,5154.5,5427.9,5698.8,5912.6,6088.8,6352.6,6565.4,6695.6,6681.5,6867.7,7043.8,7285.8,7512.2,7783.2,8095.2,8431.8,8793.9,9121.1,9258.4
"10","  Change in private inventories","3","A014RX",8.1,-4.8,-8.7,-20.8,-11,-5.9,8.1,6.1,13.6,-2,0.7,15.5,24.6,10,-4.3,-3.5,-8.8,24.5,-4.7,20.6,-10.1,17.7,24.7,10.8,6.6,-6.2,14.6,10.8,3,0,12.1,10.9,9.5,19.6,18.4,15.1,30.6,42.8,31.7,28.4,27.4,4.4,23.9,23.7,35.6,25,-9.4,32.5,40.8,44.1,26.1,-10.5,37.9,-15.6,-9.7,76.1,27.1,9.6,29.6,18.4,29.6,16.5,-1,17.1,20,66.8,30.4,30,63.8,76.7,62.8,65,-61.4
