"","Table 6#10B# Employer Contributions for Social Insurance by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2002 8:21:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","      Employer contributions for social insurance","1","B039RC0B",3004,3349,3373,4094,4143,4210,4612,5174,5668,6368,6349,7855,9250,9610,11182,12405,12632,13093,16846,18019,19950,22754,23839,26446,31157,39783,44694,46724,54398,61104,71528,82587,88940,103610,109769,119882,139038,147734,157870,166260
"9","Domestic industries","2","B4802C0B",3004,3350,3370,4094,4143,4208,4608,5169,5668,6368,6349,7855,9250,9610,11182,12405,12632,13093,16846,18019,19950,22754,23839,26446,31157,39783,44694,46724,54398,61104,71528,82587,88940,103610,109769,119882,139038,147734,157870,166260
"10","  Private industries","3","B4803C0B",2464,2485,3225,3867,3906,3999,4331,4792,5306,5835,5649,7093,8391,8670,10179,11236,11384,11808,15118,15908,17481,19818,20461,22473,26698,34561,38682,39528,46371,52601,62211,72029,77325,89953,95166,103482,121078,128042,136371,143483
"11","    Agriculture, forestry, and fishing","4","B4804C0B",5,5,8,19,21,22,28,42,45,50,63,73,89,96,107,124,130,137,167,180,193,216,228,257,288,375,445,481,562,597,650,717,819,888,909,946,1114,1195,1216,1410
"12","    Mining","5","B4805C0B",72,64,82,97,97,93,97,110,123,129,113,131,146,142,155,167,160,166,210,213,225,254,268,287,325,422,529,631,693,806,992,1207,1451,1935,2254,2064,2411,2377,2097,1984
"13","    Construction","6","B4806C0B",212,210,282,351,358,373,419,448,503,542,496,616,703,739,865,969,1008,1072,1328,1353,1493,1709,1765,1963,2322,3043,3228,3119,3560,3998,4903,5843,6050,6671,6631,7152,8636,9494,10217,10700
"14","    Manufacturing","7","B4807C0B",1020,992,1347,1676,1678,1735,1815,2039,2205,2405,2289,2976,3505,3559,4214,4588,4610,4716,6187,6365,6908,7760,7621,8094,9667,12573,14031,13628,16074,18506,21876,24706,25534,29301,29777,32173,37624,38731,39888,40324
"15","      Durable goods","8","B4808C0B",583,549,728,963,983,1024,1056,1211,1331,1455,1353,1821,2155,2147,2573,2803,2832,2900,3885,3966,4301,4835,4648,4876,5961,7895,8841,8458,10029,11814,14160,16083,16302,18733,18699,20160,24032,24942,25463,25414
"16","      Nondurable goods","9","B4809C0B",437,443,619,713,695,711,759,828,874,950,936,1155,1350,1412,1641,1785,1778,1816,2302,2399,2607,2925,2973,3218,3706,4678,5190,5170,6045,6692,7716,8623,9232,10568,11078,12013,13592,13789,14425,14910
"17","    Transportation and public utilities","10","B4810C0B",479,479,543,602,617,612,616,676,768,826,759,920,1037,1024,1146,1213,1225,1272,1569,1672,1852,2034,2167,2328,2709,3472,4350,4439,4992,5647,6466,7432,7952,9261,9903,10397,11804,12262,13031,13525
"18","      Transportation","11","B4811C0B",413,402,443,487,499,498,487,540,617,655,587,713,794,770,855,889,908,944,1128,1202,1333,1436,1518,1596,1798,2320,2926,2927,3346,3830,4350,4933,5149,5853,6004,6225,7220,7510,8038,8357
"19","      Communication","12","B4812C0B",41,47,60,67,70,67,77,82,93,105,101,119,139,144,167,185,184,194,259,279,306,360,397,448,553,682,856,913,992,1089,1274,1522,1700,2060,2375,2504,2692,2748,2845,2929
"20","      Electric, gas, and sanitary services","13","B4813C0B",25,30,40,48,48,47,52,54,58,66,71,88,104,110,124,139,133,134,182,191,213,238,252,284,358,470,568,599,654,728,842,977,1103,1348,1524,1668,1892,2004,2148,2239
"21","    Wholesale trade","14","B4814C0B",155,161,214,256,258,249,294,319,360,409,413,512,615,647,748,834,833,855,1128,1199,1320,1490,1564,1754,2074,2665,2549,2590,3767,4204,4968,5856,6416,7533,8138,8688,10260,10809,11430,11970
"22","    Retail trade","15","B4815C0B",292,319,411,447,450,464,520,568,635,706,723,888,1073,1127,1339,1502,1528,1591,1945,2064,2252,2564,2728,3091,3663,4617,5162,5488,6355,7127,8263,9397,9979,11353,11822,13094,15228,16091,17202,18033
"23","    Finance, insurance, and real estate","16","B4816C0B",72,83,120,142,143,146,178,195,220,253,256,315,389,427,512,576,581,603,765,826,941,1094,1188,1351,1623,2093,2408,2579,2891,3261,3870,4594,5180,6143,6763,7704,8959,9835,11292,12312
"24","    Services","17","B4817C0B",157,172,218,277,284,305,364,395,447,515,537,662,834,909,1093,1263,1309,1396,1819,2036,2297,2697,2932,3348,4027,5301,5980,6573,7477,8455,10223,12277,13944,16868,18969,21264,25042,27248,29998,33225
"25","  Government","18","B4818C0B",540,865,145,227,237,209,277,377,362,533,700,762,859,940,1003,1169,1248,1285,1728,2111,2469,2936,3378,3973,4459,5222,6012,7196,8027,8503,9317,10558,11615,13657,14603,16400,17960,19692,21499,22777
"26","Rest of the world","19"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
