"","Table 2#7# Real Personal Consumption Expenditures by Type of Pro","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/1/2002 8:53:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Personal consumption expenditures","1","A002RX",4113.4,4279.5,4393.7,4474.5,4466.6,4594.5,4748.9,4928.1,5075.6,5237.5,5423.9,5683.7,5964.5,6223.9,6377.2
"9","Durable goods","2","B003RX",455.2,481.5,491.7,487.1,454.9,479,518.3,557.7,583.5,616.5,657.3,726.7,812.5,878.9,931.9
"10","  Motor vehicles and parts","3","A165RX",242.4,254.9,253.9,246.1,211.8,225.7,242.2,255.1,253.4,256.3,264.8,292,322.1,338.4,361.9
"11","    New autos (70)","4","A136RX",111.3,115.8,109.2,104,81,85.5,87.8,89.7,83.5,81.9,82.4,88.5,99.9,107,108
"12","    Net purchases of used autos (71)","5","A137RX",41.1,41.6,41.5,42,40.8,41.7,46.9,48.5,51.2,51.4,54.4,57.5,59.8,60.4,60.4
"13","    Other motor vehicles (72)","6","AOAURX",63.2,68.2,74.2,69.7,60.7,68.4,75.3,81.7,81.9,84.3,88.1,103.7,116.8,123.9,147.3
