"","Table 6#15A# Net Interest by Industry Group","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2002 8:23:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","    Net interest","1","B060RC0A",4568,4792,4774,4417,3882,3923,3928,3655,3597,3495,3453,3208,3198,3076,2668,2291,2145,1797,2353
"9","Domestic industries","2","A1850C0A",4041,4225,4259,4022,3582,3705,3745,3486,3464,3383,3353,3116,3102,2977,2588,2213,2060,1715,2242
"10","  Agriculture, forestry, and fisheries","3","B1851C0A",833,788,745,677,582,519,459,437,422,442,455,458,465,428,360,319,301,270,289
"11","  Mining","4","B1852C0A",32,25,38,36,34,41,38,32,34,35,34,30,22,19,13,12,6,9,10
"12","  Contract construction","5","B1853C0A",16,27,24,23,15,1,3,4,4,0,2,2,4,6,2,0,2,3,15
"13","  Manufacturing","6","A1854C0A",-75,19,32,17,34,38,51,49,103,57,72,61,37,28,-33,-38,-27,-121,-21
"14","    Durable goods","7","B1855C0A",-139,-66,-40,-25,-11,-1,-1,1,40,-5,15,10,-9,-48,-67,-54,-38,-81,-21
"15","    Nondurable goods","8","B1856C0A",64,85,72,42,45,39,52,48,63,62,57,51,46,76,34,16,11,-40,0
"16","  Transportation and public utilities","9","A1857C0A",955,1035,1178,1213,1202,1131,1131,1095,1034,1041,1019,948,900,890,848,796,766,636,652
"17","    Transportation","10","B1858C0A",560,576,613,619,638,653,640,617,610,612,597,568,545,501,472,445,415,361,338
"18","    Communication","11","B1859C0A",55,65,67,65,68,65,61,59,51,55,55,43,45,60,58,53,49,44,65
"19","    Electric, gas, and sanitary services","12","B1860C0A",340,394,498,529,496,413,430,419,373,374,367,337,310,329,318,298,302,231,249
"20","  Wholesale trade","13","B1861C0A",29,22,13,-3,5,4,2,9,16,16,15,13,18,14,-4,-7,-3,4,14
"21","  Retail trade and automobile services","14","B1862C0A",65,80,72,39,32,22,25,25,39,34,44,40,41,24,-9,-40,-63,-63,-27
"22","  Finance, insurance, and real estate","15","A1863C0A",2138,2163,2084,1950,1609,1882,1969,1778,1758,1703,1661,1519,1574,1528,1380,1139,1055,945,1277
"23","    Finance","16","B1864C0A",-356,-312,-439,-511,-706,-420,-324,-486,-480,-483,-533,-634,-614,-642,-651,-759,-789,-942,-828
"24","    Real estate","17","B1865C0A",2504,2483,2528,2465,2318,2305,2297,2267,2241,2189,2197,2158,2193,2175,2035,1903,1849,1943,2146
"25","    Other","18","B1866C0A",-10,-8,-5,-4,-3,-3,-4,-3,-3,-3,-3,-5,-5,-5,-4,-5,-5,-56,-41
"26","  Services","19","A1867C0A",48,66,73,70,69,67,67,57,54,55,51,45,41,40,31,32,23,32,33
"27","Rest of the world","20","A1627C0A",527,567,515,395,300,218,183,169,133,112,100,92,96,99,80,78,85,82,111
"28","  Receipts from the rest of the world","21","A2067C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,224
"29","  Less:  Payments to the rest of the world","22","B1869C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,113
"30","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
